N	2gram	Berdyaev_O_1	KulturaY
118	а с	1	3
119	есть лишь	4	3
120	под влиянием	1	3
121	как это	1	3
122	смысле этого	1	3
123	этого слова	1	3
124	потребность в	2	3
125	была бы	1	3
126	но еще	1	3
127	также и	1	2
128	и есть	3	2
129	бы и	1	2
130	иных случаях	1	2
131	на самом	1	2
132	не все	2	2
133	себе и	1	2
134	и как	1	2
135	но в	2	2
136	от этого	1	2
137	больше всего	1	2
138	он не	7	2
139	что нужно	1	2
140	в каждом	1	2
141	лишь в	7	2
142	заключается в	1	2
143	связанная с	1	2
144	как и	6	2
145	в своей	2	2
146	вопрос о	10	2
147	что было	1	2
148	и более	1	2
149	по себе	2	2
150	можно ли	2	2
151	до конца	7	2
152	не имеет	2	2
153	ничего не	2	2
154	что их	1	2
155	и сделали	1	2
156	был в	1	2
157	никогда не	9	2
158	и мысли	4	2
159	не могут	3	2
160	всех произведений	1	2
161	что все	2	2
162	подойти к	2	2
163	одно из	2	2
164	в разных	1	2
165	о нем	1	2
166	на примере	1	2
167	любви к	1	2
168	это было	3	2
169	каждом из	1	2
170	а именно	1	2
171	как например	1	2
172	любовь к	2	2
173	же и	1	2
174	был бы	1	2
175	может служить	1	2
176	и против	2	2
177	на этот	1	2
178	о чем	1	2
179	в это	1	2
180	в иных	1	2
181	это есть	1	2
182	видно что	1	2
183	и для	2	2
184	в силах	1	2
185	и все	10	2
186	в свое	1	2
187	ее в	2	2
188	смысле слова	1	1
189	в обычном	1	1
190	лишь после	1	1
191	связана с	1	1
192	но тем	1	1
193	недостаточно еще	1	1
194	из самых	1	1
195	ту же	1	1
196	в строгом	1	1
197	внешней эволюции	1	1
198	достоевского в	3	1
199	на этих	1	1
200	и больше	1	1
201	она стоит	1	1
202	его не	2	1
203	есть не	1	1
204	можно и	1	1
205	все новое	1	1
206	его пути	1	1
207	вместо того	2	1
208	не хочет	1	1
209	что люди	1	1
210	дело что	1	1
211	то он	1	1
212	отношение к	5	1
213	идет у	1	1
214	заключено в	1	1
215	задача которая	1	1
216	в одной	1	1
217	как к	2	1
218	что нет	1	1
219	вопросом о	2	1
220	при чтении	2	1
221	так человек	2	1
222	думать что	1	1
223	говорят о	1	1
224	в братьях	1	1
225	а вовсе	1	1
226	чтобы овладеть	1	1
227	он должен	1	1
228	к одному	1	1
229	и вот	3	1
230	так часто	1	1
231	не теряет	1	1
232	любой из	1	1
233	из него	1	1
234	лишь с	1	1
235	же не	1	1
236	в совершенно	1	1
237	том случае	1	1
238	и русский	1	1
239	которого не	1	1
240	чтобы все	1	1
241	лишь на	1	1
242	истории и	1	1
243	уступить в	1	1
244	в жизни	1	1
245	бытие и	1	1
246	она и	1	1
247	силы в	1	1
248	где нужно	1	1
249	строгом смысле	1	1
250	для своих	1	1
251	народа и	1	1
252	со всей	1	1
253	и без	1	1
254	он понимал	1	1
255	ли так	1	1
256	оказывается что	1	1
257	мысли и	3	1
258	в дневнике	2	1
259	но это	1	1
260	но он	7	1
261	эти свои	1	1
262	есть непременно	1	1
263	любви и	1	1
264	вопросу о	1	1
265	мысли в	1	1
266	в процессе	1	1
267	виду не	1	1
268	дневника писателя	1	1
269	подошел к	1	1
270	него что	1	1
271	лишь способ	1	1
272	дело в	1	1
273	одна из	1	1
274	действительно в	1	1
275	и после	1	1
276	вот что	1	1
277	достоевский в	1	1
278	нужна была	1	1
279	как будто	1	1
280	могут быть	3	1
281	чтобы сделать	1	1
282	одно только	1	1
283	раз навсегда	1	1
284	указывает на	1	1
285	они и	1	1
286	всегда в	1	1
287	и самое	1	1
288	на нем	1	1
289	в ее	2	1
290	свои силы	1	1
291	и от	3	1
292	в бесах	3	1
293	том-то и	1	1
294	и когда	1	1
295	и сам	1	1
296	что у	2	1
297	для человеческого	2	1
298	имею в	1	1
299	в борьбе	1	1
300	которая была	1	1
301	это потому	1	1
302	по сравнению	1	1
303	но у	1	1
304	которого они	1	1
305	находится в	1	1
306	момент в	2	1
307	у достоевского	19	1
308	после того	1	1
309	в которую	1	1
310	говорит он	1	1
311	в форме	1	1
312	лишь к	1	1
313	из противоречий	1	1
314	это лишь	1	1
315	еще более	1	1
316	все время	1	1
317	которой в	1	1
318	в том-то	1	1
319	никакого другого	2	1
320	сразу же	2	1
321	что только	1	1
322	совсем не	2	1
323	и дело	1	1
324	речь о	1	1
325	связанным с	1	1
326	европе и	1	1
327	вопрос об	1	1
328	в эти	1	1
329	и положительно	1	1
330	я имею	1	1
331	в противоречии	1	1
332	в сознании	1	1
333	еще одну	1	1
334	и других	1	1
335	его и	1	1
336	вл соловьева	1	1
337	не так	1	1
338	для него	5	1
339	в новом	1	1
340	в конце	1	1
341	противоречии с	1	1
342	само по	1	1
343	от того	1	1
344	в других	2	1
345	же это	2	1
346	связан с	1	1
347	свою мысль	1	1
348	разрешение этой	1	1
349	качества и	1	1
350	совершенно ином	1	1
351	было и	1	1
352	перед ним	1	1
353	в россии	5	1
354	что для	2	1
355	говорит о	1	1
356	не нужна	1	1
357	притом не	1	1
358	его как	1	1
359	человек в	1	1
360	а ведь	1	1
361	но никогда	2	1
362	и своим	1	1
363	различие между	3	1
364	него не	2	1
365	в одно	1	1
366	проникновения в	1	1
367	я хочу	1	1
368	нет ничего	7	1
369	к его	1	1
370	на периферии	2	1
371	он говорит	1	1
372	для человека	2	1
373	да и	1	1
374	у самого	1	1
375	которым он	1	1
376	и там	2	1
377	его в	2	1
378	своей жизни	2	1
379	и осмыслить	1	1
380	о его	5	1
381	человека о	2	1
382	достоевского не	4	1
383	отношениях к	1	1
384	он за	1	1
385	братьях карамазовых	1	1
386	это часто	1	1
387	бы он	1	1
388	интерес к	1	1
389	быть что	1	1
390	будто бы	1	1
391	дневнике писателя	2	1
392	есть уже	1	1
393	пишет достоевский	1	1
394	отношении к	1	1
395	всегда есть	4	1
396	жизни в	2	1
397	это все	1	1
398	сказать что	2	1
399	совершенно не	1	1
400	и русского	1	1
401	та же	1	1
402	который в	1	1
403	на своем	1	1
404	жизни и	1	1
405	случае если	1	1
406	в своих	3	1
407	к этому	2	1
408	все что	3	1
