N	2gram	Savitsky_E_1	Vvedenie
217	из них	3	3
218	и изучение	1	3
219	так называемой	1	3
220	вообще не	3	3
221	в своем	14	3
222	зависит от	1	3
223	том же	1	2
224	о которых	1	2
225	какой бы	2	2
226	это может	1	2
227	когда мы	1	2
228	в ряде	1	2
229	все более	9	2
230	в значительной	2	2
231	и с	2	2
232	большей степени	1	2
233	следует что	1	2
234	бы в	2	2
235	с полной	1	2
236	в связи	1	2
237	входит в	1	2
238	тогда как	1	2
239	что обе	1	2
240	сложнее чем	1	2
241	жизни и	2	2
242	и сейчас	2	2
243	того же	3	2
244	значение и	1	2
245	чем больше	2	2
246	в более	1	2
247	разделения труда	1	2
248	это есть	1	2
249	не к	2	2
250	в этот	1	2
251	для них	2	2
252	так и	10	2
253	и со	3	2
254	не было	1	2
255	должна быть	2	2
256	рядом с	1	2
257	с ней	1	2
258	говоря уже	2	2
259	его можно	1	2
260	это в	1	2
261	которая как	1	2
262	мы не	4	2
263	и другие	1	2
264	который по	1	2
265	второй половине	2	2
266	в известных	2	2
267	во всех	6	2
268	и те	1	2
269	и наоборот	1	2
270	казалось бы	1	2
271	человеческой культуры	2	2
272	мы должны	2	2
273	его к	1	2
274	в принципе	1	2
275	культурной жизни	4	2
276	время в	3	2
277	или иной	4	2
278	есть не	2	2
279	iv в	1	2
280	в силу	2	2
281	находит себе	1	2
282	между ними	2	2
283	по этому	1	2
284	с теми	1	2
285	те кто	1	2
286	большей части	2	2
287	никогда не	3	2
288	традиции с	1	2
289	с точки	17	2
290	во внимание	1	2
291	и науки	1	2
292	мог бы	2	2
293	что если	2	2
294	у нас	1	2
295	не говоря	2	2
296	истории в	1	2
297	в прошлом	3	2
298	что к	2	2
299	что нет	1	2
300	и всего	1	2
301	находятся в	1	2
302	для нее	1	2
303	в отношении	32	2
304	и чем	2	2
305	с этим	2	2
306	и сам	1	2
307	свое существование	1	2
308	к какому	1	2
309	должно быть	1	2
310	по самой	1	2
311	в соответствии	1	2
312	ее от	2	2
313	в содержании	2	2
314	можно представить	1	2
315	то она	1	2
316	для этого	1	2
317	одна из	1	2
318	этого слова	1	2
319	же как	5	2
320	от того	1	2
321	свое значение	1	2
322	значение в	1	2
323	однако с	1	2
324	этих случаях	1	2
325	тому что	1	2
326	на рубеже	1	2
327	области культуры	1	2
328	бы с	1	2
329	народов и	3	2
330	не нужно	2	2
331	соответствии с	1	2
332	несмотря на	4	2
333	от других	1	2
334	же касается	1	2
335	быть и	1	2
336	в каждой	1	2
337	тем более	4	2
338	всего к	2	2
339	литературы и	1	2
340	проблемы и	2	2
341	как совокупность	4	2
342	мы можем	3	2
343	которого мы	2	2
344	которое в	2	2
345	из числа	4	2
346	по признаку	3	2
347	время не	1	2
348	есть только	1	2
349	из того	2	2
350	сильнее чем	1	2
351	состоит в	1	2
352	нельзя признать	1	2
353	к культуре	1	2
354	от которых	1	2
355	что мы	1	2
356	ее частей	1	2
357	той или	4	2
358	ближе к	1	2
359	связь между	1	2
360	значительной мере	1	2
361	и творчества	2	2
362	и до	1	2
363	но это	1	2
364	а если	1	2
365	в отношениях	1	2
366	во втором	2	2
367	различие которое	1	1
368	что по	1	1
369	как обычно	1	1
370	если и	1	1
371	как некая	1	1
372	то мы	1	1
373	может не	1	1
374	что между	1	1
375	понимать что	1	1
376	далее в	1	1
377	уже о	1	1
378	он рассматривает	1	1
379	вникнуть в	1	1
380	или иное	1	1
381	обращаться с	1	1
382	не означает	2	1
383	смысле этот	1	1
384	не значит	1	1
385	на его	1	1
386	претендовать на	1	1
387	с традициями	1	1
388	отношении к	15	1
389	и того	2	1
390	входить в	1	1
391	для нас	4	1
392	чтобы в	1	1
393	во всей	2	1
394	изменение в	1	1
395	чтобы превратить	1	1
396	чем то	1	1
397	на всем	4	1
398	своих потребностей	1	1
399	за исключением	1	1
400	бы на	1	1
401	из себя	1	1
402	с разных	1	1
403	но нужно	2	1
404	достаточно чтобы	1	1
405	их из	2	1
406	бы то	4	1
407	культуру как	1	1
408	его историческом	1	1
409	культуры во	1	1
410	к концу	1	1
411	было у	1	1
412	как культура	2	1
413	бы нас	1	1
414	на которые	1	1
415	можно считать	3	1
416	только тогда	1	1
417	себе не	3	1
418	котором мы	1	1
419	ценностей а	2	1
420	потребность в	3	1
421	имеют дело	1	1
422	как с	1	1
423	в каких	1	1
424	в духовной	1	1
425	кроме того	1	1
426	она может	1	1
427	но еще	2	1
428	случае она	1	1
429	и тот	1	1
430	и все	2	1
431	с отношениями	1	1
432	есть в	2	1
433	в стороне	3	1
434	на то	6	1
435	помощи которого	1	1
436	идут в	1	1
437	традиции как	1	1
438	вопрос мы	1	1
439	в некотором	4	1
440	к которому	1	1
441	в европейской	2	1
442	включает в	1	1
443	дает нам	1	1
444	иной степени	1	1
445	известных условиях	1	1
446	возможности и	1	1
447	этой точки	5	1
448	не находятся	1	1
449	а для	1	1
450	к проблемам	1	1
451	или иная	1	1
452	та же	1	1
453	е не	1	1
454	которая должна	1	1
455	о возможности	1	1
456	не дает	3	1
457	что на	2	1
458	но поскольку	2	1
459	в обстановке	1	1
460	на язык	2	1
461	групп и	1	1
462	того или	4	1
463	более того	1	1
464	то в	4	1
465	областей но	1	1
466	человеческой истории	1	1
467	бытия и	1	1
468	заключает в	3	1
469	если не	1	1
470	правда в	1	1
471	связь и	1	1
472	толковать в	1	1
473	в эту	2	1
474	иначе говоря	2	1
475	культур в	1	1
476	цель и	1	1
477	на такие	1	1
478	германии в	1	1
479	мы находим	1	1
480	самом процессе	1	1
481	но какой	1	1
482	их до	1	1
483	оно не	1	1
484	значение только	2	1
485	в европе	1	1
486	и каждая	2	1
487	говорит об	1	1
488	и настоящем	1	1
489	из всего	1	1
490	ту или	3	1
491	с той	1	1
492	между собой	2	1
493	или же	1	1
494	следует толковать	1	1
495	одного и	1	1
496	малой азии	1	1
497	совершенно ошибочно	1	1
498	в тех	1	1
499	слова и	1	1
500	при известных	1	1
501	тем большее	1	1
502	например в	1	1
503	для него	1	1
504	физику и	1	1
505	античного мира	1	1
506	а через	1	1
507	известных пределах	2	1
508	несомненно представляет	1	1
509	как не	2	1
510	это были	1	1
511	то как	1	1
512	а затем	1	1
513	в обоих	1	1
514	европейской культуры	3	1
515	чем на	2	1
516	других народов	1	1
517	две области	1	1
518	но как	2	1
519	если можно	1	1
520	это изменение	1	1
521	должны быть	1	1
522	в глубине	1	1
523	и имеет	2	1
524	еще более	2	1
525	нам представляется	1	1
526	принципа в	1	1
527	и можно	2	1
528	европе и	3	1
529	различие между	1	1
530	в россии	5	1
531	многих случаях	1	1
532	поскольку это	1	1
533	в свет	1	1
534	как они	1	1
535	определенном смысле	2	1
536	в новом	1	1
537	же направлении	1	1
538	иными словами	4	1
539	и прежде	3	1
540	здесь нужно	1	1
541	такие же	1	1
542	всегда и	1	1
543	как в	3	1
544	одного из	1	1
545	ведь в	1	1
546	от природы	1	1
547	утверждать что	2	1
548	культуры и	2	1
549	отличие от	1	1
550	ее в	3	1
551	что при	1	1
552	и иного	1	1
553	что его	1	1
554	есть то	1	1
555	в определенной	1	1
556	что из	1	1
557	лишь в	1	1
558	не на	4	1
559	то ни	4	1
560	народы азии	1	1
561	что оно	1	1
562	или по	2	1
563	отрицательный ответ	1	1
564	в определенном	3	1
565	оно будет	1	1
566	свою очередь	2	1
567	частности в	2	1
568	русской культуры	1	1
569	и от	3	1
570	каждого народа	1	1
571	свойствами в	1	1
572	можно назвать	1	1
573	и о	1	1
574	с которыми	1	1
575	во всем	1	1
576	во многих	4	1
577	если нельзя	1	1
578	которые идут	1	1
579	но на	3	1
580	связано с	3	1
581	она неизбежно	1	1
582	потребностей в	1	1
583	тому же	1	1
584	в культуре	3	1
585	качестве примера	1	1
586	бы только	1	1
587	и потому	5	1
588	времени стали	1	1
589	была эпохой	1	1
590	очевидно что	3	1
591	к ним	3	1
592	том смысле	1	1
593	это можно	1	1
594	из их	1	1
595	психологии и	1	1
596	на них	2	1
597	в осуществлении	1	1
598	о таких	1	1
599	наряду с	2	1
600	перед собой	1	1
601	к сфере	1	1
602	или менее	1	1
603	человечества на	1	1
604	что все	2	1
605	лишь на	1	1
606	более или	1	1
607	в среде	1	1
608	как одно	1	1
609	ко всему	2	1
610	разных отраслях	1	1
611	своему характеру	2	1
612	ни было	4	1
613	культуры но	2	1
614	к области	1	1
615	и та	2	1
616	а к	1	1
617	он в	1	1
618	части своего	1	1
619	это значит	2	1
620	то или	1	1
621	только одна	1	1
622	приходит к	1	1
623	которыми мы	1	1
624	они должны	1	1
625	можно применить	1	1
626	русской истории	1	1
627	чтобы не	1	1
628	для себя	1	1
629	стороны тех	1	1
630	в сторону	2	1
631	в таком	3	1
632	в новой	1	1
633	в полной	4	1
634	в отличие	1	1
635	мы видим	2	1
636	и будет	1	1
637	развития но	1	1
638	и народов	3	1
639	ее областей	2	1
640	гораздо большей	1	1
641	поскольку она	2	1
642	она и	1	1
643	лучшем случае	1	1
644	ли это	3	1
645	с большой	2	1
646	следует понимать	1	1
647	также что	1	1
648	областях в	1	1
649	возникающих в	1	1
650	в лучшем	1	1
651	культуры он	1	1
652	различия между	1	1
653	их развитии	1	1
654	ними и	2	1
655	только ту	1	1
656	на практике	1	1
657	азии и	1	1
658	народы как	1	1
659	таковы например	1	1
660	помнить что	2	1
661	представление о	2	1
662	в своих	2	1
663	которые не	1	1
664	в построении	1	1
665	в гораздо	2	1
666	рода и	1	1
667	в ближайшем	1	1
668	народа и	1	1
669	в положении	1	1
670	которая в	1	1
671	или иную	3	1
672	до него	1	1
673	та или	1	1
674	в такой	1	1
675	в вопросах	1	1
676	ведь и	2	1
677	при благоприятных	1	1
678	на свой	1	1
679	же в	2	1
680	есть нечто	1	1
681	значит что	1	1
682	историческом и	1	1
683	и затем	1	1
684	или иного	4	1
685	целого круга	1	1
686	всего в	2	1
687	конкретного содержания	1	1
688	по ее	1	1
689	этот факт	3	1
690	более молодых	1	1
691	ряде случаев	1	1
692	но совершенно	1	1
693	он определяет	1	1
694	эта идея	1	1
695	и внутри	1	1
696	именно потому	2	1
697	теперь не	1	1
698	второго рода	1	1
699	в самой	1	1
700	этого же	1	1
701	возможна ли	1	1
702	долгое время	2	1
703	мира в	4	1
704	не быть	1	1
705	обратиться к	1	1
706	как же	2	1
707	меньшей степени	2	1
708	и теми	1	1
709	права и	1	1
710	ее традиции	1	1
711	и эта	2	1
712	народов не	2	1
713	участие в	2	1
714	еще в	1	1
715	осуществляется в	1	1
716	все что	1	1
717	также в	2	1
718	речь идет	1	1
719	мы знаем	1	1
720	самих себя	1	1
721	и более	2	1
722	ничего иного	1	1
723	что эти	2	1
724	относиться к	1	1
725	понимать как	1	1
726	в свою	3	1
