N	2gram	Vinokur_Vv_1	Vvedenie
138	в свою	1	3
139	по поводу	1	3
140	и есть	3	2
141	в первом	5	2
142	мы не	2	2
143	и последующих	1	2
144	язык как	3	2
145	письма к	1	2
146	в составе	1	2
147	между собой	1	2
148	в чем	4	2
149	истории а	1	2
150	в противовес	1	2
151	xix столетия	1	2
152	в настоящем	1	2
153	в центре	4	2
154	в одной	1	2
155	о жизни	1	2
156	однако не	4	2
157	и к	1	2
158	в этот	2	2
159	в самом	12	2
160	в целом	5	2
161	на то	1	2
162	на его	1	2
163	не следует	2	2
164	тем не	8	2
165	в принципе	2	2
166	не как	3	2
167	в начале	3	2
168	и вот	3	2
169	нашего времени	2	2
170	из него	1	2
171	подобно тому	1	2
172	об этом	5	2
173	заключается в	4	2
174	и тем	5	2
175	которая в	1	2
176	в жизни	1	2
177	о которых	2	2
178	о которой	2	2
179	не всегда	1	2
180	он и	2	2
181	несмотря на	2	2
182	и того	2	2
183	не мог	2	2
184	от себя	3	2
185	должны были	1	2
186	истории однако	1	2
187	но он	1	2
188	все это	6	2
189	не имеет	4	2
190	одна из	2	2
191	слова но	1	2
192	того чтобы	21	2
193	и соответственно	1	2
194	должна быть	2	2
195	не принадлежит	1	2
196	этом отношении	3	2
197	ли это	1	2
198	для себя	1	2
199	и о	1	2
200	значения и	1	2
201	в ней	3	2
202	и сам	2	2
203	что у	1	2
204	мог бы	2	2
205	какой она	1	2
206	это только	4	2
207	а к	1	2
208	о ней	1	2
209	никак не	1	2
210	одного из	1	2
211	времени в	3	2
212	истории в	2	2
213	возникает и	1	2
214	или иначе	4	2
215	быть и	2	2
216	дело с	6	2
217	и ее	4	2
218	себя в	2	2
219	в одном	4	2
220	ее не	1	2
221	к ним	1	2
222	тем что	6	2
223	в них	4	2
224	к которому	1	2
225	при всей	1	2
226	зависит от	3	2
227	и внутренне	1	2
228	о чем	4	2
229	его собственной	1	2
230	в ряду	1	2
231	так называемой	3	2
232	так же	3	2
233	однако для	1	2
234	этих случаях	2	2
235	по своему	5	2
236	в течение	5	2
237	в европейской	1	2
238	тому как	1	2
239	как бы	5	2
240	например в	2	2
241	и от	1	2
242	в культуре	1	2
243	о котором	8	2
244	не должен	1	2
245	ни к	2	2
246	хотя бы	5	2
247	или не	1	2
248	хотя в	2	2
249	не есть	4	2
250	должен быть	4	2
251	можно назвать	1	2
252	которое возникает	1	1
253	обращена к	1	1
254	связана с	4	1
255	того же	3	1
256	и то	5	1
257	дело обстоит	1	1
258	историю не	1	1
259	мере в	4	1
260	к данному	1	1
261	который можно	1	1
262	за собой	3	1
263	и последние	1	1
264	оно было	1	1
265	не ограничивается	1	1
266	в зависимости	1	1
267	в истории	9	1
268	жизни для	1	1
269	той же	4	1
270	целого но	1	1
271	а как	3	1
272	и была	1	1
273	до времени	1	1
274	всех его	1	1
275	нам в	1	1
276	греков и	3	1
277	исследования в	1	1
278	не вполне	4	1
279	в полной	1	1
280	на практике	1	1
281	и со	1	1
282	похожи на	1	1
283	что можно	2	1
284	из которых	2	1
285	в древности	1	1
286	воззрения на	2	1
287	не нужно	2	1
288	он был	1	1
289	ответа на	2	1
290	английский язык	2	1
291	в различных	2	1
292	в ее	11	1
293	при жизни	2	1
294	совсем не	3	1
295	а только	8	1
296	в сторону	1	1
297	к слову	1	1
298	ответ на	3	1
299	очевидно что	1	1
300	в новом	1	1
301	или иное	1	1
302	это и	1	1
303	связи и	1	1
304	из таких	1	1
305	можно представить	2	1
306	в этой	3	1
307	так что	5	1
308	и я	1	1
309	менее не	1	1
310	и соответствующих	1	1
311	не входят	1	1
312	так называемая	2	1
313	как к	1	1
314	образцом для	1	1
315	есть в	1	1
316	которой у	1	1
317	как уже	2	1
318	которого история	1	1
319	не сам	1	1
320	но смысл	1	1
321	то в	1	1
322	точку зрения	1	1
323	что это	3	1
324	применительно к	2	1
325	все эти	3	1
326	и искусно	1	1
327	из этих	5	1
328	раз в	1	1
329	с их	5	1
330	слова было	1	1
331	и тот	1	1
332	зависимости от	1	1
333	от простого	1	1
334	и до	2	1
335	как он	6	1
336	говорят о	1	1
337	же как	3	1
338	и прочими	2	1
339	вообще не	3	1
340	мы можем	2	1
341	перестает быть	1	1
342	у древних	1	1
343	понятия о	1	1
344	в силу	3	1
345	свои собственные	1	1
346	том чтобы	6	1
347	чтобы в	1	1
348	для данной	1	1
349	так например	6	1
350	что она	3	1
351	одно и	1	1
352	и стало	1	1
353	как оно	3	1
354	в работе	3	1
355	факт что	1	1
356	в другом	3	1
357	и с	2	1
358	лишь в	1	1
359	входит в	2	1
360	того или	1	1
361	на протяжении	2	1
362	новейшее время	1	1
363	доступна нам	1	1
364	такое чтение	1	1
365	известно что	1	1
366	этом смысле	11	1
367	она стала	1	1
368	практически не	1	1
369	должен был	4	1
370	духа в	1	1
371	к области	1	1
372	русской культуры	1	1
373	как об	9	1
374	на основании	5	1
375	с тем	6	1
376	нельзя признать	2	1
377	говорится о	1	1
378	уже у	1	1
379	одного и	2	1
380	и становится	1	1
381	или произвола	1	1
382	во время	1	1
383	бы на	1	1
384	в ходе	1	1
385	от своего	1	1
386	как некоторого	1	1
387	в отношении	2	1
388	и без	2	1
389	это делает	2	1
390	но текст	1	1
391	из которой	1	1
392	как произведение	1	1
393	от времени	1	1
394	не от	1	1
395	далее в	1	1
396	от его	1	1
397	и другого	1	1
398	втором случае	1	1
399	что этот	1	1
400	тому что	2	1
401	только одна	1	1
402	следует забывать	1	1
403	любви и	1	1
404	как это	5	1
405	самого начала	1	1
406	на котором	2	1
407	текста и	3	1
408	дело в	3	1
409	того как	3	1
410	при изложении	1	1
411	не вытекает	1	1
412	как о	4	1
413	из их	1	1
414	не могло	1	1
415	он мог	3	1
416	вытекает из	1	1
417	судя по	1	1
418	далеком прошлом	1	1
419	его от	1	1
420	в разных	5	1
421	это то	1	1
422	находятся в	2	1
423	его отношение	1	1
424	именно она	1	1
425	могут различаться	1	1
426	при любом	1	1
427	его можно	2	1
428	во всем	2	1
429	жизни как	2	1
430	в текст	1	1
431	заключает в	1	1
432	их по	1	1
433	не до	2	1
434	художественной литературы	2	1
435	есть только	2	1
436	истории не	2	1
437	дело не	3	1
438	значительной степени	1	1
439	но также	14	1
440	каким она	2	1
441	не предполагает	1	1
442	объект и	1	1
443	оно не	1	1
444	прошлом и	3	1
445	о них	2	1
446	в каждой	2	1
447	когда под	2	1
448	и которая	1	1
449	принять его	1	1
450	то она	1	1
451	здесь не	2	1
452	то или	1	1
453	с самого	1	1
454	слова а	1	1
455	можно было	7	1
456	разумеется не	1	1
457	так называемую	2	1
458	в новейшее	1	1
459	этим объясняется	1	1
460	котором мы	1	1
461	осуществляется в	1	1
462	еще в	1	1
463	слушателей в	1	1
464	по сравнению	3	1
465	жизнь и	1	1
466	отказе от	1	1
467	изложенного в	1	1
468	в эпоху	1	1
469	и форме	1	1
470	состоящий в	1	1
471	ничего не	2	1
472	преимущественно в	2	1
473	только потому	1	1
474	первом случае	2	1
475	имеет право	1	1
476	превращается в	1	1
477	и что	4	1
478	обратим внимание	1	1
479	установка на	1	1
480	в значительной	2	1
481	второй половины	3	1
482	сосредоточен на	1	1
483	в конечном	1	1
484	по слову	1	1
485	том или	1	1
486	нем не	1	1
487	не со	1	1
488	которых в	1	1
489	между тем	8	1
490	во втором	2	1
491	нуждается в	2	1
492	оно составляет	1	1
493	во всей	1	1
494	в форме	2	1
495	них в	1	1
496	наконец в	1	1
497	знания и	3	1
498	своей природе	3	1
499	в литературе	1	1
500	один из	6	1
501	но с	4	1
502	рассуждение о	1	1
503	только что	4	1
504	мы видим	1	1
505	тот же	1	1
506	одной из	3	1
507	что он	4	1
508	истории и	4	1
509	может оказаться	3	1
510	очень много	1	1
511	и так	1	1
512	героического эпоса	1	1
513	но как	2	1
514	с какой	1	1
515	частности в	1	1
516	который тем	1	1
517	ряде случаев	1	1
518	только на	3	1
519	же в	1	1
520	языка как	2	1
521	чем с	1	1
522	выросло из	1	1
523	участие в	1	1
524	за ним	1	1
525	сказано в	1	1
526	или даже	1	1
527	представить себе	5	1
528	в особых	1	1
529	слова в	1	1
530	иначе как	1	1
531	вовсе не	6	1
532	содержание и	1	1
533	выше чем	1	1
534	этот по	1	1
535	заметить что	1	1
536	или ином	1	1
537	значение только	1	1
538	гораздо более	3	1
539	лишь к	1	1
540	для того	21	1
541	момент в	1	1
542	быть названа	1	1
543	что могло	3	1
544	чтобы понять	2	1
545	что на	1	1
546	и даже	5	1
547	в текстах	3	1
548	случае с	1	1
549	не просто	4	1
550	именно в	8	1
551	значении слова	1	1
552	с той	1	1
553	о своем	1	1
554	и прежде	1	1
555	или меньшей	2	1
556	в ряде	2	1
557	еще и	3	1
558	тем о	1	1
559	слово но	1	1
560	обратиться к	1	1
561	что будет	1	1
562	к человеку	1	1
563	только по	3	1
564	на этот	4	1
565	этого не	2	1
566	этой системе	1	1
567	что находится	1	1
568	не означает	1	1
569	и объединяет	1	1
570	именно так	1	1
571	жизнь в	1	1
572	признать вполне	1	1
573	литература в	1	1
574	произведение в	1	1
575	таков в	1	1
576	что мы	2	1
577	этот текст	1	1
578	проникновения в	1	1
579	роль и	1	1
580	имея в	1	1
581	бы оно	1	1
582	долг это	1	1
583	автора с	1	1
584	человека к	1	1
585	или по	1	1
586	в строгом	3	1
587	например когда	1	1
588	в особенности	4	1
589	о возможности	1	1
590	как сказано	2	1
591	случаях в	1	1
592	сравнению с	3	1
593	на почве	5	1
594	наряду с	2	1
595	не смешивать	1	1
596	на эту	1	1
597	что же	3	1
598	о человеке	1	1
599	рассказа в	1	1
600	да и	4	1
601	в первой	1	1
602	кто из	1	1
603	чтобы определить	1	1
604	большей или	2	1
605	чтобы сделать	1	1
606	дело здесь	1	1
607	в отказе	1	1
608	этом случае	6	1
609	той мере	4	1
610	мира у	1	1
611	разумеется с	2	1
612	но разумеется	1	1
613	и собственно	1	1
614	ближе к	2	1
615	всего в	1	1
616	каждой из	3	1
617	в более	2	1
618	это уже	1	1
619	которых он	1	1
620	могло не	1	1
621	как своего	1	1
622	и сама	1	1
623	этого рода	8	1
624	речь идет	2	1
625	не существует	2	1
626	котором он	2	1
627	или в	1	1
628	имеет дело	5	1
629	нам не	1	1
630	к одной	1	1
631	у них	1	1
632	интерес к	1	1
633	бы в	1	1
634	еще более	1	1
635	мы должны	1	1
636	данному типу	1	1
637	с другими	1	1
638	это тоже	1	1
639	непосредственно как	1	1
640	может и	1	1
641	с ними	1	1
642	свое значение	2	1
643	сказать что	5	1
644	другой стороны	5	1
645	конфликт между	3	1
646	текст может	2	1
647	себе самому	1	1
648	или иного	1	1
649	в далеком	1	1
650	культуры в	5	1
651	всю ее	1	1
652	время не	1	1
653	в виде	4	1
654	жизни и	2	1
655	собой лишь	1	1
656	вместе с	6	1
657	к этому	3	1
658	все что	1	1
659	они не	1	1
660	которая не	1	1
