N	2gram	Tiupa_Lite_3	Sovremen
291	не знает	2	1
292	сказать что	1	1
293	и для	4	1
294	не что	1	1
295	свободы и	2	1
296	человека в	2	1
297	в то	9	1
298	но еще	2	1
299	той или	2	1
300	в своих	2	1
301	которая не	1	1
302	они не	1	1
303	ничего общего	1	1
