N	2gram	Losev_Vesc_1	Marksizm
281	она не	4	2
282	с ее	6	2
283	в виду	2	2
284	другими словами	5	2
285	имеет значение	1	2
286	язык и	1	2
287	же –	2	2
288	нет никакой	2	2
289	культуры и	1	2
290	дано в	1	2
291	как с	4	2
292	никогда не	2	2
293	то как	2	2
294	мог бы	5	2
295	подойти к	1	2
296	между собой	1	2
297	если бы	5	2
298	и даже	6	2
299	к языку	1	2
300	о том	6	2
301	и руки	1	2
302	внутри самой	1	2
303	и во	3	2
304	во втором	2	2
305	отвлекаясь от	1	2
306	что и	3	2
307	и только	3	2
308	в двух	1	2
309	что он	1	2
310	в качестве	1	2
311	где они	1	2
312	это является	1	2
313	и их	7	2
314	всяком случае	2	2
315	допустим что	1	2
316	себя от	2	2
317	так как	7	2
318	мы можем	4	2
319	свое выражение	3	2
320	как раз	9	2
321	тем что	2	2
322	самом же	1	2
323	показать место	1	2
324	в данный	1	2
325	границу между	1	2
326	или иначе	4	2
327	и прежде	1	2
328	психологизм и	1	2
329	что не	5	2
330	зависит от	1	2
331	есть лишь	2	2
332	языка не	1	2
333	еще только	1	2
334	и вне	2	2
335	в частности	1	2
336	независимо от	5	2
337	нет еще	1	2
338	из которых	1	2
339	для всех	1	2
340	и этот	2	2
341	– что	1	2
342	образ и	3	2
343	в первой	2	2
344	тех пор	1	2
345	к проблеме	1	2
346	или хотя	1	2
347	с этой	4	2
348	и стать	1	2
349	действительности –	2	2
350	но для	2	2
351	– с	2	2
352	в эти	1	2
353	образом между	1	2
354	к данной	2	2
355	или в	2	2
356	же деле	1	2
357	от каких	1	2
358	в свою	4	2
359	но если	8	2
360	к его	1	2
361	из этого	1	2
362	дана как	1	2
363	же и	1	2
364	жизни и	2	2
365	это так	3	2
366	в своих	1	2
367	о действительности	1	1
368	– может	1	1
369	также и	6	1
370	поскольку вообще	1	1
371	словом как	1	1
372	должен быть	2	1
373	новое время	1	1
374	и то	10	1
375	и без	3	1
376	анализ слова	1	1
377	не что	7	1
378	возможны и	1	1
379	к полному	1	1
380	и какова	1	1
381	он находится	1	1
382	несколько подробнее	1	1
383	из всех	1	1
384	и само	2	1
385	что между	2	1
386	которую мы	1	1
387	бы что	2	1
388	среды и	1	1
389	этот предмет	1	1
390	почти все	2	1
391	так чтобы	2	1
392	говорить о	6	1
393	и бытия	2	1
394	и ни	1	1
395	и самого	1	1
396	слова вообще	1	1
397	в различных	1	1
398	которое он	1	1
399	с его	1	1
400	не воспринимает	1	1
401	личность а	1	1
402	а следовательно	2	1
403	и вопрос	1	1
404	ее к	2	1
405	на основе	1	1
406	внутренняя форма	1	1
407	а только	3	1
408	со всеми	1	1
409	она –	2	1
410	в общем	1	1
411	а и	9	1
412	с собою	6	1
413	отношение к	1	1
414	есть вещь	7	1
415	материализм и	1	1
416	и будет	1	1
417	определенной форме	1	1
418	от разрешения	1	1
419	понимания что	1	1
420	форме и	1	1
421	относится к	5	1
422	этим оно	1	1
423	сфере действительности	1	1
424	в особом	1	1
425	его на	1	1
426	части в	1	1
427	него –	1	1
428	просто как	1	1
429	хотя и	4	1
430	моего существования	1	1
431	могли бы	1	1
432	и понимания	2	1
433	она так	1	1
434	и наконец	1	1
435	это тоже	1	1
436	более или	1	1
437	важны не	1	1
438	или иную	2	1
439	– конечно	1	1
440	та же	1	1
441	как то	1	1
442	что это	13	1
443	средство для	1	1
444	так или	4	1
445	к самому	1	1
446	в этой	3	1
447	однако как	1	1
448	производственные отношения	1	1
449	если есть	1	1
450	бы только	1	1
451	от необходимости	1	1
452	но ведь	2	1
453	не могла	1	1
454	и если	2	1
455	главным образом	1	1
456	ведь и	5	1
457	не внешнее	1	1
458	и единое	1	1
459	как личность	2	1
460	перестает быть	3	1
461	именно то	1	1
462	всех этих	1	1
463	момента в	1	1
464	не значит	7	1
465	и социальной	1	1
466	ведь не	3	1
467	прочим и	2	1
468	пор мы	1	1
469	и вот	2	1
470	в россии	2	1
471	все ее	1	1
472	вообще не	2	1
473	их в	3	1
474	нужен только	1	1
475	физическое бытие	1	1
476	как от	1	1
477	подобно тому	4	1
478	и по	1	1
479	оказалось бы	1	1
480	– очень	1	1
481	будем говорить	1	1
482	именно это	1	1
483	в подробности	1	1
484	что почти	1	1
485	мы его	1	1
486	же не	1	1
487	значение в	1	1
488	этого мы	1	1
489	или если	1	1
490	ней нет	1	1
491	это не	5	1
492	которая как	1	1
493	– исключительно	1	1
494	истории и	2	1
495	и тем	3	1
496	как специфической	2	1
497	психологизма и	1	1
498	говорить в	1	1
499	двух сфер	1	1
500	но уже	3	1
501	она и	1	1
502	с тем	5	1
503	и вся	1	1
504	со своими	1	1
505	мы видели	1	1
506	между собою	6	1
507	идеализм и	1	1
508	и целое	1	1
509	то с	3	1
510	психики а	1	1
511	и различие	1	1
512	в один	1	1
513	нисколько не	4	1
514	сможет понять	2	1
515	понимается и	1	1
516	в окружающей	1	1
517	или менее	1	1
518	если и	1	1
519	и мышления	1	1
520	общение это	1	1
521	– общение	1	1
522	уже к	1	1
523	представить себе	1	1
524	почти не	1	1
525	бы к	1	1
526	знает и	2	1
527	современность и	1	1
528	действительность которая	1	1
529	или вернее	1	1
530	что я	24	1
531	от его	2	1
532	для всякого	2	1
533	– только	4	1
534	оно должно	1	1
535	втором случае	1	1
536	образом и	1	1
537	более подробном	1	1
538	это чрезвычайно	1	1
539	вот эту	1	1
540	оно само	1	1
541	что есть	5	1
542	чистом виде	1	1
543	в меру	1	1
544	с необычайной	1	1
545	тем самым	1	1
546	оно понимает	1	1
547	есть прежде	2	1
548	она могла	2	1
549	мышления и	1	1
550	тогда когда	5	1
551	чтобы стать	1	1
552	ничего что	1	1
553	о них	1	1
554	из их	1	1
555	проблема в	1	1
556	может только	1	1
557	он с	1	1
558	на эти	1	1
559	расцвета и	1	1
560	философ и	1	1
561	его от	1	1
562	и всегда	1	1
563	в разных	4	1
564	в самой	2	1
565	этих двух	2	1
566	или как	2	1
567	нее нет	1	1
568	действительность а	2	1
569	случае –	1	1
570	к ней	2	1
571	по своей	2	1
572	потому что	16	1
573	и по-своему	1	1
574	ничто не	2	1
575	то этот	1	1
576	свет и	1	1
577	же по	1	1
578	ее понимает	2	1
579	становящееся бытие	1	1
580	с другом	1	1
581	исходить из	1	1
582	моей психики	1	1
583	стороны и	2	1
584	как всякое	1	1
585	в духе	1	1
586	направлении –	1	1
587	себя свое	2	1
588	как только	4	1
589	отличается от	7	1
590	как изменение	1	1
591	той или	2	1
592	а можно	1	1
593	бы это	1	1
594	деле в	1	1
595	несет с	1	1
596	существует только	1	1
597	вещь но	6	1
598	в применении	1	1
599	это мышление	2	1
600	из всего	1	1
601	что данное	1	1
602	еще почти	1	1
603	что всякая	1	1
604	в особенности	1	1
605	только не	2	1
606	уже с	1	1
607	только то	2	1
608	приводит к	1	1
609	и совершенно	1	1
610	природе своей	1	1
611	что человеческий	1	1
612	внешний знак	1	1
613	вещи и	20	1
614	времени и	1	1
615	это вовсе	2	1
616	по природе	1	1
617	– совершенно	3	1
618	без внутреннего	1	1
619	можно только	4	1
620	имеется в	1	1
621	строго говоря	1	1
622	для этого	4	1
623	что осмысливает	1	1
624	это внутреннее	1	1
625	с человеком	1	1
626	воли и	1	1
627	может в	2	1
628	о нем	1	1
629	психики не	1	1
630	же необходимо	1	1
631	так оно	2	1
632	слово и	4	1
633	и что	15	1
634	находятся в	1	1
635	как наиболее	1	1
636	и объяснить	1	1
637	этого общения	1	1
638	основе своей	2	1
639	нет это	2	1
640	субъекта но	1	1
641	к нему	1	1
642	или –	1	1
643	но слишком	1	1
644	говорить об	1	1
645	взятая сама	1	1
646	жизни –	1	1
647	во всей	1	1
648	них в	1	1
649	устойчивый и	1	1
650	пр но	1	1
651	а его	1	1
652	знания и	1	1
653	познания в	1	1
654	один момент	1	1
655	этих вопросов	1	1
656	всякого познания	1	1
657	оно и	4	1
658	или ничем	1	1
659	целое в	1	1
660	философии и	1	1
661	мы видим	2	1
662	речи о	1	1
663	с ними	3	1
664	но ни	1	1
665	они –	2	1
666	поэтому и	1	1
667	этого реального	1	1
668	бы ни	2	1
669	языка у	1	1
670	эту действительность	1	1
671	тот или	1	1
672	с одной	3	1
673	без этого	2	1
674	ее понимают	1	1
675	так что	5	1
676	собою все	1	1
677	можно выразить	1	1
678	уже не	9	1
679	вещь это	1	1
680	уже в	1	1
681	внутреннего –	1	1
682	мы получим	2	1
683	получили в	1	1
684	существования и	3	1
685	– которая	1	1
686	при помощи	2	1
687	конечно нет	2	1
688	области в	1	1
689	ту или	2	1
690	пр –	1	1
691	слова в	2	1
692	в одном	2	1
693	сами по	3	1
694	вещи или	3	1
695	той которая	1	1
696	оно –	3	1
697	не о	1	1
698	ту сторону	1	1
699	относясь к	1	1
700	но что	2	1
701	чтобы осуществить	1	1
702	само по	1	1
703	бы достаточна	1	1
704	какова его	1	1
705	нее не	1	1
706	мы возьмем	2	1
707	общение в	1	1
708	понимание в	2	1
709	зрения этого	1	1
710	одной стороны	3	1
711	со стороны	5	1
712	– одна	1	1
713	на ее	3	1
714	эти две	4	1
715	как данная	1	1
716	все равно	2	1
717	и самая	1	1
718	и быть	1	1
719	еще и	8	1
720	тому как	4	1
721	мы еще	2	1
722	– по	2	1
723	смысле и	1	1
724	себя и	4	1
725	предмета но	1	1
726	вещь и	14	1
727	психика и	1	1
728	превращается в	1	1
729	социального бытия	1	1
730	других явлений	1	1
731	представителя и	1	1
732	она является	3	1
733	принадлежит не	1	1
734	бы ее	1	1
735	основных и	1	1
736	о чем	1	1
737	него не	1	1
738	что мы	14	1
739	ее внутренних	1	1
740	его как	1	1
741	в абстракции	1	1
742	входить в	1	1
743	слово слово	1	1
744	все основные	1	1
745	границы между	1	1
746	как это	2	1
747	результате мы	1	1
748	но не	5	1
749	различения и	1	1
750	перейти в	1	1
751	их к	1	1
752	же самый	1	1
753	в моей	1	1
754	необходимо исходить	1	1
755	нами четыре	1	1
756	если оно	4	1
757	а если	1	1
758	она есть	8	1
759	в той	3	1
760	применении к	2	1
761	и объективная	1	1
762	быть только	3	1
763	по существу	2	1
764	друг с	1	1
765	значит что	24	1
766	это значит	24	1
767	лежит в	1	1
768	быть не	4	1
769	есть и	4	1
770	ли не	1	1
771	эти вопросы	1	1
772	– мы	2	1
773	все одинаково	1	1
774	между прочим	3	1
775	чем та	1	1
776	вещь а	1	1
777	является как	1	1
778	в наше	1	1
779	отсюда что	1	1
780	в более	1	1
781	вопрос в	1	1
782	только мы	2	1
783	отвечает на	1	1
784	на почву	1	1
785	и может	2	1
786	изменения в	1	1
787	такое понимание	1	1
788	привело бы	1	1
789	есть система	1	1
790	у них	1	1
791	вещи является	1	1
792	только с	3	1
793	ведь есть	1	1
794	и необходимо	2	1
795	есть понимание	3	1
796	бы на	1	1
797	и другие	1	1
798	мы переходим	1	1
799	кроме самого	1	1
800	всякий смысл	1	1
801	в моем	1	1
802	с ней	2	1
803	может ведь	1	1
804	состоит из	1	1
805	была бы	2	1
806	равно как	2	1
807	и так	1	1
808	по философии	1	1
809	но этот	1	1
810	же мы	1	1
811	субъективизма и	1	1
812	оформления и	1	1
813	ее в	1	1
814	действительности или	1	1
815	нас не	1	1
816	можно назвать	1	1
817	и законченной	1	1
818	этой точки	1	1
819	гораздо более	1	1
820	которая не	1	1
