N	2gram	Savitsky_P_1	Formalny
191	от этой	1	1
192	с утверждением	1	1
193	и через	1	1
194	связана с	1	1
195	и без	3	1
196	нового не	1	1
197	собственном смысле	1	1
198	от истины	1	1
199	поэзии и	1	1
200	есть не	2	1
201	и само	1	1
202	что если	1	1
203	этом не	1	1
204	не вполне	1	1
205	почти исключительно	1	1
206	конечно и	1	1
207	которое в	2	1
208	работы в	1	1
209	время в	2	1
210	в различных	1	1
211	различия между	1	1
212	прошлого не	1	1
213	с трудом	1	1
214	в противоречии	1	1
215	в эти	1	1
216	и достоевский	1	1
217	что во	1	1
218	в своем	4	1
219	и где	1	1
220	и есть	2	1
221	более или	1	1
222	тяготеет к	1	1
223	духа в	1	1
224	можно сопоставлять	1	1
225	чуть ли	1	1
226	думать что	2	1
227	отчасти и	1	1
228	и резко	2	1
229	разрешения в	1	1
230	на то	1	1
231	если он	1	1
232	но на	1	1
233	не могла	1	1
234	взятые в	1	1
235	связанные с	1	1
236	и еще	1	1
237	эта основная	1	1
238	какой бы	1	1
239	и укрепить	2	1
240	попытка истолковать	1	1
241	из утраты	1	1
242	с формами	1	1
243	тем в	1	1
244	в определенном	1	1
245	чем шире	1	1
246	не об	1	1
247	в виде	2	1
248	сущности не	1	1
249	полноте и	1	1
250	например с	1	1
251	в них	2	1
252	были в	1	1
253	явления которые	1	1
254	в данном	1	1
255	ведет к	1	1
256	вячеслав иванов	1	1
257	на территории	1	1
258	этой области	1	1
259	или менее	1	1
260	в эту	2	1
261	отрыве от	1	1
262	и при	1	1
263	выработанные в	1	1
264	уже несколько	1	1
265	знаем что	1	1
266	что уже	1	1
267	вопрос о	1	1
268	эта не	1	1
269	не будем	2	1
270	творчества и	2	1
271	в россии	3	1
272	друг другу	2	1
273	значения но	1	1
274	и вся	1	1
275	было с	1	1
276	не менее	2	1
277	иной раз	1	1
278	и притом	1	1
279	могут дать	1	1
280	и именно	1	1
281	тем чем	1	1
282	два различных	1	1
283	в русском	2	1
284	далеко не	1	1
285	чисто внешних	1	1
286	многие из	1	1
287	относиться к	1	1
288	можно думать	1	1
289	ли не	1	1
290	в каждом	1	1
291	подчеркнуть что	1	1
292	должен быть	1	1
293	в собственном	1	1
294	только то	1	1
295	с собой	1	1
296	чтобы дать	1	1
297	и признаки	1	1
298	те же	1	1
299	ясно что	1	1
300	как таковую	1	1
301	когда в	1	1
302	ней и	1	1
303	единственно и	1	1
304	стремление к	1	1
305	в порядке	3	1
306	вопроса и	1	1
307	настоящее время	1	1
308	с одной	3	1
309	что его	1	1
310	вопросу о	1	1
311	реальность в	1	1
312	и мы	2	1
313	оставаясь в	1	1
314	существенно и	1	1
315	в современной	1	1
316	в отрыве	1	1
317	представляют собою	1	1
318	тот же	3	1
319	сфер и	1	1
320	в себе	3	1
321	их не	1	1
322	жить и	1	1
323	есть проблема	1	1
324	связывается с	1	1
325	г и	2	1
326	и должна	1	1
327	богов и	1	1
328	к ним	1	1
329	мы возьмем	1	1
330	других же	1	1
331	без того	1	1
332	точек зрения	2	1
333	в природе	1	1
334	из тех	1	1
335	различных формах	1	1
336	поскольку она	1	1
337	положительное содержание	1	1
338	на этих	2	1
339	что из	2	1
340	все основные	1	1
341	так же	1	1
342	одной стороны	3	1
343	в сборнике	1	1
344	эта проблема	1	1
345	сделана попытка	1	1
346	да и	2	1
347	образом на	2	1
348	в условиях	1	1
349	но для	1	1
350	в смысле	6	1
351	в настоящее	1	1
352	чтобы понять	1	1
353	пр в	1	1
354	для нас	2	1
355	как явление	1	1
356	мы должны	4	1
357	к историческому	1	1
358	же в	4	1
359	гоголь и	1	1
360	отношением к	1	1
361	только как	1	1
362	является и	1	1
363	в трех	1	1
364	в каком	1	1
365	ли они	1	1
366	как на	2	1
367	русской литературы	1	1
368	и особенно	1	1
369	гораздо более	1	1
