1	и т	20	39
538	ее не	1	1
539	говорит об	1	1
540	и к	1	1
541	и уже	1	1
542	в китае	1	1
543	примеров можно	3	1
544	не так	1	1
545	можно привести	1	1
546	здесь уже	1	1
547	можно наблюдать	3	1
548	именно на	2	1
549	имеет отношение	1	1
550	или иной	1	1
551	и следует	1	1
552	чем речь	1	1
553	идет по	1	1
554	я был	1	1
555	они в	1	1
556	то он	1	1
557	с проблемой	1	1
558	все еще	4	1
559	в себя	3	1
560	относится к	1	1
561	тогда когда	2	1
562	это неверно	2	1
563	и как	3	1
564	который делает	1	1
565	свидетельствует о	1	1
566	просится в	1	1
567	в целом	3	1
568	он должен	1	1
569	гораздо чаще	1	1
570	но те	1	1
571	на почве	1	1
572	сих пор	2	1
573	еще один	2	1
574	прочную базу	1	1
575	борьбы с	1	1
576	что как	1	1
577	по которым	2	1
578	тогда в	1	1
579	и при	2	1
580	значит что	2	1
581	по всей	1	1
582	обе эти	1	1
583	традиции в	1	1
584	к тем	1	1
585	е в	3	1
586	то время	1	1
587	с самого	1	1
588	жива и	1	1
589	показывают что	3	1
590	в поэме	1	1
591	базу для	1	1
592	мог бы	1	1
593	мы не	5	1
594	все вместе	2	1
595	где и	1	1
596	имеем здесь	2	1
597	видели в	1	1
598	вообще с	1	1
599	это мы	1	1
600	понимать язык	2	1
601	что собственно	1	1
602	это естественно	1	1
603	во избежание	1	1
604	также то	1	1
605	на вопрос	1	1
606	на месте	1	1
607	о том	7	1
608	приходит к	1	1
609	одна из	2	1
610	есть первая	1	1
611	в каких	1	1
612	в очень	1	1
613	на основе	1	1
614	мы и	2	1
615	имени он	1	1
616	только после	3	1
617	и раньше	1	1
618	под тем	1	1
619	по отношению	2	1
620	до его	2	1
621	такого рода	1	1
622	в руки	1	1
623	что два	1	1
624	я думаю	1	1
625	этому же	1	1
626	из ряда	1	1
627	в этих	6	1
628	но как	1	1
629	тем это	2	1
630	не при	1	1
631	не сам	1	1
632	каким же	1	1
633	что есть	1	1
634	ту пору	1	1
635	в одно	2	1
636	и только	1	1
637	основной вывод	1	1
638	типична для	1	1
639	знает почему	1	1
640	и некоторые	1	1
