N	2gram	Tiupa_Teor_1	Formalny
166	или иного	3	3
167	в художественном	3	3
168	этого слова	3	3
169	каждой из	1	3
170	более того	1	3
171	с помощью	1	3
172	между ними	4	3
173	исторической поэтики	1	3
174	от всех	1	3
175	что он	1	3
176	изобразительных искусств	1	3
177	же как	1	2
178	чтобы не	1	2
179	и это	2	2
180	в химическом	1	2
181	в году	1	2
182	вопрос о	1	2
183	единство и	1	2
184	но напротив	2	2
185	во внешнем	1	2
186	а только	3	2
187	для других	1	2
188	друг от	1	2
189	за пределы	2	2
190	идет о	1	2
191	в действительности	1	2
192	в произведении	3	2
193	в литературном	1	2
194	он в	1	2
195	в нашем	4	2
196	с художественной	3	2
197	и те	1	2
198	не могла	1	2
199	на его	1	2
200	к миру	1	2
201	и вот	3	2
202	из виду	1	2
203	и более	1	2
204	ни были	1	2
205	о мире	1	2
206	могла бы	2	2
207	европейского искусства	1	2
208	того или	3	2
209	это не	2	2
210	начала и	1	2
211	ни в	2	2
212	с тем	1	2
213	жизни но	2	2
214	таким же	1	2
215	значение для	1	2
216	роман и	2	2
217	бы быть	1	2
218	виду что	1	2
219	только не	2	2
220	жизни не	1	2
221	в самой	2	2
222	на языке	2	2
223	и является	2	2
224	настоящего времени	1	2
225	и заключается	1	2
226	еще одна	1	2
227	его с	1	2
228	вещей в	1	2
229	значения и	2	2
230	от друга	1	2
231	или для	1	2
232	приводит к	5	2
233	на нее	1	2
234	произведение искусства	5	2
235	не с	3	2
236	каждого из	1	2
237	на их	1	2
238	и что	3	2
239	к действительности	3	2
240	между тем	5	2
241	что и	2	2
242	во всей	1	2
243	соединении с	2	2
244	в другой	1	2
245	не сводится	4	2
246	ее к	1	2
247	связей с	1	2
248	только в	6	2
249	литература как	1	2
250	жизненного переживания	1	2
251	уже не	4	2
252	если мы	2	2
253	большинстве случаев	1	2
254	в душе	8	2
255	в одном	2	2
256	как раз	2	2
257	лишь для	1	2
258	его исторического	1	2
259	различных художественных	1	2
260	и глубже	1	2
261	или иначе	5	2
262	сама по	1	2
263	не на	2	2
264	была бы	3	2
265	мира в	1	2
266	художественного целого	4	2
267	вместе с	2	2
268	и особенно	2	2
269	литературы но	1	2
270	целом ряде	1	2
271	по существу	1	2
272	в ряду	1	2
273	химическом соединении	1	2
274	к которому	3	2
275	искусства как	2	2
276	в результате	1	2
277	художественного восприятия	1	2
278	места в	1	2
279	ни было	1	2
280	в своих	1	2
281	отношении к	2	2
282	тот или	2	2
283	жизни в	2	2
284	одной из	2	2
285	но эта	1	2
286	в системе	1	2
287	а между	1	1
288	ту же	1	1
289	можно говорить	1	1
290	также и	1	1
291	например в	1	1
292	для построения	1	1
293	как целому	1	1
294	начинается с	1	1
295	связи между	1	1
296	или к	1	1
297	между всеми	1	1
298	между двумя	3	1
299	в первом	2	1
300	и чрезвычайно	1	1
301	по преимуществу	4	1
302	также что	1	1
303	из его	1	1
304	художественную значимость	2	1
305	той же	1	1
306	со всех	1	1
307	на первом	1	1
308	не во	1	1
309	смысле можно	1	1
310	место лишь	1	1
311	содержания в	1	1
312	этот эффект	1	1
313	целого это	1	1
314	всех без	3	1
315	это отношение	3	1
316	в составе	1	1
317	в каждой	1	1
318	всех сторон	1	1
319	художественном языке	2	1
320	действительности иногда	1	1
321	в чем	1	1
322	является таким	1	1
323	и осмысленного	1	1
324	тем как	1	1
325	это бывает	1	1
326	чем это	2	1
327	совсем не	1	1
328	в данном	8	1
329	не входит	1	1
330	тогда как	15	1
331	а через	1	1
332	или иное	1	1
333	к третьему	1	1
334	и соответствующих	1	1
335	перед нами	2	1
336	глубже чем	1	1
337	хотя и	3	1
338	реальной действительности	1	1
339	бытию и	1	1
340	узнают себя	1	1
341	в точке	2	1
342	что произведение	1	1
343	то в	2	1
344	в условиях	1	1
345	и конечно	1	1
346	оказаться не	1	1
347	так или	4	1
348	литературы они	1	1
349	из этих	3	1
350	и принципиальной	1	1
351	так в	4	1
352	с их	2	1
353	на то	1	1
354	противном случае	1	1
355	к искусству	1	1
356	не следует	4	1
357	в статье	1	1
358	тем не	3	1
359	в первой	5	1
360	какова например	1	1
361	свою собственную	1	1
362	принцип эстетического	1	1
363	состоит в	17	1
364	к одному	1	1
365	внутренней речи	13	1
366	стилями других	1	1
367	и по	2	1
368	на этом	1	1
369	рефлексии и	1	1
370	ним на	1	1
371	или иных	3	1
372	определить и	1	1
373	и категорий	1	1
374	заключается в	2	1
375	восприятия в	1	1
376	время и	1	1
377	же об	1	1
378	этом смысле	2	1
379	должен был	1	1
380	и тем	3	1
381	в итоге	2	1
382	только одно	1	1
383	искусства только	1	1
384	нет в	1	1
385	она и	1	1
386	далеко не	2	1
387	в контексте	3	1
388	нигде не	1	1
389	к значению	1	1
390	искусства может	1	1
391	в этих	3	1
392	и другие	2	1
393	художественного творчества	1	1
394	в такой	1	1
395	не становится	1	1
396	не столько	1	1
397	большей степени	1	1
398	как совокупность	1	1
399	в отличие	6	1
400	как музыка	1	1
401	своего рода	7	1
402	до последнего	1	1
403	от его	1	1
404	нового содержания	1	1
405	в силу	1	1
406	новых форм	1	1
407	этих моментов	1	1
408	но он	3	1
409	друг другу	1	1
410	не должно	1	1
411	не знает	3	1
412	и вся	1	1
413	тому что	2	1
414	ее непосредственным	1	1
415	этом не	1	1
416	случае в	1	1
417	в русской	6	1
418	мышления и	2	1
419	на котором	1	1
420	если в	2	1
421	и притом	2	1
422	и сама	1	1
423	в центр	1	1
424	без остатка	2	1
425	говорить о	3	1
426	облекается в	2	1
427	того чтобы	1	1
428	та или	1	1
429	в структуре	2	1
430	художественной деятельности	1	1
431	значимости своего	1	1
432	и без	1	1
433	на себя	2	1
434	или иная	1	1
435	в русском	1	1
436	своей природе	2	1
437	по своей	3	1
438	жизни как	4	1
439	чтобы этот	1	1
440	мире и	2	1
441	потому что	3	1
442	не принадлежит	2	1
443	на которой	1	1
444	без исключения	4	1
445	однако это	1	1
446	все то	1	1
447	знаковом материале	1	1
448	не могут	2	1
449	могут быть	4	1
450	единства в	1	1
451	числе и	1	1
452	этом они	1	1
453	наиболее существенным	1	1
454	именно эту	1	1
455	и о	4	1
456	самого процесса	1	1
457	начало нового	1	1
458	как один	1	1
459	ни одно	1	1
460	данном случае	5	1
461	тем это	1	1
462	на произведение	1	1
463	роль в	2	1
464	и иные	1	1
465	однако эта	2	1
466	мог бы	3	1
467	осуществляется в	1	1
468	художественной идеологемой	1	1
469	что от	1	1
470	это своеобразие	1	1
471	и делают	1	1
472	в словах	1	1
473	мире в	1	1
474	о ней	2	1
475	в другом	3	1
476	на всех	1	1
477	что каждый	2	1
478	одного из	1	1
479	в поэтической	1	1
480	можно сказать	3	1
481	в бытии	1	1
482	а также	6	1
483	второй половины	1	1
484	на отдельные	1	1
485	эти два	1	1
486	сама литература	1	1
487	в форме	2	1
488	искусства это	2	1
489	вслед за	2	1
490	как художественное	2	1
491	в художественной	1	1
492	во внутренней	2	1
493	не тот	1	1
494	к нему	1	1
495	в двух	1	1
496	значений и	1	1
497	мы видим	1	1
498	от всего	1	1
499	в состав	6	1
500	могло быть	2	1
501	к нашему	2	1
502	о художественном	1	1
503	внутренняя форма	1	1
504	смысле не	1	1
505	который в	2	1
506	данного художественного	1	1
507	между этими	1	1
508	картины как	1	1
509	с которыми	1	1
510	так что	1	1
511	из которого	3	1
512	для всех	1	1
513	и своеобразие	1	1
514	в сторону	1	1
515	к какому-нибудь	1	1
516	себя в	6	1
517	слова в	2	1
518	поэтики как	1	1
519	чем с	1	1
520	конкретном целом	1	1
521	или даже	4	1
522	значение ни	1	1
523	из них	1	1
524	к особенностям	1	1
525	никто не	2	1
526	представить себе	1	1
527	были они	1	1
528	у нее	1	1
529	с этими	1	1
530	так как	1	1
531	у него	1	1
532	и несет	1	1
533	отличие от	6	1
534	и конкретном	1	1
535	со стилями	1	1
536	но из	1	1
537	имеет значение	1	1
538	нашем примере	1	1
539	не оказывается	1	1
540	или иной	4	1
541	как у	1	1
542	на ее	1	1
543	что они	1	1
544	а именно	2	1
545	в следующих	1	1
546	этого значения	1	1
547	завершенность и	1	1
548	такого понимания	1	1
549	во второй	7	1
550	а с	3	1
551	что не	1	1
552	что для	1	1
553	и политического	1	1
554	смысла и	1	1
555	полагал что	1	1
556	а на	3	1
557	к своему	1	1
558	однако и	1	1
559	весь его	1	1
560	одну из	1	1
561	в слове	3	1
562	и исторической	1	1
563	могут изучаться	1	1
564	не мыслится	1	1
565	теоретической и	1	1
566	чем глубже	1	1
567	разрыв между	1	1
568	нее как	1	1
569	к его	2	1
570	целом здесь	1	1
571	о различных	1	1
572	внешнем мире	1	1
573	непосредственно от	1	1
574	жизни а	1	1
575	требует от	1	1
576	для искусства	2	1
577	по своему	2	1
578	другу и	1	1
579	внехудожественной действительности	1	1
580	по поводу	1	1
581	художественное целое	2	1
582	конструкции если	1	1
583	в той	2	1
584	организации произведения	1	1
585	деятельность не	1	1
586	впервые в	1	1
587	дело здесь	1	1
588	в это	1	1
589	с бытием	1	1
590	строфе в	1	1
591	в противном	1	1
592	между собой	3	1
593	литературе в	1	1
594	тех или	3	1
595	в более	1	1
596	не является	4	1
597	ее законов	1	1
598	и для	2	1
599	не подлежит	1	1
600	или в	3	1
601	мира и	1	1
602	том что	9	1
603	это уже	1	1
604	особого рода	2	1
605	в литературной	1	1
606	тем более	1	1
607	не будучи	1	1
608	в совокупности	1	1
609	ни к	3	1
610	пришлось бы	1	1
611	зрения в	1	1
612	всю полноту	1	1
613	не утрачивает	1	1
614	как основная	1	1
615	от ее	1	1
616	а о	1	1
617	с ней	1	1
618	сказать что	3	1
619	культуры как	1	1
620	другой стороны	5	1
621	и роман	1	1
622	совершенно не	1	1
623	для некоторых	1	1
624	о себе	2	1
625	перевод с	1	1
626	одновременно и	1	1
627	из этого	1	1
628	самом начале	2	1
629	если она	1	1
630	и состоит	1	1
631	ее в	2	1
632	том числе	2	1
