N	2gram	Propp_Russ_1	Sovremen
210	на какое-нибудь	1	1
211	один из	8	1
212	кроме того	1	1
213	в западной	2	1
214	с понятием	1	1
215	увидим что	1	1
216	только в	4	1
217	в этот	10	1
218	он уже	1	1
219	может признать	1	1
220	не приходится	1	1
221	та же	2	1
222	к другому	2	1
223	одни и	1	1
224	наших целей	2	1
225	этот вопрос	2	1
226	и у	5	1
227	западной европе	2	1
228	и те	3	1
229	в большинстве	2	1
230	только на	3	1
231	в начале	1	1
232	объяснения и	1	1
233	он не	1	1
234	его и	2	1
235	носят название	2	1
236	и их	4	1
237	по существу	4	1
238	где это	1	1
239	для них	3	1
240	из одной	1	1
241	но что	2	1
242	не случайно	2	1
243	случае не	1	1
244	много и	3	1
245	объяснение этого	1	1
246	по его	1	1
247	в очень	1	1
248	а затем	1	1
249	из приведенных	3	1
250	в совершенно	1	1
251	чем в	2	1
252	как у	1	1
253	них извне	1	1
254	они короче	1	1
255	уже знаем	1	1
256	должен был	1	1
257	весь мир	1	1
258	такое же	2	1
259	цель и	1	1
260	его с	4	1
261	только одно	1	1
262	ни в	1	1
263	от другого	1	1
264	нет в	1	1
265	не было	2	1
266	указывалось на	1	1
267	на которых	1	1
268	одна и	1	1
269	несмотря на	3	1
270	оно имеет	1	1
271	объяснений в	1	1
272	и следовательно	1	1
273	их на	4	1
274	всецело и	1	1
275	в связи	4	1
276	том что	19	1
277	нет никаких	1	1
278	этом случае	5	1
279	но если	1	1
280	и при	1	1
281	таким же	3	1
282	так же	3	1
283	что дело	1	1
284	она в	3	1
285	в первый	4	1
286	представление о	3	1
287	направление в	1	1
288	в область	1	1
289	в данном	1	1
290	в течение	5	1
291	но эта	1	1
292	которые в	1	1
293	такую же	1	1
294	образом из	1	1
295	и более	2	1
296	так называемое	1	1
297	там где	2	1
298	должны признать	1	1
299	общего не	1	1
300	xix в	13	1
301	в своем	3	1
302	в древней	2	1
303	только о	1	1
304	как например	3	1
305	постройку в	1	1
306	но они	3	1
307	с ним	2	1
308	она не	2	1
309	но для	1	1
310	для каждого	1	1
311	не имеет	6	1
312	дело в	1	1
313	случае он	1	1
314	и проследим	1	1
315	не является	1	1
316	уже на	1	1
317	вытекает из	1	1
318	или в	2	1
319	все свои	1	1
320	затем идет	1	1
321	и всегда	1	1
322	это как	1	1
323	хотя и	2	1
324	в отдельных	1	1
325	только из	1	1
326	или нет	1	1
327	не более	1	1
328	видим что	1	1
329	жизни как	1	1
330	и его	1	1
331	что следовательно	1	1
332	связи с	4	1
333	на такой	1	1
334	же в	1	1
335	так называемый	2	1
336	но это	4	1
337	на которой	1	1
338	в о	1	1
339	и из	3	1
340	между ними	1	1
341	от общего	1	1
342	не знает	1	1
343	сказать что	1	1
344	ни о	1	1
345	и для	2	1
346	но можно	1	1
347	в духе	1	1
348	не что	2	1
349	в то	1	1
350	что наш	1	1
351	в заключение	1	1
352	в какой	2	1
353	в своих	2	1
354	объяснение их	1	1
355	все что	1	1
356	они не	1	1
357	ничего общего	2	1
