N	2gram	Vinokur_St_2	Morfolog
330	вместо того	1	1
331	где нет	2	1
332	ответ на	1	1
333	такое же	2	1
334	были бы	1	1
335	всего и	1	1
336	№ за	1	1
337	и была	2	1
338	видели выше	1	1
339	в виду	7	1
340	они должны	1	1
341	что же	1	1
342	ничем не	1	1
343	материал но	1	1
344	прочим и	1	1
345	все известные	1	1
346	превращаясь в	1	1
347	зависеть от	1	1
348	его жизнь	1	1
349	отношение к	1	1
350	с третьим	1	1
351	например в	3	1
352	самый страшный	1	1
353	что касается	1	1
354	и некоторые	1	1
355	во всяком	3	1
356	между ними	1	1
357	иметь в	3	1
358	результатом этого	1	1
359	как не	1	1
360	кажется что	3	1
361	было указано	1	1
362	в таком	1	1
363	и которая	1	1
364	быть не	1	1
365	связанное с	1	1
366	здесь нет	1	1
367	имеет ничего	1	1
368	к тому	10	1
369	к ней	1	1
370	более чем	1	1
371	на это	2	1
372	в его	13	1
373	что с	2	1
374	и очень	1	1
375	на все	1	1
376	в россии	3	1
377	очень велико	1	1
378	средство для	1	1
379	слова а	1	1
380	указано что	1	1
381	остается невыясненным	1	1
382	в совершенно	1	1
383	действующего лица	2	1
384	до сих	6	1
385	на тот	2	1
386	нельзя ли	1	1
387	которую он	2	1
388	из этих	1	1
389	формальных приемов	1	1
390	а н	1	1
391	что при	1	1
392	частью в	1	1
393	у нас	3	1
394	но как	1	1
395	приводит в	1	1
396	не на	2	1
397	которые он	1	1
398	то ни	2	1
399	г в	5	1
400	другие это	1	1
401	с этой	2	1
402	отвечает на	1	1
403	принадлежат к	1	1
404	однако что	1	1
405	в течение	6	1
406	не то	3	1
407	до его	1	1
408	остановиться на	1	1
409	но к	1	1
410	во второй	1	1
411	еще несколько	1	1
412	был совершенно	1	1
413	даны в	2	1
414	точности соответствует	1	1
415	в одной	2	1
416	в открытом	1	1
417	отличие от	2	1
418	на первом	2	1
419	во дворце	1	1
420	на основании	1	1
421	к другу	1	1
422	сюда относится	1	1
423	он был	2	1
424	предметы из	1	1
425	и даже	3	1
426	не столько	7	1
427	это делает	1	1
428	становится понятным	1	1
429	о чем	5	1
430	их и	1	1
431	все содержание	1	1
432	при этом	2	1
433	у которого	1	1
434	в ф	1	1
435	из пяти	1	1
436	не вполне	1	1
437	в основе	1	1
438	могло бы	1	1
439	в каждом	1	1
440	со стороны	2	1
441	очень большое	2	1
442	без всякого	1	1
443	по своему	2	1
444	в наши	1	1
445	с ними	1	1
446	но оно	1	1
447	и тем	1	1
448	которой все	1	1
449	здесь этот	1	1
450	не будет	1	1
451	из нее	3	1
452	всяком случае	3	1
453	у него	1	1
454	формы в	1	1
455	к другому	1	1
456	него самого	2	1
457	нет в	1	1
458	на разные	1	1
459	именно в	4	1
460	на которых	1	1
461	того как	7	1
462	формы но	1	1
463	раза в	1	1
464	не дают	1	1
465	силу и	1	1
466	то для	1	1
467	хотя эти	1	1
468	в момент	1	1
469	выше было	1	1
470	после получения	1	1
471	ряду с	1	1
472	она не	1	1
473	очень широко	1	1
474	этому соответствует	1	1
475	тому что	7	1
476	что за	2	1
477	с большой	1	1
478	вот как	1	1
479	у кого	1	1
480	не совсем	1	1
481	в числе	2	1
482	еще раз	1	1
483	подходит под	1	1
484	в лице	1	1
485	такую же	1	1
486	роль в	1	1
487	действия но	1	1
488	о тех	1	1
489	имеют и	1	1
490	же касается	1	1
491	в ряду	1	1
492	к первому	2	1
493	нет не	1	1
494	о себе	1	1
495	не зная	1	1
496	этих двух	1	1
497	на вопрос	3	1
498	самого начала	3	1
499	все они	1	1
500	с самого	3	1
501	на отношения	1	1
502	ее из	1	1
503	очень высоко	1	1
504	брат и	1	1
505	говорит что	1	1
506	на этот	2	1
507	его не	3	1
508	все это	11	1
509	которые не	3	1
510	борьбы с	3	1
511	но кроме	1	1
512	который в	1	1
513	что она	1	1
514	и то	1	1
515	говорил об	1	1
516	повод для	1	1
517	сравним далее	1	1
518	как будто	1	1
519	только на	1	1
520	что ему	3	1
521	и отдельные	1	1
522	старшего поколения	1	1
523	ответить на	1	1
524	характера и	1	1
525	мысль о	1	1
526	и представляют	1	1
527	еще в	2	1
528	свою собственную	1	1
529	вообще не	3	1
530	в данном	2	1
531	к своей	1	1
