N	2gram	Nazirov_Tr_1	Otkroven
127	с тем	2	2
128	личности и	2	2
129	должно быть	3	2
130	достоевского но	1	2
131	том что	4	2
132	ко всем	1	2
133	достоевский всегда	1	2
134	не могли	1	2
135	не имеет	2	2
136	чувствуется что	1	2
137	любовь к	1	2
138	самое главное	1	2
139	ничего не	2	2
140	к ней	1	2
141	не есть	1	2
142	жизни в	1	2
143	иван карамазов	1	2
144	ума и	1	2
145	в своей	1	2
146	что все	2	2
147	мертвого дома	2	2
148	к этой	1	2
149	но в	6	2
150	злом в	1	2
151	это глубоко	1	1
152	боль и	1	1
153	и это	2	1
154	другом разговоре	1	1
155	например в	1	1
156	с образом	1	1
157	чтобы не	1	1
158	от самой	1	1
159	в виду	1	1
160	сам по	1	1
161	людей в	1	1
162	с каким	1	1
163	него была	1	1
164	из самых	2	1
165	и до	2	1
166	жизни ее	1	1
167	должна быть	1	1
168	природе своей	1	1
169	можно было	1	1
170	по природе	1	1
171	в борьбе	1	1
172	ту же	1	1
173	по сравнению	1	1
174	в эпоху	1	1
175	ставрогин говорит	1	1
176	с иваном	2	1
177	но может	1	1
178	не вполне	1	1
179	о нем	1	1
180	раскрывает свое	1	1
181	разрушения и	1	1
182	в ней	1	1
183	было до	1	1
184	и что	4	1
185	в глаза	2	1
186	после того	1	1
187	с того	1	1
188	это должно	1	1
189	его ума	1	1
190	раскольникова и	1	1
191	это была	1	1
192	и оскорбленные	9	1
193	самом деле	1	1
194	доходит до	1	1
195	но не	1	1
196	сравнению с	1	1
197	нуждается в	1	1
198	отметить что	1	1
199	говорит он	1	1
200	в форме	1	1
201	и достоевский	1	1
202	все время	1	1
203	и я	2	1
204	в центре	1	1
205	случайно достоевский	1	1
206	как в	3	1
207	своей и	1	1
208	бросается в	2	1
209	человеческая личность	1	1
210	в частности	2	1
211	один из	3	1
212	князь мышкин	2	1
213	его собственная	1	1
214	и как	3	1
215	хочет сделать	1	1
216	дается в	1	1
217	с ними	1	1
218	униженные и	9	1
219	силе и	1	1
220	чего же	1	1
221	то в	1	1
222	поэтому он	1	1
223	который в	2	1
224	бы и	2	1
225	что это	5	1
226	между этими	2	1
227	самой природе	1	1
228	вопрос об	1	1
229	представляет собой	1	1
230	его а	1	1
231	человека с	1	1
232	бесах есть	1	1
233	только один	1	1
234	уже не	2	1
235	вы так	1	1
236	в братьях	1	1
237	что она	2	1
238	достоевский сделал	1	1
239	но от	1	1
240	между достоевским	1	1
241	страстная жажда	1	1
242	чем у	1	1
243	к одному	1	1
244	что нужно	1	1
245	всегда оказывается	1	1
246	в одном	2	1
247	его речь	1	1
248	но достоевский	4	1
249	и сам	3	1
250	так часто	1	1
251	братьях карамазовых	1	1
252	тут нужна	1	1
253	показал что	1	1
254	он раскрывал	1	1
255	бога но	1	1
256	презрение к	4	1
257	же не	1	1
258	да неужто	1	1
259	и даже	4	1
260	как у	2	1
261	заключается в	1	1
262	которым все	1	1
263	в глазах	2	1
264	человек слишком	1	1
265	понял что	1	1
266	совершенно ином	1	1
267	а это	1	1
268	лишь на	1	1
269	петр верховенский	7	1
270	приходит в	1	1
271	к счастью	1	1
272	в это	2	1
273	говорит о	2	1
274	в них	1	1
275	этого слова	1	1
276	достоевский и	1	1
277	к ставрогину	1	1
278	попал в	1	1
279	может ли	1	1
280	на этот	1	1
281	всю жизнь	1	1
282	о чем	3	1
283	ведет к	1	1
284	в мире	3	1
285	под влиянием	2	1
286	он и	2	1
287	я хочу	1	1
288	не так	2	1
289	в гюго	1	1
290	русской литературы	2	1
291	исходит от	1	1
292	его как	1	1
293	как это	3	1
294	эта тема	1	1
295	в котором	1	1
296	человеком и	1	1
297	великого сердца	1	1
298	что говорит	2	1
299	одном из	2	1
300	смысле этого	1	1
301	права на	2	1
302	страха и	1	1
303	над ними	1	1
304	всяком случае	1	1
305	в конце	3	1
306	что сам	1	1
307	открывается в	1	1
308	распадается на	1	1
309	быть не	1	1
310	любви и	2	1
311	и здесь	2	1
312	но это	4	1
313	но у	1	1
314	она не	1	1
315	и зло	1	1
316	того как	1	1
317	одна из	2	1
318	она должна	2	1
319	этими двумя	2	1
320	карамазова в	1	1
321	виду не	1	1
322	он еще	1	1
323	не случайно	2	1
324	творчества достоевского	1	1
325	а что	2	1
326	в отношениях	1	1
327	в силах	2	1
328	это часто	1	1
329	но еще	1	1
330	бы в	1	1
331	говорит в	1	1
332	природу человека	1	1
333	в русском	2	1
334	и женщины	1	1
335	по своей	1	1
336	во всем	1	1
337	вот что	1	1
338	б это	1	1
339	и дело	1	1
340	достоевский в	7	1
341	как будто	3	1
342	еще ничего	1	1
343	достоевским в	2	1
344	перед ним	1	1
345	и эта	1	1
346	не быть	1	1
347	состоит из	2	1
348	совершенно не	1	1
349	ко всему	1	1
350	ставрогина и	3	1
351	его с	1	1
352	в голову	1	1
353	всего что	1	1
354	во всяком	1	1
355	указывает на	1	1
356	был даже	1	1
357	необходимо подчеркнуть	1	1
