N	2gram	Berdyaev_V_1	Freidism
316	совести и	2	1
317	мы все	1	1
318	и было	1	1
319	а его	1	1
320	им не	1	1
321	в мире	5	1
322	соединения с	1	1
323	нет что	1	1
324	в результате	1	1
325	ее и	2	1
326	в лице	1	1
327	что всякий	1	1
328	нет ничего	3	1
329	к человеку	1	1
330	и хотя	1	1
331	в которую	1	1
332	и сам	2	1
333	от них	1	1
334	указать на	1	1
335	теми которые	1	1
336	нас за	2	1
337	и нет	1	1
338	отказавшись от	1	1
339	жизни о	1	1
340	природе его	1	1
341	было для	1	1
342	которые не	2	1
343	таким же	1	1
344	бытия и	1	1
345	уже сказано	1	1
346	и тут	1	1
347	раз и	1	1
348	ли это?	1	1
349	и своего	1	1
350	основанное на	1	1
351	его совести	1	1
352	но от	1	1
353	ненависть к	1	1
354	но нет	1	1
355	она к	1	1
356	это ни	1	1
357	никогда и	1	1
358	и это	2	1
359	мира в	2	1
360	отказ от	1	1
361	после того	1	1
362	на нее	1	1
363	в будущем	1	1
364	свободно и	1	1
365	еще с	1	1
366	и вечно	2	1
367	что во	3	1
368	пути в	1	1
369	помимо их	1	1
370	человека есть	1	1
371	эта новая	1	1
