N	2gram	Nazirov_Tv_1	NovoeSre
111	на протяжении	3	2
112	но не	3	2
113	все время	1	2
114	с этим	1	2
115	xix век	1	2
116	хотя и	3	2
117	каждого человека	1	2
118	но в	7	2
119	который в	3	2
120	погоня за	1	2
121	все эти	1	2
122	с одной	1	2
123	себя в	1	2
124	в себе	2	2
125	уже не	3	2
126	не к	1	2
127	самоутверждения и	1	2
128	у него	7	2
129	люди не	1	2
130	что она	2	2
131	что все	3	2
132	и даже	3	2
133	зависит от	2	2
134	духовной жизни	1	2
135	и было	1	2
136	том что	11	2
137	всемирной истории	1	2
138	вместе с	2	2
139	так же	3	2
140	свои права	1	2
141	место в	3	2
142	мысли и	4	2
143	одной стороны	1	2
144	центр тяжести	1	2
145	другой стороны	1	2
146	если нет	1	2
147	как будто	5	2
148	свободы в	1	2
149	как это	1	2
150	такой же	2	2
151	равно как	1	2
152	в смысле	1	2
153	в то	15	2
154	одна из	2	2
155	в мировой	1	2
156	и от	4	2
157	человека во	1	2
158	приближаемся к	1	2
159	в русском	1	2
160	хотя бы	5	2
161	все они	1	2
162	а в	6	2
163	ли это	1	2
164	свободы от	1	2
165	могут быть	2	2
166	свободы и	2	2
167	сама жизнь	1	2
168	из ее	1	2
169	от этой	1	1
170	и через	1	1
171	людей в	2	1
172	прогресса и	2	1
173	переход от	1	1
174	противоположные полюсы	1	1
175	вверх ногами	1	1
176	к небытию	1	1
177	в средневековой	2	1
178	этого мира	1	1
179	по преимуществу	2	1
180	приводит к	2	1
181	как результат	1	1
182	и до	1	1
183	был и	1	1
184	времени он	3	1
185	и этот	1	1
186	в образе	1	1
187	мы уже	1	1
188	ли это?	1	1
189	по природе	6	1
190	этого быть	1	1
191	века как	1	1
192	и религии	1	1
193	во многом	7	1
194	все свои	1	1
195	еще в	2	1
196	жить только	2	1
197	с ним	3	1
198	был понят	1	1
199	нас и	1	1
200	можно сказать	2	1
201	говорить о	1	1
202	совершается кризис	1	1
203	на себя	1	1
204	движения и	1	1
205	то это	1	1
206	не был	3	1
207	разобраться в	1	1
208	в виду	2	1
209	не способен	1	1
210	жизни это	1	1
211	это я	1	1
212	с большим	1	1
213	это время	2	1
214	в xix	1	1
215	вопрос об	1	1
216	в недрах	1	1
217	он стремился	1	1
218	что его	2	1
219	в чем	2	1
220	не могу	2	1
221	других людей	2	1
222	не могут	1	1
223	своего рода	4	1
224	в которую	1	1
225	к нему	1	1
226	создает себе	1	1
227	и внешними	1	1
228	вопросу о	1	1
229	себя все	1	1
230	сторон жизни	1	1
231	переходит в	2	1
232	в его	13	1
233	в эти	1	1
234	современного человечества	1	1
235	отличие от	2	1
236	но внутри	1	1
237	движения в	1	1
238	к которому	1	1
239	в своем	4	1
240	известном смысле	1	1
241	на человека	1	1
242	положения он	1	1
243	говорит что	2	1
244	человека в	6	1
245	связанный с	1	1
246	что он	6	1
247	особое место	1	1
248	только в	5	1
249	отнесены к	1	1
250	в этот	1	1
251	так на	1	1
252	добро и	1	1
253	в самом	3	1
254	к чему	1	1
255	личность человека	1	1
256	он в	1	1
257	бога в	1	1
258	о свободе	3	1
259	в известном	1	1
260	к достижению	2	1
261	же и	2	1
262	для всех	1	1
263	человеке и	1	1
264	к идее	1	1
265	и у	2	1
266	его борьбу	1	1
267	уже в	3	1
268	человек не	1	1
269	свидетельствует о	2	1
270	него и	1	1
271	от других	2	1
272	будущего все	1	1
273	в статье	1	1
274	своем развитии	1	1
275	все другие	1	1
276	из них	2	1
277	к своим	1	1
278	шекспира и	1	1
279	социализма в	1	1
280	и их	1	1
281	и когда	2	1
282	нуждается в	1	1
283	к одному	1	1
284	свободу от	2	1
285	сами по	1	1
286	в конце	1	1
287	кризис и	1	1
288	не случайно	4	1
289	человек как	3	1
290	показал что	1	1
291	время тоже	1	1
292	людей и	2	1
293	тем что	1	1
294	заключает в	1	1
295	в нее	1	1
296	вот что	1	1
297	и богато	1	1
298	в основу	1	1
299	но все	1	1
300	это значит	1	1
301	не сознавать	1	1
302	этом он	2	1
303	значение в	1	1
304	в глубине	1	1
305	из всех	4	1
306	а по	2	1
307	своему духовному	1	1
308	и из	1	1
309	знает что	1	1
310	общества в	1	1
311	цивилизации и	1	1
312	который и	1	1
313	было бы	1	1
314	свою противоположность	2	1
315	а это	1	1
316	лишь на	1	1
317	весь мир	1	1
318	было и	1	1
319	себя и	1	1
320	в отличие	2	1
321	что не	2	1
322	говорят об	1	1
323	свободу как	1	1
324	борьбой с	1	1
325	для них	1	1
326	их не	1	1
327	не верит	1	1
328	превращается в	1	1
329	а на	1	1
330	времени чем	1	1
331	очень любят	1	1
332	в этой	5	1
333	не на	1	1
334	всю жизнь	1	1
335	жизнь в	1	1
336	отказаться от	2	1
337	может сам	1	1
338	русского народа	1	1
339	когда она	1	1
340	и того	2	1
341	он и	1	1
342	одного и	1	1
343	была своя	1	1
344	менее чем	1	1
345	в этих	2	1
346	во время	1	1
347	но если	3	1
348	человек а	1	1
349	в миру	1	1
350	до этого	2	1
351	настоящего и	1	1
352	к себе	1	1
353	в котором	6	1
354	всего они	1	1
355	только для	1	1
356	от формы	1	1
357	не столько	2	1
358	нет ни	2	1
359	и красота	2	1
360	и мир	2	1
361	у нас	1	1
362	жизни с	2	1
363	они совсем	1	1
364	но сам	1	1
365	войне и	1	1
366	становится все	1	1
367	в философском	2	1
368	сферы в	1	1
369	времени не	1	1
370	но он	2	1
371	в мир	2	1
372	за моря	1	1
373	мы должны	1	1
374	и более	1	1
375	что этот	1	1
376	времени а	2	1
377	во времени	3	1
378	по себе	1	1
379	он создает	1	1
380	в атмосфере	1	1
381	сих пор	1	1
382	так как	3	1
383	оба они	1	1
384	человека не	1	1
385	и зло	1	1
386	к вопросу	1	1
387	в сущности	1	1
388	в более	1	1
389	не по	3	1
390	это уже	5	1
391	от жизни	2	1
392	зла в	1	1
393	времени его	1	1
394	и имеет	1	1
395	до сих	1	1
396	ним она	1	1
397	которая в	1	1
398	качеств в	1	1
399	что сами	1	1
400	понята как	1	1
401	бы он	1	1
402	к этой	1	1
403	к ней	2	1
404	и его	6	1
405	века с	2	1
406	мы переходим	1	1
407	все более	2	1
408	давно уже	1	1
409	быть понята	1	1
410	этой теме	1	1
411	в области	1	1
412	в свою	7	1
413	всего мира	1	1
414	на смену	2	1
415	лежал в	1	1
416	от всех	1	1
417	русские люди	1	1
418	того же	2	1
419	жизни а	1	1
420	выход из	1	1
421	есть только	1	1
422	во все	1	1
423	их место	1	1
424	есть признак	1	1
425	в которой	3	1
426	эти слова	2	1
427	не терпит	1	1
428	их стремление	1	1
429	оно не	1	1
430	и личности	1	1
