N	2gram	Tiupa_Narr_1	NovoeSre
211	одному из	1	1
212	день был	1	1
213	все еще	1	1
214	мир в	1	1
215	есть переход	1	1
216	и когда	2	1
217	нуждается в	5	1
218	к одному	1	1
219	слова в	1	1
220	жизнью и	2	1
221	сами по	2	1
222	в конце	1	1
223	часто не	1	1
224	бытия и	1	1
225	не случайно	2	1
226	тем что	3	1
227	от того	1	1
228	перед ними	1	1
229	но все	4	1
230	значительной степени	2	1
231	жить в	1	1
232	лишь для	1	1
233	в последние	2	1
234	чего он	1	1
235	а по	2	1
236	на ее	1	1
237	с другими	1	1
238	который и	1	1
239	нельзя сказать	1	1
240	было бы	4	1
241	и быть	1	1
242	было и	1	1
243	себя и	2	1
244	в отличие	5	1
245	что не	4	1
246	обратиться к	1	1
247	с богом	1	1
248	переходим от	1	1
249	процесс в	1	1
250	а на	1	1
251	они не	2	1
252	в этой	5	1
253	ничем не	1	1
254	не на	2	1
255	не всегда	2	1
256	не быть	1	1
257	как ни	2	1
258	ночь и	1	1
259	человеческой жизни	1	1
260	когда она	1	1
261	она неизбежно	1	1
262	что мы	2	1
263	и того	1	1
264	он и	1	1
265	одного и	1	1
266	и ему	1	1
267	может иметь	1	1
268	и сейчас	2	1
269	она сама	1	1
270	к себе	5	1
271	в котором	1	1
272	всего они	1	1
273	одну из	2	1
274	не столько	4	1
275	у нас	1	1
276	жизни с	1	1
277	в обнаружении	2	1
278	оно существует	1	1
279	в силу	4	1
280	и формального	1	1
281	но он	1	1
282	быть только	1	1
283	в мир	1	1
284	и более	1	1
285	их в	1	1
286	истину и	1	1
287	что этот	1	1
288	времени а	1	1
289	в состоянии	1	1
290	распадается на	1	1
291	во времени	8	1
292	быть не	1	1
293	мира с	1	1
294	по себе	5	1
295	есть всегда	2	1
296	в это	1	1
297	в той	6	1
298	будто бы	3	1
299	сих пор	1	1
300	она могла	1	1
301	обращения к	1	1
302	есть прежде	1	1
303	истории но	1	1
304	в сущности	3	1
305	в универсуме	1	1
306	не по	1	1
307	убеждения в	1	1
308	до сих	1	1
309	и никакой	2	1
310	которая в	2	1
311	культура нового	1	1
312	но также	1	1
313	а во	3	1
314	бы он	1	1
315	умер он	1	1
316	к ней	1	1
317	своей природе	1	1
318	как того	1	1
319	и его	5	1
320	а также	7	1
321	вот этот	1	1
322	истории как	1	1
323	есть уже	1	1
324	мы переходим	1	1
325	возможно лишь	1	1
326	в области	2	1
327	нет ничего	1	1
328	ему не	1	1
329	в свою	3	1
330	иного мира	1	1
331	бытия как	1	1
332	и оно	1	1
333	от всех	2	1
334	лишь новое	1	1
335	того же	1	1
336	жизни а	2	1
337	числе и	4	1
338	жизни мы	1	1
339	на путь	1	1
340	не верят	1	1
341	быть признана	1	1
342	то они	2	1
343	и культурный	1	1
344	оно не	2	1
345	который не	1	1
346	но сама	2	1
347	том числе	6	1
