N	2gram	Berdyaev_N_1	Morfolog
247	ничем не	1	1
248	не на	1	1
249	как ни	1	1
250	проходит через	1	1
251	уже давно	1	1
252	все более	1	1
253	вступает в	1	1
254	но оно	1	1
255	и начала	2	1
256	к ложным	1	1
257	более широкого	1	1
258	мы опять	1	1
259	по своему	4	1
260	не удалось	1	1
261	эту мысль	1	1
262	это значит	1	1
263	как будто	2	1
264	быть не	1	1
265	будто не	1	1
266	в формах	1	1
267	сих пор	1	1
268	только для	1	1
269	помнить что	2	1
270	и все	4	1
271	том случае	1	1
272	мы переходим	1	1
273	и начинается	2	1
274	не будет	7	1
275	равно как	2	1
276	огромное значение	1	1
277	и обнаруживается	1	1
278	случае если	1	1
279	во всяком	1	1
