N	2gram	Losev_Vlad_3	Russkaja
109	со стороны	2	4
110	вместе с	7	4
111	что же	9	4
112	как бы	3	4
113	жизни и	1	4
114	что в	17	4
115	к этой	2	4
116	все что	1	4
117	то в	6	3
118	и этот	2	3
119	в будущем	1	3
120	и ни	2	3
121	еще не	4	3
122	он сам	2	3
123	из этих	3	3
124	что они	1	3
125	во что	2	3
126	в самом	4	3
127	что это	9	3
128	был и	2	3
129	и по	2	3
130	в другом	2	3
131	лишь в	1	3
132	для них	1	3
133	о которых	2	3
134	несмотря на	7	3
135	должно быть	5	3
136	но если	5	3
137	и сейчас	2	3
138	мы говорили	1	3
139	знаем что	2	3
140	можно ли	2	3
141	одна из	1	3
142	связи с	2	3
143	то это	10	3
144	точке зрения	2	3
145	той или	2	3
146	что все	7	3
147	данном случае	2	3
148	ни стало	2	3
149	собой и	1	3
150	сводится к	3	3
151	может не	1	3
152	но мы	2	3
153	вопросу о	1	3
154	и во	1	3
155	борьбе с	1	3
156	что и	7	3
157	а следовательно	1	3
158	что бы	3	3
159	того что	7	3
160	одной из	2	3
161	в качестве	3	3
162	тем чтобы	1	3
163	в виде	13	3
164	из них	2	3
165	в конце	12	3
166	друг друга	2	3
167	тем что	5	3
168	именно в	3	3
169	только к	2	3
170	что для	1	3
171	не было	5	3
172	вселенской церкви	1	3
173	и потому	10	3
174	таких условиях	2	3
175	да и	6	3
176	этом случае	1	3
177	при условии	2	3
178	конце концов	5	3
179	и как	7	3
180	все они	2	3
181	не есть	10	3
182	из этого	2	3
183	случае если	2	3
184	с виду	2	3
185	себя как	1	2
186	речь идет	1	2
187	бы для	1	2
188	и есть	1	2
189	должна быть	2	2
190	вся она	1	2
191	к чему	1	2
192	из всех	1	2
193	но она	1	2
194	на себя	2	2
195	но даже	4	2
196	в ней	5	2
197	в таком	3	2
198	там и	1	2
199	существование в	1	2
200	претендующих на	1	2
201	не просто	10	2
202	сама по	1	2
203	всю эту	2	2
204	с этим	2	2
205	последнее время	1	2
206	что действительно	1	2
207	и наконец	2	2
208	но в	4	2
209	не можем	2	2
210	это есть	10	2
211	все эти	5	2
212	это учение	5	2
213	раз навсегда	3	2
214	стремиться к	1	2
215	не к	2	2
216	и вот	1	2
217	на совершенно	1	2
218	чтобы в	1	2
219	свое учение	1	2
220	мы уже	5	2
221	на этой	1	2
222	в глазах	1	2
223	на почве	2	2
224	по себе	6	2
225	и тем	3	2
226	ведь в	1	2
227	этого не	3	2
228	нисколько не	3	2
229	в этих	2	2
230	во время	1	2
231	в котором	4	2
232	место в	1	2
233	в силу	2	2
234	другом и	1	2
235	друг другу	1	2
236	и более	2	2
237	их в	1	2
238	не тем	1	2
239	том и	1	2
240	том же	1	2
241	для нее	1	2
242	тому что	4	2
243	она не	2	2
244	только для	1	2
245	данном вопросе	1	2
246	как акт	1	2
247	ясностью и	2	2
248	что с	1	2
249	для нас	5	2
250	у него	24	2
251	следовательно и	1	2
252	больше чем	2	2
253	и является	1	2
254	как будто	1	2
255	всю свою	1	2
256	отличается от	3	2
257	указывает на	1	2
258	для себя	5	2
259	и о	4	2
260	если они	2	2
261	ясно что	1	2
262	с самим	1	2
263	разумеется что	1	2
264	даже не	3	2
265	и должно	1	2
266	настоящее время	3	2
267	и что	8	2
268	к нему	3	2
269	вся эта	1	2
270	эта работа	2	2
271	речь шла	1	2
272	отметить что	1	2
273	быть и	2	2
274	что только	1	2
275	совершенно не	2	2
276	их не	1	2
277	по этому	3	2
278	так что	14	2
279	уже не	9	2
280	только на	5	2
281	в начале	2	2
282	является не	3	2
283	не так	3	2
284	представить себе	1	2
285	ни в	10	2
286	не о	2	2
287	только с	2	2
288	и вместе	2	2
289	даже и	12	2
290	и даже	6	2
291	а с	4	2
292	считает себя	1	2
293	в некоторых	1	2
294	а не	8	2
295	на эту	1	2
296	стоять на	1	2
297	в частности	1	2
298	так же	8	2
299	противоречие с	1	2
300	их к	1	2
301	в течение	4	2
302	если человек	1	2
303	отношения к	5	2
304	есть и	4	2
305	но это	6	2
306	от нас	1	2
307	но для	3	2
308	если не	6	2
309	и от	6	2
310	не подлежит	1	2
311	всем этим	1	2
312	в результате	4	2
313	в настоящее	3	2
314	чтобы понять	1	2
315	самом себе	1	2
316	отношении к	1	2
317	бы его	1	2
318	ее в	3	2
319	тем самым	2	2
320	точно так	4	2
321	в сфере	1	1
322	того же	2	1
323	но тогда	2	1
324	силы и	1	1
325	тех же	1	1
326	это и	1	1
327	что дает	1	1
328	не признает	1	1
329	не хочет	2	1
330	противном случае	1	1
331	с таким	2	1
332	и за	2	1
333	также и	17	1
334	есть не	2	1
335	христианства в	1	1
336	всему этому	1	1
337	мы не	2	1
338	же как	3	1
339	о церкви	1	1
340	а где	1	1
341	самостоятельность и	1	1
342	имеет свою	2	1
343	на эти	2	1
344	он как	1	1
345	от своих	1	1
346	в сущности	2	1
347	оно есть	6	1
348	они были	1	1
349	которое в	3	1
350	себе что	1	1
351	с большим	3	1
352	без всякого	1	1
353	что оба	2	1
354	он был	2	1
355	не был	8	1
356	что его	2	1
357	подходить к	1	1
358	исключительно только	2	1
359	к этому	2	1
360	они имеют	1	1
361	но как	2	1
362	а только	7	1
363	точка зрения	1	1
364	если стоять	1	1
365	в общем	1	1
366	должны были	1	1
367	очевидно что	1	1
368	оно является	1	1
369	его учение	2	1
370	есть личность	1	1
371	которые не	2	1
372	уверенность в	1	1
373	в истории	5	1
374	трудно сказать	1	1
375	есть цель	1	1
376	что касается	2	1
377	в противном	1	1
378	перед нами	3	1
379	кто не	1	1
380	является тем	1	1
381	когда он	1	1
382	что по	1	1
383	не являются	1	1
384	появляется у	2	1
385	от этого	2	1
386	не быть	1	1
387	и конечно	1	1
388	еще на	1	1
389	в которой	2	1
390	привести к	1	1
391	бы не	1	1
392	то и	2	1
393	им в	1	1
394	тому же	5	1
395	иначе и	2	1
396	но на	2	1
397	говоря только	2	1
398	он всегда	2	1
399	тем не	10	1
400	представляются в	1	1
401	а скорее	2	1
402	о которой	1	1
403	творца и	2	1
404	же это	2	1
405	к одному	1	1
406	прочим и	1	1
407	войти в	1	1
408	мало того	1	1
409	преклонения перед	1	1
410	постольку поскольку	1	1
411	и заключается	1	1
412	поскольку она	1	1
413	но все	3	1
414	такого же	1	1
415	подход к	1	1
416	этим самым	1	1
417	для всей	1	1
418	об этой	2	1
419	об этом	6	1
420	и никакого	1	1
421	не трудно	1	1
422	то есть	24	1
423	говорить не	1	1
424	на каком	1	1
425	заключается в	1	1
426	те или	2	1
427	чтобы он	1	1
428	это не	3	1
429	нечего и	2	1
430	и мы	1	1
431	уже знаем	1	1
432	стремления во	1	1
433	остановиться на	2	1
434	в жизни	2	1
435	человека на	1	1
436	этого слова	1	1
437	все равно	1	1
438	не всегда	1	1
439	жизни но	1	1
440	нет и	1	1
441	такой же	4	1
442	в один	1	1
443	на первый	2	1
444	бы на	2	1
445	свое назначение	1	1
446	от своего	1	1
447	что такая	2	1
448	шла о	1	1
449	в такой	1	1
450	и без	1	1
451	просто в	1	1
452	что вся	1	1
453	никакому сомнению	1	1
454	прийти к	1	1
455	не столько	3	1
456	на свою	1	1
457	представление о	1	1
458	оказывается что	2	1
459	в которых	1	1
460	на точке	1	1
461	мы теперь	1	1
462	эта не	1	1
463	ко всему	1	1
464	ни было	1	1
465	возможно только	1	1
466	не требуется	1	1
467	необходимо чтобы	1	1
468	есть ничто	2	1
469	вовсе не	13	1
470	даже в	4	1
471	является вполне	1	1
472	же мы	1	1
473	нетрудно заметить	1	1
474	и вся	2	1
475	не менее	9	1
476	случае эта	1	1
477	что эта	2	1
478	и другое	1	1
479	самого начала	1	1
480	и всегда	2	1
481	дело в	5	1
482	а тогда	1	1
483	на себе	1	1
484	на него	2	1
485	в основе	1	1
486	он еще	1	1
487	иметь в	2	1
488	но только	2	1
489	проблема и	1	1
490	это же	2	1
491	только не	1	1
492	того и	1	1
493	найти в	2	1
494	в разных	2	1
495	это то	1	1
496	и весь	1	1
497	свою природу	1	1
498	церкви как	1	1
499	и теперь	1	1
500	свидетельствуют о	1	1
501	хочет быть	2	1
502	доказать что	1	1
503	этом отношении	2	1
504	что на	2	1
505	ярко выраженной	1	1
506	вот в	2	1
507	и яркого	1	1
508	только от	1	1
509	если у	1	1
510	исходить из	1	1
511	стороны и	2	1
512	в духе	3	1
513	нет ни	2	1
514	есть только	9	1
515	однако для	1	1
516	же самое	3	1
517	должны быть	1	1
518	всего в	1	1
519	наконец что	1	1
520	что при	1	1
521	не дала	1	1
522	и это	6	1
523	то естественно	1	1
524	как мы	8	1
525	с ее	1	1
526	как не	2	1
527	на полную	2	1
528	и говорить	1	1
529	всего этого	1	1
530	в ее	1	1
531	только при	4	1
532	не могло	1	1
533	дала бы	1	1
534	только то	2	1
535	в себя	1	1
536	с самого	1	1
537	роль в	2	1
538	богу а	1	1
539	о самой	1	1
540	так и	6	1
541	не за	1	1
542	те же	1	1
543	и религии	1	1
544	мог бы	4	1
545	глубоко и	1	1
546	отрицать что	1	1
547	деятельности в	1	1
548	тем чем	2	1
549	иное как	1	1
550	перешла в	1	1
551	подлежит никакому	1	1
552	то они	1	1
553	этой статьи	1	1
554	язык и	1	1
555	никак не	4	1
556	для целей	1	1
557	одного из	1	1
558	и просто	1	1
559	можно сказать	1	1
560	с другой	5	1
561	а во	1	1
562	на отдельные	2	1
563	в согласии	2	1
564	для христианства	1	1
565	помощи которых	1	1
566	когда оно	2	1
567	от этих	1	1
568	к стремлению	1	1
569	если эта	1	1
570	может иметь	1	1
571	другого для	2	1
572	самостоятельно и	1	1
573	по своей	2	1
574	один из	1	1
575	а если	2	1
576	зрения в	1	1
577	большее что	1	1
578	недостаточно одного	1	1
579	это стремление	1	1
580	в обществе	2	1
581	никак нельзя	1	1
582	с ярко	1	1
583	к православию	1	1
584	же он	1	1
585	критическом отношении	1	1
586	же ее	1	1
587	же и	2	1
588	в сторону	2	1
589	и у	3	1
590	если мы	4	1
591	вопроса о	1	1
592	нами и	1	1
593	или не	3	1
594	а это	1	1
595	здесь же	2	1
596	а то	2	1
597	веры и	1	1
598	и других	1	1
599	лишь постольку	1	1
600	разума и	2	1
601	за ним	1	1
602	он принадлежит	1	1
603	в действительном	1	1
604	мы знаем	3	1
605	это обстоятельство	1	1
606	и их	1	1
607	для настоящего	1	1
608	могло бы	2	1
609	которая может	1	1
610	случае когда	1	1
611	не для	1	1
612	от тех	1	1
613	подходим к	1	1
614	но которая	1	1
615	бытия и	2	1
616	которое является	1	1
617	и будет	1	1
618	это свое	3	1
619	само собой	3	1
620	но из	1	1
621	бы это	2	1
622	это будет	1	1
623	в свои	1	1
624	о своей	1	1
625	государство и	1	1
626	влияние на	1	1
627	вселенском соборе	1	1
628	говорить и	1	1
629	по своим	1	1
630	к которому	1	1
631	собой разумеется	2	1
632	и прежде	1	1
633	перед другими	1	1
634	нуждаются и	1	1
635	на чем	1	1
636	еще и	18	1
637	в стремлении	1	1
638	души и	1	1
639	потому тоже	1	1
640	был в	1	1
641	на этот	1	1
642	здесь дело	1	1
643	которых мы	2	1
644	а наоборот	3	1
645	на которых	1	1
646	до конца	4	1
647	не на	2	1
648	однако и	4	1
649	человеческой жизни	1	1
650	с которым	1	1
651	в свете	1	1
652	то по	2	1
653	понятие о	2	1
654	для человека	1	1
655	именно так	1	1
656	ближе к	1	1
657	в одно	2	1
658	в связи	3	1
659	и никакая	1	1
660	если этот	1	1
661	в самой	1	1
662	как это	4	1
663	человека к	1	1
664	согласии с	2	1
665	существенное изменение	1	1
666	процесс то	1	1
667	в европе	2	1
668	по своему	1	1
669	не удалось	3	1
670	эту мысль	1	1
671	оно вовсе	1	1
672	то к	1	1
673	в состоянии	1	1
674	в церкви	2	1
675	с этой	2	1
676	себя ни	1	1
677	является для	2	1
678	своей жизни	1	1
679	и таким	1	1
680	поэтому что	1	1
681	между прочим	5	1
682	ничего кроме	1	1
683	самое большее	1	1
684	и надо	1	1
685	не является	2	1
686	на все	1	1
687	которых он	2	1
688	такой взгляд	1	1
689	что кроме	1	1
690	и представления	1	1
691	которая в	2	1
692	тот кто	1	1
693	в те	7	1
694	любви и	1	1
695	но когда	2	1
696	бы в	2	1
697	и все	4	1
698	от всякого	1	1
699	к самому	1	1
700	нами не	1	1
701	приходится признать	1	1
702	может и	1	1
703	а о	2	1
704	в свою	1	1
705	о сущности	1	1
706	с ней	1	1
707	но можно	2	1
708	виде и	1	1
709	и поскольку	1	1
710	к его	2	1
711	что ни	1	1
712	есть то	1	1
713	еретиков и	1	1
714	ни на	2	1
715	признании необходимости	1	1
716	бог есть	2	1
717	том числе	1	1
718	они не	1	1
