N	2gram	Propp_Morf_1	TeoriaLi
358	о жизни	1	1
359	говорилось выше	1	1
360	как мы	6	1
361	следит за	1	1
362	из этого	1	1
363	и одна	1	1
364	можно говорить	1	1
365	у нас	2	1
366	с другими	1	1
367	того чтобы	3	1
368	определяет его	1	1
369	как явление	1	1
370	что такое	3	1
371	связана с	3	1
372	ее можно	1	1
373	не такое	1	1
374	то ни	3	1
375	то она	1	1
376	к типам	1	1
377	случаях может	1	1
378	в силу	1	1
379	в сущности	3	1
380	обычно это	1	1
381	себя за	2	1
382	не является	3	1
383	е годы	1	1
384	для того	2	1
385	что от	1	1
386	в одной	1	1
387	один из	5	1
388	на первом	1	1
389	это по	1	1
390	в первом	3	1
391	по собственному	1	1
392	свое место	1	1
393	это делает	1	1
394	вопрос кто	1	1
395	только и	1	1
396	из них	3	1
397	собой и	1	1
398	встречается лишь	1	1
399	они ни	1	1
400	в них	1	1
401	этом и	1	1
402	не всегда	9	1
403	одна из	4	1
404	куда же	1	1
405	но прежде	1	1
406	не упоминается	3	1
407	этот закон	1	1
408	это разделение	1	1
409	героев в	1	1
410	ни было	2	1
411	может или	1	1
412	с этими	1	1
413	если она	2	1
414	если на	1	1
415	в настоящее	3	1
416	а при	1	1
417	нарушение запрета	2	1
418	это явление	4	1
419	с логической	2	1
420	этих случаях	11	1
421	вошел в	1	1
422	могут служить	1	1
423	всей своей	1	1
424	могли бы	1	1
425	а по	3	1
426	как уже	2	1
427	не от	2	1
428	в иных	4	1
429	не могут	4	1
430	мы видим	13	1
431	точно и	1	1
432	с собой	3	1
433	она не	2	1
434	в результате	7	1
435	также и	4	1
436	стремится к	1	1
437	описание ведется	1	1
438	можно предположить	1	1
439	или а	1	1
440	в это	1	1
441	в лесу	1	1
442	у нее	1	1
443	в различных	2	1
444	в ряду	1	1
445	быть и	2	1
446	для связывания	1	1
447	нет не	1	1
448	по его	1	1
449	еще и	1	1
450	на вопрос	2	1
451	ко второму	1	1
452	подобно тому	6	1
453	или точнее	1	1
454	все они	1	1
455	героя к	1	1
456	него но	1	1
457	представляют собой	11	1
458	ситуация не	1	1
459	не имеет	2	1
460	в плоскости	1	1
461	ее не	1	1
462	то время	3	1
463	со мной	1	1
464	же в	2	1
465	собой некоторую	1	1
466	по существу	12	1
467	в каком	2	1
468	окна и	1	1
469	о его	1	1
470	и до	1	1
471	л из	1	1
472	которое в	1	1
473	и где	1	1
474	и есть	2	1
475	который в	2	1
476	дается в	2	1
477	и пр	37	1
478	на свое	1	1
479	что она	2	1
480	не носит	1	1
481	но эта	1	1
482	было бы	3	1
483	а после	1	1
484	если мы	5	1
485	другого и	1	1
486	одному из	3	1
487	лес но	1	1
488	точно так	1	1
489	здесь как	1	1
490	это уже	3	1
491	а впоследствии	1	1
492	только на	1	1
493	тому как	5	1
494	встречаться в	1	1
495	имеем в	6	1
496	означает что	2	1
497	втором случае	1	1
498	так как	16	1
499	но во	1	1
500	обычно в	1	1
501	можно было	2	1
502	в лес	7	1
503	который может	2	1
504	мысль о	1	1
505	известной степени	1	1
506	и объект	1	1
507	должен прилететь	2	1
508	свою собственную	1	1
509	хранится в	1	1
510	она могла	1	1
511	действия или	1	1
512	и более	1	1
513	другу и	2	1
514	не есть	1	1
515	д как	3	1
516	и такой	1	1
