N	2gram	Berdyaev_V_1	Hudozhes
168	из нас	1	1
169	не по	1	1
170	в жизни	3	1
171	что это	1	1
172	ивана карамазова	2	1
173	бы ни	1	1
174	это тот	1	1
175	это еще	4	1
176	но мы	2	1
177	его воли	1	1
178	и другие	1	1
179	в конце	3	1
180	другом но	1	1
181	освобождения от	2	1
182	и против	3	1
183	то и	1	1
184	от него	2	1
185	в третьем	1	1
186	счастье но	1	1
187	все же	1	1
188	своей свободы	2	1
189	тот же	3	1
190	их сознания	1	1
191	значение в	1	1
192	бы и	3	1
193	мировой жизни	4	1
194	жизнь в	1	1
195	существует как	1	1
196	если не	3	1
197	и теперь	2	1
198	меня в	1	1
199	образа в	1	1
200	и я	4	1
201	всех людей	3	1
202	теперь в	1	1
203	о судьбе	1	1
204	людей в	3	1
205	с этой	1	1
206	о мире	1	1
207	по этому	3	1
208	к чему	3	1
209	мира с	1	1
210	этого мира	3	1
211	более чем	2	1
212	свободу личности	1	1
213	не с	2	1
214	и мир	1	1
215	к миру	1	1
216	жизни не	1	1
217	не имеет	3	1
218	выбора все	1	1
219	в понимании	1	1
220	они не	1	1
221	как мы	1	1
222	переход к	1	1
223	ее в	2	1
224	с которым	1	1
225	что не	4	1
226	до того	2	1
227	в прошлом	2	1
228	то ни	1	1
229	личностью и	1	1
230	нельзя не	1	1
231	утверждения ее	1	1
232	и от	1	1
233	за которым	1	1
234	с которыми	1	1
235	зависимости от	1	1
236	да и	2	1
237	весь мир	1	1
238	известном смысле	1	1
239	что от	2	1
240	ты и	1	1
241	один из	2	1
242	свободного выбора	1	1
243	в истории	8	1
244	хотят скрыть	1	1
245	никогда не	3	1
246	художественный образ	1	1
247	все это	5	1
248	же и	1	1
249	его личности	1	1
250	кто бы	1	1
251	что все	4	1
252	лишь на	1	1
253	думаю что	1	1
254	ничего нельзя	1	1
255	не могли	2	1
256	возможно в	1	1
257	восстает против	3	1
258	человека как	2	1
259	не всегда	1	1
260	можно признать	1	1
261	в котором	4	1
262	этого слова	1	1
263	людей как	1	1
264	всего только	1	1
265	с отвращением	1	1
266	в мир	1	1
267	себе и	1	1
268	к ним	1	1
269	значения и	2	1
270	чего бы	1	1
271	личности а	2	1
272	не для	1	1
273	он говорит	1	1
274	не могут	2	1
275	живет в	1	1
276	мы видим	1	1
277	и будет	3	1
278	по крайней	1	1
279	тоже не	1	1
280	себя только	1	1
281	небытию в	1	1
282	в результате	1	1
283	ибо к	1	1
284	не просто	1	1
285	свое место	1	1
286	им по	1	1
287	на земле	7	1
288	в своих	1	1
289	в известном	1	1
290	от своей	2	1
291	еще и	1	1
292	стороны в	1	1
293	за ним	3	1
294	того кому	1	1
295	всего в	2	1
296	в состоянии	1	1
297	в которую	1	1
298	и есть	4	1
299	бытия и	1	1
300	этом пути	1	1
301	послужить материалом	2	1
302	него не	1	1
303	но от	1	1
304	и развитием	1	1
305	выбора в	1	1
306	это ни	1	1
307	не быть	1	1
308	на нее	1	1
309	так как	9	1
310	есть такое	1	1
311	теми которые	1	1
312	могли бы	1	1
313	все что	4	1
314	прошлом и	1	1
315	не есть	6	1
