N	2gram	Berdyaev_N_1	Vvedenie
280	нет никакого	1	1
281	в эту	1	1
282	метода и	1	1
283	средние века	7	1
284	одна сторона	1	1
285	истории а	2	1
286	оно не	1	1
287	всего что	1	1
288	одного и	1	1
289	который можно	1	1
290	превращается в	1	1
291	по многим	1	1
292	античного мира	4	1
293	как не	8	1
294	быть не	1	1
295	и очень	1	1
296	и которые	1	1
297	нет и	2	1
298	должны быть	1	1
299	в глубине	1	1
300	и имеет	1	1
301	истории с	1	1
302	мысли в	2	1
303	в россии	3	1
304	что этот	1	1
305	к образованию	2	1
306	в новом	2	1
307	слова а	1	1
308	духа в	2	1
309	они не	1	1
310	как в	3	1
311	формах и	1	1
312	культуры и	7	1
313	отличие от	1	1
314	века но	2	1
315	что его	1	1
316	нас и	1	1
317	лишь в	6	1
318	и отдельных	1	1
319	истории нового	1	1
320	не на	1	1
321	человечества и	1	1
322	мы скорее	1	1
323	и т.п	2	1
324	новому времени	1	1
325	и от	2	1
326	мыслителей и	1	1
327	можно назвать	2	1
328	явление культуры	1	1
329	во франции	1	1
330	во всем	1	1
331	зависимости от	1	1
332	бы сказать	1	1
333	в высшем	1	1
334	связано с	1	1
335	она неизбежно	1	1
336	и потому	4	1
337	в гг	1	1
338	более широкого	1	1
339	почему о	1	1
340	осталось ни	1	1
341	к ним	3	1
342	том смысле	1	1
343	из их	1	1
344	теперь и	1	1
345	немецкий английский	1	1
346	на них	1	1
347	наряду с	3	1
348	вопроса о	1	1
349	перед собой	1	1
350	к первоисточникам	1	1
351	это было	3	1
352	в эпоху	9	1
353	что все	2	1
354	лишь на	1	1
355	обращена к	1	1
356	во время	1	1
357	к вопросу	1	1
358	истории на	1	1
359	идей и	1	1
360	могли не	1	1
361	может еще	1	1
362	не всегда	1	1
363	сам собой	1	1
364	слова в	1	1
365	только потому	1	1
366	начала xix	1	1
367	в зависимости	1	1
368	к лицу	3	1
369	характер будет	1	1
370	культуры но	1	1
371	у него	2	1
372	а к	1	1
373	истории для	1	1
374	он в	1	1
375	говорим о	1	1
376	смысл русской	1	1
377	это значит	1	1
378	только одна	1	1
379	перестает быть	4	1
380	был уже	1	1
381	для себя	1	1
382	моментом в	1	1
383	и начал	1	1
384	заинтересована в	1	1
385	в которой	1	1
386	в новой	7	1
387	в отличие	1	1
388	в природе	2	1
389	история нового	1	1
390	жить в	1	1
391	есть проблема	1	1
392	он есть	1	1
393	ли это	2	1
394	также что	1	1
395	государства и	4	1
396	все в	1	1
397	в атмосфере	1	1
398	помнить что	2	1
399	жизнь в	1	1
400	человечества в	1	1
401	рода и	1	1
402	нет уже	1	1
403	разобраться в	1	1
404	в xix	1	1
405	которая в	1	1
406	ему не	1	1
407	та или	1	1
408	из сторон	1	1
409	неспособность к	1	1
410	в такой	1	1
411	но нет	1	1
412	говорит что	1	1
413	не осталось	1	1
414	ли есть	2	1
415	ведь и	2	1
416	в духе	3	1
417	значит что	4	1
418	вернуться к	2	1
419	чтобы быть	1	1
420	с идеями	1	1
421	и у	1	1
422	как некогда	1	1
423	себя в	2	1
424	давно уже	1	1
425	лицом к	3	1
426	положительных знаний	1	1
427	так много	1	1
428	своего научного	1	1
429	должно было	2	1
430	истории но	1	1
431	не больше	1	1
432	и особенно	1	1
433	долгое время	1	1
434	не быть	1	1
435	обратиться к	1	1
436	мысли как	1	1
437	но во	1	1
438	истории человечества	1	1
439	права и	2	1
440	мировое значение	1	1
441	греческой цивилизации	1	1
442	человека в	1	1
443	она с	1	1
444	еще в	1	1
445	того времени	1	1
446	все что	1	1
447	была уже	1	1
448	человека на	1	1
449	она могла	1	1
450	смысле в	1	1
451	и более	1	1
452	вполне возможно	1	1
453	в свою	1	1
