N	2gram	Tiupa_Anal_1	VelikijI
165	бы то	3	1
166	оно ни	1	1
167	только способ	1	1
168	других людей	2	1
169	жизни с	1	1
170	что оно	1	1
171	к нему	3	1
172	что люди	1	1
173	но как	1	1
174	сознания не	1	1
175	могут и	1	1
176	если в	3	1
177	присутствует в	1	1
178	в новом	2	1
179	тогда как	14	1
180	совместима с	1	1
181	себя но	1	1
182	не просто	2	1
183	крайней мере	1	1
184	мире и	2	1
185	это тайна	1	1
186	существует как	1	1
187	его на	1	1
188	как в	1	1
189	известном смысле	1	1
190	все же	4	1
191	в двух	2	1
192	могли бы	2	1
193	своей сущности	1	1
194	мы увидим	1	1
195	ли он	2	1
196	от смысла	1	1
197	в разные	1	1
198	со своей	1	1
199	в самом	6	1
200	их жизни	1	1
201	в которой	2	1
202	что это	1	1
203	бы ни	2	1
204	в целом	5	1
205	в этой	5	1
206	в известном	1	1
207	я в	3	1
208	в которую	1	1
209	то и	1	1
210	в виде	1	1
211	но прежде	1	1
212	слова не	1	1
213	или даже	1	1
214	и внешнее	1	1
215	но от	1	1
216	чего бы	1	1
217	вовсе не	2	1
218	от людей	1	1
219	отношение к	2	1
220	в xx	1	1
221	бытия и	2	1
222	у него	1	1
223	не случайно	3	1
224	и по	2	1
225	на этом	2	1
226	конечная цель	1	1
227	и вместе	1	1
228	для того	4	1
229	без такого	1	1
230	то ни	3	1
231	в состоянии	1	1
232	и с	2	1
233	было не	1	1
234	а его	1	1
235	с другой	4	1
236	которого не	1	1
237	есть не	8	1
238	не совместима	1	1
239	и быть	1	1
240	к миру	1	1
241	бытия в	1	1
242	и тем	1	1
243	нового времени	1	1
244	говорит о	1	1
245	всякого смысла	1	1
246	к человеку	1	1
247	она и	1	1
248	и опять	1	1
249	для последнего	1	1
250	человеческой жизни	1	1
251	не всегда	4	1
252	и уже	1	1
253	для чего	2	1
254	между собою	1	1
255	его по	1	1
256	моей личности	1	1
257	жизни но	2	1
258	о чем	1	1
259	него не	1	1
260	в бытии	1	1
261	и вновь	1	1
262	личность есть	2	1
263	только мы	1	1
264	таким же	1	1
265	вместе с	4	1
266	ко всем	1	1
267	как это	1	1
268	человека к	4	1
269	то есть	11	1
270	есть такое	1	1
271	в лице	1	1
272	над ним	1	1
273	в которых	1	1
274	если оно	1	1
275	ведет к	3	1
276	в одном	1	1
277	о личности	1	1
278	xx веке	1	1
279	в мир	1	1
280	в тот	1	1
281	по крайней	1	1
282	мира с	1	1
283	этого слова	7	1
284	с этой	1	1
285	с бытием	2	1
286	раз и	1	1
287	человека есть	1	1
288	из нас	1	1
289	о мире	1	1
290	на котором	1	1
291	и остается	1	1
292	людей к	1	1
293	указать на	1	1
294	и от	1	1
295	нельзя не	1	1
296	мира и	1	1
297	это как	2	1
298	которая в	3	1
299	ничего не	1	1
300	человек и	1	1
301	в разных	1	1
302	может быть	29	1
303	во всем	1	1
304	будто бы	3	1
305	в мировом	2	1
306	на него	1	1
307	в сознании	2	1
308	на части	1	1
309	связь с	1	1
310	жизни в	1	1
311	может и	1	1
312	ничего нельзя	1	1
313	другой стороны	2	1
314	заключается что	1	1
315	возможно в	1	1
316	но все	1	1
317	его с	1	1
318	в искусстве	2	1
319	в своих	1	1
320	в процессе	2	1
321	и эта	1	1
322	в противоположность	2	1
323	но к	2	1
324	себя и	4	1
325	в роли	2	1
326	они не	1	1
