N	2gram	Berdyaev_V_1	Komedia
131	отказаться от	1	2
132	и это	2	2
133	как мы	1	2
134	в виду	1	2
135	роль в	1	2
136	в образе	4	2
137	можно было	2	2
138	сама она	1	2
139	от своей	2	2
140	и во	2	2
141	между тем	2	2
142	происхождение и	1	2
143	же теперь	1	2
144	тот же	3	2
145	и любовь	1	2
146	и ее	1	2
147	уже в	1	2
148	тебе в	1	2
149	нового времени	1	2
150	за ним	3	2
151	до того	2	2
152	себя от	1	2
153	они будут	4	2
154	себе такую	1	2
155	хоть и	1	2
156	себя и	1	2
157	к человеку	1	2
158	не было	3	2
159	что мы	4	2
160	его на	1	2
161	не могут	2	2
162	сравнению с	1	2
163	лет назад	1	2
164	нет ничего	3	2
165	и все	4	2
166	конце концов	1	2
167	человека не	1	2
168	не будет	2	2
169	другой стороны	1	2
170	что ты	3	2
171	прошлом и	1	2
172	по сравнению	1	2
173	в своих	1	2
174	это в	1	2
175	эта новая	1	1
176	за которым	1	1
177	и до	1	1
178	свое место	1	1
179	и полюбил	1	1
180	их жизни	1	1
181	этому же	1	1
182	вопрос о	1	1
183	же ты	3	1
184	я не	1	1
185	зависимости от	1	1
186	ты можешь	1	1
187	все эти	3	1
188	не был	1	1
189	со словами	1	1
190	в чем	3	1
191	конечно это	1	1
192	но не	2	1
193	но как	1	1
194	если в	1	1
195	себе и	1	1
196	которые не	2	1
197	в истории	8	1
198	себя за	1	1
199	ты с	1	1
200	на земле	7	1
201	отвергает все	1	1
202	от этого	3	1
203	он дал	1	1
204	им в	1	1
205	его воли	1	1
206	все тот	2	1
207	т д	2	1
208	по крайней	1	1
209	в понимании	1	1
210	не к	2	1
211	лучше все	1	1
212	нашего времени	1	1
213	на этом	1	1
214	соединения с	1	1
215	же пути	1	1
216	что все	4	1
217	значение в	1	1
218	конечно в	1	1
219	себя не	1	1
220	оправдание на	1	1
221	которого не	1	1
222	и тем	1	1
223	перестала быть	1	1
224	его и	2	1
225	для них	2	1
226	от которого	3	1
227	их для	1	1
228	не всегда	1	1
229	когда я	2	1
230	а потом	1	1
231	отвращение к	3	1
232	бога и	5	1
233	богами и	1	1
234	таким же	1	1
235	человек и	1	1
236	это отец	1	1
237	что любит	1	1
238	что я	3	1
239	для всякого	1	1
240	над ними	2	1
241	это дело	2	1
242	в атмосфере	1	1
243	как можно	1	1
244	того как	1	1
245	и остается	1	1
246	iii наконец	1	1
247	только до	1	1
248	и третье	1	1
249	на котором	1	1
250	людям и	1	1
251	так много	2	1
252	найти в	1	1
253	почему в	2	1
254	и по	1	1
255	во всем	1	1
256	вот что	1	1
257	и теперь	2	1
258	в сознании	1	1
259	что на	1	1
260	день в	1	1
261	могут быть	2	1
262	ставит в	1	1
263	чтобы сделать	2	1
264	чтобы человек	1	1
265	всего в	2	1
266	видно и	1	1
267	слова с	1	1
268	ты хочешь	1	1
269	меня в	1	1
270	и от	1	1
271	в себя	2	1
272	среди людей	1	1
273	ты не	5	1
274	живет в	1	1
275	когда в	2	1
276	это только	1	1
277	мы в	1	1
278	к спасению	1	1
279	теперь и	1	1
280	и начало	1	1
281	после того	1	1
282	из образов	1	1
283	от них	1	1
284	но нет	1	1
285	ее на	1	1
286	крайней мере	1	1
287	не надо	1	1
288	вслед за	2	1
289	себя с	1	1
290	мы видим	1	1
291	ли он	1	1
292	только в	2	1
293	из сторон	1	1
294	знаешь ли	1	1
295	важный для	1	1
296	третье и	2	1
297	по этому	3	1
298	тебе была	1	1
299	ненависти и	2	1
300	достоинства и	1	1
301	каким образом	1	1
302	и два	1	1
303	в новом	1	1
304	смысл все	1	1
305	в прошлом	2	1
306	не случайно	1	1
307	и никогда	2	1
308	не были	1	1
309	ней и	1	1
310	из ненависти	1	1
311	как сам	1	1
312	что человек	1	1
313	а с	2	1
314	с презрением	2	1
315	говорит о	1	1
316	превращается в	3	1
317	был в	1	1
318	на которых	1	1
319	с которым	1	1
320	дело к	1	1
321	наконец не	1	1
322	тебя и	1	1
323	тобой а	1	1
324	эта идея	1	1
325	ко всем	1	1
326	и потому	7	1
327	о возможности	1	1
328	к жизни	1	1
329	ли ты	2	1
330	в мир	1	1
331	для человека	2	1
332	да и	2	1
333	поскольку он	1	1
334	с тобой	2	1
335	ведет не	1	1
336	с тремя	1	1
337	в состоянии	1	1
338	на пути	1	1
339	в средство	3	1
340	думают что	1	1
341	и новой	1	1
342	которого они	1	1
343	это как	1	1
344	а к	2	1
345	к счастью	3	1
346	для нас	2	1
347	могли бы	1	1
348	же что	1	1
349	у них	1	1
350	в этих	3	1
351	ли что	1	1
352	места в	1	1
353	но вот	1	1
354	жизни в	1	1
355	для нашего	1	1
356	жизнь в	1	1
357	жизни и	3	1
358	и эта	1	1
359	такое страшное	1	1
360	они не	1	1
