N	2gram	Nazirov_Tr_1	VerxiiNi
205	эта связь	1	1
206	как в	3	1
207	это был	2	1
208	неизмеримо более	1	1
209	то в	1	1
210	не был	2	1
211	все усилия	1	1
212	имеет для	1	1
213	если он	1	1
214	от природы	1	1
215	так сказать	1	1
216	роли в	1	1
217	отцов и	1	1
218	объясняется и	1	1
219	к одному	1	1
220	душу и	1	1
221	на земле	1	1
222	на этом	1	1
223	что она	2	1
224	от нее	1	1
225	факт что	1	1
226	единственное что	1	1
227	а по	1	1
228	его в	2	1
229	это было	1	1
230	заключается в	1	1
231	было в	2	1
232	это не	5	1
233	лишь на	1	1
234	из первых	1	1
235	к области	2	1
236	ни в	2	1
237	нет в	2	1
238	как и	5	1
239	которой не	1	1
240	человека перед	2	1
241	должно быть	3	1
242	перед собой	1	1
243	почти в	1	1
244	или вообще	1	1
245	в своей	1	1
246	никто не	3	1
247	в такой	1	1
248	мире при	1	1
249	то для	1	1
250	человеком и	1	1
251	знает и	1	1
252	уместно вспомнить	1	1
253	в отличие	2	1
254	должны были	1	1
255	одном из	2	1
256	но эта	2	1
257	превратиться в	1	1
258	по всем	1	1
259	борьбу с	1	1
260	не могли	1	1
261	по себе	1	1
262	но они	2	1
263	что с	3	1
264	того как	1	1
265	судя по	1	1
266	ничего не	2	1
267	способен на	1	1
268	к россии	1	1
269	не нужен	1	1
270	он вполне	1	1
271	и далее	1	1
272	бога но	1	1
273	могут быть	1	1
274	всего что	1	1
275	не есть	1	1
276	с жаром	1	1
277	своего отца	3	1
278	с образом	1	1
279	на нечто	1	1
280	с ее	3	1
281	и образ	1	1
282	людей в	1	1
283	всего этого	1	1
284	в ее	2	1
285	данном случае	2	1
286	в понятие	1	1
287	роль в	1	1
288	таких людей	1	1
289	к смерти	1	1
290	и совершенно	1	1
291	к окончательному	1	1
292	с собой	1	1
293	когда его	1	1
294	чем у	1	1
295	это мы	1	1
296	о моральном	1	1
297	ничего подобного	1	1
298	между собой	1	1
299	он сам	7	1
300	с ним	3	1
301	стремление к	1	1
302	похожим на	1	1
303	и должно	1	1
304	в глаза	2	1
305	любви ко	1	1
306	после того	1	1
307	времени в	2	1
308	все в	1	1
309	связь между	1	1
310	теперь уже	1	1
311	ума и	1	1
312	так обстоит	1	1
313	вполне ясно	1	1
314	не удалось	1	1
315	с судьбой	1	1
316	известно что	1	1
317	мы видим	1	1
318	с ними	1	1
319	дело с	1	1
320	что даже	1	1
321	друг друга	2	1
322	как нечто	1	1
323	на неудачу	1	1
324	и ее	2	1
325	и его	6	1
326	только на	1	1
327	чтобы он	1	1
328	может случиться	1	1
329	в душе	2	1
330	не так	2	1
331	и их	1	1
332	могло бы	1	1
333	чтобы она	1	1
334	не для	1	1
335	с этими	1	1
336	пустоту и	1	1
337	случайное и	1	1
338	у него	6	1
339	жизни на	1	1
340	тем что	2	1
341	быть по	1	1
342	тогда как	1	1
343	это по	1	1
344	характерны для	1	1
345	до начала	1	1
346	в самую	2	1
347	социальной жизни	1	1
348	одну из	1	1
349	о чем	3	1
350	и сильнее	1	1
351	с помощью	1	1
352	в момент	1	1
353	эти слова	1	1
354	бунта против	2	1
355	в данном	2	1
356	и за	2	1
357	в той	1	1
358	смысле этого	1	1
359	думать о	1	1
360	человека и	1	1
361	этого слова	1	1
362	умереть с	1	1
363	но это	4	1
364	о его	2	1
365	не является	1	1
366	известной степени	1	1
367	уже ни	1	1
368	уже далеко	1	1
369	причем в	1	1
370	его с	1	1
371	это как	1	1
372	это уже	2	1
373	бы в	1	1
374	вспомнить что	1	1
375	превратился в	1	1
376	таков второй	1	1
377	указывает на	1	1
378	обстоит дело	1	1
379	к ее	1	1
380	состоит из	2	1
381	совершенно не	1	1
382	к этой	1	1
383	в какой-то	1	1
384	с первого	2	1
