N	2gram	Tiupa_Teor_1	Morfolog
386	и описаны	1	1
387	встречается лишь	1	1
388	по собственному	1	1
389	на которой	1	1
390	д и	1	1
391	о его	1	1
392	субъективно оно	1	1
393	с ними	1	1
394	говорить о	3	1
395	который в	2	1
396	самые разнообразные	1	1
397	также является	1	1
398	все они	1	1
399	форма может	1	1
400	от одной	1	1
401	есть в	2	1
402	что не	1	1
403	дает ему	1	1
404	а и	4	1
405	узнает в	1	1
406	они хотят	1	1
407	вопрос кто	1	1
408	в одном	2	1
409	ее не	1	1
410	у него	1	1
411	момент для	1	1
412	это по	1	1
413	образом что	1	1
414	лишь один	2	1
415	не носит	1	1
416	только на	1	1
417	и даже	2	1
418	со стороны	2	1
419	или иной	4	1
420	точек зрения	1	1
421	на ее	1	1
422	именно в	3	1
423	а именно	2	1
424	это необходимо	1	1
425	еще и	1	1
426	однако что	1	1
427	до этого	1	1
428	в рассказе	2	1
429	не на	2	1
430	непосредственно к	1	1
431	других для	1	1
432	о чем	1	1
433	могут служить	2	1
434	является его	1	1
435	о себе	2	1
436	в одной	1	1
437	и объект	1	1
438	по своему	2	1
439	другу и	1	1
440	в данном	8	1
441	как таковыми	1	1
442	ведет к	1	1
443	отношения к	2	1
444	в ряду	1	1
445	никем не	1	1
446	как будто	2	1
447	о жизни	1	1
448	можно предположить	1	1
449	в формах	2	1
450	пришлось бы	1	1
451	лес но	1	1
452	же самое	1	1
453	в следующей	2	1
454	но на	1	1
455	собой некоторую	1	1
456	чем является	1	1
457	не представляет	1	1
458	е о	2	1
459	могли бы	2	1
460	бы в	1	1
461	том случае	1	1
462	существа так	1	1
463	свое душевное	1	1
464	не будет	2	1
465	между ними	4	1
466	со мной	1	1
467	качестве его	1	1
468	это на	1	1
469	одновременно и	1	1
470	не что	1	1
471	только о	1	1
472	таким же	1	1
473	случае если	1	1
