N	2gram	Propp_Morf_1	PoTuStor
168	не существует	3	2
169	в голову	1	2
170	ни было	2	2
171	не есть	1	2
172	это делает	1	2
173	все остальные	1	2
174	не знает	1	2
175	всех других	1	2
176	есть и	4	2
177	ее в	1	2
178	к этому	3	2
179	можно назвать	3	2
180	они не	1	2
181	переносятся на	1	1
182	и то	1	1
183	он может	2	1
184	дело обстоит	1	1
185	это и	2	1
186	явления и	1	1
187	под которым	1	1
188	что эти	2	1
189	высшей степени	1	1
190	его не	1	1
191	посвящена настоящая	1	1
192	очень широко	1	1
193	мы имеем	9	1
194	и посвящена	1	1
195	вопрос о	7	1
196	не слишком	2	1
197	это достигается	1	1
198	так чтобы	1	1
199	а для	1	1
200	оно есть	1	1
201	не совсем	1	1
202	живое существо	1	1
203	настоящая работа	1	1
204	он был	1	1
205	и различными	1	1
206	бы то	3	1
207	что его	2	1
208	где же	1	1
209	основано на	1	1
210	рабочая гипотеза	1	1
211	одним словом	1	1
212	чем это	2	1
213	но не	4	1
214	пару с	1	1
215	коем случае	1	1
216	заметим что	2	1
217	не входит	1	1
218	значение и	1	1
219	вступают в	3	1
220	с привлечением	1	1
221	право на	2	1
222	что они	2	1
223	в течение	1	1
224	в море	5	1
225	первый взгляд	3	1
226	в рамках	1	1
227	же с	1	1
228	дает нам	1	1
229	все же	7	1
230	в полном	1	1
231	хотя и	3	1
232	увидим что	1	1
233	этой цели	1	1
234	к чему	3	1
235	уже не	2	1
236	та же	2	1
237	точку зрения	1	1
238	привести к	1	1
239	сказать о	2	1
240	предметов и	1	1
241	его мать	1	1
242	в нашем	3	1
243	или во	1	1
244	пользу и	1	1
245	имеем в	6	1
246	во многих	1	1
247	мотив и	2	1
248	на его	4	1
249	что она	2	1
250	быть поняты	1	1
251	главным образом	4	1
252	именно и	1	1
253	образом и	1	1
254	в мифах	1	1
255	приходим к	2	1
256	подобно тому	6	1
257	мы говорили	1	1
258	по его	1	1
259	то ни	3	1
260	как они	1	1
261	этом нет	1	1
262	а то	3	1
263	конечно в	1	1
264	на все	1	1
265	где оно	2	1
266	входит в	2	1
267	это было	3	1
268	и определение	1	1
269	за ней	2	1
270	еще одно	1	1
271	служит в	1	1
272	с тем	2	1
273	этим и	1	1
274	несмотря на	4	1
275	действительно не	1	1
276	их на	1	1
277	нужно только	1	1
278	но если	7	1
279	что до	1	1
280	значение для	1	1
281	но эта	1	1
282	не будем	4	1
283	которые в	1	1
284	однако в	2	1
285	можно ли	1	1
286	на работу	2	1
287	можно указать	1	1
288	с теми	4	1
289	и отсюда	1	1
290	дело в	1	1
291	одна из	4	1
292	же причина	1	1
293	в сущности	3	1
294	в самых	2	1
295	того чтобы	3	1
296	вытекает из	1	1
297	не имеет	2	1
298	это мы	1	1
299	в коем	1	1
300	ничего не	4	1
301	она хочет	1	1
302	во всем	1	1
303	связи с	10	1
304	в виду	1	1
305	характерен для	1	1
306	с другом	1	1
307	и со	1	1
308	от того	3	1
309	следует заметить	2	1
310	же самое	1	1
311	должны быть	1	1
312	к тому	4	1
313	определить ее	1	1
314	что при	2	1
315	она не	2	1
316	его рождения	1	1
317	ничего общего	1	1
318	бы по	1	1
319	без всякого	2	1
320	конечно служит	1	1
321	данном случае	1	1
322	вспомним хотя	1	1
323	приводит к	2	1
324	и что	2	1
325	если они	2	1
326	в другом	2	1
327	можно было	2	1
328	мог бы	1	1
329	не место	1	1
330	еще в	1	1
331	даны в	1	1
332	если бы	2	1
333	остановимся на	1	1
334	связанная с	1	1
335	и здесь	5	1
336	но к	1	1
337	на вопрос	2	1
338	этой работе	1	1
339	плохо если	1	1
340	всего и	1	1
341	мифах и	1	1
342	этот момент	3	1
343	на одном	1	1
344	да в	1	1
345	не более	1	1
346	в другой	1	1
347	деле в	1	1
348	и были	1	1
349	к нему	3	1
350	что здесь	1	1
351	но так	1	1
352	на другие	2	1
353	дело с	1	1
354	мы увидим	8	1
355	их мы	1	1
356	никак нельзя	1	1
357	об их	1	1
358	с одной	1	1
359	же законы	1	1
360	в качестве	5	1
361	себя в	1	1
362	в нашей	1	1
363	только такое	1	1
364	не дает	1	1
365	в борьбу	1	1
366	его и	2	1
367	перевести на	1	1
368	наука о	2	1
369	вовсе не	4	1
370	с этими	1	1
371	ее не	1	1
372	как его	1	1
373	случае не	3	1
374	заметить что	8	1
375	как раз	1	1
376	этом отношении	1	1
377	пр как	1	1
378	перейти к	2	1
379	для того	2	1
380	уже совершенно	1	1
381	без всякой	2	1
382	со стороны	3	1
383	в высшей	1	1
384	с другой	8	1
385	на ее	1	1
386	которые можно	1	1
387	эти две	1	1
388	представляет собою	6	1
389	а с	2	1
390	мы еще	1	1
391	в некоторых	3	1
392	у нас	2	1
393	одной стороны	1	1
394	материал в	1	1
395	на этот	1	1
396	а не	11	1
397	книга о	1	1
398	из моментов	1	1
399	не всегда	9	1
400	в связи	9	1
401	в момент	1	1
402	утверждение что	1	1
403	этот мотив	1	1
404	предположить что	1	1
405	в данном	1	1
406	тому как	5	1
407	что же	2	1
408	вне этой	1	1
409	из этой	1	1
410	друг с	1	1
411	в состоянии	1	1
412	очень важный	1	1
413	о мотивах	2	1
414	быть не	1	1
415	есть то	1	1
416	о его	1	1
417	этом и	1	1
418	точно и	1	1
419	работу в	1	1
420	мы скажем	1	1
421	это уже	3	1
422	известной степени	1	1
423	потому не	1	1
424	она может	1	1
425	но теоретически	1	1
426	и ни	1	1
427	все события	1	1
428	на других	1	1
429	теряет свою	1	1
430	мы должны	3	1
431	только что	2	1
432	же в	2	1
433	входить в	2	1
434	здесь только	1	1
435	является его	1	1
436	все органические	1	1
437	или при	2	1
438	работы и	1	1
439	а ведь	1	1
440	а во	1	1
441	в точности	3	1
442	на своем	1	1
443	его хорошо	1	1
444	как на	1	1
