N	2gram	Berdyaev_N_1	KulturaY
207	к той	1	1
208	от всякого	2	1
209	ко времени	1	1
210	говорить о	1	1
211	старых эпох	1	1
212	социальное значение	1	1
213	но он	1	1
214	совершающееся в	1	1
215	что нет	1	1
216	и сейчас	1	1
217	ничем не	1	1
218	было и	1	1
219	нет в	1	1
220	для себя	1	1
221	к старой	1	1
222	чтобы эти	1	1
223	это время	1	1
224	не достигается	1	1
225	думать что	2	1
226	большинстве случаев	1	1
227	в каких	1	1
228	к лицу	3	1
229	может уже	2	1
230	этот переход	1	1
231	том случае	1	1
232	культуры но	1	1
233	то он	1	1
234	нужно будет	1	1
235	но переходит	1	1
236	к ее	3	1
237	в эти	1	1
238	человеческой жизни	1	1
239	в жизни	5	1
240	и распадается	1	1
241	есть признак	1	1
242	власти в	1	1
243	он также	1	1
244	и во	1	1
245	на место	1	1
246	в конце	1	1
247	говорим о	1	1
248	или иная	1	1
249	во всех	3	1
250	на нем	1	1
251	нашей эпохи	3	1
252	наряду с	3	1
253	значение в	1	1
254	жизнь в	1	1
255	менее всего	1	1
256	мировую войну	1	1
257	эти слова	1	1
258	движения и	1	1
259	быть только	1	1
260	тогда не	1	1
261	только одна	1	1
262	совсем не	12	1
263	это всегда	1	1
264	выход из	1	1
265	не хотят	2	1
266	процессы в	1	1
267	случае если	1	1
268	и только	1	1
269	жизни в	3	1
270	что такова	1	1
271	он видел	1	1
272	совершенно невозможно	1	1
273	что ничего	1	1
274	возвращение к	3	1
275	и русский	1	1
276	не хочет	1	1
277	в ее	3	1
278	культуры в	5	1
279	как не	8	1
280	сами по	1	1
281	жадность к	1	1
282	только мгновение	1	1
283	и культур	1	1
284	не имел	1	1
285	культуры она	2	1
286	значение все	1	1
287	к вопросу	1	1
288	мысли в	2	1
289	мысли и	2	1
290	в россии	3	1
291	в природе	2	1
292	делается в	1	1
293	вот что	1	1
294	я хочу	1	1
295	что этот	1	1
296	в новом	2	1
297	в отличие	1	1
298	переходит в	1	1
299	вообще не	1	1
300	более не	2	1
301	все время	2	1
302	тут мы	1	1
303	отличие от	1	1
304	общества конечно	1	1
305	я могу	1	1
306	них не	1	1
307	и философы	1	1
308	истории в	5	1
309	в мировую	1	1
310	нового времени	12	1
311	связана с	2	1
312	смысле слова	3	1
313	жизни и	8	1
314	в чем	1	1
315	своего рода	1	1
316	и от	2	1
317	но тут	1	1
318	и поставил	1	1
319	времени его	1	1
320	бы сказать	1	1
321	когда она	1	1
322	сказать что	3	1
323	мы в	1	1
324	тогда начинается	1	1
325	сам этот	1	1
326	к тем	1	1
327	к ним	3	1
328	том смысле	1	1
329	вопросу о	1	1
330	к более	2	1
331	вопроса о	1	1
332	и продолжал	1	1
333	образования и	1	1
334	по своему	4	1
335	в наши	3	1
336	идей и	1	1
337	в недрах	1	1
338	одна из	2	1
339	слова в	1	1
340	будто бы	1	1
341	же как	2	1
342	от того	1	1
343	могут быть	2	1
344	также что	1	1
345	но во	1	1
346	это значит	1	1
347	все слова	1	1
348	с одной	2	1
349	или нет	1	1
350	явление он	1	1
351	не для	1	1
352	что вся	1	1
353	себе отношения	1	1
354	себя и	1	1
355	вопрос этот	1	1
356	этих терминов	1	1
357	как результат	1	1
358	есть уже	1	1
359	и когда	1	1
360	народов и	1	1
361	жизнью в	2	1
362	одной стороны	2	1
363	возможно лишь	1	1
364	нет ничего	1	1
365	большую роль	4	1
366	помнить что	2	1
367	истории и	9	1
368	в наше	3	1
369	в которую	1	1
370	все другие	1	1
371	в известном	1	1
372	обратная сторона	1	1
373	которая в	1	1
374	во многом	1	1
375	для чего	2	1
376	та или	1	1
377	в такой	1	1
378	есть и	1	1
379	государства и	4	1
380	ведь и	2	1
381	только для	1	1
382	не был	1	1
383	а также	1	1
384	ему все	1	1
385	и у	1	1
386	себя в	2	1
387	давно уже	1	1
388	лицом к	3	1
389	который в	2	1
390	от нее	1	1
391	все более	1	1
392	должно было	2	1
393	и их	1	1
394	или к	1	1
395	лишь к	1	1
396	есть только	1	1
397	на протяжении	2	1
398	просвещения и	1	1
399	я уже	2	1
400	лишь на	1	1
401	это уже	1	1
402	долгое время	1	1
403	всегда есть	1	1
404	как будто	2	1
405	и другая	1	1
406	нет уже	1	1
407	и старые	1	1
408	который я	1	1
409	что мы	1	1
410	зависит от	2	1
411	вопрос об	1	1
412	всех народов	1	1
413	гораздо больше	1	1
414	к одному	1	1
415	все что	1	1
416	далеко еще	1	1
417	он конечно	1	1
418	я называю	2	1
419	себя все	1	1
420	к революции	2	1
421	но это	6	1
422	но для	2	1
423	времени в	2	1
