N	2gram	Bakhtin_sl_2	Sovremen
167	и действительно	1	1
168	мы всегда	1	1
169	к началу	1	1
170	и ни	2	1
171	для наших	1	1
172	и должно	1	1
173	или как	4	1
174	того же	1	1
175	мы ее	1	1
176	подчеркнуть что	2	1
177	о том	2	1
178	в ней	3	1
179	определенным образом	1	1
180	и иначе	1	1
181	не соответствует	1	1
182	на них	2	1
183	он сам	1	1
184	быть в	1	1
185	же время	4	1
186	что его	1	1
187	его в	4	1
188	с его	7	1
189	во всех	12	1
190	науке и	1	1
191	но конечно	1	1
192	те или	1	1
193	различия между	1	1
194	совсем не	1	1
195	но не	6	1
196	или иные	1	1
197	к этому	1	1
198	но как	2	1
199	точка зрения	2	1
200	по отношению	4	1
201	ним и	2	1
202	во всей	1	1
203	вообще и	1	1
204	может стать	2	1
205	в ту	1	1
206	все время	1	1
207	чем же	1	1
208	идет о	1	1
209	человека как	1	1
210	говорить только	1	1
211	независимо от	2	1
212	в самый	1	1
213	стороны и	3	1
214	этого развития	1	1
215	к нему	3	1
216	более и	1	1
217	один из	5	1
218	кроме того	2	1
219	процессе развития	1	1
220	к различным	2	1
221	одной из	1	1
222	развития все	1	1
223	увидим что	1	1
224	только в	5	1
225	при каких	2	1
226	для ее	1	1
227	за собой	1	1
228	правда и	2	1
229	то он	1	1
230	не приходится	3	1
231	та же	1	1
232	наших целей	1	1
233	явлений не	1	1
234	нами в	1	1
235	конечно не	5	1
236	и те	1	1
237	в большинстве	6	1
238	только на	1	1
239	нельзя говорить	1	1
240	пусть это	1	1
241	этот процесс	1	1
242	и чисто	2	1
243	а это	1	1
244	как определенной	1	1
245	по самому	1	1
246	он не	2	1
247	его и	2	1
248	этом с	1	1
249	и еще	1	1
250	и их	5	1
251	эти три	1	1
252	в корне	1	1
253	сами по	1	1
254	вовсе не	10	1
255	ему принадлежит	1	1
256	случае не	1	1
257	много и	1	1
258	поскольку она	1	1
259	науки в	1	1
260	или так	1	1
261	и только	1	1
262	факт что	2	1
263	и может	1	1
264	в другом	2	1
265	одной стороны	5	1
266	и речи	2	1
267	чем в	2	1
268	на внешней	1	1
269	и т.п	2	1
270	до сих	2	1
271	с другой	5	1
272	как у	1	1
273	именно в	2	1
274	здесь в	3	1
275	но самый	1	1
276	должен был	1	1
277	на которые	1	1
278	в новое	4	1
279	ведь если	1	1
280	ни в	4	1
281	конечно совершенно	1	1
282	но уже	1	1
283	нужно сказать	1	1
284	не было	2	1
285	рядом с	3	1
286	все равно	1	1
287	этого не	1	1
288	и вся	1	1
289	всегда и	1	1
290	несмотря на	1	1
291	не допускает	1	1
292	должно быть	1	1
293	и следовательно	1	1
294	в связи	2	1
295	и становится	1	1
296	том что	5	1
297	в эту	1	1
298	все более	1	1
299	этом случае	6	1
300	при определенных	1	1
301	и при	2	1
302	своему существу	1	1
303	работы в	1	1
304	использовать и	1	1
305	сказать так	1	1
306	выработанные в	1	1
307	и особенно	2	1
308	этот свой	1	1
309	в такой	1	1
310	мы говорим	1	1
311	тот факт	2	1
312	она в	1	1
313	то его	1	1
314	xix века	4	1
315	мы опять	1	1
316	от его	1	1
317	в данном	2	1
318	но эта	2	1
319	которые в	2	1
320	быть только	1	1
321	на различные	1	1
322	силу и	1	1
323	образом на	1	1
324	именно к	2	1
325	и более	2	1
326	важную роль	1	1
327	там где	6	1
328	влечет за	1	1
329	жизни в	2	1
330	если нет	1	1
331	зрения и	2	1
332	по себе	5	1
333	в своем	6	1
334	только о	2	1
335	дело идет	2	1
336	можем сказать	1	1
337	еще раз	3	1
338	и продуктивной	1	1
339	как например	2	1
340	несколько слов	2	1
341	и нет	2	1
342	как будет	1	1
343	сих пор	2	1
344	при условии	1	1
345	с ним	7	1
346	xviii века	1	1
347	она не	6	1
348	быть при	1	1
349	например у	2	1
350	дело в	2	1
351	в процессе	13	1
352	не является	1	1
353	без остатка	1	1
354	указать на	1	1
355	раз подчеркнуть	1	1
356	и от	3	1
357	только не	1	1
358	никогда не	7	1
359	не стремится	1	1
360	или в	2	1
361	это как	1	1
362	человек и	14	1
363	хотя и	2	1
364	только и	2	1
365	это то	1	1
366	себя самого	1	1
367	и подходы	1	1
368	становится сам	1	1
369	или нет	1	1
370	очень мало	1	1
371	самому своему	1	1
372	все они	2	1
373	и его	33	1
374	как всякая	1	1
375	связи с	3	1
376	был прежде	1	1
377	же в	1	1
378	наших дней	1	1
379	но это	3	1
380	падает вместе	1	1
381	все элементы	1	1
382	не знает	2	1
383	сказать что	3	1
384	и для	5	1
385	в духе	1	1
386	развития и	1	1
387	стороне вопроса	1	1
388	продолжается но	1	1
389	человека в	5	1
390	в то	4	1
391	отметить что	3	1
392	в какой	1	1
393	просто не	2	1
394	той или	5	1
395	в своих	1	1
396	отвлекается от	1	1
397	и снова	1	1
398	и свою	1	1
399	свою задачу	1	1
400	два основных	1	1
401	которая не	1	1
402	все что	2	1
403	они не	2	1
404	из многих	1	1
