N	2gram	Propp_Morf_1	DiskursI
310	каждый тип	1	1
311	не столько	1	1
312	что до	1	1
313	как делает	1	1
314	вопрос на	1	1
315	вплоть до	1	1
316	достигается лишь	1	1
317	данный текст	1	1
318	которые в	1	1
319	в россии	2	1
320	тем не	5	1
321	и более	1	1
322	не должно	1	1
323	между двумя	1	1
324	брат и	1	1
325	стоит в	1	1
326	сказки с	5	1
327	до известной	1	1
328	даже не	3	1
329	и художественной	1	1
330	она могла	1	1
331	самого начала	1	1
332	то чего	1	1
333	не имеет	2	1
334	дело в	1	1
335	и притом	1	1
336	не по	2	1
337	в русской	1	1
338	можно указать	1	1
339	xv в	1	1
340	под углом	1	1
341	не вполне	1	1
342	для всех	1	1
343	примерами в	1	1
344	из материала	1	1
345	не все	6	1
346	действительно в	1	1
347	данное понятие	1	1
348	к концу	1	1
349	во всем	1	1
350	углом зрения	1	1
351	содержание сказки	1	1
352	на него	3	1
353	здесь же	3	1
354	как будто	2	1
355	героя а	4	1
356	этом отношении	1	1
357	в каком	2	1
358	перед ним	1	1
359	понятие как	1	1
360	такие же	1	1
361	быть зафиксирована	1	1
362	не могут	4	1
363	встречается в	1	1
364	когда мы	1	1
365	впоследствии на	1	1
366	уже было	1	1
367	и другим	3	1
368	все еще	3	1
369	если же	5	1
370	состоят в	1	1
371	не делает	1	1
372	волшебные сказки	3	1
373	здесь не	2	1
374	здесь также	1	1
375	мысль о	1	1
376	с самого	1	1
377	мнение что	1	1
378	сказки как	2	1
379	что каждый	1	1
380	сложный случай	1	1
381	те же	1	1
382	здесь как	1	1
383	в плоскости	1	1
384	мог бы	1	1
385	как таковые	1	1
386	том как	1	1
387	если бы	2	1
388	собой и	1	1
389	но здесь	1	1
390	то они	2	1
391	всех подобных	1	1
392	на что	1	1
393	что его	2	1
394	они принадлежат	1	1
395	по их	3	1
396	к нему	3	1
397	том или	1	1
398	а потому	1	1
399	морфология сказки	1	1
400	в саду	1	1
401	вслед за	5	1
402	делает это	1	1
403	герой в	1	1
404	что здесь	1	1
405	в формах	1	1
406	он обращается	1	1
407	которых она	1	1
408	с ними	1	1
409	и действительно	1	1
410	они по	1	1
411	комплекс мотивов	1	1
412	например с	2	1
413	или же	6	1
414	сказки в	2	1
415	со всеми	1	1
416	чаще всего	7	1
417	до наших	2	1
418	с двумя	2	1
419	что сказка	3	1
420	человека эта	1	1
421	вопроса о	1	1
422	в большинстве	3	1
423	только на	1	1
424	в нашей	1	1
425	в виде	2	1
426	если в	5	1
427	слова не	1	1
428	всех видов	1	1
429	соглашаясь с	1	1
430	большинстве случаев	3	1
431	его и	2	1
432	но для	2	1
433	за ним	1	1
434	он имеет	1	1
435	видов не	1	1
436	иногда не	1	1
437	и их	2	1
438	всяком случае	2	1
439	друг друга	3	1
440	мы можем	2	1
441	как раз	1	1
442	их по	3	1
443	должны рассматриваться	1	1
444	представляют собой	11	1
445	момент в	1	1
446	быть названа	1	1
447	чему не	2	1
448	но эти	1	1
449	не сообщает	2	1
450	в области	1	1
451	с другим	1	1
452	до сих	1	1
453	может ли	1	1
454	он ничего	1	1
455	сюда же	3	1
456	а именно	1	1
457	лица в	1	1
458	и создает	1	1
459	другим что	1	1
460	а впоследствии	1	1
461	было бы	3	1
462	представляет собою	6	1
463	еще и	1	1
464	себя и	2	1
465	на которых	1	1
466	эту форму	1	1
467	зависит и	1	1
468	на русском	1	1
469	стремится к	1	1
470	не на	2	1
471	что так	1	1
472	этом основании	1	1
473	научной литературе	1	1
474	этом случае	8	1
475	несмотря на	4	1
476	в связи	9	1
477	действия в	1	1
478	значение или	1	1
479	с помощью	1	1
480	для последующей	1	1
481	но оно	2	1
482	является его	1	1
483	исходить из	1	1
484	до этого	1	1
485	в некое	1	1
486	как это	3	1
487	некоторые из	1	1
488	весьма ограниченно	1	1
489	более широкого	1	1
490	в иных	4	1
491	приводит в	1	1
492	и басни	2	1
493	является функцией	1	1
494	наряду с	5	1
495	в той	1	1
496	к чему	3	1
497	обычно оно	1	1
498	только о	1	1
499	своего труда	1	1
500	сказки не	3	1
501	быть и	2	1
502	сих пор	1	1
503	о его	1	1
504	в чем	1	1
505	мотивов но	1	1
506	тому или	1	1
507	это явление	4	1
508	тех или	1	1
509	это уже	3	1
510	в следующей	1	1
511	случаях когда	2	1
512	указать на	1	1
513	не существует	3	1
514	в результате	7	1
515	вопрос о	7	1
516	не обязывающий	1	1
517	или нет	2	1
518	от того	3	1
519	мы должны	3	1
520	но это	6	1
521	том случае	1	1
522	или не	3	1
523	здесь только	1	1
524	сведения о	1	1
525	не знает	1	1
526	как нечто	1	1
527	для каждой	2	1
528	всех других	1	1
529	в отдельности	1	1
530	собой некоторую	1	1
531	в свое	2	1
532	на своем	1	1
533	в голову	1	1
534	также не	1	1
535	и другие	6	1
536	случае если	1	1
537	или во	1	1
538	из головы	1	1
539	следует сказать	1	1
540	в таком	1	1
