N	2gram	Propp_Morf_1	NovoeSre
242	самая постановка	1	1
243	до этого	1	1
244	только для	1	1
245	одну из	1	1
246	установить что	1	1
247	не столько	1	1
248	не должно	1	1
249	у нас	2	1
250	мы опять	1	1
251	в силу	1	1
252	не удалось	1	1
253	становится все	1	1
254	но он	1	1
255	эту мысль	1	1
256	мы должны	3	1
257	и более	1	1
258	их в	1	1
259	что этот	1	1
260	в состоянии	1	1
261	быть не	1	1
262	есть всегда	1	1
263	в это	1	1
264	в той	1	1
265	от своих	1	1
266	сих пор	1	1
267	так как	16	1
268	не свободен	1	1
269	о формах	2	1
270	она могла	1	1
271	должны быть	1	1
272	она должна	1	1
273	в сущности	3	1
274	не по	2	1
275	это уже	3	1
276	до сих	1	1
277	совершается в	2	1
278	не достигается	1	1
279	а во	1	1
280	или нет	2	1
281	и погоня	1	1
282	к этой	1	1
283	к ней	1	1
284	и его	1	1
285	а также	4	1
286	или не	3	1
287	но наряду	1	1
288	мы переходим	1	1
289	все более	1	1
290	вступает в	1	1
291	нет они	1	1
292	в области	1	1
293	в каком	2	1
294	всего мира	1	1
295	есть и	4	1
296	ли он	1	1
297	в которой	3	1
298	огромное значение	2	1
299	и обнаруживается	1	1
300	он узнает	1	1
301	во всяком	2	1
302	то они	2	1
303	случае если	1	1
304	оно не	2	1
305	как на	1	1
