N	2gram	Bakhtin_sl_1	VeschiIm
583	этими словами	1	1
584	к той	1	1
585	в других	3	1
586	в очень	1	1
587	вне ее	1	1
588	где в	1	1
589	до сих	2	1
590	осмысления и	2	1
591	приходится брать	1	1
592	исходят из	1	1
593	перестают быть	1	1
594	которых мы	1	1
595	и прежде	1	1
596	и неразрывно	1	1
597	суть чисто	1	1
598	ничего что	1	1
599	одной стороны	4	1
600	и самый	1	1
601	жизнь в	2	1
602	его как	2	1
603	как ни	1	1
604	когда она	1	1
605	с которым	2	1
606	входить в	1	1
607	нет ничего	1	1
608	и она	1	1
609	не существенно	1	1
610	себя то	1	1
611	не видят	2	1
612	вокруг себя	1	1
613	по существу	3	1
614	друг с	2	1
615	в состоянии	1	1
616	лежит в	4	1
617	как две	1	1
618	мы сказали	4	1
619	в изучении	1	1
620	этого слова	1	1
621	и формы	4	1
622	слова и	13	1
623	как из	1	1
624	сих пор	2	1
625	глубины и	1	1
626	смыслового и	1	1
627	не знаем	1	1
628	на одной	1	1
629	не является	2	1
630	слово от	1	1
631	или в	8	1
632	имеет дело	2	1
633	его с	1	1
634	о котором	1	1
635	на анализе	1	1
636	эта точка	1	1
637	с абстрактным	1	1
638	лишь как	3	1
639	у них	2	1
640	как явление	1	1
641	ибо в	1	1
642	чисто смысловые	1	1
643	зрения в	1	1
644	реагирует на	1	1
645	кроме самого	1	1
646	одной из	3	1
647	становления и	1	1
648	слово в	10	1
649	всякий смысл	1	1
650	с ней	2	1
651	только как	1	1
652	другой стороны	4	1
653	дело с	1	1
654	него то	1	1
655	из этого	3	1
656	сам в	1	1
657	ли он	4	1
658	в действительности	1	1
659	к чисто	1	1
660	и строит	1	1
661	но эти	3	1
662	и оформлены	1	1
663	и эта	2	1
664	к этому	2	1
665	в таком	1	1
666	они не	1	1
667	которая не	3	1
