N	2gram	Nazirov_Tv_1	Tragedij
124	зла в	1	2
125	в записках	4	2
126	оскорбленных в	1	2
127	он не	8	2
128	что она	2	2
129	но все	1	2
130	что все	3	2
131	его в	1	2
132	знает что	1	2
133	дома и	1	2
134	в глазах	1	2
135	ни в	1	2
136	с тем	1	2
137	не мог	2	2
138	в отличие	2	2
139	моральный эстетизм	2	2
140	но эта	1	2
141	не в	2	2
142	что этот	1	2
143	к обществу	1	2
144	романа достоевского	3	2
145	одна из	2	2
146	не имеет	1	2
147	в русском	1	2
148	xix веке	1	2
149	достоевским в	4	2
150	не могут	1	2
151	он и	1	2
152	к тому	2	2
153	и это	1	2
154	году в	2	2
155	но при	1	2
156	в ее	1	2
157	данном случае	2	2
158	что делать?	1	2
159	сей день	1	2
160	веру в	1	2
161	еще в	2	2
162	как у	1	2
163	а что	2	2
164	лицо его	2	2
165	и здесь	1	2
166	о том	6	2
167	в глаза	2	2
168	времени в	13	2
169	нелли это	1	2
170	что и	2	2
171	белых ночей	3	2
172	в неточке	2	2
173	бросается в	1	2
174	князь мышкин	3	2
175	в том	7	2
176	преступлении и	4	2
177	даже если	1	2
178	который в	3	2
179	по мнению	3	2
180	и ее	1	2
181	человеческой личности	3	2
182	уже не	3	2
183	неточка незванова	3	2
184	в виде	3	2
185	в душе	1	2
186	не так	3	2
187	в одном	1	2
188	не случайно	4	2
189	тем что	1	2
190	из мертвого	1	2
191	с иваном	1	2
192	чем он	1	2
193	говорит о	3	2
194	до конца	2	2
195	в рассказе	3	2
196	было в	2	2
197	я тебе	1	2
198	в данном	2	2
199	ненависть к	1	2
200	очень важно	1	2
201	против мира	1	2
202	о его	1	2
203	великий писатель	1	2
204	еще раз	1	2
205	это уже	5	2
206	для достоевского	4	2
207	потому что	5	2
208	личности и	2	2
209	и наказании	4	2
210	в частности	2	2
211	мертвого дома	2	2
212	по сей	1	2
213	во сне	1	2
214	русской литературы	2	2
215	в таком	1	2
216	точно так	2	2
217	я и	3	1
218	только он	1	1
219	маски в	1	1
220	ту же	3	1
221	перед раскольниковым	1	1
222	и т	3	1
223	одним из	4	1
224	в сфере	1	1
225	бунта его	1	1
226	он считает	1	1
227	человека и	4	1
228	отметим что	1	1
229	терпеть не	1	1
230	самом деле	2	1
231	тип эстетствующего	1	1
232	можно выразиться	1	1
233	к своей	1	1
234	это и	3	1
235	на деле	2	1
236	и есть	1	1
237	присутствия рока	1	1
238	из неточки	2	1
239	с адом	1	1
240	в мыслях	1	1
241	сам автор	1	1
242	исходит из	1	1
243	имеет исключительное	1	1
244	той же	3	1
245	сильное впечатление	1	1
246	на пороге	1	1
247	собой как	1	1
248	xvii века	1	1
249	не вполне	1	1
250	на себя	1	1
251	мечтателя из	1	1
252	событий и	1	1
253	достоевский прямо	1	1
254	в виду	2	1
255	весь свет	1	1
256	не способен	1	1
257	за два	2	1
258	из ее	1	1
259	откуда же	1	1
260	в ней	2	1
261	в xix	1	1
262	и высокое	2	1
263	представляет собой	3	1
264	между собой	1	1
265	в чем	2	1
266	во всех	1	1
267	в двойнике	1	1
268	больших романах	3	1
269	в петербурге	4	1
270	но не	3	1
271	в голове	1	1
272	использовал материал	1	1
273	тогда как	1	1
274	некоторые черты	1	1
275	и достоевский	2	1
276	мелкой буржуазии	1	1
277	в настоящем	2	1
278	к сожалению	1	1
279	в истории	1	1
280	замысел и	1	1
281	он перестает	1	1
282	незванова прошедшая	1	1
283	достоевского не	6	1
284	голядкина в	1	1
285	мысль о	2	1
286	и наконец	2	1
287	дается в	1	1
288	из книги	1	1
289	романе униженные	1	1
290	от какого-то	1	1
291	них он	1	1
292	отнесены к	1	1
293	для ее	1	1
294	смеются и	1	1
295	добро и	1	1
296	то в	2	1
297	со своей	1	1
298	в которой	3	1
299	при создании	1	1
300	сливается с	3	1
301	его правоту	1	1
302	он в	1	1
303	это тот	1	1
304	этого образа	1	1
305	унижение становится	1	1
306	как он	1	1
307	исповедь ставрогина	1	1
308	если он	1	1
309	человек не	1	1
310	и если	1	1
311	три года	1	1
312	эпилоге романа	1	1
313	так сказать	2	1
314	чем для	1	1
315	пушкина и	1	1
316	перестает быть	1	1
317	не значит	1	1
318	сознает свою	1	1
319	чем у	1	1
320	к одному	1	1
321	не к	1	1
322	двух больших	1	1
323	душу и	1	1
324	страдания и	2	1
325	в россии	3	1
326	способен на	1	1
327	и по	3	1
328	на этом	1	1
329	на свете	2	1
330	таким образом	5	1
331	и холод	1	1
332	терпит поражение	1	1
333	но без	2	1
334	повторяет в	1	1
335	здесь мы	2	1
336	прекрасное и	2	1
337	а затем	2	1
338	эта книга	1	1
339	же не	1	1
340	для характеристики	1	1
341	правда что	1	1
342	за то	2	1
343	им как	1	1
344	самого автора	1	1
345	в финале	4	1
346	и чтобы	1	1
347	волосы и	1	1
348	мечту о	1	1
349	описывает свои	1	1
350	на ту	1	1
351	на все	1	1
352	послужил прототипом	1	1
353	трагедии личности	1	1
354	натуральной школы	2	1
355	это было	1	1
356	заключается в	1	1
357	мира сего	1	1
358	с безграничным	1	1
359	времени так	1	1
360	вспомним как	1	1
361	известно что	2	1
362	этом романе	2	1
363	а это	1	1
364	характерный для	1	1
365	ты мне	1	1
366	лишь на	1	1
367	эпистолярного романа	1	1
368	повод для	1	1
369	но затем	1	1
370	был опубликован	1	1
371	в них	1	1
372	достоевский и	3	1
373	он же	1	1
374	достоевского и	3	1
375	выражают его	1	1
376	что ему	1	1
377	бессмертие души	1	1
378	на грани	1	1
379	петра александровича	2	1
380	из подполья	13	1
381	этого персонажа	1	1
382	тот самый	1	1
383	мировой литературы	1	1
384	всю жизнь	1	1
385	творчество молодого	1	1
386	эту тему	1	1
387	когда я	2	1
388	ведет к	2	1
389	это предвещает	1	1
390	и прямо	1	1
391	все как	1	1
392	мертвецы в	1	1
393	почти в	1	1
394	свободы воли	2	1
395	л п	2	1
396	но если	3	1
397	в своей	4	1
398	с годами	1	1
399	этой связи	2	1
400	ощущение что	1	1
401	к истории	1	1
402	людям в	1	1
403	в котором	6	1
404	человеком и	1	1
405	не столько	2	1
406	представление о	3	1
407	через каторгу	1	1
408	в черновиках	2	1
409	миф о	1	1
410	знал и	1	1
411	сам же	1	1
412	и вот	1	1
413	я скажу	1	1
414	но он	2	1
415	тем не	2	1
416	такое решение	1	1
417	борьбу с	1	1
418	на всю	1	1
419	по себе	1	1
420	тому что	1	1
421	в эпилоге	4	1
422	и прозе	1	1
423	истории по	1	1
424	сто тысяч	1	1
425	не менее	6	1
426	вплоть до	1	1
427	сам сознает	1	1
428	что эта	1	1
429	она не	1	1
430	на земле	3	1
431	вместе и	1	1
432	самого начала	3	1
433	считает что	1	1
434	него была	1	1
435	неточке незвановой	1	1
436	от достоевского	1	1
437	творчества достоевского	4	1
438	но только	2	1
439	этой схемы	1	1
440	он с	1	1
441	только не	1	1
442	это мы	1	1
443	ним она	1	1
444	контакт с	1	1
445	в самой	1	1
446	м м	11	1
447	его перед	1	1
448	иными словами	2	1
449	и притом	2	1
450	к ней	2	1
451	показал что	1	1
452	и добро	1	1
453	из белых	1	1
454	особое значение	1	1
455	связи с	1	1
456	был так	1	1
457	собственной личности	1	1
458	входят в	1	1
459	соотношение образов	1	1
460	из униженных	1	1
461	что на	1	1
462	в области	1	1
463	ли это	1	1
464	он вполне	1	1
465	и далее	2	1
466	в трагедии	1	1
467	один раз	1	1
468	xx века	1	1
469	по нашему	5	1
470	в момент	4	1
471	к себе	1	1
472	мы узнаем	1	1
473	своей книге	1	1
474	могут быть	2	1
475	достоевский явно	1	1
476	строится как	1	1
477	в недрах	1	1
478	свою личную	1	1
479	что оно	1	1
480	указывает на	1	1
481	не есть	1	1
482	где он	2	1
483	любовь в	1	1
484	того самого	1	1
485	бы неточка	1	1
486	и о	1	1
487	за самим	1	1
488	стихах и	1	1
489	прошедшая через	1	1
490	людей в	2	1
491	всего этого	1	1
492	достоевского к	3	1
493	с каким	2	1
494	с самого	3	1
495	настасьи филипповны	2	1
496	говорили что	1	1
497	протест против	2	1
498	роль в	1	1
499	человека с	2	1
500	эдгара по	1	1
501	над человеком	1	1
502	и опирается	1	1
503	по природе	6	1
504	начала и	1	1
505	не выдержал	1	1
506	во многом	7	1
507	заставляет вспомнить	1	1
508	бедных людей	1	1
509	в последней	1	1
510	быть может	2	1
511	в эпоху	1	1
512	стремление к	2	1
513	а по	2	1
514	здесь достоевский	1	1
515	и должно	1	1
516	вот почему	3	1
517	году и	1	1
518	мире достоевского	3	1
519	но мы	1	1
520	достоевского все	1	1
521	она всегда	1	1
522	потрясающей силой	1	1
523	в исповеди	1	1
524	с того	1	1
525	и ненормальной	2	1
526	раскольникова и	1	1
527	чтобы не	1	1
528	мы понимаем	1	1
529	от него	1	1
530	восходит к	1	1
531	теме в	1	1
532	связь между	1	1
533	добра и	3	1
534	между тем	1	1
535	уже чисто	1	1
536	нуждается в	1	1
537	александрович валковский	1	1
538	достоевского тема	1	1
539	отметить что	1	1
540	все время	1	1
541	в жизнь	1	1
542	xix век	1	1
543	в литературе	2	1
544	того что	3	1
545	и демоническое	1	1
546	он стал	1	1
547	с ними	1	1
548	только в	5	1
549	петр александрович	3	1
550	молодого достоевского	5	1
551	приходит в	1	1
552	что ж	1	1
553	петербургские сновидения	2	1
554	против всех	1	1
555	с одной	1	1
556	всегда с	1	1
557	вот что	1	1
558	и любви	1	1
559	так можно	1	1
560	петровичем как	1	1
561	только на	2	1
562	не знать	1	1
563	свидетельствует о	2	1
564	которых можно	1	1
565	в больших	1	1
566	рассказывает о	1	1
567	достоевский сделал	1	1
568	был прав	1	1
569	на столе	1	1
570	русских раскольников	1	1
571	одно из	1	1
572	и их	1	1
573	могло бы	1	1
574	т п	2	1
575	ее не	1	1
576	лучше меня	1	1
577	к ним	1	1
578	второй части	2	1
579	идет в	1	1
580	жизни на	1	1
581	времени? в	1	1
582	переплетается с	1	1
583	и герои	1	1
584	никого не	1	1
585	возникший в	1	1
586	развития в	1	1
587	с другим	1	1
588	вопрос об	1	1
589	именно в	2	1
590	к роману	1	1
591	что не	2	1
592	объясняется тем	1	1
593	бесах с	1	1
594	естественно что	1	1
595	не было	1	1
596	и стал	1	1
597	а на	1	1
598	в образах	2	1
599	а князь	1	1
600	на этот	1	1
601	нашему мнению	5	1
602	в ребенке	1	1
603	не верит	1	1
604	в евангелии	1	1
605	а не	5	1
606	с которым	2	1
607	его как	2	1
608	из петербурга	1	1
609	школы с	1	1
610	в связи	1	1
611	иван карамазов	2	1
612	виде в	1	1
613	с помощью	1	1
614	людей достоевский	1	1
615	бессмысленной и	2	1
616	эти слова	2	1
617	достоевский стремился	1	1
618	вместе с	2	1
619	он упоминает	1	1
620	до этого	2	1
621	достоевский к	1	1
622	эта связь	1	1
623	намек на	2	1
624	в духе	2	1
625	да я	2	1
626	всех людей	1	1
627	в человеке	4	1
628	xix века	6	1
629	в моей	1	1
630	если так	1	1
631	видит в	1	1
632	в романах	13	1
633	наряду с	1	1
634	столкновение с	1	1
635	сновидения в	2	1
636	него есть	2	1
637	писателя к	1	1
638	пародия на	1	1
639	с этой	1	1
640	и от	4	1
641	это выражение	1	1
642	так ли	2	1
643	и зло	1	1
644	в книге	3	1
645	исключительное значение	1	1
646	из дома	1	1
647	на улице	1	1
648	подполья это	1	1
649	при таком	1	1
650	причем в	2	1
651	вот его	1	1
652	это как	3	1
653	в двух	2	1
654	о нем	1	1
655	из себя	2	1
656	русский перевод	1	1
657	за три	1	1
658	у которого	1	1
659	но у	1	1
660	конце концов	1	1
661	хотя бы	5	1
662	что ты	2	1
663	только что	2	1
664	я в	1	1
665	очень хорошо	1	1
666	в стихах	2	1
667	этой теме	1	1
668	жизни в	6	1
669	героя и	2	1
670	необходимое условие	1	1
671	но этот	1	1
672	ко всему	1	1
673	т е	1	1
674	и жизнь	1	1
675	время он	2	1
676	с потрясающей	1	1
677	к этой	1	1
678	свидригайлов перед	1	1
679	пришел в	1	1
680	это в	3	1
681	своих прежних	1	1
