N	2gram	Berdyaev_M_1	Stilisti
130	в котором	8	3
131	в одном	1	3
132	от того	1	3
133	что и	4	3
134	и даже	1	3
135	и эта	1	3
136	конце концов	2	3
137	если не	1	3
138	природы он	2	3
139	в начале	2	3
140	и для	2	3
141	в конструкции	1	3
142	для нас	3	3
143	и все	10	3
144	не знает	4	3
145	сказать что	2	3
146	я и	1	2
147	также и	2	2
148	человека и	14	2
149	и этот	4	2
150	его не	3	2
151	мы имеем	1	2
152	вопрос о	2	2
153	ответить на	1	2
154	и он	12	2
155	иное как	1	2
156	природы и	1	2
157	но не	8	2
158	должны были	1	2
159	отношение к	4	2
160	себе и	2	2
161	как в	2	2
162	почувствовал что	2	2
163	и нет	2	2
164	целый ряд	1	2
165	которая и	1	2
166	между двумя	1	2
167	чего же	2	2
168	человеком в	1	2
169	к чему	2	2
170	бы и	3	2
171	все эти	2	2
172	бы не	2	2
173	и те	2	2
174	человек не	10	2
175	этот процесс	3	2
176	к миру	2	2
177	и сам	1	2
178	по своему	2	2
179	человек с	1	2
180	человека в	13	2
181	значительной степени	1	2
182	общества в	1	2
183	есть не	4	2
184	с этим	3	2
185	в жизни	3	2
186	россии от	1	2
187	в этих	4	2
188	в своей	15	2
189	ли он	1	2
190	в отношении	1	2
191	что вся	1	2
192	место в	2	2
193	в которых	4	2
194	в мире	10	2
195	не должно	1	2
196	в основе	2	2
197	что иное	1	2
198	ведь может	1	2
199	был и	1	2
200	в каком	2	2
201	в движении	3	2
202	все то	1	2
203	не есть	9	2
204	вращается вокруг	3	2
205	из всего	1	2
206	в пределах	1	2
207	и когда	2	2
208	с собой	3	2
209	подойти к	1	2
210	быть может	7	2
211	в глубинах	1	2
212	с ним	2	2
213	по своей	2	2
214	в значительной	1	2
215	к нему	7	2
216	находит свое	1	2
217	в середине	4	2
218	не должен	1	2
219	в него	3	2
220	в том	6	2
221	одной из	1	2
222	что он	10	2
223	человека с	2	2
224	в душе	1	2
225	для него	11	2
226	себе в	1	2
227	для них	3	2
228	тем что	4	2
229	даже и	2	2
230	нужно было	1	2
231	а на	1	2
232	к которому	1	2
233	связано с	2	2
234	не было	18	2
235	до конца	14	2
236	разных местах	1	2
237	нет ничего	7	2
238	и потому	10	2
239	у человека	5	2
240	перейти в	1	2
241	должно быть	3	2
242	про себя	1	2
243	сих пор	2	2
244	но это	1	2
245	это выражение	1	2
246	только одна	1	2
247	войти в	1	2
248	а к	1	2
249	ни к	1	2
250	действительной жизни	1	2
251	этот вопрос	1	2
252	с ней	2	2
253	в частности	1	2
254	к этому	2	2
255	в своих	1	2
256	это художественное	1	1
257	с новыми	2	1
258	смысле слова	4	1
259	к людям	1	1
260	ту же	1	1
261	также что	1	1
262	одним из	2	1
263	чтобы не	2	1
264	от самой	1	1
265	чувствовать себя	1	1
266	по отдельным	1	1
267	не остается	2	1
268	в христианском	4	1
269	переход от	1	1
270	его со	1	1
271	и до	1	1
272	жизни ее	1	1
273	и самое	1	1
274	в их	4	1
275	из всех	1	1
276	важно для	1	1
277	всего того	1	1
278	в наш	1	1
279	характер его	1	1
280	движение в	2	1
281	еще до	1	1
282	принадлежит к	1	1
283	я не	1	1
284	жизни как	1	1
285	ему в	1	1
286	себе что	1	1
287	не одно	1	1
288	иное отношение	1	1
289	не был	7	1
290	бытие человека	1	1
291	природу в	2	1
292	одним словом	1	1
293	смысл же	1	1
294	из сторон	1	1
295	к которой	1	1
296	и всякий	1	1
297	в сторону	1	1
298	если в	1	1
299	иногда и	1	1
300	относится к	2	1
301	в истории	2	1
302	как говорит	1	1
303	более чем	1	1
304	в одной	1	1
305	что человеческая	1	1
306	в своем	10	1
307	и есть	14	1
308	когда он	3	1
309	героев достоевского	2	1
310	был связан	1	1
311	писателя как	1	1
312	увидим что	4	1
313	человеческое общество	2	1
314	от этого	2	1
315	за собой	2	1
316	со своей	1	1
317	с той	1	1
318	существует лишь	1	1
319	он в	2	1
320	с их	2	1
321	тем он	2	1
322	движение и	1	1
323	только один	2	1
324	имеем в	1	1
325	имеет для	1	1
326	вообще не	2	1
327	что без	2	1
328	это связано	1	1
329	в первых	1	1
330	был только	1	1
331	он ни	2	1
332	он не	24	1
333	которой не	1	1
334	должно ли	1	1
335	ключ к	1	1
336	но отношение	2	1
337	всех этих	1	1
338	он должен	3	1
339	истории на	1	1
340	к одному	1	1
341	этого вопроса	1	1
342	не как	4	1
343	в силу	1	1
344	общество и	1	1
345	на этом	3	1
346	лишь с	1	1
347	прежде чем	2	1
348	личности все	1	1
349	на все	1	1
350	на протяжении	2	1
351	дома и	1	1
352	искусства в	1	1
353	так совершенно	1	1
354	понять его	2	1
355	не совпадает	1	1
356	одна и	1	1
357	всю свою	1	1
358	истории и	2	1
359	должен был	4	1
360	весь мир	1	1
361	этот мир	2	1
362	человека на	5	1
363	на всякое	1	1
364	нет в	4	1
365	выражений нет	1	1
366	жизнь за	1	1
367	с этой	4	1
368	протекает в	1	1
369	с еще	1	1
370	лучше всего	1	1
371	бы построить	1	1
372	литература и	1	1
373	в еще	1	1
374	он уходит	1	1
375	нее и	1	1
376	к тем	1	1
377	совершающуюся в	1	1
378	по сравнению	2	1
379	оказывается что	2	1
380	мысли и	2	1
381	не путем	1	1
382	и уж	2	1
383	тогда только	2	1
384	нельзя было	1	1
385	и жизнь	2	1
386	поэтому в	1	1
387	для многих	1	1
388	творчества и	1	1
389	обращение к	1	1
390	и эти	1	1
391	как от	1	1
392	из одного	1	1
393	зрения и	1	1
394	человека но	4	1
395	и вся	1	1
396	произведения и	1	1
397	ему как	1	1
398	если и	1	1
399	с миром	1	1
400	не менее	1	1
401	еще тесно	1	1
402	с которой	2	1
403	она не	4	1
404	этими двумя	1	1
405	в русской	1	1
406	на два	1	1
407	мы все	1	1
408	россии но	1	1
409	двумя мирами	1	1
410	заявляет о	1	1
411	в самой	7	1
412	находятся в	1	1
413	с одним	1	1
414	долг как	1	1
415	на природу	2	1
416	же этот	1	1
417	ничто не	1	1
418	так называемый	2	1
419	его понимания	2	1
420	и оно	1	1
421	не могут	5	1
422	одну и	1	1
423	было уже	1	1
424	все еще	1	1
425	должен быть	2	1
426	человек сам	1	1
427	приходит к	1	1
428	и о	1	1
429	отношения и	2	1
430	будет видно	1	1
431	указывать на	1	1
432	это еще	1	1
433	его художественного	1	1
434	можно сделать	1	1
435	уже с	1	1
436	человеческого сознания	2	1
437	культуры и	1	1
438	лучше сказать	1	1
439	и характер	1	1
440	человека для	1	1
441	и ту	1	1
442	что ведь	2	1
443	не отражает	1	1
444	с самим	2	1
445	в социальном	1	1
446	все свои	1	1
447	еще в	2	1
448	является в	1	1
449	с человеком	1	1
450	слова а	1	1
451	может в	1	1
452	и историческое	2	1
453	их но	1	1
454	каждый раз	1	1
455	именно потому	1	1
456	и та	1	1
457	и что	2	1
458	мог бы	4	1
459	у достоевского	42	1
460	и кровь	2	1
461	все его	3	1
462	ли человек	2	1
463	может не	2	1
464	знает что	1	1
465	и во	2	1
466	путь к	1	1
467	между тем	1	1
468	этот момент	1	1
469	творчества в	1	1
470	противоречия и	1	1
471	но нет	1	1
472	примыкает к	1	1
473	твердой и	1	1
474	бросается в	1	1
475	социальной среды	3	1
476	себе даже	2	1
477	живая истина	1	1
478	бы из	1	1
479	в вопросе	1	1
480	и действительно	1	1
481	ведь как	1	1
482	и после	1	1
483	он уже	6	1
484	между этими	1	1
485	бога ни	1	1
486	в эти	1	1
487	же он	1	1
488	с какой	1	1
489	так что	1	1
490	же и	1	1
491	это ни	1	1
492	к какому	1	1
493	которому он	1	1
494	был очень	2	1
495	в нашей	1	1
496	его с	2	1
497	сознание как	1	1
498	что вообще	1	1
499	не стал	2	1
500	по отношению	2	1
501	он принадлежит	1	1
502	был бы	10	1
503	цели и	1	1
504	все устойчивые	1	1
505	вовсе не	1	1
506	ее не	1	1
507	у него	17	1
508	и никогда	1	1
509	своеволие как	1	1
510	процессы в	1	1
511	уже совершенно	1	1
512	в другой	1	1
513	связан с	1	1
514	до сих	2	1
515	каждый человек	1	1
516	за пределы	4	1
517	русской жизни	1	1
518	что человек	3	1
519	и почувствовал	1	1
520	действующих лиц	1	1
521	души и	1	1
522	одного только	1	1
523	окружающего мира	1	1
524	это прежде	1	1
525	и теории	1	1
526	на этот	2	1
527	его как	2	1
528	о чем	2	1
529	ближе к	1	1
530	есть явление	1	1
531	и выражает	1	1
532	но оно	1	1
533	вопросе о	1	1
534	человек должен	6	1
535	в нормальных	1	1
536	пройти через	2	1
537	сравнению с	1	1
538	он будет	1	1
539	в течение	1	1
540	для человека	3	1
541	противоречие не	1	1
542	как к	1	1
543	яснее и	1	1
544	и менее	1	1
545	комнаты и	1	1
546	и различие	1	1
547	более сложный	1	1
548	сознании и	1	1
549	на человека	2	1
550	в более	2	1
551	уж конечно	2	1
552	процесса в	1	1
553	и часто	1	1
554	новое слово	1	1
555	к пониманию	1	1
556	не имея	1	1
557	совершается в	1	1
558	что я	1	1
559	на одном	1	1
560	сознания и	1	1
561	мира и	5	1
562	бы даже	1	1
563	что в	10	1
564	еще более	1	1
565	тем более	1	1
566	выражение которое	1	1
567	в исключительной	1	1
568	будто бы	3	1
569	нельзя ставить	1	1
570	от всякого	1	1
571	но если	3	1
572	лишь по	1	1
573	возможно лишь	1	1
574	от всех	1	1
575	в глаза	1	1
576	в иной	3	1
577	самой своей	1	1
578	человек это	1	1
579	творчества не	1	1
580	отношению к	2	1
581	это и	4	1
582	наряду с	1	1
583	человека к	2	1
584	людям к	1	1
585	идеологию и	1	1
586	те которые	9	1
587	только одного	1	1
588	все что	2	1
