N	2gram	Losev_Vlad_2	Russkaja
246	этот вопрос	1	2
247	по этому	1	2
248	церковь которая	1	2
249	так что	5	2
250	уже не	3	2
251	только на	1	2
252	в начале	4	2
253	его и	2	2
254	не так	1	2
255	ни в	7	2
256	не о	2	2
257	только с	1	2
258	к той	2	2
259	даже и	3	2
260	и даже	10	2
261	а не	7	2
262	на эту	2	2
263	в частности	2	2
264	так же	4	2
265	в течение	5	2
266	отношения к	3	2
267	есть и	2	2
268	но это	4	2
269	от нас	2	2
270	но для	1	2
271	если не	2	2
272	и от	2	2
273	в результате	5	2
274	в настоящее	2	2
275	чтобы понять	1	2
276	с ним	5	2
277	отношении к	1	2
278	бы его	2	2
279	ее в	1	2
280	воле божией	1	2
281	точно так	3	2
282	с новыми	1	1
283	не должны	1	1
284	того же	5	1
285	но тогда	1	1
286	тех же	1	1
287	основан на	1	1
288	не изменит	1	1
289	в среду	1	1
290	ему что	1	1
291	христианства а	1	1
292	культура не	1	1
293	что эти	2	1
294	с таким	1	1
295	со своей	2	1
296	и за	1	1
297	также и	6	1
298	есть не	1	1
299	то совершенно	1	1
300	от всякой	2	1
301	всему этому	2	1
302	мы не	2	1
303	как понятие	1	1
304	нас важно	1	1
305	у себя	1	1
306	славянофильство и	1	1
307	он как	1	1
308	в сущности	2	1
309	подобного не	1	1
310	оно есть	1	1
311	в полной	1	1
312	такой обстановке	1	1
313	которое в	2	1
314	и ярким	1	1
315	без всякого	2	1
316	а другие	2	1
317	столько же	1	1
318	которую можно	1	1
319	в создании	1	1
320	дать ему	1	1
321	он был	6	1
322	критически к	1	1
323	не был	2	1
324	что его	4	1
325	под власть	1	1
326	и искренне	1	1
327	подходить к	1	1
328	заключается не	1	1
329	важно отметить	1	1
330	исключительно только	1	1
331	при жизни	2	1
332	к этому	6	1
333	но как	1	1
334	а только	1	1
335	точка зрения	1	1
336	нельзя понимать	1	1
337	только тогда	2	1
338	в общем	2	1
339	его учение	1	1
340	и небольшой	1	1
341	что во	1	1
342	в постоянном	1	1
343	то чем	1	1
344	которой они	1	1
345	сам а	1	1
346	что касается	3	1
347	перед нами	1	1
348	когда он	1	1
349	что по	1	1
350	по пути	1	1
351	ибо ни	1	1
352	он на	2	1
353	этой цели	1	1
354	эти признаки	2	1
355	если о	1	1
356	за границей	1	1
357	еще на	2	1
358	в которой	4	1
359	себя к	1	1
360	что так	1	1
361	выражение в	1	1
362	то и	1	1
363	им в	3	1
364	авторитетом и	1	1
365	тому же	1	1
366	если он	1	1
367	он всегда	1	1
368	на его	4	1
369	не могла	2	1
370	тем не	6	1
371	время и	1	1
372	однако при	1	1
373	верит в	1	1
374	они в	1	1
375	же это	2	1
376	к одному	1	1
377	прочим и	2	1
378	тоже нет	1	1
379	после этой	1	1
380	никому не	1	1
381	базируются на	1	1
382	его можно	1	1
383	но дело	2	1
384	так например	1	1
385	но все	2	1
386	это конечно	1	1
387	здесь мы	3	1
388	никто из	1	1
389	об этой	1	1
390	об этом	6	1
391	и никакого	1	1
392	а по	1	1
393	то есть	7	1
394	или даже	1	1
395	в данной	1	1
396	заключается в	2	1
397	его личности	1	1
398	чтобы он	1	1
399	это не	2	1
400	и мы	4	1
401	остановиться на	1	1
402	в жизни	1	1
403	с богом	3	1
404	из нее	1	1
405	все равно	1	1
406	ли может	1	1
407	в общей	1	1
408	и следовало	1	1
409	как видно	1	1
410	со своими	1	1
411	друга в	1	1
412	нет и	1	1
413	такой же	1	1
414	и того	1	1
415	на первый	2	1
416	что значит	1	1
417	бы на	1	1
418	отчасти в	1	1
419	от своего	1	1
420	шла о	1	1
421	в такой	1	1
422	и без	1	1
423	просто в	1	1
424	духу и	1	1
425	не столько	3	1
426	представление о	1	1
427	оказывается что	1	1
428	в которых	1	1
429	может сделать	1	1
430	сведения о	3	1
431	нельзя было	1	1
432	народов а	1	1
433	ко всему	4	1
434	теми же	1	1
435	по крайней	4	1
436	и начало	1	1
437	ним в	2	1
438	вовсе не	4	1
439	даже в	2	1
440	и технического	1	1
441	не менее	7	1
442	к такой	1	1
443	или что	1	1
444	до известной	1	1
445	самого начала	1	1
446	и всегда	1	1
447	дело в	3	1
448	на него	1	1
449	чтобы стать	1	1
450	но только	1	1
451	только не	1	1
452	западной цивилизации	1	1
453	того и	2	1
454	самого предмета	1	1
455	казалось бы	2	1
456	вся его	1	1
457	что весьма	1	1
458	это то	1	1
459	невозможно но	2	1
460	и весь	1	1
461	всего на	2	1
462	этих последних	1	1
463	к ней	3	1
464	и часть	1	1
465	свидетельствуют о	1	1
466	и сама	1	1
467	этом надо	1	1
468	очень скоро	1	1
469	было не	1	1
470	этом отношении	1	1
471	две совершенно	1	1
472	в подобном	1	1
473	вот в	1	1
474	с определенным	1	1
475	если у	1	1
476	исходить из	2	1
477	есть только	1	1
478	те кто	2	1
479	должны быть	1	1
480	по возможности	1	1
481	над своим	1	1
482	от которой	1	1
483	не дала	2	1
484	и это	3	1
485	работа эта	1	1
486	оно может	1	1
487	как мы	11	1
488	нас от	1	1
489	но по	2	1
490	свою очередь	2	1
491	людей в	2	1
492	и многие	1	1
493	прежнее время	1	1
494	только при	1	1
495	не могло	1	1
496	совершенно ясно	1	1
497	в собственном	1	1
498	только то	1	1
499	в себя	1	1
500	с самого	1	1
501	богу а	1	1
502	и ту	2	1
503	так и	5	1
504	те же	3	1
505	его жизни	6	1
506	жизнь а	1	1
507	больше в	1	1
508	ничего подобного	1	1
509	быть может	1	1
510	отрицать что	1	1
511	вот это	2	1
512	православной церкви	1	1
513	иное как	1	1
514	язык и	1	1
515	никак не	3	1
516	что наша	1	1
517	можно сказать	4	1
518	борьба с	2	1
519	реальную действительность	1	1
520	и хочет	1	1
521	может остановиться	1	1
522	крайней мере	4	1
523	католической и	1	1
524	представления о	1	1
525	в русском	2	1
526	в лице	1	1
527	эти последние	4	1
528	он есть	1	1
529	на другие	2	1
530	неудивительно что	1	1
531	никак нельзя	3	1
532	представить как	1	1
533	же он	1	1
534	человека с	1	1
535	при внимательном	1	1
536	же и	2	1
537	если мы	1	1
538	и теоретическая	1	1
539	а это	3	1
540	же у	1	1
541	здесь же	1	1
542	а то	2	1
543	может спасти	1	1
544	и других	1	1
545	за ним	1	1
546	расхождений между	1	1
547	в действительном	1	1
548	мы знаем	4	1
549	несомненно в	1	1
550	и их	1	1
551	в прошлом	1	1
552	но которая	1	1
553	к ним	1	1
554	бытия и	2	1
555	которое является	1	1
556	само собой	3	1
557	но из	2	1
558	в очень	3	1
559	природы и	1	1
560	россию на	1	1
561	это будет	1	1
562	с общим	1	1
563	видно из	2	1
564	чему не	1	1
565	насколько это	1	1
566	себе представить	2	1
567	о своей	1	1
568	влияние на	1	1
569	в прежнее	1	1
570	на ее	1	1
571	говорить и	1	1
572	оно будет	1	1
573	собой разумеется	3	1
574	и прежде	2	1
575	еще и	6	1
576	следовало ожидать	1	1
577	что не	2	1
578	а главное	1	1
579	и стал	1	1
580	европы но	1	1
581	а на	1	1
582	был в	2	1
583	на этот	4	1
584	здесь дело	1	1
585	которых мы	1	1
586	а за	2	1
587	до конца	7	1
588	ничем не	1	1
589	не на	2	1
590	человеческой жизни	1	1
591	с которым	2	1
592	цель но	1	1
593	понятие о	1	1
594	этот принцип	1	1
595	всякому человеку	1	1
596	в связи	8	1
597	время она	1	1
598	эта идея	2	1
599	в самой	1	1
600	как это	7	1
601	они стремятся	1	1
602	многих случаях	1	1
603	чем то	1	1
604	по своему	2	1
605	не удалось	1	1
606	содержат в	1	1
607	церкви которая	1	1
608	в тот	1	1
609	из отдельных	1	1
610	с этой	4	1
611	является для	1	1
612	россии уже	1	1
613	своей жизни	3	1
614	характера в	1	1
615	между прочим	7	1
616	по образцу	1	1
617	самое большее	1	1
618	сознании и	1	1
619	и надо	1	1
620	известной степени	1	1
621	на все	2	1
622	которых он	1	1
623	являются не	1	1
624	тот кто	1	1
625	в те	4	1
626	но когда	1	1
627	тем более	3	1
628	мы прежде	1	1
629	и все	7	1
630	можно спорить	1	1
631	хотя в	1	1
632	личности и	1	1
633	от всякого	1	1
634	в свою	3	1
635	в какие	1	1
636	с ней	2	1
637	была бы	1	1
638	виде и	1	1
639	к его	2	1
640	этот последний	1	1
641	ни на	1	1
642	бог есть	1	1
643	можно назвать	2	1
644	том числе	1	1
645	они не	1	1
