N	2gram	Bakhtin_sl_1	Freidism
109	к тому	3	4
110	если мы	2	4
111	того чтобы	1	4
112	данном случае	3	4
113	сводится к	1	4
114	характер и	1	4
115	с самого	1	4
116	это только	1	4
117	с ними	3	4
118	конечно не	3	4
119	уже не	2	4
120	не дает	1	4
121	в котором	2	4
122	как раз	2	4
123	от того	1	4
124	последнем счете	1	4
125	на которые	2	4
126	и др	14	4
127	себя и	1	4
128	в данном	3	4
129	и о	2	4
130	в более	1	4
131	в этих	2	4
132	между ними	2	4
133	в последнем	1	4
134	в таком	1	4
135	и есть	1	3
136	подхода к	5	3
137	при анализе	1	3
138	он был	1	3
139	а только	1	3
140	в общем	1	3
141	один и	1	3
142	как в	8	3
143	и той	2	3
144	и тот	1	3
145	в себе	3	3
146	и те	2	3
147	в узком	10	3
148	одной и	1	3
149	и по	2	3
150	всех своих	2	3
151	что все	2	3
152	и может	3	3
153	конечно в	1	3
154	зрения на	7	3
155	может стать	1	3
156	было бы	3	3
157	мы имеем	1	3
158	нисколько не	2	3
159	войти в	2	3
160	случае не	1	3
161	тому что	2	3
162	самого начала	1	3
163	одна из	2	3
164	сознания это	1	3
165	в сознании	2	3
166	ни о	2	3
167	не могут	3	3
168	она не	3	3
169	с ее	4	3
170	свою очередь	2	3
171	внутренняя речь	1	3
172	и этим	3	3
173	приводит к	1	3
174	что может	1	3
175	если бы	1	3
176	и что	1	3
177	бы то	1	3
178	и содержание	1	3
179	на всех	1	3
180	во втором	1	3
181	и она	1	3
182	со всеми	1	3
183	себя в	9	3
184	из которого	1	3
185	у него	3	3
186	в них	6	3
187	со стороны	1	3
188	на этот	1	3
189	о себе	1	3
190	вместе с	1	3
191	по своему	2	3
192	слова и	13	3
193	и от	4	3
194	но это	1	3
195	не является	2	3
196	узком смысле	10	3
197	не знает	1	3
198	от всех	1	3
199	жизни и	1	3
200	помощью которых	1	3
201	чтобы не	1	2
202	не остается	1	2
203	и то	2	2
204	тех же	1	2
205	в первом	3	2
206	и до	1	2
207	для своего	1	2
208	что между	1	2
209	в первый	1	2
210	социальной группы	2	2
211	того же	6	2
212	между собой	2	2
213	в ее	2	2
214	но как	1	2
215	с которыми	2	2
216	отличие от	1	2
217	или иное	1	2
218	что как	1	2
219	в своем	3	2
220	сознания в	1	2
221	от этого	2	2
222	в этот	1	2
223	или во	2	2
224	сил в	2	2
225	выражение в	3	2
226	что она	1	2
227	внутренней речи	3	2
228	или вовсе	2	2
229	на всю	3	2
230	сознание и	1	2
231	них не	1	2
232	всех областях	1	2
233	это было	1	2
234	это не	6	2
235	на почве	4	2
236	но их	1	2
237	в свой	1	2
238	чаще всего	1	2
239	этого не	1	2
240	и уже	1	2
241	жизни но	2	2
242	так называемый	1	2
243	от точки	1	2
244	и становится	1	2
245	том что	2	2
246	в эту	2	2
247	на один	2	2
248	так поступает	1	2
249	но если	1	2
250	в их	4	2
251	мы говорили	1	2
252	в отличие	1	2
253	его отношение	1	2
254	сих пор	2	2
255	но во	1	2
256	в отношении	6	2
257	случае в	1	2
258	дело не	2	2
259	правда в	1	2
260	в процессе	4	2
261	в самых	2	2
262	для всего	1	2
263	только не	1	2
264	значение во	1	2
265	тем не	1	2
266	только с	1	2
267	этом отношении	1	2
268	за ними	1	2
269	все то	1	2
270	здесь оно	2	2
271	отличается от	1	2
272	социальные и	1	2
273	оно не	6	2
274	оно может	2	2
275	и самое	2	2
276	то или	1	2
277	в виду	1	2
278	роль в	2	2
279	вещи и	1	2
280	не исчерпывается	2	2
281	и вообще	2	2
282	о нем	4	2
283	в другом	2	2
284	притом в	1	2
285	до сих	2	2
286	нуждается в	1	2
287	что и	1	2
288	которые он	1	2
289	в него	3	2
290	быть и	4	2
291	мы видим	2	2
292	в какой	1	2
293	с одной	4	2
294	не пытается	2	2
295	и у	2	2
296	только на	2	2
297	и они	1	2
298	ни было	2	2
299	из них	3	2
300	его и	3	2
301	а потому	1	2
302	точка зрения	8	2
303	содержание и	1	2
304	с этими	2	2
305	ничего что	1	2
306	свое выражение	2	2
307	рядом с	4	2
308	и даже	6	2
309	влияние на	1	2
310	с другой	5	2
311	человека в	1	2
312	здесь в	4	2
313	чем он	2	2
314	а с	2	2
315	социальной жизни	1	2
316	до конца	12	2
317	ничем не	1	2
318	них и	1	2
319	одной стороны	4	2
320	которых мы	1	2
321	более того	3	2
322	а не	15	2
323	что мы	1	2
324	речи и	1	2
325	так же	2	2
326	мы остановимся	1	2
327	и связанных	2	2
328	быть как	1	2
329	со всею	2	2
330	для понимания	2	2
331	в основном	3	2
332	всего они	1	2
333	и часто	4	2
334	формы и	3	2
335	для нас	2	2
336	поэтому все	1	2
337	все они	7	2
338	да и	1	2
339	есть и	1	2
340	и другие	1	2
341	к этому	2	2
342	как на	1	2
343	они не	1	2
344	человеческим словом	1	1
345	и методы	1	1
346	ту же	4	1
347	и т	28	1
348	не должны	2	1
349	одним из	4	1
350	же как	2	1
351	и через	1	1
352	выражения в	1	1
353	науки о	1	1
354	бы для	1	1
355	между всеми	1	1
356	далее и	1	1
357	в мыслях	1	1
358	не имеют	1	1
359	ведь и	1	1
360	оно было	2	1
361	с таким	1	1
362	века в	2	1
363	в несколько	1	1
364	а как	2	1
365	со всех	1	1
366	и образования	1	1
367	или наоборот	1	1
368	и другими	1	1
369	в основных	1	1
370	высказывания а	1	1
371	оба эти	1	1
372	идеологические системы	1	1
373	никак нельзя	1	1
374	но она	1	1
375	но чаще	1	1
376	но даже	1	1
377	мы и	2	1
378	конечно и	2	1
379	в целом	2	1
380	и заставляет	2	1
381	всех сторон	1	1
382	дает им	2	1
383	собой в	1	1
384	оценок и	4	1
385	что по	1	1
386	они ищут	1	1
387	не был	1	1
388	время в	1	1
389	зрения оценок	1	1
390	без всякого	1	1
391	там и	1	1
392	него они	1	1
393	одним словом	2	1
394	силы и	1	1
395	в качестве	3	1
396	каком направлении	1	1
397	иногда и	1	1
398	нет и	1	1
399	в свои	1	1
400	и речи	2	1
401	что они	2	1
402	в настоящем	1	1
403	социальных и	1	1
404	конечно совершенно	1	1
405	которые не	1	1
406	определения и	1	1
407	в истории	3	1
408	в различные	2	1
409	и нет	1	1
410	его к	1	1
411	выделить и	1	1
412	все логические	1	1
413	нескольких примерах	1	1
414	где все	1	1
415	еще на	1	1
416	та же	1	1
417	бы и	3	1
418	свой голос	1	1
419	он в	5	1
420	бы не	1	1
421	степени и	1	1
422	по преимуществу	4	1
423	часто даже	1	1
424	только один	1	1
425	имеем в	1	1
426	высказывания не	2	1
427	на то	1	1
428	для официального	1	1
429	а вовсе	2	1
430	вообще не	3	1
431	на различных	1	1
432	от его	3	1
433	приведенные нами	1	1
434	т д	5	1
435	в переводе	1	1
436	жизни существуют	1	1
437	единство в	1	1
438	всем своем	1	1
439	различные формы	2	1
440	свои собственные	2	1
441	из него	2	1
442	ни одному	2	1
443	прямого и	1	1
444	его можно	1	1
445	без исключения	1	1
446	анализов в	1	1
447	в нее	1	1
448	конца и	3	1
449	в основу	1	1
450	а затем	1	1
451	жизни поэтому	3	1
452	и социальных	2	1
453	учением о	1	1
454	поэтому мы	1	1
455	со всем	1	1
456	из всех	1	1
457	входит в	4	1
458	не умеет	1	1
459	и которые	1	1
460	из разновидностей	1	1
461	каждого из	1	1
462	форму и	1	1
463	связанная с	1	1
464	случае является	1	1
465	всякого определенного	1	1
466	поняты в	1	1
467	и тем	2	1
468	для них	2	1
469	о которых	1	1
470	далеко не	5	1
471	он действительно	1	1
472	оно все	1	1
473	глубокие пласты	1	1
474	среда в	1	1
475	он и	1	1
476	звучать как	1	1
477	чем в	1	1
478	глазами другого	2	1
479	и было	1	1
480	форма и	1	1
481	с принципиальной	1	1
482	в один	1	1
483	этом случае	2	1
484	таким же	1	1
485	он должен	1	1
486	наших дней	1	1
487	и без	1	1
488	что всякий	1	1
489	мы называем	1	1
490	степени не	1	1
491	не к	1	1
492	из области	1	1
493	в одном	2	1
494	для данного	1	1
495	которые в	3	1
496	друг другу	2	1
497	по крайней	1	1
498	и эти	2	1
499	уже сказали	2	1
500	однако в	1	1
501	с такими	1	1
502	заставляет его	2	1
503	с определенными	5	1
504	до известной	2	1
505	а иногда	3	1
506	друг друга	3	1
507	и непосредственного	1	1
508	взглянуть на	1	1
509	образом в	3	1
510	проникают в	1	1
511	дело в	1	1
512	не признают	1	1
513	и культурной	1	1
514	нее нет	1	1
515	заложенные в	1	1
516	явление в	2	1
517	характерные для	2	1
518	языка который	1	1
519	помимо воли	1	1
520	и со	1	1
521	точке зрения	2	1
522	и здесь	3	1
523	социальном положении	1	1
524	высказывание находит	1	1
525	в направлении	1	1
526	на границе	1	1
527	его за	1	1
528	мы все	2	1
529	его с	1	1
530	той или	9	1
531	и связанная	1	1
532	в стакане	1	1
533	он никогда	1	1
534	на это	1	1
535	о том	3	1
536	правда не	2	1
537	и это	1	1
538	на события	1	1
539	пределах того	4	1
540	этого слушателя	1	1
541	объединения и	4	1
542	непререкаемого и	1	1
543	точками зрения	3	1
544	случайный характер	1	1
545	свои силы	1	1
546	направлении к	1	1
547	то время	2	1
548	основе этой	1	1
549	дано в	1	1
550	единства с	1	1
551	в произведение	2	1
552	и сам	3	1
553	по аналогии	1	1
554	переход к	1	1
555	и логической	1	1
556	не с	2	1
557	в социальном	1	1
558	в результате	3	1
559	жизнь и	1	1
560	из одного	2	1
561	остановимся на	2	1
562	на язык	2	1
563	ничего не	4	1
564	ними и	1	1
565	находится в	1	1
566	все его	4	1
567	связанное с	1	1
568	мы чувствуем	1	1
569	часто трудно	1	1
570	на все	2	1
571	то есть	26	1
572	в широком	2	1
573	а также	2	1
574	язык и	10	1
575	инстанции в	1	1
576	и своеобразной	1	1
577	не ищет	1	1
578	аналогии с	1	1
579	по их	1	1
580	и во	3	1
581	борьба с	1	1
582	не выходит	3	1
583	с теми	1	1
584	та общая	1	1
585	от них	1	1
586	свободно переходит	1	1
587	понимания в	2	1
588	на одном	1	1
589	в форме	1	1
590	этом как	1	1
591	крайней мере	1	1
592	нем и	3	1
593	а его	1	1
594	слов и	2	1
595	все время	3	1
596	и устойчивое	1	1
597	и следовательно	7	1
598	и всякое	2	1
599	скрытой форме	1	1
600	следовательно в	3	1
601	оставаясь в	2	1
602	разрыва между	1	1
603	правом можно	1	1
604	в двух	1	1
605	дело с	1	1
606	но этим	1	1
607	вступить в	1	1
608	ощущаем в	2	1
609	он еще	1	1
610	во всем	1	1
611	дана в	1	1
612	и так	1	1
613	поэтому и	3	1
614	всех его	7	1
615	они могут	7	1
616	бы ни	3	1
617	какой степени	1	1
618	одни и	1	1
619	пользуется этой	1	1
620	есть в	1	1
621	все словесные	1	1
622	то и	1	1
623	выделения и	1	1
624	образования в	1	1
625	также и	3	1
626	за пределами	2	1
627	в виде	2	1
628	носа и	1	1
629	не принимает	1	1
630	от других	2	1
631	в ином	1	1
632	и других	3	1
633	в борьбу	1	1
634	к своим	1	1
635	каждый момент	2	1
636	слова в	8	1
637	свою точку	1	1
638	общего языка	13	1
639	всякое конкретное	2	1
640	данного высказывания	1	1
641	эти понятия	1	1
642	из одной	1	1
643	вводит в	1	1
644	мы берем	1	1
645	к той	1	1
646	гораздо сложнее	1	1
647	и только	1	1
648	момент в	1	1
649	же деле	1	1
650	в другой	2	1
651	или иной	9	1
652	точек зрения	5	1
653	исходят из	1	1
654	именно в	3	1
655	эти две	1	1
656	строится в	1	1
657	своего собственного	1	1
658	которых оно	1	1
659	только по	1	1
660	громадное значение	1	1
661	самом же	1	1
662	а на	2	1
663	однако и	1	1
664	своем месте	1	1
665	как ни	1	1
666	долгое время	1	1
667	в слове	7	1
668	на возможность	2	1
669	там где	4	1
670	жизнь в	2	1
671	понимание и	1	1
672	его содержание	1	1
673	себе самому	1	1
674	нужно отнести	1	1
675	к своему	6	1
676	именно для	1	1
677	влияния на	3	1
678	высказывания с	1	1
679	такого рода	2	1
680	и там	3	1
681	на нескольких	1	1
682	даже с	1	1
683	только себя	1	1
684	и свободно	1	1
685	быть не	1	1
686	в иные	3	1
687	в это	1	1
688	этого слова	1	1
689	в контексте	2	1
690	и формы	4	1
691	в первые	1	1
692	конкретное высказывание	1	1
693	ближе к	1	1
694	в смысле	4	1
695	мира в	1	1
696	и борьба	1	1
697	известной степени	4	1
698	не знаем	1	1
699	этого рода	1	1
700	потому не	1	1
701	пределах одной	2	1
702	или только	1	1
703	он по	1	1
704	которая в	1	1
705	может войти	1	1
706	стакане воды	1	1
707	но эти	3	1
708	души в	1	1
709	целый ряд	1	1
710	у них	2	1
711	находит свое	1	1
712	бы в	1	1
713	еще более	5	1
714	тем более	1	1
715	его формы	1	1
716	связью с	1	1
717	и предметом	2	1
718	развития этого	1	1
719	же в	1	1
720	в различных	1	1
721	в том	3	1
722	основе их	2	1
723	же берется	1	1
724	отношении к	6	1
725	нет ничего	1	1
726	о своем	1	1
727	на смену	1	1
728	его многообразных	1	1
729	равно как	1	1
730	же мы	1	1
731	из этого	3	1
732	который не	1	1
733	у толстого	4	1
734	эти элементы	1	1
735	на своем	5	1
736	значение в	1	1
737	не вносит	1	1
