N	2gram	Berdyaev_V_1	Problema
327	великом инквизиторе	5	1
328	у него	1	1
329	а к	2	1
330	могут быть	2	1
331	того что	5	1
332	ним или	1	1
333	раз навсегда	2	1
334	то уж	1	1
335	могли бы	1	1
336	не могут	2	1
337	с бытием	1	1
338	и новой	1	1
339	себя не	1	1
340	мы видим	1	1
341	тоже не	1	1
342	число но	1	1
343	кроме себя	1	1
344	что тот	1	1
345	мы будем	1	1
346	для их	2	1
347	человека к	1	1
348	в атмосфере	1	1
349	в изображении	1	1
350	не случайно	1	1
351	значит быть	1	1
352	в своих	1	1
353	в существе	2	1
354	картины которую	1	1
355	до времени	1	1
356	от своей	2	1
357	этот мир	1	1
358	тот кто	2	1
359	и нет	1	1
360	мы скажем	1	1
361	и хотя	1	1
362	и полное	1	1
363	в третьем	1	1
364	не был	1	1
365	и до	1	1
366	в которую	1	1
367	когда в	2	1
368	бы все	1	1
369	и тут	1	1
370	раз и	1	1
371	идет по	1	1
372	на тысячу	1	1
373	на себя	5	1
374	и счастье	1	1
375	и уже	1	1
376	но от	1	1
377	нам же	1	1
378	который я	1	1
379	в будущем	1	1
380	во власть	1	1
381	есть уже	2	1
382	превратится в	1	1
383	не верит	3	1
384	жизни но	1	1
385	опять-таки не	1	1
