N	2gram	Vinokur_Ku_1	Poddanst
213	в китай	2	1
214	что и	4	1
215	отличие от	1	1
216	не просто	5	1
217	факты в	1	1
218	также в	1	1
219	в истории	3	1
220	которой в	1	1
221	в рамках	4	1
222	не входят	1	1
223	государства и	1	1
224	эта проблема	1	1
225	в современной	2	1
226	как начало	1	1
227	все же	12	1
228	этой последней	1	1
229	и где	1	1
230	и свидетельство	1	1
231	обе эти	3	1
232	вопросом о	1	1
233	культурного развития	3	1
234	действие в	2	1
235	более или	3	1
236	в какой	6	1
237	должен быть	4	1
238	поскольку мы	1	1
239	в самом	10	1
240	только то	1	1
241	в условиях	1	1
242	но как	1	1
243	в которой	6	1
244	бы и	2	1
245	что это	5	1
246	формы в	2	1
247	могли бы	2	1
248	вопрос об	1	1
249	чуть ли	2	1
250	дает толчок	1	1
251	из этих	4	1
252	тот или	1	1
253	если мы	2	1
254	в эти	1	1
255	себя в	1	1
256	отчасти и	1	1
257	в известном	1	1
258	и действуют	1	1
259	переходит в	1	1
260	что его	2	1
261	уже в	3	1
262	во многих	2	1
263	в большинстве	2	1
264	только на	1	1
265	разрешения в	1	1
266	на то	4	1
267	но на	1	1
268	в наших	1	1
269	д не	1	1
270	этого процесса	1	1
271	т д	14	1
272	виде какой	1	1
273	связывается с	1	1
274	только к	2	1
275	с основной	2	1
276	из этой	1	1
277	тем чтобы	1	1
278	одно из	2	1
279	разрешить проблему	1	1
280	иначе как	2	1
281	наших глазах	1	1
282	к ним	1	1
283	чтобы в	2	1
284	мы можем	1	1
285	и только	1	1
286	само по	1	1
287	каждый из	1	1
288	и по	1	1
289	прежде чем	1	1
290	одно и	1	1
291	от нее	1	1
292	многих других	1	1
293	в каждом	2	1
294	связанные с	1	1
295	в н	1	1
296	или иной	3	1
297	на этой	1	1
298	большинстве случаев	1	1
299	ясно что	3	1
300	два разных	1	1
301	его в	1	1
302	и тех	1	1
303	и иных	1	1
304	совершенно ясно	1	1
305	было и	1	1
306	а с	3	1
307	в природе	1	1
308	есть несколько	1	1
309	русской культуры	1	1
310	что не	5	1
311	в это	2	1
312	к более	1	1
313	к науке	1	1
314	где он	1	1
315	далеко не	1	1
316	в этой	3	1
317	в действии	1	1
318	как и	2	1
319	и уже	1	1
320	в развитии	1	1
321	в переписке	1	1
322	нисколько не	3	1
323	когда в	2	1
324	в одно	1	1
325	и еще	2	1
326	или менее	3	1
327	рассматривать с	1	1
328	но будем	1	1
329	что если	2	1
330	в ходе	1	1
331	и при	2	1
332	так же	4	1
333	всяком случае	5	1
334	недостаточно для	1	1
335	многих случаях	1	1
336	что именно	1	1
337	поскольку они	1	1
338	в идеологическом	1	1
339	можно быть	1	1
340	в отличие	1	1
341	мысли и	1	1
342	в данном	4	1
343	вопрос о	2	1
344	когда и	1	1
345	чем к	1	1
346	можно говорить	2	1
347	и смысла	1	1
348	что было	2	1
349	и эти	3	1
350	как к	1	1
351	и более	2	1
352	там где	4	1
353	к следующему	1	1
354	как проблема	1	1
355	в историческом	1	1
356	время есть	1	1
357	должна в	1	1
358	в основном	1	1
359	что с	2	1
360	иной раз	2	1
361	но для	1	1
362	к другим	1	1
363	тогда когда	6	1
364	этом смысле	3	1
365	своего существования	1	1
366	противоречии с	1	1
367	только мы	1	1
368	г а	1	1
369	случаях когда	2	1
370	того чтобы	17	1
371	та или	1	1
372	об отношении	1	1
373	не имеет	2	1
374	рассматривать как	1	1
375	никогда не	2	1
376	в результате	5	1
377	казалось бы	3	1
378	о котором	2	1
379	в настоящее	1	1
380	бы неправильно	1	1
381	находятся в	1	1
382	или иная	1	1
383	иными словами	4	1
384	и притом	1	1
385	как она	1	1
386	более что	1	1
387	в наши	1	1
388	в г	3	1
389	другой стороны	6	1
390	только что	1	1
391	и теперь	1	1
392	в этих	4	1
393	можно рассматривать	1	1
394	давно уже	1	1
395	и политическое	1	1
396	нет ничего	1	1
397	в каком	2	1
398	конечно и	1	1
399	только как	1	1
400	и высоко	1	1
401	сопоставлении с	1	1
402	о духе	1	1
403	к формам	3	1
404	получил у	1	1
405	и именно	2	1
406	относиться к	1	1
407	традиции в	2	1
408	что все	2	1
409	есть признак	1	1
410	есть и	1	1
411	ли не	3	1
412	в других	1	1
413	иной не	1	1
414	что оно	3	1
415	к сожалению	1	1
416	не есть	4	1
417	вместе с	7	1
418	во всяком	5	1
419	они не	3	1
420	из чего	1	1
421	гораздо более	3	1
