N	2gram	Savitsky_P_1	Komedia
200	не могла	1	1
201	ей в	3	1
202	главным образом	2	1
203	насколько мы	1	1
204	и более	1	1
205	европейской культуры	4	1
206	н а	10	1
207	от нее	1	1
208	в число	1	1
209	полной мере	2	1
210	и мы	2	1
211	по себе	4	1
212	в жизни	2	1
213	дети и	2	1
214	в тот	2	1
215	и уже	1	1
216	на две	1	1
217	прикасается к	1	1
218	со столь	1	1
219	положение с	1	1
220	или менее	1	1
221	в эту	2	1
222	и при	1	1
223	сохранение и	1	1
224	мысль и	1	1
225	и без	3	1
226	во времена	1	1
227	историю в	1	1
228	при существовании	1	1
229	не столько	2	1
230	xx в	1	1
231	своих интересов	1	1
232	и очень	1	1
233	с точки	3	1
234	эта мысль	1	1
235	и охватывает	1	1
236	тем самым	3	1
237	что эта	1	1
238	лиц и	1	1
239	с которой	1	1
240	для каждого	1	1
241	та или	1	1
242	никогда не	1	1
243	в отношениях	1	1
244	иными словами	1	1
245	более что	1	1
246	с чертами	1	1
247	и теперь	1	1
248	сводится к	3	1
249	к соединению	1	1
250	в области	11	1
251	в каком	1	1
252	числе и	1	1
253	все еще	1	1
254	и г	2	1
255	темы и	1	1
256	должен быть	1	1
257	происходит и	1	1
258	на основе	1	1
259	в собственном	1	1
260	мысль о	2	1
261	в себя	1	1
262	в пределах	8	1
263	культуры на	1	1
264	в рамки	1	1
265	в годы	1	1
266	чтобы дать	1	1
267	и частной	1	1
268	было в	2	1
269	этом стремлении	1	1
270	веры в	1	1
271	по сравнению	2	1
272	является в	2	1
273	в эпоху	1	1
274	о котором	1	1
275	о наследстве	2	1
276	помнить что	2	1
277	в порядке	3	1
278	а также	4	1
279	никак не	2	1
280	пор пока	1	1
281	этих двух	1	1
282	в которую	2	1
283	говорить об	1	1
284	во всей	2	1
285	выступает как	1	1
286	них в	1	1
287	о н	3	1
288	е а	1	1
289	обе эти	1	1
290	мы видим	1	1
291	взывает к	1	1
292	и весьма	2	1
293	можем представить	1	1
294	тот или	1	1
295	человека с	1	1
296	в большинстве	1	1
297	только на	1	1
298	получили в	1	1
299	не все	1	1
300	большинстве случаев	1	1
301	мир в	1	1
302	не о	2	1
303	при отсутствии	1	1
304	как раз	2	1
305	где в	2	1
306	были бы	1	1
307	из двух	1	1
308	или иной	1	1
309	за последние	1	1
310	выступает в	1	1
311	а с	1	1
312	что не	1	1
313	к более	1	1
314	в с	4	1
315	не означает	1	1
316	а не	2	1
317	другой стороны	1	1
318	там где	1	1
319	о и	2	1
320	в творчестве	1	1
321	общественной мысли	1	1
322	над ним	1	1
323	ведет к	1	1
324	в сферу	1	1
325	именно в	2	1
326	образом на	2	1
327	в современной	1	1
328	xix в	1	1
329	в делах	1	1
330	которые были	1	1
331	в одно	1	1
332	г а	1	1
333	случаях когда	1	1
334	само по	1	1
335	в результате	1	1
336	не с	1	1
337	но о	2	1
338	тем более	2	1
339	что народ	1	1
340	и как	3	1
341	а н	5	1
342	этой области	1	1
343	на фоне	1	1
344	нет ничего	1	1
345	из тех	1	1
346	только как	1	1
347	т е	3	1
348	люди и	1	1
349	думать что	2	1
350	в северной	2	1
351	так же	1	1
352	как на	2	1
