N	2gram	Tiupa_Teor_1	VLabPisa
216	и заключается	1	2
217	отличается от	2	2
218	же самое	1	2
219	числе и	1	2
220	в стихотворении	4	2
221	для того	1	2
222	на это	1	2
223	только то	1	2
224	роль в	2	2
225	и даже	2	2
226	остановимся на	1	2
227	на вопрос	1	2
228	лишь в	6	2
229	во всей	1	2
230	крайней мере	1	2
231	но с	1	2
232	о его	1	2
233	что даже	1	2
234	до нас	1	2
235	образа в	1	2
236	с одной	2	2
237	одной из	2	2
238	слова не	1	2
239	чего бы	1	2
240	вовсе не	3	2
241	к ним	1	2
242	при всей	1	2
243	в особенности	1	2
244	одной стороны	2	2
245	или иной	4	2
246	как у	1	2
247	еще и	1	2
248	что для	1	2
249	о чем	1	2
250	и том	1	2
251	не об	1	2
252	тому как	1	2
253	стороны в	1	2
254	нет никаких	1	2
255	и потому	2	2
256	войны и	1	2
257	и некоторые	2	2
258	того или	3	2
259	можно было	1	2
260	каждой из	1	2
261	на время	1	2
262	не подлежит	1	2
263	единстве целого	1	2
264	мира и	1	2
265	например не	1	2
266	все они	1	2
267	а в	13	2
268	в системе	1	2
269	в стихах	1	2
270	как говорил	1	2
271	а о	1	2
272	о своем	2	2
273	между ними	4	2
274	к его	2	2
275	анны карениной	2	2
276	в своих	1	2
277	они не	1	2
278	а между	1	1
279	можно говорить	1	1
280	говоря о	3	1
281	с жизнью	1	1
282	начинается с	1	1
283	и без	1	1
284	ильфа и	1	1
285	между всеми	1	1
286	или говоря	1	1
287	тот или	2	1
288	противном случае	1	1
289	несколько иной	1	1
290	со всех	1	1
291	о различных	1	1
292	как мы	1	1
293	превратилась в	1	1
294	содержания в	1	1
295	вопрос о	1	1
296	они могут	1	1
297	язык данного	1	1
298	именно к	1	1
299	своей судьбы	1	1
300	себя свою	1	1
301	но она	2	1
302	на себя	2	1
303	из того	1	1
304	следует смешивать	3	1
305	всех сторон	1	1
306	свою очередь	2	1
307	и то	2	1
308	произведения именно	1	1
309	собой в	1	1
310	между собой	3	1
311	здесь не	1	1
312	и мира	2	1
313	служит для	1	1
314	это имеет	1	1
315	по своему	2	1
316	эта неожиданность	1	1
317	а только	3	1
318	дело обстоит	1	1
319	не все	3	1
320	а и	4	1
321	или иное	1	1
322	сама по	1	1
323	в известном	1	1
324	сознания в	1	1
325	целый ряд	1	1
326	говорит что	2	1
327	ином отношении	1	1
328	и свою	1	1
329	или иную	1	1
330	то в	2	1
331	таковы например	1	1
332	свою душу	1	1
333	есть для	1	1
334	за это	1	1
335	без ее	1	1
336	рассказ о	2	1
337	имеем в	3	1
338	связи между	1	1
339	на то	1	1
340	если он	1	1
341	но на	1	1
342	на его	1	1
343	к искусству	1	1
344	как художественное	2	1
345	время и	1	1
346	наличия в	1	1
347	первой части	2	1
348	материал его	1	1
349	необходимо для	1	1
350	наконец наиболее	1	1
351	уже не	4	1
352	что может	2	1
353	на этом	1	1
354	его можно	1	1
355	заключает в	1	1
356	одно и	1	1
357	оно и	1	1
358	то есть	12	1
359	входит в	1	1
360	таково в	1	1
361	на почве	4	1
362	этом смысле	2	1
363	закономерно и	1	1
364	чаще всего	1	1
365	говорим о	1	1
366	к области	2	1
367	в обыденной	1	1
368	самые различные	1	1
369	однако при	3	1
370	шиллер в	1	1
371	соответствии с	2	1
372	как видно	1	1
373	этим и	1	1
374	аллегории и	1	1
375	духовной жизни	1	1
376	обратимся к	1	1
377	и сосредоточенности	1	1
378	в этих	3	1
379	вещи в	1	1
380	в ходе	4	1
381	он должен	2	1
382	художественное мышление	1	1
383	иного типа	1	1
384	на свою	1	1
385	как совокупность	1	1
386	говорил о	1	1
387	значение для	1	1
388	душевное состояние	1	1
389	единство и	1	1
390	образом и	1	1
391	но он	3	1
392	друг другу	1	1
393	субъективного порядка	1	1
394	бы быть	1	1
395	зрения и	2	1
396	форму в	1	1
397	поэтому у	1	1
398	например говорит	1	1
399	в таких	1	1
400	с которой	1	1
401	ему принадлежит	1	1
402	дело не	2	1
403	именно те	1	1
404	из дальнейшего	1	1
405	на себе	1	1
406	без остатка	2	1
407	смертью в	1	1
408	виду не	3	1
409	материала в	2	1
410	иметь в	1	1
411	та или	1	1
412	не могло	2	1
413	а тот	1	1
414	мышления и	2	1
415	казалось бы	2	1
416	области художественного	1	1
417	жизни не	1	1
418	или иная	1	1
419	вдохновения когда	1	1
420	как будто	2	1
421	нередко оказывается	1	1
422	в основе	3	1
423	в каком	1	1
424	тем это	1	1
425	все то	1	1
426	к сфере	1	1
427	деятельности если	1	1
428	в совокупности	1	1
429	внутреннего мира	2	1
430	однако все	2	1
431	о судьбе	1	1
432	и это	2	1
433	и поэтому	1	1
434	именно эту	1	1
435	своего развития	1	1
436	но по	1	1
437	с ее	3	1
438	как один	1	1
439	и служит	1	1
440	художественной деятельности	1	1
441	данном случае	5	1
442	то или	1	1
443	действительности которая	1	1
444	то время	1	1
445	вопрос что	1	1
446	однако эта	2	1
447	и сам	1	1
448	нельзя не	1	1
449	проблем и	1	1
450	что автор	1	1
451	каждого из	1	1
452	в плоскости	1	1
453	наташи ростовой	1	1
454	но у	1	1
455	жизнь и	1	1
456	мы в	2	1
457	видов искусства	2	1
458	является в	1	1
459	строго говоря	1	1
460	о котором	1	1
461	для этого	1	1
462	воображения не	1	1
463	для будущего	1	1
464	ситуации и	1	1
465	искусства и	1	1
466	это происходит	1	1
467	следует иметь	1	1
468	и что	3	1
469	в глаза	2	1
470	первого из	1	1
471	и большого	1	1
472	после того	1	1
473	а также	6	1
474	и многих	1	1
475	под именем	1	1
476	автора на	1	1
477	по слову	1	1
478	говорят о	1	1
479	и петрова	1	1
480	или иначе	5	1
481	области искусства	1	1
482	об отсутствии	1	1
483	в форме	2	1
484	познания или	1	1
485	в русском	1	1
486	о своих	1	1
487	полагая что	1	1
488	из видов	1	1
489	творческого акта	2	1
490	быть и	2	1
491	обе эти	1	1
492	деятельность художника	2	1
493	но этим	1	1
494	в какой	2	1
495	целого и	1	1
496	смешивать с	3	1
497	который в	2	1
498	самые разнообразные	1	1
499	во времени	3	1
500	сложности и	1	1
501	между этими	1	1
502	без этого	1	1
503	этой системе	2	1
504	есть в	2	1
505	собою в	1	1
506	только на	1	1
507	в следующих	1	1
508	его развитие	1	1
509	в поэзии	2	1
510	свидетельствует о	1	1
511	которых можно	1	1
512	смысла в	1	1
513	что ничто	1	1
514	или даже	4	1
515	системе образов	1	1
516	ту или	1	1
517	к каким	1	1
518	ни в	2	1
519	в известной	1	1
520	в прозе	2	1
521	к более	1	1
522	полноту и	1	1
523	только лишь	1	1
524	основания для	1	1
525	отношение к	5	1
526	не случайно	5	1
527	в систему	1	1
528	определял как	1	1
529	тем что	1	1
530	или ином	1	1
531	в более	1	1
532	смысла и	1	1
533	отклонений от	1	1
534	жизни личности	1	1
535	следует подчеркнуть	2	1
536	иной мере	1	1
537	к какому-либо	2	1
538	не обязательно	1	1
539	а именно	2	1
540	в свою	3	1
541	это необходимо	1	1
542	читателя зрителя	1	1
543	литературное произведение	1	1
544	в воображении	3	1
545	себя и	1	1
546	в соответствии	3	1
547	быть названо	2	1
548	и составляет	3	1
549	из наиболее	1	1
550	не означает	1	1
551	однако и	1	1
552	жизнь в	1	1
553	личности в	3	1
554	наконец в	1	1
555	что из	1	1
556	мира в	1	1
557	другие в	1	1
558	художественного целого	4	1
559	если не	1	1
560	очень часто	1	1
561	впечатлений в	1	1
562	свести к	1	1
563	и особенно	2	1
564	представить себе	1	1
565	мы говорим	1	1
566	индивидуальный характер	1	1
567	как в	5	1
568	статье о	1	1
569	зрителя слушателя	1	1
570	обратил внимание	1	1
571	в данном	8	1
572	так или	4	1
573	в той	2	1
574	к действительности	3	1
575	сознания при	1	1
576	типа как	1	1
577	имеем дело	2	1
578	я с	5	1
579	никем не	1	1
580	должно быть	1	1
581	персонажей в	1	1
582	единства в	1	1
583	с бытием	1	1
584	слова и	1	1
585	сказать не	1	1
586	открытие и	1	1
587	в противном	1	1
588	принимается за	1	1
589	самое существенное	1	1
590	слова с	1	1
591	это явление	1	1
592	мы видим	1	1
593	сценического искусства	1	1
594	в следующей	2	1
595	и ему	1	1
596	это правило	1	1
597	для такого	1	1
598	к пониманию	1	1
599	происходит в	1	1
600	об искусстве	1	1
601	не представляет	1	1
602	в каждой	1	1
603	собственно говоря	1	1
604	золотой теленок	1	1
605	других произведений	2	1
606	той или	1	1
607	ни к	3	1
608	от всего	1	1
609	потому что	3	1
610	и наоборот	1	1
611	этого писателя	1	1
612	личности и	4	1
613	личность и	1	1
614	дело с	1	1
615	из тех	2	1
616	том или	1	1
617	от всех	1	1
618	совершенно не	1	1
619	это на	1	1
620	или иного	3	1
621	начале этой	1	1
622	а блок	1	1
623	или точнее	1	1
624	к числу	1	1
625	звуков но	1	1
626	которой я	1	1
627	видим в	2	1
628	это было	2	1
629	и другие	2	1
630	можно назвать	1	1
631	в роли	3	1
