N	2gram	Nazirov_Tr_1	RusskieA
192	ко всему	1	1
193	даже не	1	1
194	и совершенно	1	1
195	нет в	2	1
196	в духе	1	1
197	человеком и	1	1
198	и способствует	1	1
199	чтобы она	1	1
200	не играют	2	1
201	особой силой	1	1
202	так и	5	1
203	это выражение	1	1
204	в точности	1	1
205	рядом с	1	1
206	ту сторону	1	1
207	играют никакой	1	1
208	в период	1	1
209	большое значение	1	1
210	никакой роли	1	1
211	и эту	1	1
212	к ее	1	1
213	и должна	1	1
214	применении к	1	1
215	в нем	4	1
216	что эта	1	1
217	в конце	3	1
218	на улице	1	1
219	человека с	1	1
220	от него	1	1
221	связан и	1	1
222	а между	1	1
223	из сибири	1	1
224	iii эта	1	1
225	и жизнь	1	1
226	смысл этого	1	1
227	но может	1	1
228	как его	1	1
229	же говорит	1	1
230	как некое	1	1
231	в одном	2	1
232	в ней	1	1
233	он очень	1	1
234	который он	1	1
235	эти слова	1	1
236	из первых	1	1
237	по своей	1	1
238	над ними	1	1
239	смысле этого	1	1
240	камень на	1	1
241	только один	1	1
242	с ним	3	1
243	отношение к	2	1
244	например в	1	1
245	исходит от	1	1
246	для него	3	1
247	с криком	1	1
248	и притом	1	1
249	что он	6	1
250	не так	2	1
251	детей и	1	1
252	но они	2	1
253	точности соответствует	1	1
254	к этой	1	1
255	по улицам	1	1
256	место где	1	1
257	и даже	4	1
258	только что	1	1
259	без которой	1	1
260	на все	1	1
261	что этот	2	1
262	лицо его	2	1
263	а как	2	1
264	мог бы	3	1
265	и не	7	1
266	это слова	1	1
267	на смерть	1	1
268	все время	1	1
269	и его	6	1
270	что без	1	1
271	это по	1	1
272	что эти	2	1
273	в применении	1	1
274	как он	1	1
275	жизни столь	1	1
276	iii в	3	1
277	на стол	1	1
278	к сожалению	1	1
279	это самое	1	1
280	и потому	1	1
281	этой связи	1	1
282	ничего не	2	1
283	на столе	1	1
284	он был	2	1
285	к ним	1	1
286	под влиянием	2	1
287	и чтобы	1	1
288	говорится о	1	1
289	считает что	1	1
290	и за	2	1
291	очень хорошо	1	1
292	что все	2	1
293	ту же	1	1
294	могло бы	1	1
295	с ними	1	1
296	в особенности	1	1
297	хорошо знает	1	1
298	с того	1	1
299	и др	1	1
300	случае как	1	1
301	это должно	1	1
302	и есть	1	1
303	этого слова	1	1
304	всяком случае	1	1
305	в его	3	1
306	ли мы	1	1
307	он в	1	1
308	в двух	1	1
309	на всю	1	1
310	что именно	1	1
311	так сказать	1	1
312	сходство с	1	1
313	в селе	1	1
314	девочка в	1	1
315	и возвращается	1	1
316	в самом	2	1
317	всему что	1	1
318	а по	1	1
319	и если	1	1
320	только в	1	1
321	с собой	1	1
322	что за	3	1
323	не просто	2	1
324	в полночь	1	1
325	присмотреться к	1	1
326	iii и	1	1
327	чтобы установить	1	1
328	теперь уже	1	1
329	как у	2	1
330	в это	2	1
331	он полагал	1	1
332	возвращается к	1	1
333	несмотря на	5	1
334	объясняется и	1	1
335	новую жизнь	1	1
336	он же	1	1
337	когда в	1	1
338	в развитии	1	1
339	хлеб и	1	1
340	тот кто	1	1
341	в такой	1	1
342	есть и	1	1
343	не я	1	1
344	ее не	1	1
345	но у	1	1
346	дома и	2	1
347	в основном	3	1
348	ему нужно	1	1
349	подобной же	1	1
350	и до	2	1
351	быть не	1	1
352	уже в	3	1
353	который в	2	1
354	своего рода	3	1
355	от нее	1	1
356	знает что	2	1
357	но эта	2	1
358	ненависть к	2	1
359	и особенно	1	1
360	особое значение	1	1
361	к себе	1	1
362	известно что	1	1
363	не является	1	1
364	и это	2	1
365	как будто	3	1
366	не могла	1	1
367	только на	1	1
368	перед нами	2	1
369	из самых	2	1
370	и эта	1	1
371	но все	2	1
372	сливается с	1	1
373	несколько раз	1	1
374	из своих	2	1
375	человека и	1	1
376	отнюдь не	3	1
377	на первую	1	1
378	этим объясняется	2	1
379	вообще не	1	1
380	собой как	1	1
381	вместе и	1	1
382	но это	4	1
383	не вызывает	1	1
384	в своем	3	1
385	для чего	1	1
