N	2gram	Berdyaev_N_1	DiskursI
266	к нему	1	1
267	всей нашей	1	1
268	истории из	1	1
269	общества его	1	1
270	нет у	1	1
271	и мы	4	1
272	он видел	1	1
273	известном смысле	1	1
274	в формах	1	1
275	из сторон	1	1
276	вступление в	1	1
277	суждено было	1	1
278	не имеют	2	1
279	вопроса о	1	1
280	в большинстве	1	1
281	вернуться к	2	1
282	большинстве случаев	1	1
283	в известном	1	1
284	но для	2	1
285	к своим	1	1
286	и их	1	1
287	всяком случае	1	1
288	в прошлом	3	1
289	в конце	1	1
290	друг друга	1	1
291	не случайно	1	1
292	выходит за	1	1
293	в области	1	1
294	до сих	1	1
295	оно лишь	1	1
296	связаны с	2	1
297	в каких	1	1
298	было бы	1	1
299	было и	1	1
300	котором и	1	1
301	себя и	1	1
302	нового времени	12	1
303	к более	2	1
304	связано с	1	1
305	к политической	1	1
306	от этого	1	1
307	стремится к	3	1
308	ничем не	1	1
309	не на	1	1
310	от мира	1	1
311	она направлена	1	1
312	к лицу	3	1
313	но оно	1	1
314	вместе с	2	1
315	до этого	1	1
316	как это	2	1
317	более широкого	1	1
318	что вся	1	1
319	оно существует	1	1
320	лицом к	3	1
321	наряду с	3	1
322	в той	1	1
323	когда она	1	1
324	к чему	1	1
325	сих пор	1	1
326	оба они	1	1
327	природу и	1	1
328	в чем	1	1
329	в смысле	2	1
330	исторический период	1	1
331	ближе к	1	1
332	это уже	1	1
333	не существует	3	1
334	вопрос о	3	1
335	которая в	1	1
336	а к	1	1
337	в исторический	1	1
338	или нет	1	1
339	от того	1	1
340	мы должны	1	1
341	истории а	2	1
342	но это	6	1
343	том случае	1	1
344	или не	1	1
345	быть отнесены	1	1
346	групп и	1	1
347	целостности но	1	1
348	в период	1	1
349	не знает	6	1
350	культуры в	5	1
351	людей но	1	1
352	явление культуры	1	1
353	событиях и	1	1
354	случае если	1	1
355	который не	1	1
