N	2gram	Vinokur_St_3	PoTuStor
144	и так	1	2
145	поэтому и	1	2
146	со всеми	1	2
147	есть в	2	2
148	не имеющие	1	2
149	с нею	1	2
150	да еще	1	2
151	не можем	1	2
152	в начале	4	2
153	за счет	1	2
154	и других	2	2
155	цели и	2	2
156	при всей	2	2
157	у него	9	2
158	характерно для	1	2
159	себя и	2	2
160	что не	2	2
161	не на	2	2
162	в развитии	2	2
163	что мы	3	2
164	в одно	1	2
165	с помощью	1	2
166	в частности	1	2
167	так же	1	2
168	в историю	1	2
169	с этой	3	2
170	в свое	1	2
171	но это	4	2
172	протяжении всей	1	2
173	и для	4	2
174	но зато	1	2
175	не знает	1	2
176	есть и	1	2
177	ее в	2	2
178	к этому	3	2
179	можно назвать	4	2
180	они не	1	2
181	с новыми	1	1
182	приходится сказать	1	1
183	мы здесь	1	1
184	и то	1	1
185	он может	2	1
186	что эти	4	1
187	в году	5	1
188	его не	2	1
189	мы имеем	5	1
190	что если	2	1
191	вопрос о	1	1
192	одних и	1	1
193	выходит из	2	1
194	нам в	1	1
195	его современников	1	1
196	так чтобы	2	1
197	как я	2	1
198	не совсем	2	1
199	первого и	1	1
200	о роли	1	1
201	в ней	4	1
202	что судьба	1	1
203	же нужно	1	1
204	он был	3	1
205	не был	2	1
206	его отношение	2	1
207	что его	2	1
208	трагедии для	1	1
209	но не	2	1
210	отказ от	2	1
211	с самой	1	1
212	вступают в	2	1
213	иногда и	1	1
214	и органическим	1	1
215	что они	2	1
216	к сожалению	2	1
217	мы снова	1	1
218	в течение	4	1
219	в центре	4	1
220	в рамках	2	1
221	первый этап	1	1
222	сам же	1	1
223	все же	4	1
224	однако не	1	1
225	когда он	1	1
226	что по	3	1
227	не являются	1	1
228	его к	2	1
229	от этого	1	1
230	уже не	3	1
231	точку зрения	2	1
232	нужно как	1	1
233	то я	1	1
234	и следа	1	1
235	как он	1	1
236	имеем в	2	1
237	во многих	2	1
238	по мнению	3	1
239	всей его	1	1
240	человек не	1	1
241	на его	4	1
242	что она	1	1
243	а просто	1	1
244	именно то	1	1
245	и социальной	1	1
246	с нашим	2	1
247	для культурного	1	1
248	свое время	1	1
249	находит себе	1	1
250	от нее	3	1
251	как они	1	1
252	а то	2	1
253	как какой-то	1	1
254	конечно в	1	1
255	той же	2	1
256	первый и	1	1
257	лишь в	4	1
258	это было	8	1
259	отношения которые	1	1
260	на почве	5	1
261	и определение	1	1
262	ни разу	2	1
263	таково содержание	1	1
264	еще одно	1	1
265	которая была	1	1
266	он является	1	1
267	с тем	4	1
268	несмотря на	3	1
269	жизни но	2	1
270	никакого смысла	1	1
271	похоже на	1	1
272	и того	1	1
273	их на	1	1
274	и еще	1	1
275	основной тон	1	1
276	что есть	1	1
277	социальные отношения	2	1
278	что я	3	1
279	но эта	1	1
280	которые в	2	1
281	творчества и	1	1
282	друг другу	1	1
283	слов о	1	1
284	т.е на	1	1
285	свою работу	1	1
286	а иногда	1	1
287	иной раз	1	1
288	с теми	1	1
289	в смысле	4	1
290	в эпоху	1	1
291	быть очень	1	1
292	тогда когда	2	1
293	дело в	1	1
294	одна из	2	1
295	в сущности	2	1
296	к новым	1	1
297	к изучению	1	1
298	родился в	1	1
299	сталкиваемся с	1	1
300	того чтобы	1	1
301	только не	1	1
302	вытекает из	1	1
303	не имеет	2	1
304	вообще нет	1	1
305	и всегда	2	1
306	ничего не	4	1
307	обратим внимание	1	1
308	этих двух	2	1
309	пути и	1	1
310	того в	1	1
311	в русском	2	1
312	к этим	2	1
313	связи с	3	1
314	ничто не	1	1
315	в виду	2	1
316	мы и	1	1
317	и со	1	1
318	от того	2	1
319	они вполне	1	1
320	или только	1	1
321	в духе	2	1
322	так рождается	1	1
323	и такие	2	1
324	следует заметить	1	1
325	отличается от	4	1
326	же самое	1	1
327	к тому	2	1
328	бы он	1	1
329	той или	1	1
330	для его	2	1
331	на это	2	1
332	как известно	1	1
333	в применении	1	1
334	году в	1	1
335	своего развития	1	1
336	бы сделать	1	1
337	но вообще	1	1
338	говорит и	2	1
339	без всякого	2	1
340	только при	1	1
341	важно только	1	1
342	так было	1	1
343	приводит к	1	1
344	и что	3	1
345	и сам	1	1
346	в другом	3	1
347	можно было	1	1
348	времени и	2	1
349	его жизни	1	1
350	именно этот	1	1
351	если бы	4	1
352	из одного	1	1
353	в разных	1	1
354	связанная с	1	1
355	и здесь	3	1
356	в порядке	1	1
357	и т.д	1	1
358	на вопрос	3	1
359	внимание на	2	1
360	вражда к	1	1
361	пр в	2	1
362	говорить об	1	1
363	борьба с	2	1
364	с нами	1	1
365	эти два	1	1
366	отметить что	5	1
367	нельзя сказать	3	1
368	из одних	1	1
369	в свете	1	1
370	все время	2	1
371	человека как	1	1
372	для самого	1	1
373	это приводит	1	1
374	к нему	4	1
375	что здесь	4	1
376	но так	1	1
377	мы сталкиваемся	1	1
378	о двух	1	1
379	переносит центр	1	1
380	бы из	1	1
381	это же	1	1
382	делает его	1	1
383	с одной	2	1
384	в качестве	4	1
385	целом это	1	1
386	определения и	1	1
387	оказывается в	1	1
388	уже в	3	1
389	др но	2	1
390	и они	1	1
391	то и	2	1
392	а это	1	1
393	не дает	1	1
394	в известной	1	1
395	ним и	1	1
396	в конце	6	1
397	вовсе не	2	1
398	как его	1	1
399	не случайно	1	1
400	заметить что	2	1
401	как раз	3	1
402	этом отношении	4	1
403	даже и	1	1
404	перейти к	1	1
405	для того	2	1
406	широко пользуется	1	1
407	со стороны	3	1
408	или иной	2	1
409	имеет и	1	1
410	с другой	5	1
411	в немногих	1	1
412	этом пути	1	1
413	и тех	1	1
414	в свою	2	1
415	представляет собою	2	1
416	который до	1	1
417	а с	2	1
418	на которые	1	1
419	что для	3	1
420	говорит о	1	1
421	в некоторых	3	1
422	связано с	5	1
423	них и	1	1
424	у нас	4	1
425	одной стороны	3	1
426	материал в	1	1
427	а не	5	1
428	с которым	3	1
429	именно так	1	1
430	в связи	3	1
431	связь с	4	1
432	свободна от	1	1
433	этапа развития	1	1
434	многих случаях	1	1
435	не сразу	2	1
436	в данном	1	1
437	применении к	1	1
438	тому как	1	1
439	что же	1	1
440	а потом	1	1
441	даже с	1	1
442	в состоянии	1	1
443	том смысле	2	1
444	быть не	2	1
445	несколько слов	2	1
446	о его	1	1
447	нужно отметить	2	1
448	этом и	1	1
449	точно и	1	1
450	которые были	2	1
451	примыкают к	1	1
452	это уже	1	1
453	известной степени	1	1
454	при таком	1	1
455	потому не	1	1
456	формы и	1	1
457	по принципу	1	1
458	которой можно	1	1
459	особого рода	1	1
460	в эту	4	1
461	и ни	2	1
462	теряет свою	1	1
463	на языке	1	1
464	только что	2	1
465	до меня	1	1
466	на такой	1	1
467	здесь только	2	1
468	является его	1	1
469	нет ничего	1	1
470	в период	1	1
471	работы и	1	1
472	этап в	2	1
473	является и	1	1
474	ко всему	1	1
475	самое и	1	1
476	культурного сознания	1	1
477	в своих	8	1
478	этой точки	1	1
479	и эта	1	1
480	это в	4	1
481	как на	6	1
