N	2gram	Vinokur_Vv_1	Otkroven
104	учение о	2	2
105	так что	5	2
106	уже в	5	2
107	с чем	2	2
108	о которой	2	2
109	одно из	5	2
110	всякий кто	1	2
111	же это	2	2
112	ведь это	1	2
113	так как	13	2
114	и никогда	1	2
115	тем что	6	2
116	даже и	3	2
117	момент в	1	2
118	в другом	3	2
119	и из	1	2
120	его в	6	2
121	сказать что	5	2
122	с тем	6	2
123	и очень	1	2
124	чем в	3	2
125	должно быть	2	2
126	том что	26	2
127	человека к	1	2
128	для всякого	1	2
129	к этому	3	2
130	что же	3	2
131	не могли	2	2
132	романов достоевского	2	2
133	не имеет	4	2
134	любовь к	4	2
135	и для	4	2
136	ничего не	2	2
137	потребность в	1	2
138	разных сторон	1	2
139	не есть	4	2
140	в своей	4	2
141	что все	1	2
142	всего в	1	2
143	хотя и	3	2
144	ее в	1	2
145	но в	10	2
146	смысле слова	7	1
147	и это	6	1
148	вкус к	1	1
149	отношения к	1	1
150	также и	16	1
151	например в	2	1
152	чтобы не	1	1
153	дело что	2	1
154	связана с	4	1
155	в виду	4	1
156	сам по	1	1
157	на самом	1	1
158	с каким	1	1
159	науки о	9	1
160	из самых	1	1
161	говорится что	1	1
162	и до	2	1
163	должна быть	2	1
164	видеть в	1	1
165	можно было	7	1
166	не с	2	1
167	есть не	3	1
168	собой в	2	1
169	из которой	1	1
170	бытие не	1	1
171	нельзя найти	1	1
172	мы не	2	1
173	том как	1	1
174	по сравнению	3	1
175	эпоху возрождения	1	1
176	если бы	2	1
177	в эпоху	1	1
178	в сущности	3	1
179	собственно в	1	1
180	не вполне	4	1
181	жизни как	2	1
182	был например	1	1
183	другом месте	2	1
184	себе что	3	1
185	люди с	1	1
186	и был	2	1
187	в ней	3	1
188	было до	1	1
189	нем все	1	1
190	для целей	1	1
191	и что	4	1
192	после того	2	1
193	есть непременно	1	1
194	вопросу о	2	1
195	каждом из	1	1
196	самом деле	6	1
197	возможности и	1	1
198	которого не	1	1
199	и вопрос	1	1
200	но не	7	1
201	которых в	1	1
202	всего он	1	1
203	сравнению с	3	1
204	в новом	1	1
205	но нет	1	1
206	нуждается в	2	1
207	себе и	2	1
208	говорит он	2	1
209	в форме	2	1
210	глубине человеческой	1	1
211	и чем	1	1
212	вообще и	3	1
213	все время	1	1
214	и я	1	1
215	которой в	2	1
216	в центре	4	1
217	нет такой	1	1
218	в том-то	1	1
219	в одной	1	1
220	содержание всего	1	1
221	как в	1	1
222	по содержанию	2	1
223	как например	5	1
224	в частности	3	1
225	что нет	2	1
226	один из	6	1
227	об обществе	2	1
228	и как	9	1
229	с ними	1	1
230	о пушкине	1	1
231	от этого	5	1
232	психологии и	1	1
233	то в	1	1
234	за собой	3	1
235	духа в	1	1
236	европе и	1	1
237	бы и	2	1
238	что это	3	1
239	вопрос об	1	1
240	представляет собой	12	1
241	с какой	1	1
242	с их	5	1
243	не занимается	1	1
244	только один	1	1
245	уже не	5	1
246	говорят о	1	1
247	на то	1	1
248	что она	3	1
249	больше всего	1	1
250	и скорее	1	1
251	с обычным	1	1
252	и других	3	1
253	да и	4	1
254	из них	3	1
255	после этого	2	1
256	но от	1	1
257	его и	1	1
258	свой собственный	1	1
259	он должен	1	1
260	есть та	1	1
261	в силу	3	1
262	есть один	1	1
263	в одном	4	1
264	свои собственные	1	1
265	вовсе не	6	1
266	и сам	2	1
267	не теряет	1	1
268	мысли как	1	1
269	само по	3	1
270	из него	1	1
271	лишь с	1	1
272	этом отношении	3	1
273	вещей и	1	1
274	нее не	1	1
275	от того	3	1
276	существование в	1	1
277	лишь к	1	1
278	в каждом	4	1
279	том-то и	1	1
280	и даже	5	1
281	со стороны	12	1
282	одном месте	1	1
283	интерес к	1	1
284	заключается в	4	1
285	здесь нужно	1	1
286	а именно	6	1
287	не совпадает	1	1
288	с той	1	1
289	и прежде	1	1
290	она стала	1	1
291	а это	1	1
292	лишь на	1	1
293	истории и	4	1
294	в жизни	1	1
295	говорит о	3	1
296	в них	4	1
297	этого слова	2	1
298	она и	1	1
299	может ли	1	1
300	был в	2	1
301	на этот	4	1
302	и своим	1	1
303	атмосфере и	1	1
304	всегда и	1	1
305	заключено в	1	1
306	человек в	1	1
307	о чем	4	1
308	строгом смысле	3	1
309	и тогда	3	1
310	нисколько не	3	1
311	народа и	1	1
312	мира в	1	1
313	его характер	1	1
314	он и	2	1
315	в одно	1	1
316	проникновения в	1	1
317	н к	1	1
318	о людях	1	1
319	сторона его	1	1
320	русской литературы	1	1
321	и без	2	1
322	как это	5	1
323	в котором	4	1
324	в строгом	3	1
325	этого типа	1	1
326	ее ни	1	1
327	смысле этого	8	1
328	это есть	2	1
329	азии и	1	1
330	знания в	3	1
331	всяком случае	3	1
332	и более	1	1
333	в конце	3	1
334	а потому	3	1
335	быть не	1	1
336	нет никакого	1	1
337	любви и	1	1
338	в отношении	2	1
339	но это	1	1
340	оба они	1	1
341	отличается от	1	1
342	мысли в	1	1
343	совершенства о	1	1
344	дело в	3	1
345	того как	3	1
346	одна из	2	1
347	ближе к	2	1
348	ее с	1	1
349	со всей	3	1
350	тому кто	1	1
351	не по	1	1
352	было не	1	1
353	существует между	2	1
354	было у	1	1
355	не существует	2	1
356	что иной	1	1
357	науку о	2	1
358	привести ни	1	1
359	в отношениях	2	1
360	новой науки	1	1
361	может служить	3	1
362	в разных	5	1
363	том только	1	1
364	и способы	1	1
365	к одной	1	1
366	особого рода	4	1
367	но еще	1	1
368	бы в	1	1
369	действительно в	1	1
370	еще более	1	1
371	в русском	1	1
372	ни к	2	1
373	во всем	2	1
374	и дело	1	1
375	что русский	1	1
376	заключает в	1	1
377	отношении к	2	1
378	как будто	3	1
379	но есть	1	1
380	к чтению	1	1
381	не потому	1	1
382	у нас	2	1
383	и эта	1	1
384	противоречий и	1	1
385	состоит из	1	1
386	среди них	1	1
387	совершенно не	1	1
388	не одно	1	1
389	природе и	2	1
390	для нашего	1	1
391	жизни а	1	1
392	и заключается	4	1
393	ко всему	1	1
394	бы кажется	1	1
395	чтобы сделать	1	1
396	это конечно	1	1
397	та же	1	1
398	в свое	2	1
399	стремлением к	1	1
400	жизни и	2	1
401	будто бы	2	1
402	достоевский как	1	1
403	во всяком	3	1
