N	2gram	Medvedev_V_1	EvropaiE
341	он в	1	1
342	нужно как	1	1
343	чуть ли	2	1
344	и насколько	1	1
345	которые в	2	1
346	чертах и	1	1
347	не заключается	1	1
348	что автор	1	1
349	элементов в	1	1
350	тому же	1	1
351	жизнью и	1	1
352	на его	1	1
353	отцов и	1	1
354	т д	14	1
355	всем своем	1	1
356	не значит	1	1
357	другой в	1	1
358	не как	1	1
359	то как	1	1
360	ли не	2	1
361	любой из	1	1
362	на этом	1	1
363	его можно	1	1
364	в характере	1	1
365	и наоборот	1	1
366	а затем	2	1
367	в нем	6	1
368	они должны	2	1
369	том случае	1	1
370	поэзии и	1	1
371	говорить не	3	1
372	лишь в	2	1
373	входит в	1	1
374	свести к	1	1
375	качестве общего	1	1
376	в жизни	2	1
377	в ином	1	1
378	рассказывает что	2	1
379	который по	2	1
380	к области	1	1
381	роли и	1	1
382	его частей	1	1
383	соответствии с	1	1
384	здесь можно	1	1
385	или из	1	1
386	потому и	1	1
387	их на	1	1
388	или менее	6	1
389	с положительной	1	1
390	как некую	1	1
391	с к	1	1
392	же направлении	1	1
393	что при	2	1
394	признать что	1	1
395	такое толкование	1	1
396	сведена к	1	1
397	значение для	1	1
398	определяется как	1	1
399	об их	1	1
400	творчества и	1	1
401	друг другу	1	1
402	том же	6	1
403	для этого	1	1
404	тирада о	1	1
405	освободиться от	1	1
406	тому что	6	1
407	все эти	6	1
408	не менее	2	1
409	вплоть до	2	1
410	понимать буквально	1	1
411	что эта	1	1
412	с теми	1	1
413	одна из	4	1
414	творчества что	1	1
415	значит ли	1	1
416	наблюдений над	1	1
417	та или	1	1
418	лицом такой	1	1
419	это мы	3	1
420	казалось бы	1	1
421	в самой	1	1
422	этом процессе	2	1
423	или иная	1	1
424	в русском	1	1
425	на себе	1	1
426	следует понимать	5	1
427	сопоставить эти	1	1
428	и его	6	1
429	каждой из	2	1
430	связи с	4	1
431	мы бы	1	1
432	в сознании	4	1
433	е не	1	1
434	следует что	1	1
435	так то	1	1
436	в основе	1	1
437	общего плана	1	1
438	только наиболее	1	1
439	у нас	2	1
440	того обстоятельства	1	1
441	к сфере	1	1
442	определяющую роль	1	1
443	числе и	2	1
444	должны быть	2	1
445	для такого	1	1
446	что некоторые	1	1
447	именно таким	1	1
448	толковать в	1	1
449	оно может	1	1
450	приходит к	1	1
451	своего развития	1	1
452	и художественное	3	1
453	значительной мере	3	1
454	он определяет	1	1
455	то или	1	1
456	мысль о	2	1
457	то время	1	1
458	мнение что	1	1
459	а другие	1	1
460	и сам	1	1
461	самом понятии	2	1
462	что может	1	1
463	же выводу	1	1
464	чем скажем	1	1
465	это состояние	1	1
466	каждого из	1	1
467	об этом	9	1
468	еще в	1	1
469	по ее	1	1
470	является в	1	1
471	поэтому в	1	1
472	по признанию	1	1
473	с ним	1	1
474	связанная с	1	1
475	связанное с	2	1
476	сводится к	3	1
477	силы и	1	1
478	некоторых из	2	1
479	на вопрос	2	1
480	внимание на	1	1
481	и кровь	1	1
482	может не	2	1
483	более высокой	1	1
484	связанной с	1	1
485	той социальной	1	1
486	затем в	1	1
487	развития не	1	1
488	из себя	2	1
489	прав ли	1	1
490	всего этого	1	1
491	в ту	1	1
492	в явлении	3	1
493	с понятиями	1	1
494	формировании и	1	1
495	значит что	2	1
496	большей или	3	1
497	чтобы ответить	1	1
498	быть и	1	1
499	один из	5	1
500	живыми впечатлениями	1	1
501	что конечно	1	1
502	речи о	1	1
503	с ними	4	1
504	дело с	1	1
505	всех этих	2	1
506	как нечто	1	1
507	который в	1	1
508	они могут	1	1
509	и ее	4	1
510	же при	1	1
511	по этому	9	1
512	которого имеет	1	1
513	к какому	1	1
514	со своим	2	1
515	переходит в	1	1
516	конечно не	1	1
517	уже не	1	1
518	уже в	1	1
519	к максимальной	1	1
520	только тогда	1	1
521	в начале	1	1
522	что не	3	1
523	от других	1	1
524	в точном	2	1
525	это обстоятельство	1	1
526	для него	8	1
527	и их	3	1
528	представить себе	2	1
529	то следует	1	1
530	войной и	1	1
531	очевидно также	1	1
532	в последних	1	1
533	к сознанию	1	1
534	не о	2	1
535	от того	2	1
536	в более	1	1
537	богатство и	1	1
538	или иное	1	1
539	даже не	2	1
540	или иначе	1	1
541	сказал бы	1	1
542	творчества оно	1	1
543	не обязательно	1	1
544	что тот	1	1
545	в явлениях	1	1
546	или меньшей	3	1
547	что для	3	1
548	в соответствии	1	1
549	не было	7	1
550	их можно	1	1
551	в любой	1	1
552	с большей	1	1
553	является сознание	1	1
554	зависит от	2	1
555	так называемой	1	1
556	мы хотим	1	1
557	что из	1	1
558	что мы	2	1
559	мы знаем	3	1
560	если не	1	1
561	в связи	3	1
562	уже о	1	1
563	нет ничего	1	1
564	что во	1	1
565	двум основным	1	1
566	имеются в	1	1
567	тенденций в	1	1
568	их к	1	1
569	основных чертах	4	1
570	если так	1	1
571	религии и	1	1
572	приблизительно в	1	1
573	в состоянии	1	1
574	том смысле	1	1
575	действительности как	1	1
576	должно быть	2	1
577	с ее	1	1
578	общим правилом	1	1
579	этого факта	1	1
580	слова и	1	1
581	еще теснее	1	1
582	аналогии с	1	1
583	к двум	1	1
584	в формировании	1	1
585	и общим	1	1
586	и изучение	1	1
587	многие из	2	1
588	рода все	1	1
589	не отрицает	2	1
590	этому и	1	1
591	что оно	3	1
592	плоти и	1	1
593	о котором	1	1
594	а к	1	1
595	свои идеи	1	1
596	процесс мы	1	1
597	ее и	1	1
598	и частных	1	1
599	своих произведений	1	1
600	как сказал	1	1
601	в большей	2	1
602	но это	1	1
603	и другие	1	1
604	можно конечно	1	1
605	понимать как	2	1
606	не быть	2	1
607	сводить к	1	1
608	в последнем	2	1
609	что даже	2	1
610	от природы	1	1
611	есть то	1	1
612	к этой	1	1
613	случае если	1	1
614	это в	1	1
615	ничего иного	1	1
616	можно назвать	1	1
617	том числе	2	1
618	смысле что	1	1
