N	2gram	Medvedev_F_2	VerxiiNi
185	самого начала	2	2
186	этими двумя	2	2
187	ее с	2	2
188	не могло	1	2
189	же время	5	2
190	в русском	1	2
191	и является	1	2
192	этом отношении	7	2
193	и здесь	3	2
194	не могут	7	2
195	и другой	1	2
196	похож на	1	2
197	отличается от	1	2
198	той или	1	2
199	ничего общего	1	2
200	но при	1	2
201	и сами	1	2
202	то или	1	2
203	приводит к	2	2
204	особенно в	3	2
205	связанных с	1	2
206	можно только	1	2
207	для этого	2	2
208	в виду	2	2
209	должно было	3	2
210	между тем	2	2
211	этого периода	1	2
212	быть даже	2	2
213	у всех	1	2
214	быть и	3	2
215	один из	2	2
216	тот же	1	2
217	и действительно	1	2
218	между этими	3	2
219	от них	1	2
220	для всех	1	2
221	конечно не	1	2
222	уже в	2	2
223	нее не	2	2
224	этой задачи	1	2
225	из своих	1	2
226	именно в	5	2
227	по своим	1	2
228	к которому	1	2
229	прежде всего	15	2
230	превращается в	2	2
231	не было	6	2
232	и все	3	2
233	тем с	1	2
234	если не	1	2
235	должна была	2	2
236	связь с	1	2
237	и особенно	1	2
238	и иной	1	2
239	требует от	1	2
240	на русской	1	2
241	по существу	7	2
242	влечет за	1	2
243	этот период	1	2
244	тем и	2	2
245	при таком	1	2
246	совершенно иной	2	2
247	из себя	1	2
248	в эту	1	2
249	в свою	1	2
250	в процессе	9	2
251	сказать что	2	2
252	к его	2	2
253	из этого	2	2
254	ли они	1	2
255	жизни и	3	2
256	можно назвать	1	2
257	это неверно	1	1
258	как известно	1	1
259	от этой	1	1
260	вряд ли	2	1
261	можно говорить	2	1
262	языка с	1	1
263	к их	1	1
264	таком случае	1	1
265	в этот	1	1
266	начинается с	1	1
267	и через	1	1
268	языку и	1	1
269	становится в	2	1
270	самом деле	8	1
271	своей основной	1	1
272	это и	5	1
273	но тем	1	1
274	мере в	1	1
275	в самостоятельный	1	1
276	и есть	1	1
277	тем же	3	1
278	в первом	7	1
279	явления и	2	1
280	и до	3	1
281	все те	1	1
282	и этот	1	1
283	равнодушен к	1	1
284	той же	1	1
285	их и	1	1
286	а как	3	1
287	словами в	1	1
288	мы не	3	1
289	что уже	1	1
290	совершенно чуждые	1	1
291	нам в	1	1
292	этом не	1	1
293	в сущности	4	1
294	совпадает с	2	1
295	же что	1	1
296	эта эволюция	1	1
297	при таких	1	1
298	в ней	6	1
299	от всей	2	1
300	на них	1	1
301	в широком	2	1
302	что его	1	1
303	в чем	2	1
304	события в	1	1
305	художественном творчестве	1	1
306	общих чертах	1	1
307	привели к	1	1
308	до настоящего	1	1
309	в сторону	4	1
310	уже как	1	1
311	вступают в	1	1
312	с духом	1	1
313	отличие от	2	1
314	к своей	1	1
315	легче и	1	1
316	что они	4	1
317	один и	1	1
318	идет о	2	1
319	материалом для	3	1
320	работа в	1	1
321	в одной	2	1
322	как в	4	1
323	элементов которые	1	1
324	как к	3	1
325	образом каждый	1	1
326	с их	1	1
327	более и	1	1
328	однако не	3	1
329	всей этой	1	1
330	его к	1	1
331	следует сказать	1	1
332	от этого	3	1
333	и отчасти	3	1
334	то в	2	1
335	них как	1	1
336	знаменательно что	1	1
337	не приходится	3	1
338	та же	2	1
339	чуть ли	1	1
340	в нашем	1	1
341	то теперь	1	1
342	думать что	1	1
343	отчасти и	1	1
344	что к	1	1
345	элементов в	2	1
346	и тот	1	1
347	имеем в	1	1
348	если он	1	1
349	так сказать	3	1
350	роли в	1	1
351	широком смысле	2	1
352	вера в	1	1
353	отношение которое	1	1
354	время и	3	1
355	но именно	3	1
356	всех этих	3	1
357	объясняется и	1	1
358	он должен	1	1
359	к одному	1	1
360	этой точке	1	1
361	в корне	7	1
362	и более	2	1
363	являются его	1	1
364	признает и	1	1
365	постольку поскольку	2	1
366	на этом	2	1
367	от нее	4	1
368	не следует	4	1
369	этом последнем	1	1
370	задний план	1	1
371	этого они	1	1
372	и детализации	1	1
373	бы быть	1	1
374	общем можно	1	1
375	говорить не	2	1
376	что перед	1	1
377	его в	3	1
378	входит в	4	1
379	это было	3	1
380	было в	2	1
381	есть не	1	1
382	это не	2	1
383	было бы	6	1
384	на почве	9	1
385	не совпадает	1	1
386	между отдельными	1	1
387	из первых	1	1
388	ни в	2	1
389	нет в	1	1
390	в слове	5	1
391	как и	9	1
392	которой не	1	1
393	оно имеет	1	1
394	чем в	1	1
395	исследований в	1	1
396	должно быть	2	1
397	а отчасти	1	1
398	она была	1	1
399	его нельзя	3	1
400	в своей	7	1
401	никто не	1	1
402	в такой	2	1
403	не отрицал	1	1
404	в их	6	1
405	место в	3	1
406	дальнейшее развитие	1	1
407	в отличие	2	1
408	так к	1	1
409	должны были	2	1
410	борьбу с	1	1
411	на такое	1	1
412	их в	2	1
413	не могли	2	1
414	не должно	1	1
415	для россии	1	1
416	по себе	7	1
417	даже в	2	1
418	связей с	1	1
419	случае мы	1	1
420	сам он	2	1
421	от тех	2	1
422	этой области	1	1
423	эти новые	1	1
424	случае в	1	1
425	но они	1	1
426	является лишь	1	1
427	всех тех	1	1
428	в учении	2	1
429	не по	2	1
430	взглянуть на	1	1
431	иметь в	1	1
432	проникают в	1	1
433	в общих	1	1
434	ничего не	4	1
435	вследствие того	1	1
436	этих последних	1	1
437	за исключением	1	1
438	другой стороны	4	1
439	говорить лишь	1	1
440	к этим	1	1
441	бы по	1	1
442	только с	1	1
443	но даже	1	1
444	в каком	1	1
445	и несколько	1	1
446	у нас	1	1
447	настоящего времени	1	1
448	которое в	1	1
449	могут быть	6	1
450	лежит в	1	1
451	как только	1	1
452	должны быть	1	1
453	примыкают к	1	1
454	этого и	1	1
455	не есть	3	1
456	слова с	1	1
457	эти явления	2	1
458	конкретные формы	1	1
459	для себя	1	1
460	значения и	2	1
461	одинаковы с	1	1
462	как не	1	1
463	и образ	1	1
464	свою очередь	1	1
465	здесь не	4	1
466	всего этого	5	1
467	без всякого	1	1
468	некоторые другие	1	1
469	в ее	2	1
470	данном случае	1	1
471	нет никакой	1	1
472	только то	1	1
473	во главе	1	1
474	роль в	3	1
475	и совершенно	2	1
476	разрыва с	1	1
477	с собой	1	1
478	нужно было	2	1
479	том как	1	1
480	с ним	2	1
481	стремление к	1	1
482	это объясняется	1	1
483	по-видимому и	1	1
484	и должно	5	1
485	и других	2	1
486	настоящее время	1	1
487	одного из	3	1
488	иное значение	1	1
489	учения о	1	1
490	до известной	3	1
491	согласно учению	1	1
492	и во	1	1
493	все в	1	1
494	и лишь	2	1
495	указаний на	1	1
496	с каким-нибудь	1	1
497	том или	1	1
498	теперь уже	1	1
499	какой-нибудь другой	1	1
500	во втором	7	1
501	к установлению	1	1
502	были очень	1	1
503	когда какой-нибудь	1	1
504	котором они	1	1
505	во всей	2	1
506	именно тем	1	1
507	те черты	1	1
508	весь вопрос	1	1
509	язык в	2	1
510	от этих	2	1
511	все дальнейшее	1	1
512	и следовательно	1	1
513	не удалось	1	1
514	как она	2	1
515	эта тенденция	1	1
516	происходит в	1	1
517	оставаясь в	1	1
518	и прежде	3	1
519	совсем не	2	1
520	воплощается в	1	1
521	с ними	2	1
522	этот вопрос	2	1
523	что даже	1	1
524	и так	1	1
525	и раньше	1	1
526	и ее	6	1
527	их не	1	1
528	и его	21	1
529	не можем	1	1
530	указания на	1	1
531	только на	3	1
532	есть проблема	1	1
533	борьбы с	2	1
534	языка как	11	1
535	только тогда	1	1
536	на этих	1	1
537	при помощи	2	1
538	в ином	3	1
539	но совершенно	2	1
540	лишь постольку	3	1
541	мы знаем	3	1
542	который как	1	1
543	не так	2	1
544	себе в	1	1
545	и их	3	1
546	период развития	3	1
547	сами по	2	1
548	не для	1	1
549	с этими	1	1
550	бытия и	1	1
551	с системой	2	1
552	как раз	6	1
553	притом как	1	1
554	тем что	8	1
555	или ином	1	1
556	так легко	1	1
557	это по	1	1
558	смысла и	2	1
559	перейти к	1	1
560	со всем	1	1
561	ней и	1	1
562	предполагает существование	1	1
563	тот который	1	1
564	а именно	2	1
565	в самую	1	1
566	социальной жизни	1	1
567	и пр	21	1
568	по тем	1	1
569	и самый	1	1
570	зависит от	1	1
571	сдвиг в	1	1
572	находились в	1	1
573	о чем	1	1
574	он становится	3	1
575	на эту	1	1
576	совершенно иное	1	1
577	с помощью	10	1
578	все более	2	1
579	ни на	2	1
580	от характера	2	1
581	всем что	1	1
582	с этим	5	1
583	в данном	1	1
584	в той	2	1
585	смысле этого	1	1
586	да и	1	1
587	как средство	1	1
588	духом и	1	1
589	там где	4	1
590	особенно важное	1	1
591	ли не	1	1
592	этого слова	1	1
593	как из	1	1
594	и некоторые	1	1
595	является для	2	1
596	такой же	3	1
597	но это	2	1
598	о его	1	1
599	в одних	1	1
600	только еще	1	1
601	но для	1	1
602	под знаком	1	1
603	кроме того	2	1
604	это отличие	1	1
605	народных песен	1	1
606	не является	3	1
607	известной степени	4	1
608	которых он	1	1
609	различны и	1	1
610	не имея	1	1
611	не существует	1	1
612	на задний	1	1
613	его с	3	1
614	лишь о	2	1
615	в настоящее	1	1
616	этому учению	1	1
617	она уже	1	1
618	то о	1	1
619	бы в	5	1
620	важное значение	1	1
621	все они	1	1
622	о диалектах	1	1
623	же в	1	1
624	этих элементов	2	1
625	только как	1	1
626	а ведь	1	1
627	совершенно не	4	1
628	жизни а	1	1
629	занимают в	2	1
630	для создания	2	1
631	в своих	1	1
632	значение в	1	1
633	они не	4	1
