N	2gram	Vinokur_Vv_1	PoTuStor
108	совсем не	3	2
109	но как	2	2
110	нет и	1	2
111	с этим	2	2
112	в этот	2	2
113	что это	3	2
114	но ведь	4	2
115	вообще не	3	2
116	момента в	2	2
117	нашего времени	2	2
118	то же	8	2
119	по своему	5	2
120	на протяжении	2	2
121	нечего и	1	2
122	было бы	5	2
123	в жизни	1	2
124	в них	4	2
125	как и	5	2
126	в своей	4	2
127	почти не	1	2
128	не менее	8	2
129	никогда не	3	2
130	таким путем	1	2
131	понятия и	1	2
132	что на	1	2
133	в каком	1	2
134	все то	1	2
135	не могут	5	2
136	что оно	2	2
137	как не	1	2
138	и этим	1	2
139	только то	1	2
140	для этого	3	2
141	и вообще	3	2
142	с ним	1	2
143	о том	15	2
144	другими словами	1	2
145	что и	3	2
146	во всей	1	2
147	один из	6	2
148	мы видим	1	2
149	что он	4	2
150	и так	1	2
151	всех его	1	2
152	есть в	1	2
153	в начале	3	2
154	и других	3	2
155	к ним	1	2
156	при всей	1	2
157	у него	1	2
158	момент в	1	2
159	и т.п	1	2
160	оно не	1	2
161	что не	5	2
162	не на	1	2
163	что мы	2	2
164	в одно	1	2
165	с помощью	1	2
166	в частности	3	2
167	так же	3	2
168	в область	1	2
169	с этой	4	2
170	в свое	2	2
171	с историей	3	2
172	но это	1	2
173	и для	4	2
174	не существует	2	2
175	но зато	2	2
176	ни было	1	2
177	не есть	4	2
178	это делает	2	2
179	есть и	4	2
180	ее в	1	2
181	к этому	3	2
182	можно назвать	1	2
183	они не	1	2
184	человека и	1	1
185	его учениками	1	1
186	и то	5	1
187	и объясняется	1	1
188	дело обстоит	1	1
189	историю не	1	1
190	науки о	9	1
191	это и	1	1
192	культура не	1	1
193	что эти	1	1
194	сюда входит	1	1
195	до времени	1	1
196	мы имеем	3	1
197	даже того	1	1
198	что между	1	1
199	что если	2	1
200	вопрос о	8	1
201	нам в	1	1
202	его современников	1	1
203	так чтобы	3	1
204	а для	1	1
205	их до	1	1
206	всего сказанного	1	1
207	из того	2	1
208	зависимости от	1	1
209	в ней	3	1
210	было до	1	1
211	он был	1	1
212	как один	1	1
213	иное как	5	1
214	его отношение	1	1
215	бы то	1	1
216	что его	1	1
217	этим не	1	1
218	но не	7	1
219	значение и	2	1
220	для объяснения	2	1
221	момент он	1	1
222	в течение	5	1
223	в центре	4	1
224	общего с	1	1
225	от содержания	1	1
226	дает нам	1	1
227	сам же	2	1
228	все же	8	1
229	однако не	4	1
230	хотя и	3	1
231	что по	1	1
232	его к	2	1
233	увидим что	1	1
234	сомнений в	1	1
235	есть ли	1	1
236	от этого	5	1
237	психологии и	1	1
238	уже не	5	1
239	та же	1	1
240	точку зрения	1	1
241	а во-вторых	2	1
242	притом еще	1	1
243	всего к	2	1
244	как он	6	1
245	имеем в	1	1
246	во многих	1	1
247	на его	1	1
248	что она	3	1
249	не следует	2	1
250	главным образом	1	1
251	время и	1	1
252	известных пределах	1	1
253	есть та	1	1
254	отношений между	3	1
255	но вместе	2	1
256	свое время	2	1
257	из него	1	1
258	приходим к	3	1
259	подобно тому	1	1
260	как момент	1	1
261	с чем	2	1
262	находит себе	2	1
263	по его	2	1
264	то ни	1	1
265	как они	1	1
266	различие между	1	1
267	той же	4	1
268	лишь в	1	1
269	входит в	2	1
270	это было	1	1
271	искусства в	1	1
272	уже знаем	1	1
273	на почве	5	1
274	истории и	4	1
275	все существенное	1	1
276	для них	1	1
277	и представить	2	1
278	были в	1	1
279	он действительно	1	1
280	с тем	6	1
281	этим и	1	1
282	несмотря на	2	1
283	уже у	1	1
284	действительно не	1	1
285	и того	2	1
286	одного и	2	1
287	язык но	2	1
288	метода в	1	1
289	нужно только	1	1
290	но если	3	1
291	от своего	1	1
292	этой гипотезы	1	1
293	в следующем	1	1
294	как наука	2	1
295	к предмету	1	1
296	освободить от	1	1
297	как совокупность	2	1
298	каждое из	1	1
299	на другую	1	1
300	да притом	1	1
301	есть еще	2	1
302	так называемое	1	1
303	вещей и	1	1
304	однако в	3	1
305	любовь к	4	1
306	отношений здесь	1	1
307	так называемого	1	1
308	же мы	1	1
309	в атмосфере	1	1
310	других отношений	1	1
311	можно указать	1	1
312	иной раз	2	1
313	с теми	2	1
314	в эпоху	1	1
315	что представляет	3	1
316	тогда когда	3	1
317	дело в	3	1
318	одна из	2	1
319	в сущности	3	1
320	к новым	1	1
321	без остатка	2	1
322	в самых	1	1
323	но далее	1	1
324	что иное	4	1
325	того чтобы	21	1
326	работы но	1	1
327	вытекает из	1	1
328	до своего	1	1
329	не имеет	4	1
330	и всегда	1	1
331	в отношениях	2	1
332	не лучше	1	1
333	ничего не	2	1
334	обратим внимание	1	1
335	этих двух	1	1
336	в русском	1	1
337	во всем	2	1
338	к этим	1	1
339	связи с	3	1
340	в виду	4	1
341	следует что	2	1
342	уже и	7	1
343	потом в	1	1
344	и со	1	1
345	от того	3	1
346	у меня	1	1
347	среди них	1	1
348	деятельности и	2	1
349	в духе	1	1
350	похож на	1	1
351	третье что	1	1
352	отличается от	1	1
353	же самое	2	1
354	должны быть	1	1
355	мы по	1	1
356	к тому	4	1
357	той или	1	1
358	что при	1	1
359	в применении	6	1
360	из всего	1	1
361	но вообще	1	1
362	без всякого	1	1
363	данном случае	5	1
364	только при	1	1
365	он определяет	1	1
366	в себя	1	1
367	культуры и	1	1
368	и что	4	1
369	и сам	2	1
370	что может	3	1
371	в другом	3	1
372	можно было	7	1
373	времени и	4	1
374	отсюда и	2	1
375	мог бы	2	1
376	не место	1	1
377	еще в	1	1
378	в научную	1	1
379	это только	4	1
380	новой науки	1	1
381	если бы	2	1
382	в глубине	1	1
383	в разных	5	1
384	о ней	1	1
385	в известных	2	1
386	и т.д	4	1
387	на вопрос	6	1
388	имеем дело	1	1
389	внимание на	4	1
390	и та	1	1
391	говорит об	1	1
392	как ее	1	1
393	вот если	1	1
394	но нет	1	1
395	никаких вопросов	1	1
396	и содержания	1	1
397	наконец в	1	1
398	в свете	1	1
399	все время	1	1
400	разделения труда	2	1
401	и об	1	1
402	к нему	2	1
403	что здесь	2	1
404	и история	3	1
405	философии и	2	1
406	тот же	1	1
407	к делу	3	1
408	дело с	6	1
409	эти разнородные	1	1
410	может оказаться	3	1
411	с одной	4	1
412	в качестве	7	1
413	себя в	2	1
414	цель которых	1	1
415	уже в	5	1
416	и искусно	1	1
417	а это	1	1
418	не дает	1	1
419	его и	1	1
420	человека на	1	1
421	пока не	1	1
422	ведь это	1	1
423	в известной	3	1
424	наука о	3	1
425	в конце	3	1
426	вовсе не	6	1
427	ее не	1	1
428	заметить что	1	1
429	как раз	4	1
430	этом отношении	3	1
431	даже и	3	1
432	для того	21	1
433	науки в	4	1
434	самый стиль	1	1
435	со стороны	12	1
436	или иной	1	1
437	деле есть	1	1
438	с другой	8	1
439	этом пути	1	1
440	эта работа	1	1
441	и тех	1	1
442	здесь в	1	1
443	в каких	1	1
444	и прежде	1	1
445	в свою	1	1
446	на которые	1	1
447	говорит о	3	1
448	связано с	1	1
449	них и	2	1
450	у нас	2	1
451	основной вопрос	1	1
452	одной стороны	4	1
453	на этот	4	1
454	а наоборот	1	1
455	зависит от	3	1
456	а не	3	1
457	именно так	1	1
458	кусок дерева	2	1
459	жизнь в	1	1
460	в руках	1	1
461	чем на	1	1
462	об ее	1	1
463	не всегда	1	1
464	именно оно	2	1
465	в связи	2	1
466	и считается	1	1
467	его учения	1	1
468	в момент	1	1
469	бы оно	1	1
470	имеет очень	1	1
471	свободна от	1	1
472	и особенно	1	1
473	не исследует	1	1
474	стороны формы	1	1
475	многих случаях	1	1
476	в данном	11	1
477	применении к	6	1
478	тому как	1	1
479	и основной	1	1
480	что же	3	1
481	ли все	1	1
482	быть не	1	1
483	есть то	1	1
484	этого метода	1	1
485	в культуре	1	1
486	этом и	1	1
487	которые были	2	1
488	и собственно	1	1
489	в более	2	1
490	это уже	1	1
491	понятно не	2	1
492	только одна	1	1
493	и часто	1	1
494	ли они	1	1
495	которая в	1	1
496	особого рода	4	1
497	это может	2	1
498	в эту	1	1
499	было на	1	1
500	интерес к	1	1
501	еще более	1	1
502	на других	1	1
503	мы должны	1	1
504	на языке	2	1
505	только что	4	1
506	же в	1	1
507	хотя в	2	1
508	входить в	1	1
509	по поводу	1	1
510	не осталось	1	1
511	или при	1	1
512	с ней	2	1
513	работы и	1	1
514	противоречий и	1	1
515	смысле они	1	1
516	в точности	1	1
517	для нашего	1	1
518	руки но	1	1
519	взгляда на	4	1
520	не что	4	1
521	ко всему	1	1
522	чем иным	1	1
523	в своих	2	1
524	этой точки	1	1
525	и эта	1	1
526	это в	2	1
527	как на	11	1
