N	2gram	Savitsky_P_1	Mirosoze
297	и первой	1	1
298	в эти	1	1
299	говорить об	1	1
300	христа религия	1	1
301	и везде	1	1
302	потому в	2	1
303	всяком случае	1	1
304	устойчивого быта	1	1
305	к ним	1	1
306	бы из	1	1
307	не были	1	1
308	жизненного уклада	1	1
309	русской интеллигенции	1	1
310	душа и	1	1
311	предполагает признание	1	1
312	и недостаточно	1	1
313	были в	1	1
314	русской истории	1	1
315	что не	1	1
316	обратиться к	1	1
317	древнего востока	1	1
318	может ли	2	1
319	к идеям	1	1
320	как ни	1	1
321	точек зрения	2	1
322	в ряду	2	1
323	в частности	2	1
324	суждений о	2	1
325	все основные	1	1
326	из мира	1	1
327	в европе	2	1
328	над ним	1	1
329	к жизни	1	1
330	сравнению с	1	1
331	он будет	1	1
332	она есть	3	1
333	знать что	2	1
334	к конечному	1	1
335	наряду с	3	1
336	связаны с	1	1
337	и смысла	1	1
338	да и	2	1
339	и менее	1	1
340	мира с	2	1
341	в это	1	1
342	которая ни	1	1
343	выпадение из	1	1
344	что мы	3	1
345	в смысле	6	1
346	она вообще	1	1
347	об отношении	1	1
348	его нет	1	1
349	но также	4	1
350	тот мир	1	1
351	еще более	2	1
352	тем более	2	1
353	ни к	1	1
354	русская революция	4	1
355	не одну	1	1
356	православия и	2	1
357	давно уже	1	1
358	гоголь и	1	1
359	вопрос вопрос	1	1
360	отношением к	1	1
361	чем когда-либо	1	1
362	о духе	1	1
363	культуры в	2	1
364	в обличье	1	1
365	пути к	1	1
366	пришел в	1	1
367	так же	1	1
368	во всяком	1	1
369	они не	1	1
370	о мировом	1	1
