N	2gram	Tiupa_Anal_3	Tragedij
211	и по	2	1
212	дистанции между	1	1
213	таким образом	4	1
214	но без	1	1
215	здесь мы	1	1
216	а затем	1	1
217	факт что	1	1
218	в другом	1	1
219	видит что	1	1
220	в финале	3	1
221	был первым	1	1
222	лишь в	5	1
223	это было	1	1
224	заключается в	1	1
225	лишь на	3	1
226	из первых	1	1
227	на свои	1	1
228	борьбе за	2	1
229	в них	2	1
230	он же	1	1
231	этого персонажа	1	1
232	мировой литературы	1	1
233	а за	1	1
234	которой он	1	1
235	ведет к	1	1
236	года и	1	1
237	обратимся к	1	1
238	но я	1	1
239	не выдерживает	1	1
240	но если	1	1
241	в своей	1	1
242	к истории	1	1
243	где мы	1	1
244	не столько	3	1
245	что сердце	1	1
246	должны были	1	1
247	чтоб я	1	1
248	и вот	2	1
249	тем не	2	1
250	на мысль	1	1
251	на всю	1	1
252	того кто	1	1
253	открывается в	1	1
254	что имя	1	1
255	теперь я	1	1
256	по себе	4	1
257	же во	1	1
258	эта встреча	1	1
259	несовместимое с	1	1
260	не менее	4	1
261	вплоть до	2	1
262	спор с	1	1
263	не вызывает	1	1
264	только не	3	1
265	судя по	2	1
266	в самой	1	1
267	его речи	1	1
268	или как	1	1
269	иными словами	1	1
270	стола и	1	1
271	она хочет	1	1
272	по своей	2	1
273	и теперь	1	1
274	связи с	1	1
275	смысл этой	1	1
276	что на	1	1
277	перед ним	1	1
278	в стиле	1	1
279	и далее	1	1
280	и обращается	1	1
281	по нашему	1	1
282	в момент	2	1
283	к себе	1	1
284	могут быть	2	1
285	уже было	1	1
286	и т.д	2	1
287	этот сын	1	1
288	указывает на	3	1
289	не есть	4	1
290	как некое	1	1
291	что при	1	1
292	в применении	1	1
293	как мы	1	1
294	и о	1	1
295	того чтобы	1	1
296	всего этого	1	1
297	свою руку	1	1
298	романе в	1	1
299	роль в	3	1
300	человека с	1	1
301	даже отчасти	1	1
302	природе своей	1	1
303	по природе	1	1
304	в борьбе	2	1
305	на них	1	1
306	с литературными	1	1
307	а по	1	1
308	себя а	1	1
309	и должно	1	1
310	случае как	1	1
311	встреча не	1	1
312	от маленькой	1	1
313	под маской	1	1
314	а также	2	1
315	мы понимаем	1	1
316	роман и	1	1
317	от него	1	1
318	восходит к	3	1
319	связь между	1	1
320	ненавистью к	1	1
321	между тем	5	1
322	эстетическая позиция	1	1
323	нуждается в	2	1
324	отметить что	1	1
325	в форме	2	1
326	ее содержание	1	1
327	не сводится	1	1
328	о своих	2	1
329	в литературе	1	1
330	того что	1	1
331	он есть	1	1
332	перед другом	1	1
333	и дело	1	1
334	с ними	1	1
335	только в	2	1
336	во всем	3	1
337	с простодушным	1	1
338	с одной	2	1
339	есть в	1	1
340	этого мотива	1	1
341	дело с	3	1
342	но от	1	1
343	в общем	2	1
344	характерно что	1	1
345	местом в	1	1
346	одно из	1	1
347	и их	1	1
348	всяком случае	2	1
349	могло бы	1	1
350	слова в	1	1
351	не для	2	1
352	с этими	1	1
353	к ним	1	1
354	ту сторону	1	1
355	не понимал	1	1
356	жизни на	1	1
357	еще недавно	1	1
358	это по	2	1
359	рядом с	1	1
360	в особенности	3	1
361	именно в	3	1
362	к роману	1	1
363	что не	3	1
364	только по	1	1
365	не было	3	1
366	полагал что	1	1
367	которая вся	1	1
368	на этот	1	1
369	за год	1	1
370	а не	9	1
371	его как	3	1
372	одну из	2	1
373	этом случае	1	1
374	в связи	1	1
375	с помощью	1	1
376	более чем	2	1
377	сравним с	1	1
378	ни за	1	1
379	на новую	1	1
380	о себе	2	1
381	время с	1	1
382	вместе с	2	1
383	до этого	1	1
384	и потому	2	1
385	намек на	1	1
386	незадолго до	1	1
387	эта похвальба	1	1
388	в той	2	1
389	применении к	1	1
390	это его	1	1
391	нам еще	1	1
392	этого слова	2	1
393	и беспокойство	1	1
394	с этой	1	1
395	и от	2	1
396	от литературных	1	1
397	друг перед	1	1
398	так ли	1	1
399	не любил	1	1
400	из трех	1	1
401	в книге	1	1
402	цветов и	1	1
403	не является	5	1
404	известной степени	3	1
405	никогда в	2	1
406	в результате	5	1
407	именно такого	1	1
408	своею и	1	1
409	к счастью	1	1
410	бы в	1	1
411	в целый	1	1
412	мог быть	1	1
413	хотя бы	1	1
414	я в	5	1
415	б это	1	1
416	в стихах	1	1
417	над собою	1	1
418	к ее	1	1
419	жизни в	1	1
420	к числу	2	1
421	евангелии от	1	1
422	героя и	4	1
423	совершенно не	2	1
424	в иной	2	1
425	ко всему	1	1
426	есть и	1	1
427	несколько времени	1	1
428	не моральный	1	1
429	в голову	1	1
430	но еще	1	1
431	к этой	1	1
432	пришел в	1	1
433	во всяком	2	1
