N	2gram	Tiupa_Disk_2	Sovremen
153	бы то	1	1
154	его в	3	1
155	с его	6	1
156	во всех	1	1
157	данном случае	6	1
158	но не	7	1
159	к этому	4	1
160	точка зрения	1	1
161	друг на	1	1
162	если в	1	1
163	в конечном	1	1
164	во втором	1	1
165	конечном счете	1	1
166	по отношению	4	1
167	ним и	1	1
168	крайней мере	1	1
169	из нескольких	1	1
170	которая и	1	1
171	идет о	2	1
172	опирается на	1	1
173	стороны и	2	1
174	форму и	1	1
175	на какое-нибудь	1	1
176	один из	1	1
177	собственно и	2	1
178	одной из	1	1
179	только в	3	1
180	в этот	1	1
181	может оказаться	1	1
182	к другому	1	1
183	в большинстве	2	1
184	только на	1	1
185	вследствие этого	2	1
186	в такого	2	1
187	он не	3	1
188	оно приобретает	1	1
189	и еще	1	1
190	искать в	1	1
191	и их	1	1
192	к одному	1	1
193	энтелехия не	1	1
194	вовсе не	1	1
195	не случайно	1	1
196	случае не	1	1
197	одной и	1	1
198	же остается	1	1
199	заключает в	2	1
200	и только	1	1
201	и может	3	1
202	в другом	3	1
203	одной стороны	4	1
204	и т.п	12	1
205	с другой	5	1
206	как у	1	1
207	обоих случаях	2	1
208	именно в	2	1
209	здесь в	3	1
210	и прежде	2	1
211	его с	1	1
212	отказавшись от	1	1
213	ни в	7	1
214	но уже	2	1
215	не было	3	1
216	она и	1	1
217	и составляет	1	1
218	для своего	1	1
219	позиции в	1	1
220	этого не	1	1
221	на друга	1	1
222	несмотря на	1	1
223	жизни но	3	1
224	как целого	1	1
225	должно быть	2	1
226	и следовательно	1	1
227	том что	10	1
228	между различными	1	1
229	этом случае	2	1
230	но если	1	1
231	в такой	1	1
232	в предыдущей	1	1
233	xix века	1	1
234	поставленный вопрос	1	1
235	в данном	7	1
236	и той	1	1
237	совершенно иными	1	1
238	а потом	2	1
239	по крайней	1	1
240	и более	1	1
241	там где	1	1
242	мере в	1	1
243	человек с	1	1
244	жизни в	3	1
245	в своем	5	1
246	ценность и	1	1
247	только о	1	1
248	но они	1	1
249	с ним	1	1
250	и развития	1	1
251	все три	1	1
252	она не	1	1
253	но для	1	1
254	в обоих	2	1
255	свое время	2	1
256	мысли в	1	1
257	дело в	2	1
258	в процессе	1	1
259	не является	4	1
260	указать на	2	1
261	и от	1	1
262	только таким	1	1
263	никогда не	2	1
264	не стремится	1	1
265	читателя что	1	1
266	и всегда	1	1
267	на язык	1	1
268	хотя и	1	1
269	жизни не	2	1
270	себя самого	1	1
271	выбора между	3	1
272	не более	2	1
273	базируется на	2	1
274	жизни как	2	1
275	и его	3	1
276	ни было	1	1
277	же в	1	1
278	но это	3	1
279	прекрасно но	1	1
280	а о	1	1
281	и несколько	1	1
282	между ними	1	1
283	не знает	3	1
284	сказать что	1	1
285	не быть	1	1
286	ни о	1	1
287	и для	2	1
288	равно как	1	1
289	системы а	1	1
290	человека в	4	1
291	в то	5	1
292	в свое	2	1
293	в основаниях	1	1
294	в какой	1	1
295	той или	3	1
296	предыдущей главе	1	1
297	в своих	6	1
298	которая не	1	1
