N	2gram	Vinokur_St_2	Literetu
157	пушкина в	18	2
158	для них	1	2
159	в москве	2	2
160	всякая иная	1	2
161	от своего	1	2
162	что такое	2	2
163	а как	4	2
164	всяком случае	3	2
165	с точки	2	2
166	что я	2	2
167	в россии	3	2
168	тем не	2	2
169	даже в	2	2
170	освободиться от	1	2
171	на один	1	2
172	при всех	1	2
173	вплоть до	1	2
174	xviii века	2	2
175	дело не	2	2
176	и ранее	1	2
177	как будто	1	2
178	этом отношении	9	2
179	и вполне	1	2
180	к тому	10	2
181	в поле	1	2
182	говоря уже	1	2
183	роль в	1	2
184	на том	1	2
185	ту же	1	2
186	в другом	4	2
187	о том	17	2
188	не могло	3	2
189	между тем	5	2
190	во втором	1	2
191	хотя бы	3	2
192	их не	1	2
193	по этому	2	2
194	в текст	1	2
195	только на	1	2
196	то и	1	2
197	со временем	1	2
198	что для	1	2
199	для него	4	2
200	себе в	1	2
201	не случайно	1	2
202	с легкой	1	2
203	тем что	3	2
204	за пределы	1	2
205	из наиболее	1	2
206	не на	2	2
207	одну из	1	2
208	так называемых	1	2
209	и м	1	2
210	если оно	1	2
211	легкой руки	1	2
212	для понимания	1	2
213	своего времени	4	2
214	я от	1	2
215	можно было	1	2
216	писал в	1	2
217	не является	3	2
218	этого рода	1	2
219	русская классическая	1	2
220	все они	1	2
221	не говоря	1	2
222	отношению к	1	2
223	на это	2	2
224	по поводу	8	2
225	которая не	1	2
226	как известно	2	1
227	если б	4	1
228	же как	3	1
229	с жизнью	1	1
230	на самом	3	1
231	только потому	2	1
232	всего это	1	1
233	идет о	3	1
234	к другому	1	1
235	дело однако	1	1
236	который в	1	1
237	мы не	1	1
238	которую я	1	1
239	до него	2	1
240	вопрос о	6	1
241	есть нечто	1	1
242	в полной	2	1
243	которое в	1	1
244	зависимости от	1	1
245	и он	3	1
246	это время	2	1
247	столько же	3	1
248	романтизма не	1	1
249	он был	2	1
250	он сам	1	1
251	бы то	2	1
252	предполагать что	1	1
253	в чем	1	1
254	только после	1	1
255	совершенно особое	1	1
256	но как	1	1
257	всем его	1	1
258	было указано	1	1
259	в сторону	1	1
260	ответ на	1	1
261	отношение к	1	1
262	тут же	1	1
263	не просто	1	1
264	что они	2	1
265	от ума	1	1
266	из таких	2	1
267	борисе годунове	32	1
268	в одной	2	1
269	вести о	1	1
270	сам же	1	1
271	как нам	1	1
272	мы можем	1	1
273	своих современников	1	1
274	и как	2	1
275	реальной действительности	1	1
276	за собой	1	1
277	в которой	11	1
278	а во-вторых	1	1
279	большей части	1	1
280	что к	1	1
281	традиция в	1	1
282	говорят о	1	1
283	на то	2	1
284	вследствие этого	1	1
285	по словам	4	1
286	в статье	2	1
287	он не	9	1
288	от которого	1	1
289	которой не	1	1
290	в понимании	1	1
291	свою собственную	1	1
292	едва ли	1	1
293	к одному	1	1
294	написанная в	1	1
295	в начале	3	1
296	прочим и	1	1
297	и более	2	1
298	в зависимости	1	1
299	у пушкина	12	1
300	и по	3	1
301	так например	7	1
302	в борьбе	1	1
303	но все	7	1
304	значительной степени	2	1
305	в каждом	1	1
306	то ни	2	1
307	а затем	2	1
308	а то	1	1
309	об этой	1	1
310	и с	4	1
311	говорил что	1	1
312	а по	1	1
313	это было	2	1
314	ее появления	2	1
315	подобные явления	1	1
316	в них	2	1
317	а прежде	1	1
318	в ее	2	1
319	с тем	7	1
320	а за	1	1
321	и уже	1	1
322	что начало	1	1
323	с такой	1	1
324	и некоторые	1	1
325	такой же	1	1
326	в один	2	1
327	в борисе	28	1
328	в эту	3	1
329	в этих	3	1
330	в г	7	1
331	места в	1	1
332	во второй	1	1
333	начале xix	1	1
334	это делает	1	1
335	в отношении	2	1
336	которого является	1	1
337	на свою	1	1
338	в условиях	1	1
339	русской литературной	1	1
340	не писал	1	1
341	одном из	3	1
342	на реального	1	1
343	в поэме	3	1
344	права на	1	1
345	который всегда	1	1
346	а молодой	1	1
347	если бы	2	1
348	ни было	2	1
349	не могли	2	1
350	и общества	1	1
351	быть не	1	1
352	здесь между	3	1
353	вовсе не	6	1
354	в эпилоге	1	1
355	и тому	1	1
356	что есть	1	1
357	весь в	1	1
358	можно указать	1	1
359	она не	1	1
360	иной раз	1	1
361	приемлемым в	1	1
362	в стихи	2	1
363	не имеет	2	1
364	самого начала	3	1
365	не своей	2	1
366	к новым	1	1
367	кого из	1	1
368	у кого	1	1
369	во время	2	1
370	на него	1	1
371	говорить о	1	1
372	для кого	1	1
373	о них	1	1
374	что вы	1	1
375	иметь в	3	1
376	но только	1	1
377	это еще	2	1
378	и всегда	2	1
379	к подлинному	2	1
380	в форму	1	1
381	к концу	1	1
382	другой стороны	3	1
383	для нас	1	1
384	для осуществления	1	1
385	другого но	1	1
386	маленькими трагедиями	1	1
387	только с	2	1
388	в каком	2	1
389	в стиле	1	1
390	например что	2	1
391	в момент	1	1
392	уже о	1	1
393	в среде	1	1
394	отличается от	1	1
395	признается что	1	1
396	поэт не	2	1
397	что при	1	1
398	отказаться от	1	1
399	одним и	1	1
400	ничего общего	1	1
401	на вопрос	3	1
402	как мы	1	1
403	свою очередь	1	1
404	средних веков	1	1
405	и от	1	1
406	так в	1	1
407	мысль о	1	1
408	с самого	3	1
409	не те	1	1
410	на нее	3	1
411	или в	1	1
412	с самим	1	1
413	каждого из	1	1
414	есть произведение	1	1
415	к тем	1	1
416	по тому	1	1
417	а все	1	1
418	в диалог	1	1
419	в эпоху	1	1
420	и здесь	3	1
421	имеет право	1	1
422	не был	3	1
423	второй половине	1	1
424	разумеется в	2	1
425	голоса в	1	1
426	никак не	2	1
427	и что	6	1
428	очевидно что	2	1
429	екатерины и	1	1
430	в лицейском	1	1
431	можно сказать	1	1
432	и который	2	1
433	в пользу	3	1
434	в значительной	2	1
435	пушкин пишет	1	1
436	не умеет	1	1
437	которых в	1	1
438	от них	1	1
439	собственной жизни	1	1
440	этому поводу	2	1
441	и во	1	1
442	борьба с	2	1
443	своего романа	1	1
444	этой социальной	1	1
445	что же	1	1
446	горя от	1	1
447	наконец в	3	1
448	примирения с	2	1
449	нашел в	1	1
450	в заключительной	2	1
451	тот же	1	1
452	одной из	3	1
453	сколь бы	1	1
454	в какой	2	1
455	гораздо более	1	1
456	ср у	3	1
457	согласно которой	1	1
458	бы ни	2	1
459	все были	1	1
460	только при	1	1
461	по большей	1	1
462	с какой	1	1
463	борьбы с	3	1
464	в значении	4	1
465	в поэзии	1	1
466	языка как	1	1
467	кажется что	3	1
468	от других	1	1
469	аналогий с	1	1
470	тем сильнее	1	1
471	где бы	1	1
472	не так	1	1
473	в котором	7	1
474	в одном	6	1
475	не для	1	1
476	среди которых	1	1
477	само собою	2	1
478	так как	2	1
479	не о	1	1
480	может служить	1	1
481	отношении к	3	1
482	ставит себе	1	1
483	о каком	1	1
484	представляют собой	1	1
485	к месту	1	1
486	в исторической	1	1
487	что и	2	1
488	написанными по	1	1
489	я нашел	1	1
490	до сих	6	1
491	в обращении	2	1
492	именно в	4	1
493	я был	1	1
494	с той	2	1
495	чем он	2	1
496	на чем	1	1
497	а с	3	1
498	себя и	1	1
499	не удивительно	1	1
500	в некоторых	2	1
501	на основании	1	1
502	а на	1	1
503	себе о	1	1
504	до конца	3	1
505	и жизни	1	1
506	сколько в	3	1
507	ниже в	2	1
508	впрочем в	1	1
509	или с	2	1
510	было или	1	1
511	если не	2	1
512	в творчестве	1	1
513	и если	1	1
514	в последней	1	1
515	эти слова	2	1
516	ни на	1	1
517	он уже	1	1
518	в особенности	2	1
519	к своему	2	1
520	это были	2	1
521	в той	5	1
522	и на	6	1
523	на эту	1	1
524	в ответ	1	1
525	по существу	2	1
526	на свете	1	1
527	тех пор	1	1
528	в это	2	1
529	что карамзин	1	1
530	столько в	2	1
531	как например	2	1
532	в ранг	1	1
533	казалось что	1	1
534	и о	4	1
535	той мере	2	1
536	сих пор	5	1
537	ему кажется	1	1
538	между прочим	12	1
539	имел в	1	1
540	этом и	1	1
541	уже тем	1	1
542	но для	1	1
543	можно назвать	1	1
544	которые были	1	1
545	моя не	1	1
546	другом месте	2	1
547	и ему	1	1
548	уже на	1	1
549	не подлежит	1	1
550	а к	2	1
551	русского классического	1	1
552	в отдельных	1	1
553	годунове и	2	1
554	от него	1	1
555	и все	1	1
556	особых объяснений	1	1
557	пушкин совершенно	1	1
558	у которого	1	1
559	пушкиным в	14	1
560	только что	2	1
561	могли быть	1	1
562	в стихах	1	1
563	в общем	3	1
564	целый ряд	1	1
565	жизни в	1	1
566	в свою	1	1
567	в моем	1	1
568	в романе	4	1
569	между ними	1	1
570	сказать что	2	1
571	была бы	5	1
572	совершенно не	2	1
573	языка на	1	1
574	я это	1	1
575	из этого	1	1
576	как историк	1	1
577	в трех	1	1
578	пути к	1	1
579	но эти	1	1
580	к этой	1	1
581	а я	1	1
582	вместе с	7	1
583	к этому	4	1
584	значение в	1	1
585	все что	1	1
586	том числе	1	1
587	они не	2	1
