N	2gram	Savitsky_E_1	Sovremen
151	это что	1	1
152	поэтому в	1	1
153	если бы	2	1
154	и вообще	1	1
155	другую и	1	1
156	развернуть в	1	1
157	жизни которое	1	1
158	в будущем	3	1
159	того же	3	1
160	расстоянии от	2	1
161	о том	3	1
162	в ней	4	1
163	и та	2	1
164	одного из	1	1
165	аналогии с	1	1
166	на них	2	1
167	он сам	2	1
168	все-таки в	1	1
169	быть в	1	1
170	которых нет	1	1
171	же время	14	1
172	в вопросах	1	1
173	бы то	4	1
174	что его	1	1
175	с его	1	1
176	во всех	6	1
177	живых существ	1	1
178	различия между	1	1
179	данном случае	2	1
180	но не	5	1
181	произошло в	2	1
182	мы будем	1	1
183	но как	2	1
184	точка зрения	2	1
185	заключают в	1	1
186	в процессы	1	1
187	если в	2	1
188	во втором	2	1
189	по отношению	1	1
190	более как	1	1
191	во всей	2	1
192	один и	1	1
193	к концу	1	1
194	в ту	1	1
195	за вычетом	2	1
196	может преодолеть	1	1
197	идет о	3	1
198	независимо от	4	1
199	стороны и	6	1
200	к которому	1	1
201	значит что	1	1
202	к нему	2	1
203	известном смысле	3	1
204	один из	1	1
205	кроме того	1	1
206	в западной	1	1
207	одной из	5	1
208	этого можно	1	1
209	ли он	1	1
210	увидим что	1	1
211	только в	9	1
212	в этот	1	1
213	то нет	1	1
214	та же	1	1
215	в известном	3	1
216	нами в	1	1
217	и тот	1	1
218	этот вопрос	2	1
219	конечно не	1	1
220	в общий	1	1
221	мира но	2	1
222	западной европе	4	1
223	xviii и	2	1
224	и те	1	1
225	в большинстве	2	1
226	в начале	1	1
227	этот процесс	2	1
228	и если	2	1
229	жизни вообще	1	1
230	в данной	3	1
231	именно та	1	1
232	надо всегда	1	1
233	он не	2	1
234	отдельных элементов	1	1
235	этот раз	1	1
236	и еще	2	1
237	себе в	3	1
238	и их	1	1
239	три четверти	1	1
240	как одной	1	1
241	как их	2	1
242	физические и	1	1
243	в корне	1	1
244	другую сторону	1	1
245	вовсе не	6	1
246	случае когда	1	1
247	для них	2	1
248	как его	1	1
249	какой бы	2	1
250	на мировой	8	1
251	заключает в	3	1
252	поскольку она	2	1
253	это значит	2	1
254	не из	3	1
255	и только	3	1
256	не будет	3	1
257	а затем	1	1
258	новый не	1	1
259	в совершенно	1	1
260	что произошло	1	1
261	том случае	1	1
262	одной стороны	8	1
263	чем в	4	1
264	физику и	1	1
265	с другой	7	1
266	нельзя сказать	1	1
267	именно в	4	1
268	по своим	3	1
269	будет ли	2	1
270	этом смысле	3	1
271	но нам	1	1
272	и прежде	3	1
273	своя собственная	1	1
274	весь мир	1	1
275	на которые	1	1
276	цель и	1	1
277	в ином	1	1
278	только к	2	1
279	только одно	2	1
280	к области	1	1
281	признать за	1	1
282	роли и	1	1
283	не было	1	1
284	рядом с	1	1
285	она и	1	1
286	на которых	1	1
287	одна и	2	1
288	всегда и	1	1
289	несмотря на	4	1
290	жизни но	1	1
291	не допускает	1	1
292	должно быть	1	1
293	и следовательно	1	1
294	их на	1	1
295	в связи	1	1
296	том что	6	1
297	в эту	2	1
298	все более	9	1
299	но если	5	1
300	так же	9	1
301	в такой	1	1
302	она в	3	1
303	представление о	2	1
304	то его	1	1
305	в данном	3	1
306	в течение	5	1
307	совершенно достаточно	1	1
308	областях в	1	1
309	которые в	1	1
310	может развиться	1	1
311	природе например	1	1
312	на другую	1	1
313	именно к	2	1
314	образом из	1	1
315	и более	2	1
316	там где	3	1
317	жизни в	3	1
318	такой вопрос	1	1
319	по себе	4	1
320	в своем	14	1
321	дело идет	2	1
322	можем сказать	2	1
323	этого доказательства	1	1
324	играть в	1	1
325	при условии	2	1
326	но они	1	1
327	с ним	1	1
328	они относятся	1	1
329	что эта	1	1
330	она не	2	1
331	что с	1	1
332	в обоих	1	1
333	для каждого	1	1
334	не имеет	4	1
335	дело в	3	1
336	и химические	1	1
337	в процессе	4	1
338	является ли	3	1
339	не является	3	1
340	с и	10	1
341	указать на	1	1
342	и от	3	1
343	никогда не	3	1
344	или в	2	1
345	на язык	2	1
346	хотя и	2	1
347	только и	1	1
348	в отдельных	1	1
349	не более	3	1
350	силы в	2	1
351	и его	1	1
352	связи с	1	1
353	на такой	1	1
354	ни было	4	1
355	же в	2	1
356	так называемый	1	1
357	но это	1	1
358	ли это	3	1
359	и несколько	1	1
360	между ними	2	1
361	сказать что	4	1
362	не быть	1	1
363	и для	3	1
364	он называет	1	1
365	в то	16	1
366	в свое	1	1
367	есть то	1	1
368	отметить что	3	1
369	состояния в	1	1
370	в какой	2	1
371	но еще	2	1
372	той или	4	1
373	в своих	2	1
374	и эта	2	1
375	все что	1	1
