N	2gram	Tiupa_Narr_2	EvropaiE
111	этом смысле	1	3
112	и тем	5	3
113	во второй	2	3
114	она в	1	3
115	в которых	1	3
116	можно ли	1	3
117	никогда не	6	3
118	потому что	2	3
119	в пределы	1	3
120	в будущем	2	3
121	ли это	1	3
122	во все	1	3
123	можно было	2	3
124	о том	5	3
125	как было	2	3
126	место в	5	3
127	что и	2	3
128	существования в	2	3
129	известном смысле	3	3
130	всяком случае	1	3
131	в данной	1	3
132	очевидно что	1	3
133	в прошлом	1	3
134	тем что	1	3
135	этом отношении	3	3
136	в свою	2	3
137	говорит о	2	3
138	связано с	1	3
139	в данном	10	3
140	в культуре	2	3
141	является ли	1	3
142	не является	4	3
143	и для	3	3
144	и от	1	3
145	в результате	2	3
146	мира и	3	3
147	обстоит дело	1	3
148	жизни в	6	3
149	в психологии	1	3
150	это так	1	3
151	ее в	1	3
152	как на	2	3
153	в таком	3	3
154	во всяком	1	3
155	самым в	1	2
156	мира не	2	2
157	по преимуществу	1	2
158	ведь и	1	2
159	должна быть	2	2
160	есть не	1	2
161	именно к	1	2
162	и другая	1	2
163	между собой	3	2
164	он сам	2	2
165	совершенно прав	1	2
166	а тем	1	2
167	в сторону	1	2
168	более чем	2	2
169	хотя и	5	2
170	тому или	1	2
171	и как	1	2
172	что это	4	2
173	большей части	3	2
174	в этой	4	2
175	в случае	2	2
176	этой культуры	1	2
177	бы от	1	2
178	он не	5	2
179	или иному	1	2
180	в силу	4	2
181	какой бы	1	2
182	таким образом	5	2
183	поскольку она	1	2
184	в мире	4	2
185	и с	1	2
186	своему характеру	2	2
187	далеко не	5	2
188	в своих	2	2
189	в развитии	1	2
190	иначе говоря	7	2
191	и того	3	2
192	в этих	1	2
193	и сейчас	1	2
194	но поскольку	1	2
195	в котором	5	2
196	не к	4	2
197	и более	2	2
198	к такой	1	2
199	она не	1	2
200	по своей	3	2
201	как будто	1	2
202	к той	1	2
203	не могут	1	2
204	но также	2	2
205	имеет место	2	2
206	но по	1	2
207	данном случае	6	2
208	во многом	1	2
209	субъективная ценность	1	2
210	по сравнению	1	2
211	если бы	4	2
212	того мира	1	2
213	а поскольку	1	2
214	в будущее	1	2
215	и что	2	2
216	и во	1	2
217	к нему	1	2
218	в его	6	2
219	во всей	1	2
220	также в	1	2
221	мы должны	1	2
222	но с	1	2
223	же к	1	2
224	этот вопрос	1	2
225	в какой	4	2
226	и теперь	1	2
227	есть в	1	2
228	не можем	1	2
229	в большинстве	1	2
230	участие в	2	2
231	в одном	1	2
232	заметить что	1	2
233	в других	2	2
234	а именно	1	2
235	как же	1	2
236	только к	3	2
237	на этот	1	2
238	а не	17	2
239	не означает	1	2
240	что все	1	2
241	следовало бы	1	2
242	вместе с	1	2
243	сравнению с	1	2
244	наряду с	1	2
245	что же	1	2
246	поскольку он	1	2
247	войны и	4	2
248	или хотя	1	2
249	в стране	1	2
250	происходит в	1	2
251	или в	1	2
252	и все	4	2
253	бы в	2	2
254	еще более	1	2
255	и наконец	1	2
256	исключительно в	2	2
257	же в	4	2
258	в другой	1	2
259	а в	9	2
260	имеет в	1	2
261	между ними	1	2
262	частности в	1	2
263	жизни и	4	2
264	и т	2	1
265	например в	1	1
266	определенный момент	1	1
267	некоторые из	1	1
268	перед лицом	1	1
269	от своей	1	1
270	в определенный	1	1
271	противном случае	1	1
272	можно развернуть	1	1
273	с таким	2	1
274	которая при	1	1
275	той же	2	1
276	определенного рода	1	1
277	время как	1	1
278	говорить о	2	1
279	развернуть в	1	1
280	а для	1	1
281	на практике	1	1
282	которое не	2	1
283	не сразу	1	1
284	в каждой	2	1
285	быть в	1	1
286	истории в	4	1
287	с его	3	1
288	бы она	1	1
289	мы будем	1	1
290	по отношению	5	1
291	с совершенно	1	1
292	в новом	1	1
293	тогда как	15	1
294	отличие от	5	1
295	быть сведена	1	1
296	за пределы	1	1
297	можно представить	1	1
298	относится к	1	1
299	невозможна вне	1	1
300	как по	3	1
301	в центре	2	1
302	в одной	1	1
303	в рамках	6	1
304	человеческого бытия	1	1
305	ней в	2	1
306	все же	6	1
307	однако не	2	1
308	в противном	1	1
309	находящиеся в	1	1
310	могли бы	2	1
311	не являются	2	1
312	говорит об	1	1
313	его к	1	1
314	более или	1	1
315	и детей	1	1
316	за свои	1	1
317	как то	1	1
318	бы с	2	1
319	все так	1	1
320	в нашем	2	1
321	поскольку в	1	1
322	с их	1	1
323	тому же	4	1
324	жизнью и	2	1
325	при этом	14	1
326	сейчас и	1	1
327	к некоторому	1	1
328	другой в	1	1
329	и когда	3	1
330	в принципе	2	1
331	состоит в	12	1
332	ли не	1	1
333	на этом	1	1
334	его можно	1	1
335	такая постановка	1	1
336	ни для	2	1
337	в нем	5	1
338	оно всегда	1	1
339	и неизбежно	1	1
340	полной мере	1	1
341	входит в	1	1
342	и иных	1	1
343	которая как	1	1
344	свести к	1	1
345	истории и	1	1
346	в жизни	6	1
347	роли и	1	1
348	соответствии с	3	1
349	исключает возможности	1	1
350	нельзя признать	1	1
351	жизни но	1	1
352	мировой истории	1	1
353	или менее	1	1
354	год а	1	1
355	в такой	1	1
356	то его	1	1
357	в отличие	5	1
358	что при	1	1
359	от себя	1	1
360	признать что	1	1
361	сведена к	1	1
362	своей судьбой	1	1
363	же может	1	1
364	для нее	1	1
365	освободиться от	1	1
366	тому что	3	1
367	современного человека	1	1
368	все эти	3	1
369	не менее	4	1
370	на рубеже	1	1
371	вплоть до	1	1
372	но они	1	1
373	что с	2	1
374	в обоих	2	1
375	принадлежат к	1	1
376	одна из	3	1
377	чтобы в	2	1
378	данной сферы	1	1
379	где в	1	1
380	занять место	1	1
381	в самой	1	1
382	находятся в	1	1
383	этом процессе	1	1
384	такая же	1	1
385	следует понимать	1	1
386	вместо того	1	1
387	своего существования	1	1
388	и его	3	1
389	каждой из	1	1
390	связи с	1	1
391	в сознании	2	1
392	удалены от	1	1
393	в основе	1	1
394	но все-таки	1	1
395	у нас	2	1
396	настоящего времени	1	1
397	к обычному	1	1
398	мир в	1	1
399	приобщения к	1	1
400	оказались бы	1	1
401	именно таким	1	1
402	прошлом и	1	1
403	для себя	3	1
404	где этот	1	1
405	и о	1	1
406	эти не	1	1
407	то она	1	1
408	и сами	1	1
409	мысль о	2	1
410	оказаться в	1	1
411	то чтобы	2	1
412	не исключает	1	1
413	то время	1	1
414	на свой	2	1
415	и сам	3	1
416	с собой	1	1
417	те же	2	1
418	по природе	1	1
419	каждого из	1	1
420	когда его	1	1
421	об этом	4	1
422	еще в	1	1
423	когда в	1	1
424	к первому	1	1
425	по ее	1	1
426	быть может	2	1
427	с ним	4	1
428	не случайна	1	1
429	означает что	1	1
430	сводится к	9	1
431	при такой	1	1
432	в состав	3	1
433	тех кто	1	1
434	внимание на	3	1
435	его жизни	2	1
436	или на	1	1
437	может не	1	1
438	более высокой	1	1
439	времени в	1	1
440	эти два	2	1
441	ли найдется	1	1
442	на будущее	1	1
443	быть и	1	1
444	один из	3	1
445	в двух	1	1
446	связь и	1	1
447	с ними	3	1
448	дело с	2	1
449	ли он	1	1
450	смысле является	1	1
451	как нечто	1	1
452	являет собой	1	1
453	даже вовсе	1	1
454	со своим	2	1
455	уже не	4	1
456	то и	3	1
457	в начале	2	1
458	что не	1	1
459	как кажется	1	1
460	принадлежит не	2	1
461	производство и	1	1
462	одно из	2	1
463	не будут	1	1
464	для него	4	1
465	и их	1	1
466	представить себе	3	1
467	не о	1	1
468	интересующей нас	1	1
469	тем для	1	1
470	даже не	1	1
471	или иначе	2	1
472	не обязательно	2	1
473	не сводится	7	1
474	к которому	2	1
475	с той	1	1
476	в ряде	1	1
477	ряде случаев	1	1
478	по большей	3	1
479	обратиться к	2	1
480	выступает в	1	1
481	в соответствии	3	1
482	же обстоит	1	1
483	зависит от	2	1
484	человеческой жизни	1	1
485	с которым	1	1
486	пока что	1	1
487	свое собственное	1	1
488	которые по	1	1
489	что мы	1	1
490	если не	2	1
491	в связи	1	1
492	xx века	1	1
493	суждений о	1	1
494	о возможности	1	1
495	в столь	1	1
496	к жизни	1	1
497	есть только	1	1
498	существование хотя	1	1
499	даже с	1	1
500	многих других	1	1
501	возможность такого	1	1
502	том смысле	1	1
503	должно быть	1	1
504	с ее	1	1
505	слова и	1	1
506	аналогии с	1	1
507	в формах	1	1
508	в аспекте	3	1
509	себя с	2	1
510	более того	1	1
511	к еще	1	1
512	одного и	1	1
513	выше не	1	1
514	лицо и	3	1
515	и среди	1	1
516	о котором	3	1
517	а к	3	1
518	но это	2	1
519	бы на	2	1
520	поскольку это	1	1
521	поскольку не	3	1
522	существует в	1	1
523	ли признать	1	1
524	в последнем	1	1
525	с такой	1	1
526	оно не	2	1
527	время не	1	1
528	собой это	1	1
529	который не	1	1
530	можно назвать	2	1
531	все что	4	1
532	гораздо более	1	1
