N	2gram	Kanaev_Sov_1	VeschiIm
153	она уже	1	3
154	энергия в	1	2
155	может не	3	2
156	на ее	1	2
157	приводит к	2	2
158	может ли	1	2
159	во всяком	2	2
160	данном случае	1	2
161	на их	2	2
162	бы к	1	2
163	так же	1	2
164	на такой	1	2
165	но еще	1	2
166	же мы	2	2
167	и во	2	2
168	мы ее	1	2
169	но можно	1	2
170	мы получим	3	2
171	это совершенно	1	2
172	же они	1	2
173	а потому	1	2
174	допустим что	1	2
175	но все	2	2
176	его и	1	2
177	жизни в	1	2
178	мы получили	1	2
179	но только	1	2
180	только один	2	2
181	к чему	2	2
182	а затем	1	2
183	элементы и	1	2
184	состоит из	3	2
185	остановиться на	1	2
186	но они	1	2
187	во внутреннем	1	2
188	еще более	2	2
189	если же	2	2
190	оно может	1	2
191	раз она	1	2
192	говорить об	2	2
193	теперь же	2	2
194	как мы	2	2
195	и его	1	2
196	можно говорить	1	2
197	о каком	1	2
198	и они	2	2
199	можем иметь	1	2
200	но уже	1	2
201	дело в	1	2
202	только одно	1	2
203	ни в	1	2
204	том как	1	2
205	той же	2	2
206	но ведь	1	2
207	и может	1	2
208	мы уже	1	2
209	и та	1	2
210	в первом	3	2
211	только к	1	2
212	мы можем	6	2
213	и если	1	2
214	он не	1	2
215	мы будем	1	2
216	в науке	2	2
217	и нет	1	2
218	в своих	1	2
219	не случайно	1	2
220	на этой	3	2
221	все равно	1	2
222	не из	1	2
223	ничто не	1	2
224	тем же	2	2
225	то она	1	2
226	это уже	1	2
227	а потом	1	2
228	кроме того	1	2
229	человека и	1	2
230	и значит	1	2
231	эти качества	1	2
232	во втором	1	2
233	все эти	5	1
234	что каждый	1	1
235	нас есть	1	1
236	готовыми и	1	1
237	в которой	2	1
238	без труда	1	1
239	форму и	1	1
240	то его	1	1
241	и свою	1	1
242	так называемый	1	1
243	на другую	1	1
244	все те	2	1
245	в другом	1	1
246	что необходимо	1	1
247	отвлекаясь от	1	1
248	необходимо сказать	1	1
249	отличие от	2	1
250	именно к	1	1
251	неживой природы	1	1
252	или в	1	1
253	не вытекает	1	1
254	одной стороны	1	1
255	его с	1	1
256	с совершенно	2	1
257	они все	1	1
258	для своего	1	1
259	опыта и	1	1
260	ее на	2	1
261	и цельное	1	1
262	себе в	1	1
263	нельзя сказать	1	1
264	и ничего	1	1
265	между собой	3	1
266	какой бы	1	1
267	ровно ничего	1	1
268	раз и	1	1
269	не было	1	1
270	вовсе не	1	1
271	может ведь	1	1
272	такой вопрос	1	1
273	в виде	2	1
274	и эту	1	1
275	только о	1	1
276	научного исследования	2	1
277	сих пор	1	1
278	предполагается что	1	1
279	этом смысле	1	1
280	в третьем	2	1
281	в какой	1	1
282	это конечно	1	1
283	чем отличается	1	1
284	к которому	1	1
285	и философ	1	1
286	что эта	1	1
287	но нам	1	1
288	в конце	3	1
289	нужды в	1	1
290	до сих	1	1
291	в некоторых	2	1
292	какая-нибудь другая	1	1
293	они относятся	1	1
294	одному и	1	1
295	друг с	2	1
296	ничего общего	1	1
297	бы ее	1	1
298	с и	1	1
299	что уже	1	1
300	стороны и	1	1
301	мы должны	4	1
302	не можем	7	1
303	но для	1	1
304	к этому	1	1
305	одной из	1	1
306	следовательно можно	1	1
307	один и	1	1
308	реагирует на	1	1
309	мы имели	1	1
310	с другом	2	1
311	конечно в	2	1
312	в начале	1	1
313	обстоятельств мы	1	1
314	совершенно невозможно	1	1
315	в таком	2	1
316	видим что	1	1
317	необходимо для	1	1
318	сами по	1	1
319	одну определенную	1	1
320	кто же	1	1
321	не имеют	1	1
322	хотя и	1	1
323	этом случае	1	1
324	только одну	2	1
325	ли оно	2	1
326	этой стадии	2	1
327	без всяких	1	1
328	и прежде	1	1
329	и к	3	1
330	не имеет	1	1
331	всегда и	1	1
332	идет о	1	1
333	они не	1	1
334	одного из	1	1
335	в любом	1	1
336	это сравнение	1	1
337	пр но	1	1
338	если в	1	1
339	когда этот	1	1
340	одной и	1	1
341	мы получаем	3	1
342	другое дело	1	1
343	рассмотрение и	1	1
344	находиться в	1	1
345	как он	3	1
346	она и	1	1
347	и от	1	1
348	конечно нет	1	1
349	можно назвать	2	1
350	не является	1	1
351	зависимости от	4	1
352	конечно не	1	1
353	это или	1	1
354	в очень	1	1
355	самому своему	1	1
356	и еще	1	1
357	же необходимо	1	1
358	тот или	2	1
359	эти три	1	1
360	всяком случае	2	1
361	и наиболее	1	1
362	или иной	2	1
363	от неживого	1	1
364	чего же	1	1
365	для науки	1	1
366	нужно сказать	1	1
367	они принципиально	1	1
368	что явления	1	1
369	только не	1	1
370	совершенно достаточно	1	1
371	в зависимости	4	1
372	в этой	3	1
373	при этом	3	1
374	у него	2	1
375	к живой	1	1
376	по преимуществу	1	1
377	ли мы	3	1
378	же как	1	1
379	могут быть	2	1
380	из которых	2	1
381	не какая-нибудь	1	1
382	с одной	2	1
383	только одна	6	1
384	или нет	1	1
385	на другом	2	1
386	когда и	1	1
387	не могут	2	1
388	в отличие	2	1
389	и будет	2	1
390	результате мы	1	1
391	к очень	1	1
392	как его	1	1
393	от его	1	1
394	то из	1	1
395	только тот	1	1
396	ее отдельных	1	1
397	должны еще	1	1
398	поэтому в	1	1
399	этот третий	1	1
400	без остатка	1	1
401	в действительности	1	1
402	то они	1	1
403	ли он	1	1
404	представление о	1	1
405	с его	1	1
406	когда в	1	1
407	указать на	1	1
408	можем ли	1	1
409	но конечно	1	1
410	только так	2	1
411	и иначе	1	1
412	же просто	1	1
413	угодно и	1	1
414	свою собственную	2	1
415	случае и	1	1
416	эта система	1	1
417	я мог	1	1
418	по существу	1	1
419	уже к	1	1
420	мы опять	1	1
421	и у	1	1
422	которая не	1	1
423	если у	1	1
424	таким же	1	1
425	между двумя	1	1
426	он должен	2	1
427	мы конечно	1	1
428	но эта	1	1
429	может стать	1	1
430	должен был	1	1
431	и речи	1	1
432	жизненных сил	1	1
433	из многих	1	1
434	что с	1	1
435	уже в	3	1
436	и все-таки	1	1
437	не знаем	2	1
438	на части	1	1
439	но никакого	1	1
440	и эта	1	1
441	жизни как	1	1
442	на элементы	1	1
443	мы без	1	1
444	этот метод	1	1
445	с самого	3	1
446	к одному	1	1
447	и по	2	1
448	оно вообще	1	1
449	во многом	1	1
