N	2gram	Tiupa_Lite_1	UchenyiS
122	только при	1	1
123	искусства в	1	1
124	для читателя	2	1
125	сюда же	1	1
126	с самим	1	1
127	и прежде	3	1
128	было и	1	1
129	в произведении	1	1
130	установка на	1	1
131	в пределах	3	1
132	и др	3	1
133	слова у	1	1
134	интерес не	1	1
135	свое место	1	1
136	из первых	1	1
137	сам автор	1	1
138	к которой	1	1
139	что для	2	1
140	никогда не	4	1
141	литературного произведения	4	1
142	художественное творчество	1	1
143	произведение как	1	1
144	так и	4	1
145	и вы	1	1
146	одной стороны	2	1
147	той же	3	1
148	историю литературы	1	1
149	в сфере	3	1
150	относится к	2	1
151	этого не	2	1
152	столько же	1	1
153	до конца	1	1
154	с тем	1	1
155	мы имеем	1	1
156	искусство как	1	1
157	в словесном	1	1
158	пафос его	1	1
159	и эстетической	1	1
160	он становится	1	1
161	об искусстве	1	1
162	в словах	1	1
163	и даже	3	1
164	должно быть	1	1
165	иначе говоря	1	1
166	во главу	1	1
167	можно сказать	1	1
168	никогда и	1	1
169	в г	1	1
170	о нем	1	1
171	произведения как	1	1
172	в техническом	1	1
173	искусства и	5	1
174	приводит к	3	1
175	о том	2	1
176	поэтики это	1	1
177	во мне	2	1
178	в котором	1	1
179	эстетической реальности	1	1
180	только для	1	1
181	и что	1	1
182	вспять к	1	1
183	он был	1	1
184	в различных	1	1
185	быть в	1	1
186	из которых	1	1
187	в значительной	1	1
188	в пользу	1	1
189	смысл стихотворения	1	1
190	слово как	1	1
191	строго говоря	1	1
192	все в	1	1
193	в той	1	1
194	для изучения	1	1
195	отказ от	7	1
196	в данном	5	1
197	что же	1	1
198	того что	6	1
199	и возможностей	1	1
200	в которых	1	1
201	поскольку он	2	1
202	жанра но	1	1
203	в наиболее	1	1
204	художественного впечатления	2	1
205	ней не	1	1
206	такое искусство?	2	1
207	тому чтобы	1	1
208	за пределы	2	1
209	на то	1	1
210	быть не	1	1
211	к изучению	1	1
212	и хлебникова	1	1
213	отнюдь не	2	1
214	она не	1	1
215	которые могли	1	1
216	толстого и	1	1
217	первый взгляд	1	1
218	нас самих	2	1
219	его на	1	1
220	литературы как	1	1
221	поверить алгеброй	1	1
222	в своем	11	1
223	как нам	1	1
224	но для	1	1
225	что ему	3	1
226	и все	1	1
227	у кого	1	1
228	тот же	1	1
229	было у	2	1
230	как таковое	1	1
231	объекта и	2	1
232	есть ли	1	1
233	методологии в	1	1
234	и творчество	1	1
235	момент является	1	1
236	всего лишь	4	1
237	он уже	1	1
238	в которой	1	1
239	бы ни	1	1
240	не было	3	1
241	так или	8	1
242	он в	1	1
243	художественном отношении	1	1
244	тогда когда	1	1
245	и сальери	1	1
246	с одной	2	1
247	впрочем в	1	1
248	в качестве	17	1
249	тем более	2	1
250	с новой	1	1
251	не ставит	1	1
252	уже не	7	1
253	далеко не	3	1
254	толстой в	1	1
255	то и	2	1
256	же в	5	1
257	в виде	1	1
258	и искусства	1	1
259	не обладает	2	1
260	в нем	2	1
261	на роль	2	1
262	автора записок	1	1
263	эстетический объект	3	1
264	с другом	1	1
265	он не	1	1
266	где бы	1	1
267	а для	2	1
268	главу угла	1	1
269	сказать что	1	1
270	только как	1	1
271	состоит из	1	1
272	впервые в	1	1
273	одно из	3	1
274	данного произведения	1	1
275	именно такую	1	1
276	он и	3	1
277	восприятия а	1	1
278	его претензии	1	1
279	в современном	1	1
280	не для	1	1
281	время не	1	1
282	на эстетику	1	1
283	может служить	1	1
284	у пушкина	1	1
285	у него	3	1
286	мы можем	1	1
287	ориентация на	1	1
288	ролью в	1	1
289	что при	1	1
290	о литературе	1	1
291	отказаться от	1	1
292	к этому	1	1
293	что в	3	1
294	все что	1	1
295	бы это	1	1
296	к построению	1	1
