N	2gram	Tiupa_Disk_2	SlovoVZh
118	данном случае	6	2
119	в данном	7	2
120	в его	3	2
121	что и	2	2
122	в форме	1	2
123	в своем	5	2
124	в формах	2	2
125	как уже	2	2
126	в какой	1	2
127	каждый момент	1	2
128	и так	1	2
129	лежит на	2	2
130	с жизненным	1	2
131	бы не	1	2
132	с одной	4	2
133	жизнью и	2	2
134	эта возможность	1	2
135	он не	3	2
136	определяет и	1	2
137	содержания и	1	2
138	общения и	2	2
139	и оценки	1	2
140	одно и	2	2
141	но все	1	2
142	в особенности	1	2
143	на примере	2	2
144	это не	3	2
145	до известной	1	2
146	форму и	1	2
147	оно не	1	2
148	себя и	1	2
149	более того	1	2
150	героя или	1	2
151	одной стороны	4	2
152	до конца	1	2
153	другой стороны	2	2
154	его как	1	2
155	там где	1	2
156	оценки и	1	2
157	и слово	1	2
158	имеет место	1	2
159	вместе с	2	2
160	к его	4	2
161	но не	7	2
162	место в	2	2
163	высказывания и	1	2
164	речи в	2	2
165	с этой	1	2
166	она не	1	2
167	автором и	1	2
168	с точки	2	2
169	является для	1	2
170	в условиях	1	2
171	такой же	2	2
172	в то	5	2
173	на него	1	2
174	известной степени	1	2
175	слова но	1	2
176	ничего не	1	2
177	а к	2	2
178	и все	3	2
179	и поэтическое	1	2
180	в этих	3	2
181	но это	3	2
182	между ними	1	2
183	стороны и	2	2
184	могут быть	3	2
185	что в	5	2
186	как на	3	2
187	частной жизни	2	2
188	не есть	1	2
189	к этому	4	2
190	и оценкой	1	1
191	за ее	1	1
192	а между	1	1
193	и это	2	1
194	вырастает из	1	1
195	например в	3	1
196	же как	2	1
197	вещами и	1	1
198	чтобы не	1	1
199	совпадают с	1	1
200	даже наиболее	1	1
201	с ее	2	1
202	момент в	2	1
203	это и	1	1
204	характер и	1	1
205	каждая вещь	1	1
206	только то	1	1
207	с самого	1	1
208	по преимуществу	2	1
209	проникает в	1	1
210	похожее на	1	1
211	не имеют	1	1
212	однако эта	1	1
213	с таким	2	1
214	форму художественного	1	1
215	не стремится	1	1
216	по аналогии	1	1
217	из двух	3	1
218	было в	3	1
219	себе как	1	1
220	я может	1	1
221	для этого	1	1
222	высказывания в	1	1
223	он как	1	1
224	творец и	1	1
225	не отвечает	1	1
226	не вполне	1	1
227	сводится к	2	1
228	не знают	3	1
229	общения в	1	1
230	но при	2	1
231	не нужно	2	1
232	там же	2	1
233	основе своей	2	1
234	установку на	2	1
235	на их	1	1
236	столь же	3	1
237	аналогии с	1	1
238	в значительной	1	1
239	во всех	1	1
240	и во	1	1
241	в конечном	1	1
242	не требует	2	1
243	то в	1	1
244	это бывает	1	1
245	которой было	1	1
246	русской литературе	2	1
247	к которой	2	1
248	конечном счете	1	1
249	произведение не	1	1
250	крайней мере	1	1
251	оды и	1	1
252	именно в	2	1
253	слов и	1	1
254	в слово	1	1
255	в одной	1	1
256	опирается на	1	1
257	и мир	1	1
258	не зная	1	1
259	в современной	1	1
260	которое было	1	1
261	перед нами	3	1
262	и точность	1	1
263	следует ли	1	1
264	утрачивает свое	1	1
265	хотя и	1	1
266	может получить	1	1
267	себе не	1	1
268	как нечто	1	1
269	нашего времени	1	1
270	тому как	2	1
271	к интонации	1	1
272	отношения между	2	1
273	исторически в	1	1
274	в целом	2	1
275	автором как	1	1
276	не то	1	1
277	себя в	6	1
278	есть в	2	1
279	им в	1	1
280	и соответствующей	1	1
281	в большинстве	2	1
282	типичными героями	1	1
283	героя с	1	1
284	слова не	2	1
285	обращение к	2	1
286	в поэтике	1	1
287	одно из	4	1
288	и их	1	1
289	хоровой поддержке	1	1
290	всяком случае	1	1
291	не как	1	1
292	художественного высказывания	1	1
293	события ни	1	1
294	в одном	4	1
295	вовсе не	1	1
296	может претендовать	3	1
297	друг друга	1	1
298	бытия и	2	1
299	подобно тому	2	1
300	на этом	1	1
301	не бывает	1	1
302	это по	1	1
303	значительной степени	1	1
304	что является	1	1
305	том же	1	1
306	и только	1	1
307	своем значении	1	1
308	сознание и	1	1
309	в другом	3	1
310	и т.п	12	1
311	должно быть	2	1
312	входит в	2	1
313	и тех	1	1
314	и иных	1	1
315	не совпадает	1	1
316	и прежде	2	1
317	уже сказано	1	1
318	соответствующей ему	1	1
319	или о	1	1
320	но есть	1	1
321	этом слово	1	1
322	но уже	2	1
323	и во-вторых	1	1
324	не было	3	1
325	а с	5	1
326	не знает	3	1
327	далеко не	2	1
328	не на	2	1
329	в ее	1	1
330	и вне	1	1
331	несмотря на	1	1
332	при разработке	1	1
333	на передний	1	1
334	все моменты	1	1
335	о чем	2	1
336	и было	1	1
337	в истории	1	1
338	и того	3	1
339	со всей	1	1
340	восприятия и	1	1
341	к социальному	1	1
342	но если	1	1
343	в частности	12	1
344	автора с	1	1
345	передний план	1	1
346	нас не	1	1
347	направленность на	2	1
348	социальная ситуация	1	1
349	то есть	12	1
350	к одному	1	1
351	не могут	1	1
352	и глубоко	1	1
353	и другого	2	1
354	художественное восприятие	1	1
355	по крайней	1	1
356	произведения в	1	1
357	не должно	1	1
358	для нее	1	1
359	поэтических высказываний	1	1
360	случае мы	1	1
361	процессе творческого	1	1
362	три момента	1	1
363	но прежде	1	1
364	от всего	1	1
365	в обоих	2	1
366	высказывания это	1	1
367	самого начала	1	1
368	как о	1	1
369	в русской	3	1
370	своего героя	1	1
371	слово здесь	1	1
372	не является	4	1
373	непосредственно и	2	1
374	в основе	4	1
375	организующим центром	1	1
376	отрешиться от	1	1
377	чем не	2	1
378	лицо и	1	1
379	в игру	1	1
380	человека для	1	1
381	рассматривать как	1	1
382	в результате	2	1
383	героя никогда	1	1
384	в качестве	16	1
385	имеем дело	1	1
386	автор? на	1	1
387	же время	5	1
388	особого рода	1	1
389	еще более	1	1
390	интонации и	2	1
391	по своей	6	1
392	можно только	1	1
393	в искусстве	1	1
394	как будто	3	1
395	этом отношении	4	1
396	жизни в	3	1
397	в области	2	1
398	ситуации и	2	1
399	может и	2	1
400	с ней	2	1
401	именно такой	1	1
402	равно как	1	1
403	все то	1	1
404	возникает из	1	1
405	или иного	2	1
406	героя в	5	1
407	я и	4	1
408	живет и	1	1
409	включает в	1	1
410	в лирическую	1	1
411	к другим	1	1
412	но из	1	1
413	во всяком	1	1
414	к тому	1	1
