N	2gram	Tiupa_Narr_1	Tvorches
280	о смерти	2	1
281	но как	3	1
282	а только	1	1
283	и всякий	1	1
284	в противовес	3	1
285	которую она	1	1
286	не все	1	1
287	если в	2	1
288	ответ на	1	1
289	в жизни	3	1
290	отношение к	1	1
291	в наиболее	2	1
292	опыт на	1	1
293	другой день	3	1
294	в рамках	1	1
295	с этим	1	1
296	перед нами	5	1
297	с женой	1	1
298	и как	3	1
299	между сознаниями	1	1
300	и к	1	1
301	и событий	1	1
302	в противоположность	1	1
303	на всем	1	1
304	за границей	1	1
305	с детьми	1	1
306	еще на	1	1
307	что это	1	1
308	живет в	1	1
309	как некий	1	1
310	в известном	2	1
311	говорили что	1	1
312	позиции автора	1	1
313	представляет собой	8	1
314	за это	1	1
315	а теперь	1	1
316	из этих	4	1
317	что автор	1	1
318	мысленным взором	1	1
319	и до	1	1
320	на то	2	1
321	а более	1	1
322	в случае	2	1
323	героя к	2	1
324	например как	1	1
325	главным образом	1	1
326	параллели между	1	1
327	не говорит	3	1
328	перед мысленным	1	1
329	к одному	1	1
330	в силу	1	1
331	и вот	2	1
332	уже говорилось	1	1
333	возможно это	1	1
334	жить в	1	1
335	значение в	1	1
336	речи или	1	1
337	чего он	1	1
338	по бахтину	1	1
339	вскоре в	1	1
340	а по	2	1
341	это весьма	1	1
342	а его	2	1
343	мыслится как	2	1
344	входит в	2	1
345	его личности	1	1
346	на бумаге	1	1
347	в глазах	3	1
348	бытия но	1	1
349	это одна	1	1
350	по себе	4	1
351	мог бы	1	1
352	для них	2	1
353	стремился к	1	1
354	жизни то	1	1
355	тот самый	2	1
356	за пределами	2	1
357	мы видели	1	1
358	жизни но	2	1
359	ведет к	1	1
360	им не	1	1
361	в церкви	1	1
362	в один	1	1
363	не мог	6	1
364	вошел в	1	1
365	в этих	2	1
366	во время	1	1
367	в ходе	3	1
368	этой связи	1	1
369	от боли	1	1
370	больше не	1	1
371	прибегает к	1	1
372	говорил о	2	1
373	и о	3	1
374	должны были	1	1
375	сам же	1	1
376	войне и	2	1
377	однако в	3	1
378	как видим	1	1
379	любовь к	1	1
380	даже в	1	1
381	нас к	1	1
382	тому что	1	1
383	содержит в	1	1
384	автора и	1	1
385	по мере	2	1
386	вплоть до	4	1
387	в соборе	1	1
388	она не	2	1
389	на земле	1	1
390	в обоих	2	1
391	хотелось бы	1	1
392	текста и	1	1
393	дело в	2	1
394	был назван	1	1
395	точно так	1	1
396	одновременно все	1	1
397	это еще	1	1
398	не имеет	2	1
399	этот тип	1	1
400	после ухода	1	1
401	вопрос не	1	1
402	жизни не	1	1
403	в комнату	1	1
404	это сделать	1	1
405	к ней	1	1
406	и мире	2	1
407	и является	2	1
408	жизни как	2	1
409	в сознании	4	1
410	человека так	1	1
411	средствами но	1	1
412	не столь	2	1
413	соотносится с	1	1
414	событий и	1	1
415	как будто	3	1
416	в области	2	1
417	ему не	1	1
418	и со	1	1
419	холодную ночь	1	1
420	в момент	1	1
421	не давая	1	1
422	с фабулой	1	1
423	к себе	4	1
424	встречается в	1	1
425	истории не	3	1
426	для развития	1	1
427	числе и	1	1
428	к тому	6	1
429	той или	5	1
430	в поле	3	1
431	указывает на	1	1
432	завершающего слова	1	1
433	если же	1	1
434	должен быть	1	1
435	представляют собой	3	1
436	как мы	2	1
437	у себя	2	1
438	читателя он	1	1
439	но при	3	1
440	событий в	1	1
441	у чехова	6	1
442	эта нелепая	1	1
443	о воскресении	3	1
444	для читателя	1	1
445	только то	1	1
446	в пределах	2	1
447	по способу	1	1
448	некоторого времени	1	1
449	по определению	1	1
450	не с	1	1
451	ясно что	1	1
452	каждого из	1	1
453	у матери	1	1
454	чем у	1	1
455	с собой	1	1
456	еще в	3	1
457	она была	2	1
458	когда в	3	1
459	стороне от	1	1
460	во второй	1	1
461	том как	1	1
462	с героем	1	1
463	является в	1	1
464	поэтому в	1	1
465	был не	1	1
466	на подъем	1	1
467	в виду	1	1
468	и братьев	1	1
469	о нем	3	1
470	приближается к	1	1
471	произведения как	1	1
472	и здесь	1	1
473	это происходит	1	1
474	о своей	2	1
475	в другом	1	1
476	столь же	5	1
477	не выступает	1	1
478	невозможно но	1	1
479	одного из	6	1
480	с одной	1	1
481	утверждает что	1	1
482	лишь в	3	1
483	самому себе	1	1
484	в конечном	3	1
485	и авторской	1	1
486	истории в	4	1
487	русской литературы	1	1
488	русской литературе	1	1
489	же о	1	1
490	он прямо	1	1
491	задается вопросом	1	1
492	действующее лицо	2	1
493	а потому	1	1
494	не сводится	2	1
495	от этих	2	1
496	в художественной	1	1
497	как она	2	1
498	в жизнь	1	1
499	в современной	3	1
500	известном смысле	2	1
501	в формах	1	1
502	поле зрения	1	1
503	сразу же	1	1
504	в тексте	13	1
505	нуждается в	1	1
506	ли он	1	1
507	то в	4	1
508	даже если	1	1
509	который в	2	1
510	на мир	1	1
511	не то	1	1
512	прямо не	1	1
513	связи с	2	1
514	не можем	1	1
515	ряде случаев	1	1
516	и внутреннего	2	1
517	этом что	1	1
518	не из	1	1
519	предположение что	1	1
520	конечном счете	1	1
521	участие в	1	1
522	что сама	1	1
523	сами по	2	1
524	при всей	3	1
525	не о	2	1
526	бытия и	1	1
527	за границу	1	1
528	за человек	2	1
529	как раз	6	1
530	не просто	1	1
531	следует признать	1	1
532	продолжает определять	1	1
533	случае с	1	1
534	смерти и	1	1
535	что и	1	1
536	со стороны	8	1
537	или иной	4	1
538	даже не	1	1
539	он живет	1	1
540	для героев	1	1
541	сам себя	1	1
542	что для	1	1
543	связано с	1	1
544	его смерти	1	1
545	с большей	1	1
546	а главное	1	1
547	выше и	1	1
548	обращение с	1	1
549	одну из	1	1
550	и я	1	1
551	ни о	2	1
552	оснований для	2	1
553	в различных	1	1
554	художественного целого	1	1
555	в связи	2	1
556	в речи	4	1
557	на фоне	1	1
558	томаса манна	1	1
559	как это	3	1
560	и наказание	1	1
561	после его	1	1
562	что за	1	1
563	не он	1	1
564	такого рода	10	1
565	не смешивать	1	1
566	это объективная	1	1
567	в карты	1	1
568	текста как	2	1
569	уходом из	1	1
570	отличается от	1	1
571	перед смертью	1	1
572	пока еще	1	1
573	это явление	1	1
574	в книге	1	1
575	в холодную	1	1
576	и для	2	1
577	лев толстой	1	1
578	пор еще	1	1
579	так словно	1	1
580	к автору	1	1
581	в результате	2	1
582	человек и	1	1
583	об этих	1	1
584	ее и	1	1
585	для нас	1	1
586	к различным	1	1
587	еще более	1	1
588	будто бы	1	1
589	теперь же	1	1
590	в городе	1	1
591	тот же	1	1
592	отношении к	1	1
593	по поводу	1	1
594	а о	2	1
595	в свою	2	1
596	письма и	1	1
597	персонажа и	2	1
598	первый раз	1	1
599	между ними	2	1
600	не знает	1	1
601	сказать что	2	1
602	на улицах	1	1
603	была бы	1	1
604	совершенно не	1	1
605	рассказа это	1	1
606	частности в	1	1
607	в голову	1	1
608	собой лишь	1	1
609	том числе	1	1
610	однако все	1	1
