N	2gram	Savitsky_P_1	Morfolog
108	и более	1	2
109	и наоборот	1	2
110	что эта	1	2
111	не имеет	1	2
112	одна из	2	2
113	не сумеем	1	2
114	знать что	2	2
115	в каком	1	2
116	для того	3	2
117	в собственном	1	2
118	и что	1	2
119	не с	1	2
120	ясно что	1	2
121	является в	2	2
122	с одной	3	2
123	в различных	1	2
124	может не	1	2
125	ни к	1	2
126	не означает	1	2
127	и только	1	2
128	е а	1	2
129	того что	2	2
130	хотя бы	8	2
131	только в	7	2
132	себя в	1	2
133	в большинстве	1	2
134	в виде	2	2
135	из двух	1	2
136	но есть	1	2
137	не исключает	1	2
138	что мы	3	2
139	в частности	2	2
140	одной стороны	3	2
141	есть и	1	2
142	но для	1	2
143	случаях когда	1	2
144	тем и	1	2
145	в настоящее	1	2
146	равным образом	1	1
147	нужно помнить	2	1
148	например в	2	1
149	и то	1	1
150	применении к	1	1
151	есть не	2	1
152	очень далеко	1	1
153	которыми могут	1	1
154	что это	1	1
155	не вполне	1	1
156	оно есть	1	1
157	конечно и	1	1
158	начала в	1	1
159	он был	1	1
160	р с	1	1
161	родителей и	1	1
162	охватывает только	1	1
163	но как	1	1
164	с трудом	1	1
165	отличие от	1	1
166	победы в	1	1
167	она есть	3	1
168	основная задача	1	1
169	от разрешения	1	1
170	каждый в	2	1
171	тем больше	1	1
172	более чем	2	1
173	в рамках	1	1
174	вот как	1	1
175	и дети	2	1
176	мысль о	2	1
177	вопросом о	1	1
178	к соединению	1	1
179	не связаны	1	1
180	и вслед	1	1
181	духа в	1	1
182	в которой	1	1
183	формы в	1	1
184	из этих	1	1
185	не в	5	1
186	думать что	2	1
187	в этой	1	1
188	во многих	1	1
189	этот вывод	1	1
190	на то	1	1
191	что каждая	1	1
192	главным образом	2	1
193	и вот	2	1
194	в россии	3	1
195	ни были	1	1
196	одно и	1	1
197	в каждом	1	1
198	общий вопрос	1	1
199	связанные с	1	1
200	ощущается как	1	1
201	например с	1	1
202	и тем	2	1
203	в это	1	1
204	по всему	1	1
205	из нее	1	1
206	церковь и	1	1
207	может идти	1	1
208	нисколько не	1	1
209	в наши	1	1
210	таковые как	1	1
211	не столько	2	1
212	исторической действительности	1	1
213	бы мы	1	1
214	для победы	1	1
215	можно причислить	1	1
216	теми же	1	1
217	все это	2	1
218	и очень	1	1
219	она не	1	1
220	и охватывает	1	1
221	что с	1	1
222	и притом	1	1
223	есть путь	1	1
224	же время	7	1
225	этих двух	1	1
226	как на	2	1
227	подобных целей	1	1
228	с другом	1	1
229	есть у	1	1
230	в момент	1	1
231	исходить из	1	1
232	если он	1	1
233	более широкой	1	1
234	не есть	1	1
235	все еще	1	1
236	что при	1	1
237	где он	1	1
238	в применении	1	1
239	некоторое средство	1	1
240	с ее	1	1
241	и многие	1	1
242	как по	1	1
243	на основании	1	1
244	те же	1	1
245	еще в	1	1
246	когда в	1	1
247	и с	2	1
248	что от	1	1
249	о наследстве	2	1
250	находится в	1	1
251	вероятно что	1	1
252	но к	2	1
253	он пришел	1	1
254	грань между	1	1
255	в его	2	1
256	во всей	2	1
257	мы вполне	1	1
258	с ними	3	1
259	говорить о	2	1
260	прошлому хотя	1	1
261	в эти	1	1
262	есть в	2	1
263	и которая	1	1
264	что не	1	1
265	всяком случае	1	1
266	при отсутствии	1	1
267	между прочим	2	1
268	в с	4	1
269	эти явления	1	1
270	вопрос вопрос	1	1
271	были бы	1	1
272	только на	1	1
273	из важнейших	2	1
274	со стороны	2	1
275	или иной	1	1
276	точек зрения	2	1
277	может и	2	1
278	может ли	2	1
279	именно в	2	1
280	здесь нужно	2	1
281	в церковь	1	1
282	к первому	1	1
283	как ни	1	1
284	в данном	1	1
285	ведет к	1	1
286	поисков и	1	1
287	в тот	2	1
288	в отдельности	1	1
289	из этой	1	1
290	отношения к	2	1
291	в ряду	2	1
292	друг с	1	1
293	к следующему	1	1
294	стремления к	1	1
295	дело идет	1	1
296	для тех	2	1
297	в формах	1	1
298	не будем	2	1
299	помнить что	2	1
300	эти могут	1	1
301	рассматривать как	1	1
302	но на	1	1
303	эта задача	1	1
304	она может	1	1
305	для нас	2	1
306	могли бы	1	1
307	а н	5	1
308	одновременно и	1	1
309	во всяком	1	1
