N	2gram	Berdyaev_N_1	DiskursI
214	мысли в	2	1
215	одна из	2	1
216	xix века	5	1
217	и имеет	1	1
218	к вечности	2	1
219	та или	1	1
220	или иная	1	1
221	к ней	1	1
222	своей природе	1	1
223	и до	1	1
224	во всем	1	1
225	ему не	1	1
226	или не	1	1
227	к себе	1	1
228	он видел	1	1
229	не могут	1	1
230	но все	1	1
231	числе и	1	1
232	к тому	3	1
233	но также	1	1
234	не есть	3	1
235	в переходе	1	1
236	оно не	1	1
237	должен быть	5	1
238	более не	2	1
239	мужчине и	1	1
240	не сознается	1	1
241	слова а	1	1
242	бытия как	1	1
243	в образе	1	1
244	вопрос этот	1	1
245	мы в	1	1
246	ней и	1	1
247	в эпоху	9	1
248	для этого	2	1
249	и даже	2	1
250	человека это	1	1
251	с ним	1	1
252	мы живем	5	1
253	движения и	1	1
254	и должно	2	1
255	не был	1	1
256	и что	2	1
257	в значительной	1	1
258	и во	1	1
259	должно было	2	1
260	самый процесс	2	1
261	мне представляется	1	1
262	века и	2	1
263	это всегда	1	1
264	и мир	1	1
265	но тут	1	1
266	дня а	1	1
267	и быть	1	1
268	жизненной энергии	1	1
269	и роста	1	1
270	же и	1	1
271	для всех	1	1
272	мира то	1	1
273	себя и	1	1
274	большинстве случаев	1	1
275	мир в	1	1
276	и их	1	1
277	в новом	2	1
278	всяком случае	1	1
279	не для	1	1
280	в состоянии	1	1
281	друг друга	1	1
282	не случайно	1	1
283	человек как	1	1
284	тем что	1	1
285	к той	1	1
286	не были	1	1
287	бытия в	2	1
288	имеют никакого	1	1
289	превращается в	1	1
290	ближе к	1	1
291	к лицу	3	1
292	равно как	2	1
293	как это	2	1
294	по своему	4	1
295	лицом к	3	1
296	в мир	1	1
297	жизни во	1	1
298	в это	1	1
299	историческое время	1	1
300	и от	2	1
301	оба они	1	1
302	но для	2	1
303	формы и	2	1
304	двойственно и	1	1
305	особого рода	1	1
306	будто бы	1	1
307	как того	1	1
308	человека не	1	1
309	в необходимость	1	1
310	сказать что	3	1
311	не быть	1	1
312	она сама	1	1
313	и повести	1	1
314	во всяком	1	1
315	том числе	1	1
