N	2gram	Tiupa_Lite_1	SlovoVZh
306	какой бы	1	1
307	подобно тому	2	1
308	на этом	2	1
309	или иных	1	1
310	не бывает	1	1
311	герой и	1	1
312	значительной степени	1	1
313	том же	3	1
314	бы они	1	1
315	бы это	1	1
316	со специфической	1	1
317	и только	2	1
318	к кому-то	1	1
319	этой задачи	1	1
320	в другом	2	1
321	другого и	1	1
322	выходит за	1	1
323	и т.п	4	1
324	должно быть	1	1
325	и мы	1	1
326	было бы	2	1
327	и прежде	3	1
328	в воспринимающем	1	1
329	и тем	4	1
330	окружающей его	2	1
331	один и	1	1
332	кажется что	1	1
333	что для	2	1
334	стиля как	1	1
335	само собою	1	1
336	для них	2	1
337	и политического	1	1
338	не было	3	1
339	на второй	2	1
340	а с	1	1
341	не знает	1	1
342	далеко не	3	1
343	не на	2	1
344	в ее	1	1
345	в слове	2	1
346	не всегда	1	1
347	несмотря на	3	1
348	а одно	1	1
349	так называемый	2	1
350	на эту	1	1
351	и некоторые	1	1
352	в последующем	1	1
353	и того	2	1
354	со всей	1	1
355	для этой	1	1
356	места в	1	1
357	пределы искусства	1	1
358	все более	2	1
359	в частности	15	1
360	третьем лице	1	1
361	то он	2	1
362	но особенно	1	1
363	в романтизме	1	1
364	это делает	1	1
365	то есть	6	1
366	подхода к	1	1
367	одним и	1	1
368	автор герой	3	1
369	к одному	1	1
370	автора по	1	1
371	что я	2	1
372	если оно	2	1
373	художественное восприятие	1	1
374	однако он	1	1
375	событии художественного	1	1
376	по крайней	1	1
377	и общества	1	1
378	высшую степень	1	1
379	лучшем случае	1	1
380	не должно	1	1
381	того кто	1	1
382	в словах	1	1
383	не желает	1	1
384	для нее	2	1
385	бы но	1	1
386	в различные	1	1
387	и тому	1	1
388	между людьми	1	1
389	что современная	1	1
390	только для	1	1
391	от всего	1	1
392	природу и	1	1
393	закрепленные в	1	1
394	самого начала	1	1
395	как о	1	1
396	в русской	10	1
397	только из	1	1
398	более и	1	1
399	тех или	1	1
400	своего героя	2	1
401	не является	2	1
402	в основе	3	1
403	уже на	1	1
404	искусства как	2	1
405	при таком	1	1
406	потому не	1	1
407	это мы	1	1
408	в качестве	17	1
409	имеем дело	1	1
410	же время	5	1
411	особого рода	2	1
412	вне человеческого	1	1
413	от него	1	1
414	было на	1	1
415	человека или	1	1
416	тем более	2	1
417	не должен	3	1
418	отраженные и	1	1
419	как явление	1	1
420	по своей	3	1
421	поэт и	1	1
422	герой нашего	1	1
423	связи с	6	1
424	в искусстве	2	1
425	в свою	1	1
426	это уже	2	1
427	уже и	1	1
428	как будто	2	1
429	этом отношении	2	1
430	не нуждается	1	1
431	социальной структурой	1	1
432	жизни в	1	1
433	в области	3	1
434	может и	1	1
435	с ней	1	1
436	в стиле	1	1
437	только как	1	1
438	виду не	2	1
439	все то	1	1
440	словесном материале	1	1
441	о литературе	1	1
442	именно такую	1	1
443	культуры в	4	1
444	время не	1	1
445	я и	7	1
446	произведения с	2	1
447	но эти	1	1
448	т.е как	1	1
449	во всяком	3	1
450	они не	1	1
451	существенный момент	1	1
452	к тому	2	1
