N	2gram	Savitsky_P_1	Vvedenie
195	не столько	2	2
196	большей степени	4	2
197	мысли и	1	2
198	в отношении	10	2
199	одна из	2	2
200	никогда не	1	2
201	казалось бы	1	2
202	в отношениях	1	2
203	находятся в	1	2
204	и ранее	1	2
205	иной раз	1	2
206	значительной мере	2	2
207	идет речь	1	2
208	из двух	1	2
209	не с	1	2
210	сказалось в	1	2
211	не нужно	2	2
212	для этого	1	2
213	и здесь	1	2
214	в значительной	2	2
215	вопросу о	1	2
216	связь между	1	2
217	во всех	2	2
218	тем более	2	2
219	которой в	1	2
220	сопоставлении с	1	2
221	именно на	1	2
222	в сопоставлении	2	2
223	каждый из	1	2
224	только на	1	2
225	мы можем	1	2
226	или иной	1	2
227	и чем	1	2
228	них и	1	2
229	не было	2	2
230	бы ее	1	2
231	философской мысли	1	2
232	должна была	1	2
233	с этим	2	2
234	которые были	1	2
235	обе эти	1	2
236	мы должны	4	2
237	ни к	1	2
238	или иным	1	2
239	и другие	1	2
240	это в	1	2
241	я и	3	1
242	также что	1	1
243	например в	2	1
244	века но	1	1
245	первой половины	4	1
246	можно говорить	1	1
247	на две	1	1
248	что изменения	1	1
249	был и	1	1
250	отношения к	2	1
251	очень далеко	1	1
252	есть нечто	2	1
253	в полной	2	1
254	в xix	2	1
255	он был	1	1
256	в а	2	1
257	что его	1	1
258	различия между	1	1
259	но как	1	1
260	понимать что	1	1
261	отличие от	1	1
262	и я	1	1
263	не входят	1	1
264	государства и	1	1
265	как к	1	1
266	помнить что	2	1
267	склонность к	1	1
268	что по	1	1
269	до тех	1	1
270	более или	1	1
271	духа в	1	1
272	в которой	1	1
273	у каждого	1	1
274	е с	6	1
275	только один	1	1
276	во многих	1	1
277	на то	1	1
278	если он	1	1
279	но на	1	1
280	не могла	1	1
281	второй хотя	1	1
282	в статье	2	1
283	выражается в	1	1
284	соприкасается с	1	1
285	в реальной	1	1
286	с е	1	1
287	европейской культуры	4	1
288	чтобы в	1	1
289	заключает в	2	1
290	одно и	1	1
291	а затем	1	1
292	что все	1	1
293	в определенном	1	1
294	в число	1	1
295	же всего	1	1
296	какой угодно	1	1
297	мысли но	1	1
298	были в	1	1
299	может отличаться	1	1
300	и судьбами	1	1
301	собой совокупность	1	1
302	говорится о	1	1
303	или менее	1	1
304	в эту	2	1
305	исторической действительности	1	1
306	в ходе	1	1
307	никак не	2	1
308	и без	3	1
309	к предмету	1	1
310	прийти к	1	1
311	важнее всего	1	1
312	в отличие	1	1
313	как одна	1	1
314	свои собственные	1	1
315	иначе как	1	1
316	в россии	3	1
317	смысле могут	1	1
318	с разных	1	1
319	что было	1	1
320	и эти	1	1
321	того кто	1	1
322	в историческом	1	1
323	и очень	1	1
324	нет никакого	1	1
325	одна сторона	1	1
326	должна в	1	1
327	проблема и	1	1
328	та или	1	1
329	ней только	1	1
330	и всегда	1	1
331	идут от	1	1
332	два различных	1	1
333	этих двух	1	1
334	или иная	1	1
335	иными словами	1	1
336	бы нас	1	1
337	по сохранившимся	1	1
338	слова о	1	1
339	входят в	1	1
340	в некотором	1	1
341	относиться к	1	1
342	сравнении с	3	1
343	к характеру	1	1
344	что при	1	1
345	восточных культур	1	1
346	из чего	1	1
347	в эпоху	1	1
348	и технике	1	1
349	и которая	1	1
350	и о	5	1
351	и многие	1	1
352	совершенно ясно	1	1
353	но новая	1	1
354	и этим	1	1
355	только то	1	1
356	культуры и	1	1
357	что именно	1	1
358	первой половине	1	1
359	как таковые	1	1
360	как подлинное	1	1
361	и глубины	1	1
362	осуществляется в	2	1
363	еще в	1	1
364	какой она	1	1
365	момента и	1	1
366	определенном смысле	1	1
367	именно потому	1	1
368	но нужно	1	1
369	настоящее время	1	1
370	могут дать	1	1
371	пор пока	1	1
372	может не	1	1
373	русской литературы	1	1
374	смысле не	1	1
375	во всей	2	1
376	них в	1	1
377	также в	1	1
378	в свете	1	1
379	тех пор	1	1
380	мы видим	1	1
381	и критика	1	1
382	себя в	1	1
383	есть в	2	1
384	поскольку мы	1	1
385	исторического бытия	1	1
386	есть проблема	1	1
387	положение что	1	1
388	этого процесса	1	1
389	обратиться к	1	1
390	есть та	1	1
391	не означает	1	1
392	е и	3	1
393	гораздо большей	4	1
394	к ним	1	1
395	в обстановке	7	1
396	следует понимать	1	1
397	были бы	1	1
398	из важнейших	2	1
399	нужно было	2	1
400	может ли	2	1
401	здесь нужно	2	1
402	и тех	1	1
403	а с	1	1
404	в природе	1	1
405	ее представители	1	1
406	русской истории	1	1
407	русской культуры	1	1
408	но есть	1	1
409	поскольку она	1	1
410	к идеям	1	1
411	и внутренне	1	1
412	в ряду	2	1
413	сфере художественной	1	1
414	в одно	1	1
415	мы знаем	1	1
416	смысле на	1	1
417	формах и	1	1
418	в момент	1	1
419	бы оно	1	1
420	и теми	1	1
421	и особенно	1	1
422	эта идея	2	1
423	и потому	4	1
424	историческом и	2	1
425	к сфере	1	1
426	к а	1	1
427	в европе	2	1
428	многих случаях	1	1
429	общественной мысли	1	1
430	чем то	1	1
431	знать что	2	1
432	наряду с	3	1
433	чем к	1	1
434	и судьбы	1	1
435	в гораздо	4	1
436	что из	2	1
437	но для	1	1
438	и более	1	1
439	слова но	2	1
440	в с	4	1
441	она может	1	1
442	что оно	1	1
443	в настоящее	1	1
444	для нас	2	1
445	всего что	1	1
446	еще более	2	1
447	как явление	1	1
448	же в	4	1
449	г и	2	1
450	давно уже	1	1
451	отношении к	5	1
452	может и	2	1
453	темы и	1	1
454	о духе	1	1
455	одновременно и	1	1
456	в сравнении	3	1
457	частности в	1	1
458	значило бы	1	1
459	они не	1	1
