N	2gram	Berdyaev_M_1	slovoVRo
236	все что	2	2
237	они не	1	2
238	с новыми	2	1
239	себя как	1	1
240	смысле слова	4	1
241	нем нет	1	1
242	не остается	2	1
243	становится в	1	1
244	и есть	14	1
245	между двумя	1	1
246	за собой	2	1
247	мы говорим	1	1
248	из самых	8	1
249	и до	1	1
250	можно лишь	1	1
251	и этот	4	1
252	и взаимоотношения	1	1
253	всей ее	1	1
254	важно для	1	1
255	а как	2	1
256	ней нет	1	1
257	есть не	4	1
258	характер его	1	1
259	он знает	2	1
260	этот свой	1	1
261	и о	1	1
262	мир не	2	1
263	место в	2	1
264	его была	1	1
265	и новых	1	1
266	и такой	1	1
267	для исторического	1	1
268	не знают	3	1
269	момент в	2	1
270	литературы и	2	1
271	он сам	6	1
272	людей в	1	1
273	нему не	1	1
274	то мы	1	1
275	друг к	1	1
276	то он	1	1
277	к которой	1	1
278	тема которой	1	1
279	в сторону	1	1
280	и динамичны	1	1
281	к ним	1	1
282	его во	1	1
283	ивана карамазова	7	1
284	творчество достоевского	13	1
285	человеку и	2	1
286	в одной	1	1
287	его на	1	1
288	что как	1	1
289	один только	1	1
290	романах достоевского	1	1
291	глава iv	1	1
292	сознания в	1	1
293	целый ряд	1	1
294	героев достоевского	2	1
295	увидим что	4	1
296	и свою	1	1
297	в самом	11	1
298	та же	1	1
299	романы и	1	1
300	он в	2	1
301	сущности и	1	1
302	приведет к	1	1
303	и самый	2	1
304	в этой	6	1
305	говорят о	1	1
306	совершается не	1	1
307	и те	2	1
308	ее как	1	1
309	людей этого	1	1
310	если он	5	1
311	человек не	10	1
312	зрения его	1	1
313	этот процесс	3	1
314	вообще не	2	1
315	не завершается	1	1
316	что она	1	1
317	он ни	2	1
318	вокруг себя	1	1
319	и только	1	1
320	мироощущения и	1	1
321	и еще	3	1
322	не значит	2	1
323	и сам	1	1
324	собой других	1	1
325	и по	4	1
326	конца и	1	1
327	с собой	3	1
328	в каждом	1	1
329	подход к	1	1
330	смысле в	2	1
331	через все	2	1
332	что мир	1	1
333	в мире	10	1
334	нем есть	1	1
335	об этом	1	1
336	к другу	1	1
337	них не	1	1
338	на все	1	1
339	сказать в	1	1
340	знает что	1	1
341	это было	1	1
342	не умеет	1	1
343	сознание может	1	1
344	моменты в	1	1
345	должен был	4	1
346	в иные	1	1
347	мог бы	4	1
348	в социальном	1	1
349	достоевского и	10	1
350	всегда и	1	1
351	ведет к	6	1
352	выйти за	1	1
353	до глубины	11	1
354	его нельзя	1	1
355	и авторитет	1	1
356	в своей	15	1
357	требует не	1	1
358	в такой	1	1
359	и без	1	1
360	на твердой	1	1
361	эта тема	1	1
362	конечно что	1	1
363	она в	1	1
364	самого человека	3	1
365	и действует	1	1
366	прийти к	2	1
367	себе а	1	1
368	мысли и	2	1
369	нему и	1	1
370	от его	2	1
371	должны были	1	1
372	исключительно на	1	1
373	он живет	2	1
374	но во	1	1
375	с разложением	1	1
376	его сознание	1	1
377	как от	1	1
378	и свободной	1	1
379	если нет	5	1
380	и достоевского	2	1
381	и вся	1	1
382	как будет	1	1
383	человека но	4	1
384	с которой	2	1
385	этими двумя	1	1
386	связанная с	1	1
387	не стремится	1	1
388	карамазова и	2	1
389	человека от	2	1
390	от власти	1	1
391	элемент в	1	1
392	ничего не	3	1
393	в революции	1	1
394	а во	1	1
395	и характер	1	1
396	по своей	2	1
397	лишь с	1	1
398	прежде чем	2	1
399	же он	1	1
400	был прежде	2	1
401	не до	1	1
402	мира лишь	1	1
403	xx века	1	1
404	к себе	1	1
405	в духе	1	1
406	лежит в	1	1
407	и всех	1	1
408	протяжении всего	1	1
409	всего что	2	1
410	он никогда	2	1
411	она вообще	1	1
412	этот путь	3	1
413	и это	12	1
414	и самое	1	1
415	как они	1	1
416	в виду	2	1
417	человека если	1	1
418	и этим	1	1
419	культуры и	1	1
420	приводит к	2	1
421	слова а	1	1
422	на том	3	1
423	мира может	1	1
424	и ту	1	1
425	особый мир	1	1
426	еще в	2	1
427	интересом к	1	1
428	поэтому в	1	1
429	свободной и	1	1
430	одно из	3	1
431	с человеком	1	1
432	не на	1	1
433	их но	1	1
434	путь на	1	1
435	и что	2	1
436	исключительное и	1	1
437	определяющее значение	2	1
438	не стоит	1	1
439	самому себе	2	1
440	нас в	1	1
441	нем не	2	1
442	тем как	1	1
443	есть художественное	1	1
444	во всей	1	1
445	вообще и	1	1
446	более сложный	1	1
447	человека как	2	1
448	и она	2	1
449	того что	7	1
450	всегда в	1	1
451	одну и	1	1
452	поэтому для	1	1
453	речи о	1	1
454	одной из	1	1
455	проникнуть в	1	1
456	и действительно	1	1
457	не имеющих	1	1
458	в обществе	1	1
459	между этими	1	1
460	и ее	1	1
461	с какой	1	1
462	с нею	1	1
463	говорить об	1	1
464	мире эта	1	1
465	него и	2	1
466	оно всегда	1	1
467	мир в	3	1
468	самое серьезное	1	1
469	в конце	7	1
470	темой о	1	1
471	и никогда	1	1
472	тем что	4	1
473	характерны для	1	1
474	которое может	1	1
475	не были	1	1
476	не связано	1	1
477	как у	1	1
478	с той	1	1
479	характерно для	1	1
480	пределы и	2	1
481	мы еще	2	1
482	души и	1	1
483	что не	1	1
484	говорит о	1	1
485	должно быть	3	1
486	притом не	1	1
487	нужно сказать	1	1
488	а на	1	1
489	стать на	1	1
490	с большей	1	1
491	как ни	1	1
492	все время	1	1
493	его собственной	2	1
494	когда она	1	1
495	мира в	1	1
496	ближе к	1	1
497	сложный и	1	1
498	и литературные	1	1
499	человек или	1	1
500	в полноте	1	1
501	все более	1	1
502	вступает в	1	1
503	твердой и	1	1
504	в частности	1	1
505	все то	1	1
506	о себе	3	1
507	в иных	3	1
508	нет ни	1	1
509	не одно	1	1
510	мы опять	1	1
511	влияния на	1	1
512	эмпирической действительности	1	1
513	с миром	1	1
514	да и	1	1
515	для понимания	1	1
516	всегда остается	2	1
517	мира с	1	1
518	на пути	4	1
519	человеку как	1	1
520	приблизиться к	1	1
521	только для	1	1
522	в самую	5	1
523	более и	1	1
524	в наше	2	1
525	за его	1	1
526	только одна	1	1
527	душа но	1	1
528	лишь его	1	1
529	сознания и	1	1
530	человека это	2	1
531	словом о	1	1
532	особого рода	1	1
533	или нет	1	1
534	интерес к	3	1
535	раскроется в	1	1
536	погружения в	1	1
537	уже нет	2	1
538	но всегда	1	1
539	нисколько не	1	1
540	значит конечно	1	1
541	образ человека	7	1
542	мира он	1	1
543	возможно лишь	1	1
544	обычно не	1	1
545	также в	1	1
546	но этот	1	1
547	свободным и	1	1
548	бы быть	1	1
549	ко всему	1	1
550	выходят за	1	1
551	что такое	1	1
552	в своих	1	1
553	к этому	2	1
554	которая не	1	1
555	слова это	1	1
