N	2gram	Tiupa_Vved_1	slovoVRo
140	от его	1	3
141	не могло	2	3
142	никогда не	4	3
143	в разных	1	3
144	произведения как	1	3
145	к тому	6	3
146	романе в	1	3
147	о том	5	3
148	в него	1	3
149	того что	6	3
150	в том	10	3
151	поэтому и	1	3
152	в качестве	8	3
153	и чисто	1	3
154	из них	1	3
155	его и	1	3
156	для него	3	3
157	у него	1	3
158	в свою	4	3
159	не было	2	3
160	в истории	1	3
161	но оно	1	3
162	как сказано	1	3
163	в данном	13	3
164	при всем	1	3
165	в результате	3	3
166	хотя бы	1	3
167	из этого	1	3
168	но эти	1	3
169	которая не	2	3
170	не должны	1	2
171	например в	2	2
172	своего и	2	2
173	на самом	4	2
174	к своей	1	2
175	то в	1	2
176	них как	2	2
177	в котором	8	2
178	той же	1	2
179	а как	1	2
180	мы не	4	2
181	это отношение	1	2
182	и чужого	2	2
183	мы и	2	2
184	свою очередь	4	2
185	между собой	2	2
186	столь же	1	2
187	по своему	2	2
188	в ее	1	2
189	он может	1	2
190	но не	5	2
191	что они	1	2
192	без другого	1	2
193	чужого слова	3	2
194	как к	1	2
195	хотя и	7	2
196	именно эта	1	2
197	в целом	3	2
198	высказывания не	1	2
199	перестает быть	1	2
200	и по	3	2
201	на этом	1	2
202	эстетической значимости	1	2
203	те же	2	2
204	и иных	1	2
205	для них	3	2
206	его слово	1	2
207	том что	7	2
208	в этих	3	2
209	но он	1	2
210	даже в	1	2
211	тому что	1	2
212	до известной	1	2
213	будучи по	1	2
214	эвристическое значение	1	2
215	в единство	1	2
216	дело не	1	2
217	из него	1	2
218	же национального	1	2
219	для нас	2	2
220	в сознании	4	2
221	у нас	1	2
222	ни о	1	2
223	в духе	1	2
224	на протяжении	1	2
225	оно может	1	2
226	и о	1	2
227	так в	4	2
228	роль в	1	2
229	с языком	1	2
230	на том	1	2
231	можно было	2	2
232	не с	3	2
233	из одного	1	2
234	за пределами	3	2
235	одного из	3	2
236	можно сказать	4	2
237	а также	8	2
238	в евгении	1	2
239	жизни но	1	2
240	или напротив	2	2
241	наконец в	1	2
242	здесь не	2	2
243	мы видим	1	2
244	осмысления и	1	2
245	между тем	1	2
246	и тем	2	2
247	так что	1	2
248	связи с	1	2
249	уже не	5	2
250	и у	1	2
251	если мы	1	2
252	только на	1	2
253	в виде	1	2
254	как более	1	2
255	или даже	1	2
256	в одном	1	2
257	интенции автора	1	2
258	в последние	1	2
259	в другой	1	2
260	а с	2	2
261	и ценностных	1	2
262	точке зрения	1	2
263	а на	2	2
264	жизнь в	1	2
265	к автору	1	2
266	между этими	1	2
267	что все	1	2
268	связь с	1	2
269	в частности	13	2
270	так же	1	2
271	такого рода	16	2
272	быть только	2	2
273	евгении онегине	1	2
274	рассказ в	2	2
275	в контексте	1	2
276	этом случае	1	2
277	не предполагает	1	2
278	одно без	1	2
279	как раз	2	2
280	не является	3	2
281	одна из	4	2
282	говорящего и	1	2
283	и другим	1	2
284	оно как	1	2
285	имеет дело	1	2
286	у них	1	2
287	интерес к	1	2
288	потому что	5	2
289	обстоит дело	1	2
290	между ними	1	2
291	к авторскому	1	2
292	сказать что	1	2
293	понимает и	1	2
294	автора в	5	2
295	первом случае	1	2
296	к этому	2	2
297	как известно	1	1
298	в словесной	1	1
299	рассматривается как	1	1
300	и через	1	1
301	которого в	1	1
302	тех же	1	1
303	в чужой	1	1
304	бы для	1	1
305	герое нашего	1	1
306	оказываются в	1	1
307	к данному	1	1
308	и до	1	1
309	выражается в	1	1
310	из персонажей	1	1
311	из всех	1	1
312	в несколько	1	1
313	героя на	1	1
314	мы имеем	5	1
315	такое разрешение	1	1
316	двух и	1	1
317	именно к	1	1
318	место в	2	1
319	высказывания в	1	1
320	оба эти	1	1
321	непосредственно как	1	1
322	но она	1	1
323	и он	1	1
324	предстает как	1	1
325	мы читаем	1	1
326	на их	1	1
327	с авторским	1	1
328	и главное	1	1
329	могло быть	1	1
330	но как	1	1
331	а только	1	1
332	в сторону	1	1
333	не входит	1	1
334	в противовес	3	1
335	не все	2	1
336	к слову	1	1
337	в новом	1	1
338	произведение не	1	1
339	отличие от	2	1
340	в едином	3	1
341	быть шире	1	1
342	связи и	1	1
343	в настоящем	2	1
344	один и	1	1
345	которые не	1	1
346	становится одним	2	1
347	характер и	1	1
348	своим словом	1	1
349	в одной	2	1
350	поскольку его	1	1
351	его на	1	1
352	в значительной	1	1
353	в течение	1	1
354	стороны и	1	1
355	в противном	1	1
356	и слова	1	1
357	сознания в	3	1
358	могли бы	1	1
359	целый ряд	2	1
360	в герое	1	1
361	в этот	2	1
362	о самом	1	1
363	отношения с	1	1
364	бы не	2	1
365	рассказчика в	1	1
366	момент как	1	1
367	в этой	1	1
368	чужое слово	1	1
369	и тот	1	1
370	лица и	1	1
371	на то	1	1
372	вследствие этого	3	1
373	и если	1	1
374	рассказе и	1	1
375	что она	1	1
376	языком в	1	1
377	задний план	1	1
378	в лирике	1	1
379	пределах одного	1	1
380	к одному	1	1
381	не к	4	1
382	жизнью и	1	1
383	и было	1	1
384	нашего времени	2	1
385	особенностей и	1	1
386	в нее	1	1
387	по аналогии	1	1
388	человека в	1	1
389	значительной степени	1	1
390	бы быть	1	1
391	них не	1	1
392	несобственно-прямой речи	2	1
393	косвенной речи	1	1
394	ищет слов	1	1
395	не умеет	1	1
396	напряженное взаимодействие	1	1
397	может существенно	1	1
398	здесь как	1	1
399	особенно в	1	1
400	но их	1	1
401	смешаны два	1	1
402	которая в	3	1
403	в жизни	4	1
404	смерть и	1	1
405	только одно	1	1
406	вводит в	1	1
407	произведение как	1	1
408	о которых	1	1
409	исходили из	1	1
410	этого не	1	1
411	несмотря на	1	1
412	мы видели	2	1
413	определений и	1	1
414	как целого	1	1
415	нет своего	1	1
416	на этот	1	1
417	сложившихся в	1	1
418	как таковой	1	1
419	и того	2	1
420	два смысловых	1	1
421	и становится	1	1
422	но если	1	1
423	от своего	1	1
424	высказывания как	3	1
425	а главное	1	1
426	сознания на	1	1
427	и языка	1	1
428	не столько	4	1
429	в отличие	2	1
430	в которых	1	1
431	могла бы	3	1
432	бы мы	1	1
433	сам же	1	1
434	мнения и	2	1
435	мир и	1	1
436	обращение к	1	1
437	тем не	3	1
438	по крайней	1	1
439	и более	3	1
440	однако в	4	1
441	не менее	4	1
442	персонажей но	1	1
443	далек от	1	1
444	но только	1	1
445	того чтобы	1	1
446	на котором	1	1
447	сознания это	1	1
448	по своей	3	1
449	людей и	1	1
450	на себе	1	1
451	во всем	1	1
452	так называемый	1	1
453	не получает	1	1
454	сопротивление или	1	1
455	не столь	1	1
456	этом отношении	4	1
457	без исключения	2	1
458	все то	1	1
459	в направлении	2	1
460	есть только	1	1
461	слове но	1	1
462	его с	2	1
463	он видит	1	1
464	должен быть	1	1
465	в виду	1	1
466	с сохранением	1	1
467	речевого субъекта	1	1
468	же не	1	1
469	на разных	1	1
470	степени и	1	1
471	приводит к	2	1
472	сознания с	1	1
473	и иные	1	1
474	различие между	1	1
475	что может	1	1
476	с первым	1	1
477	конструкцией фразы	1	1
478	в чужом	1	1
479	это только	2	1
480	если бы	7	1
481	со стороны	5	1
482	иного порядка	1	1
483	сводится к	4	1
484	каждого высказывания	1	1
485	и что	1	1
486	находятся в	1	1
487	его жизни	1	1
488	наконец среди	1	1
489	понимания как	1	1
490	в единую	1	1
491	не ищет	1	1
492	как у	1	1
493	и вследствие	2	1
494	возникает и	2	1
495	на возможности	1	1
496	во втором	2	1
497	что и	2	1
498	существенную роль	1	1
499	и только	1	1
500	крайней мере	1	1
501	в художественной	1	1
502	а его	2	1
503	и она	1	1
504	в литературе	2	1
505	авторской интенции	1	1
506	в двух	1	1
507	тот же	1	1
508	дело с	2	1
509	каждым своим	1	1
510	реагирует на	1	1
511	и так	1	1
512	а лишь	2	1
513	несет на	1	1
514	персонажей а	1	1
515	сложности и	1	1
516	из которого	1	1
517	сколько в	1	1
518	есть в	2	1
519	как разноречивое	1	1
520	не встречается	1	1
521	вернуться к	1	1
522	в начале	3	1
523	и понимание	1	1
524	него нет	1	1
525	и их	1	1
526	в прозе	1	1
527	у нее	2	1
528	к ним	2	1
529	только с	1	1
530	случае не	1	1
531	каждый из	1	1
532	и оценки	1	1
533	в форме	1	1
534	где в	3	1
535	или иначе	2	1
536	и прежде	1	1
537	же о	1	1
538	что не	1	1
539	что для	1	1
540	противном случае	1	1
541	только по	1	1
542	на смену	2	1
543	то и	2	1
544	которых мы	1	1
545	которое по	1	1
546	однако и	2	1
547	легко и	1	1
548	о чем	2	1
549	автору и	1	1
550	на эту	1	1
551	произведение в	2	1
552	как высказывания	1	1
553	что мы	2	1
554	мира в	8	1
555	ближе к	1	1
556	он и	2	1
557	ценностных кругозора	1	1
558	с несколькими	1	1
559	с помощью	1	1
560	этот рассказ	1	1
561	нет ничего	1	1
562	вместе с	1	1
563	автора с	1	1
564	условий но	1	1
565	установкой на	2	1
566	на границе	1	1
567	быть как	1	1
568	да и	1	1
569	основу всех	1	1
570	прямая речь	1	1
571	быть не	4	1
572	столько в	1	1
573	аналогии с	1	1
574	и нет	1	1
575	но это	3	1
576	развернута в	2	1
577	между прочим	1	1
578	его становления	1	1
579	максим максимыч	1	1
580	тому или	1	1
581	но с	1	1
582	от действительного	1	1
583	и борьба	1	1
584	и вместо	1	1
585	два высказывания	1	1
586	слова но	2	1
587	этого рода	1	1
588	о котором	2	1
589	с установкой	2	1
590	от них	1	1
591	бы в	3	1
592	для его	1	1
593	зрения в	1	1
594	как сопротивление	1	1
595	же в	1	1
596	основной для	1	1
597	или поддержка	1	1
598	персонажа и	1	1
599	героя и	3	1
600	не знает	1	1
601	себе самому	1	1
602	та же	1	1
603	в какой	4	1
604	жизни и	7	1
605	по причине	1	1
606	прямой речи	1	1
607	который не	1	1
608	значение в	1	1
609	в таком	1	1
610	все что	3	1
611	они не	1	1
