N	2gram	Berdyaev_O_1	DiskursI
291	когда он	3	1
292	особого рода	1	1
293	еще более	1	1
294	и ни	2	1
295	будто бы	1	1
296	но всегда	1	1
297	человека не	1	1
298	сказать что	2	1
299	не быть	1	1
300	речи и	1	1
301	в голову	1	1
302	ее в	2	1
303	во всяком	1	1
