N	2gram	Savitsky_P_1	TeoriaLi
189	в известном	1	1
190	если он	1	1
191	в наших	1	1
192	не могла	1	1
193	окружающей их	1	1
194	в статье	2	1
195	в реальной	1	1
196	при виде	1	1
197	в силу	2	1
198	том числе	2	1
199	ни были	1	1
200	чтобы в	1	1
201	ему на	1	1
202	что все	1	1
203	большинстве случаев	1	1
204	сознания к	1	1
205	было бы	6	1
206	полноте и	1	1
207	весь мир	1	1
208	видения в	1	1
209	в них	2	1
210	это сфера	1	1
211	с тем	3	1
212	ведет к	1	1
213	являются наиболее	1	1
214	явлена в	1	1
215	это ощущение	1	1
216	и без	3	1
217	в котором	4	1
218	к предмету	1	1
219	большей степени	4	1
220	не как	1	1
221	на каждого	1	1
222	друг другу	2	1
223	и более	1	1
224	в прошлом	1	1
225	различной природы	1	1
226	и наоборот	1	1
227	и достоевского	2	1
228	и вся	1	1
229	с которой	1	1
230	исторического бытия	1	1
231	не имеет	1	1
232	одна из	2	1
233	мнения о	1	1
234	каждый из	1	1
235	в перспективе	2	1
236	и теперь	1	1
237	в каком	1	1
238	бытия не	1	1
239	только мы	1	1
240	духовного существа	1	1
241	в момент	1	1
242	сравнении с	3	1
243	ли не	1	1
244	числе и	1	1
245	всего что	1	1
246	но два	1	1
247	в каждом	1	1
248	она не	1	1
249	должен быть	1	1
250	а затем	1	1
251	того чтобы	1	1
252	та или	1	1
253	на основе	1	1
254	в собственном	1	1
255	мысль о	2	1
256	только то	1	1
257	или иная	1	1
258	с собой	1	1
259	на нее	1	1
260	особенно в	1	1
261	живет в	1	1
262	начала и	2	1
263	осуществляется в	2	1
264	ибо к	1	1
265	что от	1	1
266	на каждом	1	1
267	является в	2	1
268	для этого	1	1
269	мире в	1	1
270	именно потому	1	1
271	настоящее время	1	1
272	никак не	2	1
273	мира а	1	1
274	и который	1	1
275	может не	1	1
276	в значительной	2	1
277	вопросу о	1	1
278	в которую	2	1
279	и только	1	1
280	выступает как	1	1
281	перед тем	1	1
282	в соотношении	1	1
283	эти последние	1	1
284	и е	4	1
285	в формах	1	1
286	обе эти	1	1
287	тот же	3	1
288	именно о	1	1
289	духовный опыт	1	1
290	в какой	1	1
291	может оказаться	1	1
292	к миру	1	1
293	или его	1	1
294	их не	1	1
295	жить и	1	1
296	теперь в	2	1
297	собою как	1	1
298	есть в	2	1
299	если мы	1	1
300	только на	1	1
301	из них	2	1
302	одно из	1	1
303	представить себе	1	1
304	и мир	1	1
305	и жизненной	1	1
306	к ним	1	1
307	входят в	1	1
308	для того	3	1
309	представляют собой	1	1
310	точек зрения	2	1
311	связаны с	1	1
312	к более	1	1
313	и пр	5	1
314	и политического	4	1
315	не было	2	1
316	смерти но	1	1
317	отношения в	1	1
318	с которым	1	1
319	и я	1	1
320	в ряду	2	1
321	в бытии	1	1
322	что из	2	1
323	в одно	1	1
324	как ни	1	1
325	чем глубже	1	1
326	что явление	1	1
327	к сфере	1	1
328	они едины	1	1
329	будущее в	1	1
330	и пусть	2	1
331	одновременно и	1	1
332	было и	1	1
333	есть как	1	1
334	реальность и	2	1
335	в мир	1	1
336	да и	2	1
337	многих других	1	1
338	мира с	2	1
339	в это	1	1
340	известном смысле	1	1
341	все это	2	1
342	и конца	1	1
343	и частной	1	1
344	и право	2	1
345	хх века	2	1
346	в результате	1	1
347	о котором	1	1
348	в настоящее	1	1
349	не более	1	1
350	своем значении	2	1
351	как явление	1	1
352	полноты и	1	1
353	поэтики в	1	1
354	в сравнении	3	1
355	же в	4	1
356	мы видим	1	1
357	не есть	1	1
358	может и	2	1
359	в иной	1	1
360	облечена в	1	1
361	видим в	1	1
362	и другие	1	1
