N	2gram	Tiupa_Disk_1	OGranits
150	в структуре	1	2
151	истории литературы	1	2
152	и является	1	2
153	во всем	1	2
154	а в	5	2
155	еще в	3	2
156	героя и	2	2
157	и к	4	2
158	имеет место	3	2
159	могут быть	4	2
160	в своих	3	2
161	к тому	5	2
162	обычно в	1	1
163	и это	1	1
164	можно говорить	1	1
165	одним из	2	1
166	также и	3	1
167	в словесной	1	1
168	своего развития	1	1
169	в виду	2	1
170	того же	3	1
171	на нем	1	1
172	и сами	1	1
173	но далеко	1	1
174	как известно	1	1
175	что до	1	1
176	только потому	1	1
177	науки о	1	1
178	это и	1	1
179	и есть	2	1
180	в организации	2	1
181	в себя	5	1
182	взаимодействия людей	1	1
183	сознания с	1	1
184	и до	1	1
185	с языком	1	1
186	он всегда	2	1
187	не имеют	1	1
188	на том	2	1
189	едва ли	2	1
190	особенно в	1	1
191	или на	3	1
192	мы имеем	2	1
193	и о	4	1
194	возможно только	2	1
195	мыслью и	1	1
196	вопрос о	1	1
197	другое дело	1	1
198	из одного	1	1
199	по себе	3	1
200	по мере	2	1
201	выходит за	1	1
202	в определенной	1	1
203	но такая	1	1
204	общем виде	2	1
205	на себя	2	1
206	с ее	2	1
207	сводится к	5	1
208	из того	1	1
209	событий и	1	1
210	ему в	2	1
211	этого термина	2	1
212	как свой	1	1
213	общения в	2	1
214	в мире	1	1
215	и он	2	1
216	в каждой	3	1
217	слово не	2	1
218	внимание на	4	1
219	как возможность	1	1
220	и что	2	1
221	утверждаю что	1	1
222	еще не	14	1
223	хх веке	1	1
224	эту связь	1	1
225	столь же	3	1
226	времени в	2	1
227	в различных	2	1
228	не могу	1	1
229	в эстетической	1	1
230	в конечном	1	1
231	не знала	1	1
232	к нему	1	1
233	нем только	1	1
234	на самом	1	1
235	относятся и	1	1
236	но не	11	1
237	и остаются	1	1
238	может и	2	1
239	отношение к	4	1
240	слову в	1	1
241	отметить что	1	1
242	тут же	1	1
243	в едином	2	1
244	нет и	1	1
245	на то	1	1
246	которая и	1	1
247	в истории	4	1
248	в одной	3	1
249	познания в	1	1
250	из вас	1	1
251	в своем	6	1
252	общих для	1	1
253	высказывание от	1	1
254	по своей	11	1
255	лишь часть	1	1
256	что касается	2	1
257	один из	3	1
258	они хотят	1	1
259	тех случаях	1	1
260	и как	6	1
261	его к	1	1
262	одной из	4	1
263	что он	4	1
264	более или	2	1
265	есть его	1	1
266	или иную	1	1
267	не должна	1	1
268	в значительной	2	1
269	не приходится	2	1
270	или же	1	1
271	состоит не	1	1
272	в литературоведении	2	1
273	звучит один	1	1
274	со всеми	1	1
275	в этой	2	1
276	для всех	1	1
277	что к	1	1
278	с их	1	1
279	значение так	1	1
280	события и	1	1
281	литературы в	2	1
282	жизнь как	1	1
283	только на	1	1
284	себя и	1	1
285	вследствие этого	3	1
286	в нашей	1	1
287	общения с	3	1
288	и последовательно	1	1
289	что она	1	1
290	или даже	2	1
291	и других	1	1
292	его и	1	1
293	конечном счете	1	1
294	ту или	1	1
295	произведении как	1	1
296	каждом индивидуальном	1	1
297	в понимании	1	1
298	состоит в	9	1
299	в виде	1	1
300	он весь	1	1
301	внутренней речи	2	1
302	как их	2	1
303	и один	1	1
304	в конце	1	1
305	картины мира	1	1
306	каждый из	1	1
307	подобно тому	2	1
308	отличие от	5	1
309	на этом	2	1
310	или иных	1	1
311	не должно	1	1
312	это некое	1	1
313	положения что	1	1
314	ни о	1	1
315	косвенной речи	1	1
316	в особенности	4	1
317	к другому	2	1
318	бы быть	3	1
319	на все	1	1
320	для своей	1	1
321	говорить не	1	1
322	как к	2	1
323	этим путем	1	1
324	его себе	1	1
325	искусства в	1	1
326	от одного	1	1
327	которая как	1	1
328	к которому	2	1
329	общения а	1	1
330	представляет собою	1	1
331	заключается в	3	1
332	в античной	2	1
333	лежит в	1	1
334	в хх	1	1
335	к более	1	1
336	для них	1	1
337	о которых	1	1
338	не было	7	1
339	далеко не	10	1
340	из наиболее	2	1
341	функций и	1	1
342	не всегда	2	1
343	которой он	1	1
344	и вне	1	1
345	фигурирует в	1	1
346	выбор слова	1	1
347	отнюдь не	8	1
348	с миром	1	1
349	понятие о	3	1
350	автора и	1	1
351	разных местах	1	1
352	или менее	2	1
353	но при	3	1
354	и вполне	1	1
355	сводятся к	1	1
356	на который	1	1
357	художественного творчества	1	1
358	как это	1	1
359	представление о	1	1
360	а представляет	1	1
361	себе а	1	1
362	в отличие	5	1
363	в которых	4	1
364	мысли и	2	1
365	он говорит	1	1
366	к этому	2	1
367	такого рода	4	1
368	это единая	1	1
369	должно было	1	1
370	тому как	3	1
371	объединены в	1	1
372	высказывания и	2	1
373	были высказаны	1	1
374	тем не	1	1
375	в эпоху	5	1
376	и более	1	1
377	в ряду	2	1
378	для понимания	2	1
379	своего времени	2	1
380	где нет	1	1
381	необходимо чтобы	1	1
382	не создает	1	1
383	этого слова	1	1
384	что такое	1	1
385	только то	1	1
386	в контексте	1	1
387	быть и	1	1
388	до конца	1	1
389	вплоть до	1	1
390	литературы как	1	1
391	но это	1	1
392	о теории	1	1
393	и оно	1	1
394	в начале	2	1
395	и утверждаю	1	1
396	виду что	1	1
397	в то	3	1
398	к другим	2	1
399	эстетическим объектом	1	1
400	в науке	2	1
401	тех или	1	1
402	всю совокупность	1	1
403	случаях когда	1	1
404	мы все	1	1
405	порвать с	1	1
406	объекта и	1	1
407	и чем	1	1
408	при таком	1	1
409	не существует	1	1
410	или в	2	1
411	при наличии	1	1
412	же время	4	1
413	в основе	7	1
414	как весьма	1	1
415	поэзии в	1	1
416	тем более	1	1
417	вообще в	1	1
418	с понятием	2	1
419	говоря словами	1	1
420	это слово	1	1
421	потому что	4	1
422	в новых	1	1
423	связи с	4	1
424	науке о	2	1
425	в системе	1	1
426	этом отношении	1	1
427	их по	1	1
428	не вполне	1	1
429	об этом	2	1
430	понимания и	1	1
431	не знает	1	1
432	есть она	1	1
433	исторической поэтики	1	1
434	сказать что	3	1
435	интонации и	1	1
436	речи и	1	1
437	одном ряду	1	1
438	о литературе	2	1
439	и часто	1	1
440	когда мы	1	1
441	возможности но	1	1
442	во все	1	1
443	ли не	3	1
444	про себя	1	1
445	с его	4	1
446	только о	1	1
447	его понимании	2	1
448	указать на	1	1
449	же самое	2	1
450	должны быть	3	1
451	всего в	1	1
452	вместе с	1	1
453	анализ художественного	1	1
454	античной греции	2	1
455	например в	2	1
456	им и	1	1
457	со времен	1	1
458	они не	2	1
