N	2gram	Savitsky_P_1	slovoVRo
162	не есть	1	2
163	с другом	1	2
164	а с	1	2
165	с которым	1	2
166	что все	1	2
167	в частности	2	2
168	так же	1	2
169	друг с	1	2
170	должно быть	2	2
171	в условиях	1	2
172	как раз	2	2
173	одна из	2	2
174	тем и	1	2
175	и другим	1	2
176	смысле на	1	2
177	потому что	3	2
178	они как	1	2
179	одновременно и	1	2
180	как известно	1	1
181	и через	1	1
182	которого в	1	1
183	и есть	2	1
184	в определенный	1	1
185	выражается в	1	1
186	из всех	1	1
187	что уже	1	1
188	место в	1	1
189	почти исключительно	1	1
190	в некотором	1	1
191	начала в	1	1
192	осознать и	1	1
193	не нужно	2	1
194	он был	1	1
195	и главное	1	1
196	но как	1	1
197	не все	1	1
198	в общем	2	1
199	отказом от	1	1
200	отличие от	1	1
201	можно дать	1	1
202	и такое	1	1
203	стилю и	1	1
204	и дети	2	1
205	в значительной	2	1
206	стороны и	2	1
207	эти силы	1	1
208	и где	1	1
209	и слова	1	1
210	могли бы	1	1
211	что по	1	1
212	которую оно	1	1
213	в себя	1	1
214	в этой	1	1
215	разных точек	1	1
216	силам и	1	1
217	только один	1	1
218	на то	1	1
219	и если	4	1
220	в определенном	1	1
221	было с	1	1
222	к миру	1	1
223	не к	2	1
224	какой бы	1	1
225	а затем	1	1
226	как автор	1	1
227	чем шире	1	1
228	м а	2	1
229	заключается в	3	1
230	есть не	2	1
231	особенно в	1	1
232	в жизни	2	1
233	в ином	1	1
234	суть формы	1	1
235	и судьбами	1	1
236	и уже	1	1
237	всегда существует	1	1
238	рассматривать с	1	1
239	выработанные в	1	1
240	это ощущение	1	1
241	и без	3	1
242	не столько	2	1
243	в отличие	1	1
244	в которых	5	1
245	бы мы	1	1
246	исключительно на	1	1
247	и более	1	1
248	и вся	1	1
249	не менее	2	1
250	мнения о	1	1
251	того чтобы	1	1
252	создается в	2	1
253	имеет два	1	1
254	можно рассматривать	1	1
255	помимо воли	1	1
256	входят в	1	1
257	в каком	1	1
258	исходить из	1	1
259	быть различной	1	1
260	единства в	1	1
261	должен быть	1	1
262	и это	2	1
263	россию и	1	1
264	культуры и	1	1
265	вовлеченные в	1	1
266	и среди	1	1
267	и глубины	1	1
268	является в	2	1
269	если бы	4	1
270	для этого	1	1
271	со стороны	2	1
272	находится в	1	1
273	сводится к	3	1
274	именно потому	1	1
275	и что	1	1
276	находятся в	1	1
277	религиозные и	1	1
278	притом в	1	1
279	она всегда	1	1
280	оно ни	1	1
281	в различных	1	1
282	степени чем	1	1
283	смысле не	1	1
284	что и	1	1
285	и только	1	1
286	слоев не	1	1
287	и простую	1	1
288	на будущее	1	1
289	разрыва между	1	1
290	время в	2	1
291	одновременно две	1	1
292	тот же	3	1
293	бы из	1	1
294	и движение	1	1
295	именно на	1	1
296	в эти	1	1
297	есть в	2	1
298	в начале	2	1
299	в душе	1	1
300	к ним	1	1
301	каждый из	1	1
302	не просто	1	1
303	эти явления	1	1
304	где в	2	1
305	нельзя отождествлять	1	1
306	что не	1	1
307	них и	1	1
308	как явление	1	1
309	как ни	1	1
310	что мы	3	1
311	и эпохи	1	1
312	явления которые	1	1
313	бы оно	1	1
314	нет ничего	1	1
315	и теми	1	1
316	вместе с	1	1
317	эта идея	2	1
318	в иных	1	1
319	когда русские	1	1
320	рождены и	1	1
321	да и	2	1
322	образом на	2	1
323	в это	1	1
324	сколько бы	2	1
325	простор для	1	1
326	на пути	4	1
327	между прочим	2	1
328	которые были	1	1
329	очень далеко	1	1
330	слова но	2	1
331	тем более	2	1
332	о котором	1	1
333	области поэзии	1	1
334	полноты и	1	1
335	же в	4	1
336	всеми его	1	1
337	в просторах	1	1
338	различных формах	1	1
339	отношением к	1	1
340	только как	1	1
341	есть и	1	1
342	в какой	1	1
343	пути к	1	1
344	и другие	1	1
345	который не	1	1
346	как на	2	1
347	они не	1	1
